"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"City","Akron","OH","Akron, OH",102,74,18.6973180076628,69,8.57142857142857,4.10220994475138
"City","Cuyahoga Falls","OH","Akron, OH",854,74,15.7407407407407,53,0.714285714285714,4.10220994475138
"City","Kent","OH","Akron, OH",1021,74,15.8273381294964,55,2.14285714285714,4.10220994475138
"City","Stow","OH","Akron, OH",1310,74,16.6666666666667,55,3.57142857142857,4.10220994475138
"City","Ravenna","OH","Akron, OH",1363,74,18.75,70,10,4.10220994475138
"City","Barberton","OH","Akron, OH",1864,74,14.3835616438356,61.5,2.85714285714286,4.10220994475138
"City","Green","OH","Akron, OH",1890,74,16.8674698795181,64,5.71428571428571,4.10220994475138
"City","Twinsburg","OH","Akron, OH",2260,74,16.1616161616162,65,4.28571428571429,4.10220994475138
"City","Hudson","OH","Akron, OH",2349,74,18.5185185185185,68,7.85714285714286,4.10220994475138
"City","Northfield","OH","Akron, OH",2820,74,18,59,5.71428571428571,4.10220994475138
"City","Copley","OH","Akron, OH",3438,74,22.2222222222222,69,9.28571428571429,4.10220994475138
"City","Tallmadge","OH","Akron, OH",3456,74,14.4230769230769,56.5,1.42857142857143,4.10220994475138
"City","Aurora","OH","Akron, OH",4111,74,17.816091954023,69,7.14285714285714,4.10220994475138
"City","Streetsboro","OH","Akron, OH",4132,74,16.3265306122449,67.5,5.71428571428571,4.10220994475138
"City","Albany","NY","Albany-Schenectady-Troy, NY",281,60,16.839378238342,78.5,2.35294117647059,8.78453038674033
"City","Colonie","NY","Albany-Schenectady-Troy, NY",461,60,18.6192468619247,82,4.70588235294118,8.78453038674033
"City","Schenectady","NY","Albany-Schenectady-Troy, NY",488,60,13.262599469496,99,3.52941176470588,8.78453038674033
"City","Troy","NY","Albany-Schenectady-Troy, NY",877,60,17.6470588235294,90,7.64705882352941,8.78453038674033
"City","Saratoga Springs","NY","Albany-Schenectady-Troy, NY",1169,60,18.287037037037,87,7.05882352941176,8.78453038674033
"City","Clifton Park","NY","Albany-Schenectady-Troy, NY",1251,60,14.9700598802395,81,1.17647058823529,8.78453038674033
"City","Bethlehem","NY","Albany-Schenectady-Troy, NY",1555,60,10.0917431192661,75,0.588235294117647,8.78453038674033
"City","Guilderland","NY","Albany-Schenectady-Troy, NY",1605,60,25.6410256410256,82,8.82352941176471,8.78453038674033
"City","Halfmoon","NY","Albany-Schenectady-Troy, NY",2195,60,16.0839160839161,89,4.11764705882353,8.78453038674033
"City","Niskayuna","NY","Albany-Schenectady-Troy, NY",2354,60,25.6,82,8.23529411764706,8.78453038674033
"City","Glenville","NY","Albany-Schenectady-Troy, NY",2440,60,21.2765957446809,79,5.29411764705882,8.78453038674033
"City","Rotterdam","NY","Albany-Schenectady-Troy, NY",3257,60,21.0191082802548,92,10,8.78453038674033
"City","East Greenbush","NY","Albany-Schenectady-Troy, NY",3886,60,15.9090909090909,88.5,2.94117647058824,8.78453038674033
"City","Malta","NY","Albany-Schenectady-Troy, NY",4653,60,16.6666666666667,91,5.88235294117647,8.78453038674033
"City","Schodack","NY","Albany-Schenectady-Troy, NY",5970,60,13.6363636363636,111,6.47058823529412,8.78453038674033
"City","Moreau","NY","Albany-Schenectady-Troy, NY",6074,60,8.86075949367089,87,1.76470588235294,8.78453038674033
"City","Wilton","NY","Albany-Schenectady-Troy, NY",7521,60,20.9876543209877,88.5,9.41176470588235,8.78453038674033
"City","Allentown","PA","Allentown-Bethlehem-Easton, PA-NJ",213,67,16.3187855787476,66,0.588235294117647,8.7292817679558
"City","Bethlehem","PA","Allentown-Bethlehem-Easton, PA-NJ",494,67,20.625,69,2.94117647058824,8.7292817679558
"City","Easton","PA","Allentown-Bethlehem-Easton, PA-NJ",1792,67,22.9813664596273,74,8.82352941176471,8.7292817679558
"City","Lower Macungie","PA","Allentown-Bethlehem-Easton, PA-NJ",1895,67,17.5182481751825,66,1.17647058823529,8.7292817679558
"City","Upper Macungie","PA","Allentown-Bethlehem-Easton, PA-NJ",2316,67,20.2127659574468,77,6.47058823529412,8.7292817679558
"City","South Whitehall","PA","Allentown-Bethlehem-Easton, PA-NJ",2934,67,29.2452830188679,71.5,9.41176470588235,8.7292817679558
"City","Nazareth","PA","Allentown-Bethlehem-Easton, PA-NJ",3494,67,25.8426966292135,69,7.05882352941176,8.7292817679558
"City","Bethlehem","PA","Allentown-Bethlehem-Easton, PA-NJ",3837,67,18.6666666666667,73.5,2.35294117647059,8.7292817679558
"City","Upper Saucon","PA","Allentown-Bethlehem-Easton, PA-NJ",4043,67,18.4615384615385,86,4.41176470588235,8.7292817679558
"City","Forks","PA","Allentown-Bethlehem-Easton, PA-NJ",4224,67,20.6185567010309,74,5.88235294117647,8.7292817679558
"City","Palmer","PA","Allentown-Bethlehem-Easton, PA-NJ",4448,67,21.9512195121951,75,7.64705882352941,8.7292817679558
"City","Phillipsburg","NJ","Allentown-Bethlehem-Easton, PA-NJ",4590,67,13.8211382113821,112,3.52941176470588,8.7292817679558
"City","Washington","NJ","Allentown-Bethlehem-Easton, PA-NJ",6029,67,21.2121212121212,102.5,10,8.7292817679558
"City","Lower Saucon","PA","Allentown-Bethlehem-Easton, PA-NJ",6449,67,22.5,75,8.23529411764706,8.7292817679558
"City","Penn Forest","PA","Allentown-Bethlehem-Easton, PA-NJ",7277,67,17.9775280898876,90,4.41176470588235,8.7292817679558
"City","Whitehall","PA","Allentown-Bethlehem-Easton, PA-NJ",7370,67,19.3548387096774,63,1.76470588235294,8.7292817679558
"City","Lopatcong","NJ","Allentown-Bethlehem-Easton, PA-NJ",8053,67,14.5833333333333,109,5.29411764705882,8.7292817679558
"City","Asheville","NC","Asheville, NC",381,118,23.6192714453584,64,7.33333333333333,6.79558011049724
"City","Hendersonville","NC","Asheville, NC",665,118,14.8601398601399,65,2,6.79558011049724
"City","Waynesville","NC","Asheville, NC",1737,118,12.6237623762376,98,5.33333333333333,6.79558011049724
"City","Candler","NC","Asheville, NC",2014,118,18.8235294117647,69.5,2.66666666666667,6.79558011049724
"City","Arden","NC","Asheville, NC",2994,118,19.4594594594595,71,6.66666666666667,6.79558011049724
"City","Weaverville","NC","Asheville, NC",3056,118,20.625,91,9.33333333333333,6.79558011049724
"City","Fletcher","NC","Asheville, NC",3227,118,13.8728323699422,56,0.666666666666667,6.79558011049724
"City","Canton","NC","Asheville, NC",3429,118,16.260162601626,79,6,6.79558011049724
"City","Black Mountain","NC","Asheville, NC",4504,118,23.448275862069,81,8,6.79558011049724
"City","Leicester","NC","Asheville, NC",5091,118,20.4819277108434,102.5,10,6.79558011049724
"City","Clyde","NC","Asheville, NC",6849,118,13.8888888888889,81,4,6.79558011049724
"City","Flat Rock","NC","Asheville, NC",7060,118,12.3595505617978,64,1.33333333333333,6.79558011049724
"City","Fairview","NC","Asheville, NC",7167,118,21.7821782178218,84.5,8.66666666666667,6.79558011049724
"City","Mars Hill","NC","Asheville, NC",7973,118,12,107,4.66666666666667,6.79558011049724
"City","Maggie Valley","NC","Asheville, NC",9880,118,12.7167630057803,89,3.33333333333333,6.79558011049724
"City","Atlanta","GA","Atlanta-Sandy Springs-Roswell, GA",32,9,17.8940835746794,55,4.86842105263158,2.5207182320442
"City","Marietta","GA","Atlanta-Sandy Springs-Roswell, GA",53,9,20.2526132404181,53,5.92105263157895,2.5207182320442
"City","Lawrenceville","GA","Atlanta-Sandy Springs-Roswell, GA",67,9,17.0882171499075,53,3.28947368421053,2.5207182320442
"City","Cumming","GA","Atlanta-Sandy Springs-Roswell, GA",155,9,19.0716448032291,63,8.81578947368421,2.5207182320442
"City","Stone Mountain","GA","Atlanta-Sandy Springs-Roswell, GA",231,9,13.0968622100955,62,3.42105263157895,2.5207182320442
"City","Douglasville","GA","Atlanta-Sandy Springs-Roswell, GA",273,9,13.2911392405063,63.5,5.13157894736842,2.5207182320442
"City","Sandy Springs","GA","Atlanta-Sandy Springs-Roswell, GA",287,9,20.7441860465116,60,8.94736842105263,2.5207182320442
"City","Kennesaw","GA","Atlanta-Sandy Springs-Roswell, GA",290,9,15.5619596541787,49,1.57894736842105,2.5207182320442
"City","Lithonia","GA","Atlanta-Sandy Springs-Roswell, GA",303,9,11.0644257703081,78,4.60526315789474,2.5207182320442
"City","Woodstock","GA","Atlanta-Sandy Springs-Roswell, GA",319,9,15.5985489721886,51,1.84210526315789,2.5207182320442
"City","McDonough","GA","Atlanta-Sandy Springs-Roswell, GA",328,9,12.4107142857143,77,6.31578947368421,2.5207182320442
"City","Acworth","GA","Atlanta-Sandy Springs-Roswell, GA",334,9,19.3788819875776,48,4.07894736842105,2.5207182320442
"City","Roswell","GA","Atlanta-Sandy Springs-Roswell, GA",343,9,23.5223160434258,57,9.47368421052632,2.5207182320442
"City","Newnan","GA","Atlanta-Sandy Springs-Roswell, GA",351,9,13.7343927355278,63,4.73684210526316,2.5207182320442
"City","Covington","GA","Atlanta-Sandy Springs-Roswell, GA",359,9,13.933236574746,83,8.28947368421053,2.5207182320442
"City","Duluth","GA","Atlanta-Sandy Springs-Roswell, GA",369,9,16.7676767676768,52,2.5,2.5207182320442
"City","Conyers","GA","Atlanta-Sandy Springs-Roswell, GA",393,9,14.0752864157119,73,7.5,2.5207182320442
"City","Johns Creek","GA","Atlanta-Sandy Springs-Roswell, GA",418,9,23.1098430813124,61,9.73684210526316,2.5207182320442
"City","Canton","GA","Atlanta-Sandy Springs-Roswell, GA",419,9,16.6494312306101,65,7.76315789473684,2.5207182320442
"City","Norcross","GA","Atlanta-Sandy Springs-Roswell, GA",470,9,12.4497991967871,46,0.526315789473684,2.5207182320442
"City","Smyrna","GA","Atlanta-Sandy Springs-Roswell, GA",472,9,21.3924050632911,54,7.10526315789474,2.5207182320442
"City","Snellville","GA","Atlanta-Sandy Springs-Roswell, GA",498,9,18.3835182250396,56,6.44736842105263,2.5207182320442
"City","Alpharetta","GA","Atlanta-Sandy Springs-Roswell, GA",501,9,16.6172106824926,56,3.94736842105263,2.5207182320442
"City","Suwanee","GA","Atlanta-Sandy Springs-Roswell, GA",526,9,21.6689098250336,56,8.02631578947368,2.5207182320442
"City","Stockbridge","GA","Atlanta-Sandy Springs-Roswell, GA",572,9,10.6770833333333,57,1.31578947368421,2.5207182320442
"City","Lilburn","GA","Atlanta-Sandy Springs-Roswell, GA",592,9,21.0810810810811,51,5.26315789473684,2.5207182320442
"City","Fayetteville","GA","Atlanta-Sandy Springs-Roswell, GA",595,9,13.2173913043478,70,5.78947368421053,2.5207182320442
"City","Powder Springs","GA","Atlanta-Sandy Springs-Roswell, GA",614,9,16.1662817551963,56,3.68421052631579,2.5207182320442
"City","Carrollton","GA","Atlanta-Sandy Springs-Roswell, GA",684,9,18.0555555555556,64.5,8.68421052631579,2.5207182320442
"City","Riverdale","GA","Atlanta-Sandy Springs-Roswell, GA",692,9,7.54716981132075,58,1.18421052631579,2.5207182320442
"City","Griffin","GA","Atlanta-Sandy Springs-Roswell, GA",761,9,9.0293453724605,66,2.63157894736842,2.5207182320442
"City","Buford","GA","Atlanta-Sandy Springs-Roswell, GA",767,9,18.7399030694669,62,8.1578947368421,2.5207182320442
"City","Loganville","GA","Atlanta-Sandy Springs-Roswell, GA",776,9,14.84375,63,5.39473684210526,2.5207182320442
"City","Dacula","GA","Atlanta-Sandy Springs-Roswell, GA",836,9,17.7304964539007,58,6.97368421052632,2.5207182320442
"City","Brookhaven","GA","Atlanta-Sandy Springs-Roswell, GA",847,9,20.0828157349896,57,7.89473684210526,2.5207182320442
"City","Dunwoody","GA","Atlanta-Sandy Springs-Roswell, GA",937,9,26.1971830985915,56,8.55263157894737,2.5207182320442
"City","Jonesboro","GA","Atlanta-Sandy Springs-Roswell, GA",970,9,6.42201834862385,57,0.789473684210526,2.5207182320442
"City","Austell","GA","Atlanta-Sandy Springs-Roswell, GA",990,9,11.7408906882591,51,0.394736842105263,2.5207182320442
"City","Peachtree Corners","GA","Atlanta-Sandy Springs-Roswell, GA",1037,9,11.7370892018779,49,0.263157894736842,2.5207182320442
"City","Winder","GA","Atlanta-Sandy Springs-Roswell, GA",1068,9,15.0395778364116,56,3.15789473684211,2.5207182320442
"City","Milton","GA","Atlanta-Sandy Springs-Roswell, GA",1146,9,18.3219178082192,65,9.3421052631579,2.5207182320442
"City","Cartersville","GA","Atlanta-Sandy Springs-Roswell, GA",1163,9,17.1314741035857,63,7.63157894736842,2.5207182320442
"City","Fairburn","GA","Atlanta-Sandy Springs-Roswell, GA",1174,9,13.2258064516129,70,6.18421052631579,2.5207182320442
"City","Mableton","GA","Atlanta-Sandy Springs-Roswell, GA",1185,9,13.9931740614334,54,1.97368421052632,2.5207182320442
"City","East Point","GA","Atlanta-Sandy Springs-Roswell, GA",1233,9,23.2824427480916,57,9.21052631578947,2.5207182320442
"City","Tucker","GA","Atlanta-Sandy Springs-Roswell, GA",1240,9,14.8148148148148,45,1.05263157894737,2.5207182320442
"City","Hampton","GA","Atlanta-Sandy Springs-Roswell, GA",1259,9,11.9540229885057,82,6.05263157894737,2.5207182320442
