"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"New York","NY","New York-Newark-Jersey City","Queens County",1,220000,219000,219000,219000,220000,220000,221500,225000,225000,214900,212500,210000,209000,190000,199900,199999,199900,199000,199000,198888,198000,195000,189000,189000,185000,188000,185000,185000,185000,185000,185000,180000,179000,179000,180000,180000,183750,179900,179000,179888,179000,169000,167000,179000,180000,180000,180000,180000,184900,185000,185000,175000,176000,189000,189000,189000,192000,190000,188000,189000,194888,190000,189900,193750,195000,199000,199000,199000,199000,199000,199000,199000,195000,195000,195000,197786,2e+05,206000,208000,210000,209000,209500,210000,210000,209000,210000,210000,215000,219000,220000,225000,225000,227273,229000,229000,235000,235000,240000,245000,245000,249000,249000,249000,249000,249000,249000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,225000,224900,220000,224900,229000,229900,229900,230000,229900,227500,229500,229000,227500,219900,225000,225000,225000,224999,219900,219262,215000,214709.5,210000,210000,209000,210000,209900,209900,214827,210000,215000,214000,209900,219000,216319.5,221000,230000,231150,235000,239000,249900,259900,260000,269947.5,274000,279000,279000,279000,280000,285000,274450,295000,299000,299900,3e+05,310000,304500,305000,305000,3e+05,305000,309000,310000,318000,320000,320782,325000,325000,329000,325000,320000,334900,330000,330000,339000,349000,349900,350000,350000,359000,355000,359900,360000,364990,365000,365000,375000,370250,385000,379900,389000,387900,390000,397000,399000,399000,399000,4e+05,4e+05,4e+05,4e+05,409900,415000,420000,420000,424900
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,77925,79900,83500,85000,81950,79000,78000,79900,79900,76700,79900,75000,74900,69000,70000,70000,69900,69900,67990,67000,67000,63500,64800,63700,54900,59900,59900,59900,59800,59850,59400,59900,59900,59900,59900,59900,59700,59900,59000,58450,58894,59000,59000,55000,59000,59900,59900,59900,59000,59000,59000,58000,60000,62500,62250,65000,65900,69000,69000,68894,67000,66500,66000,65900,69900,69900,70000,70000,73900,70000,70000,74900,74900,74900,74000,75000,75000,78900,79900,79000,75900,75000,75000,75000,75000,75000,79500,80000,84900,88000,85900,87500,85000,85000,85000,85000,85000,86000,85900,95000,98500,99000,99000,99000,99000,98992
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,76000,77000,78900,79500,79000,79000,77500,78240,78500,77425,77000,75000,73900,70299,70000,70000,70395,71250,70000,69900,69900,69900,68900,69549,67500,69000,69000,68000,69000,69000,69000,69900,66801.5,66000,66750,66340,67900,68000,68500,65000,65000,67900,70000,70000,70000,69999,70000,69900,69900,70000,69900,64500,65000,66500.5,68000,69999,69900,65900,65900,68000,69900,69000,69500,68000,72500,78245,75000,75000,75000,77500,78000,77500,78170,79000,80900,82000,85000,87000,89900,89900,89900,89900,94900,92000,93000,94550,98500,1e+05,1e+05,1e+05,1e+05,1e+05,1e+05,99500,99000,99900,99000,97000,99900,105000,109900,109000,108676.5,110000,109000,107421
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,73000,72900,75000,75000,75000,75000,75000,74900,74900,74900,74900,74500,71900,70000,70000,70100,69900,69900,69900,69900,69500,69500,68000,67500,66500,66900,67500,66000,69000,69000,66000,65000,65000,65000,65000,65950,65000,65000,67900,65925,65900,65900,67500,67000,65000,65900,67500,68999,69900,69900,69625,69900,69900,69999,69900,69992.5,69900,69990,69900,70000,72000,75000,75000,74000,74900,70150,75000,78500,77500,77000,77500,79000,79000,79900,79900,79895,79900,79900,79900,79895,80000,85000,85250,89900,87000,88995,89900,89999,91000,90000,95000,97000,98000,99900,99500,104500,102000,1e+05,104900,1e+05,104625,105000,107000,110000,109983,109900
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,80000,80000,84900,84900,80000,84000,84900,84900,85000,85000,86710.5,84900,80000,79900,84900,80000,81900,82000,79900,78700,75900,75000,74900,72000,70000,70000,74900,70000,70100,72900,74000,70000,69999,69900,69900,69900,69900,69900,69900,69900,69900,70000,69900,69900,70000,70000,69900,69900,69900,69900,69900,69999,69900,69900,70000,72500,74900,75000,75000,74930.5,74999,74900,73745,72000,74120,74500,74900,74900,74900,72850,71450,70000,70000,70000,70000,71900,74900,75000,75000,74900,74900,70000,69900,69900,70000,72000,74900,75000,80000,79900,79900,79900,79900,80000,79900,79500,79900,80000,80000,80000,84900,85000,85000,87500,86000,89900
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,70000,70000,72000,72900,72000,69900,69900,69900,68500,65000,65000,64900,63000,59900,59900,59900,60000,59900,59000,59500,58000,57900,59000,58500,58857.5,59900,61612.5,62000,62500,65000,65675,69900,69500,73890,72500,75000,79900,79900,82500,84900,89000,89000,89900,90000,95000,95900,99000,99900,1e+05,105000,108000,108600,109000,110000,110000,109900,108597.5,109900,110000,110000,110000,112500,110000,112950,117500,119500,110000,119000,120000,124900,124975,127050,129000,129900,129900,130000,130000,133000,139000,139000,139900,139900,141000,142950,144900,149000,149900,149900,149900,150000,150000,151304,154900,157500,159000,158000,157900,159000,159000,160000,161900,163900,164900,168000,168900,169900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,73900,70000,70000,70000,69900,69900,69900,70000,69500,69300,69000,68900,69900,63900,64900,65000,64900,64000,61200,62500,61500,61000,60000,59900,59800,60000,60000,60000,62499.5,63000,64925,62500,61291,65000,60183.5,69000,69000,69900,70000,71000,75000,75000,76000,81995,82000,84500,85000,89500,88900,88000,88900,89900,89900,89999,89700,90999,90000,91000,90000,94900,95000,99000,99500,99900,101000,99900,1e+05,102000,105000,105000,108100,109900,109900,112000,111950,112000,110000,115000,116500,117500,119900,120000,123000,122500,125000,126000,129900,130000,132500,132900,138000,139900,140000,140000,143500,145000,149834,149999,150000,150000,154880,158000,159000,159990,165000,165000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,190000,194900,199000,199000,2e+05,2e+05,2e+05,205000,204900,205000,209900,209000,2e+05,198923,199000,199000,199000,195000,194900,194900,190000,189000,189000,185000,184900,185000,189000,189900,189900,189000,189000,190000,180000,189500,185000,199000,2e+05,205000,210000,219000,223300,230000,245000,249000,255000,259000,257000,265000,269900,269900,275000,280000,275000,280000,285000,285900,285000,282250,280000,284900,289000,285000,288900,289000,297638,279971,309900,315000,309900,309450,3e+05,305578.5,309000,315000,319000,315000,320000,325000,335000,335000,338000,339000,345000,344900,349900,355000,350000,350000,352500,359000,359450,364650,365000,369450,375000,375000,370500,375000,375000,379999.5,385000,384700,385000,385000,389000,389000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55050,55000,54900,50000,51500,53900,59200,60000,65000,63000,61950,68510,69100,69900,67000,69997.5,66000,69000,75000,79500,82000,82000,85000,83200,85000,81950,88000,90000,90000,91000,94250,95000,1e+05,104255,105000,110000,104999,115000,120000,119900,119000,120000,119000,120000,119900,120746,134900,129999.5,135000,134900
