"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"New York","NY","New York-Newark-Jersey City","Queens County",1,699000,699000,699000,699000,699000,699000,699000,699000,699000,699000,7e+05,7e+05,699000,699000,720000,728000,725000,725000,725000,708000,7e+05,715000,719000,720000,725000,720000,725000,749000,750000,760000,750000,749000,750000,749449.5,750000,750000,749999,748800,769000,755000,759000,769000,750000,750000,760000,749000,799000,799000,816000,799000,799000,849000,899000,949000,925000,939000,925000,975000,979250,995000,1075000,999000,999000,1089000,1095000,995000,999000,999000,1090000,1100000,1150000,1150000,1230000,1200000,1175000,1229000,1189999,1174777,1150000,1100000,1100000,1099000,1150000,1150000,1100000,1150000,1199000,1235500,1250000,1250000,1249995,1220000,1230000,1250000,1250000,1255000,1250000,1269000,1230000,1250000,1250000,1249000,1200000,1199000,1199900,1199000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,950000,949900,985000,972900,965000,969950,949000,949000,929000,925000,929000,919000,899000,925000,912000,899000,899900,899000,898400,876500,895950,899000,899000,899000,897950,899000,899000,899000,909000,948500,949000,949000,949500,979500,979000,953250,988000,995000,998500,999000,1095000,1099000,1100000,1099499.5,1099000,1100000,1129000,1150000,1167000,1175000,1150000,1169000,1195000,1175000,1175000,1150000,1175000,1179000,1198000,1195000,1197000,1200000,1200000,1250000,1279500,1295000,1279000,1295000,1295000,1295000,1299000,1300313,1350000,1350000,1348000,1348000,1376000,1395000,1395000,1395000,1395000,1399000,1400000,1450000,1474900,1450000,1459500,1447000,1450000,1495000,1499000,1495000,1499000,1499995,1529000,1557277.5,1596000,1599000,1599000,1595000,1595000,1599000,1599000,1599000,1599000,1599000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,429000,429000,424900,420500,419900,425000,424900,425000,410900,415000,417000,410250,409000,399900,399000,396700,399000,398625,399000,399000,399000,399000,399000,399900,399900,399900,399900,409000,399900,399900,399000,399000,399000,399900,399999,399900,399900,409000,408950,415000,424900,424900,425000,425000,445000,445000,439000,445000,449000,440000,439000,439900,435000,439000,439000,435000,442000,444000,449000,449000,449000,449000,445000,444000,449000,449900,449900,450000,454950,454900,459900,470000,475000,475000,475000,475000,475000,489000,489900,489900,499000,499900,5e+05,525000,529000,525000,514500,5e+05,519800,519950,519900,5e+05,515000,515000,525000,539000,549900,549900,539000,545000,539900,535000,529900,527450,529000,525000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",4,365000,360000,357750,355000,359900,359900,354500,350000,349900,349500,349000,345000,339000,342670,345000,345000,345900,345900,343990,345950,345000,345900,345000,349000,349000,349900,350000,349900,349900,349900,349000,349000,349900,350000,354900,359000,365000,369000,373300,379000,379141,384945,385000,389000,395000,399000,399900,399900,419900,425000,419000,422000,425000,430000,439000,440000,449900,449900,450000,455000,459900,464000,459900,464500,460000,459800,451950,450000,450000,459000,459000,469900,465074,469990,469000,469900,469000,465000,459500,459900,459900,459000,459900,459000,459000,459900,460000,465000,465000,458000,450000,450000,455000,459000,450000,450000,450000,450000,454970,460000,459900,459000,459000,450000,459000,461990
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,284500,284900,285000,285000,282000,286001,289000,279900,271990,274990,275000,275000,269900,272247.5,269900,273990,274000,270000,275000,275000,274900,275000,274990,275000,275000,274900,279500,279500,280000,287640,285000,285000,289000,289000,289673,289500,289000,291000,295000,295000,294495,290000,290649,294269,298278,299000,299900,303116,300471,301000,299000,302990,304600,299999.5,299981,299999,301413.5,305600,310000,317250,318800,316050,305000,310989.5,309500,309990,308990,299999,310000,303990,307021,311990,317990,329900,329900,339000,339900,331158,331041,332900,336286.5,337400,339000,339925,340000,344365,346445,346900,344990,344900,344990,344900,341990,339400,337000,334900,335990,334990,339900,340000,339900,339900,340000,345000,344990,345000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,425000,429450,428000,419900,424900,425000,415000,409000,402000,409900,399900,399875,399900,399900,399500,399000,399000,397250,399000,399000,399000,389948.5,395000,394500,390000,395000,395000,399000,399000,389900,399000,399000,399000,399000,399500,399900,399900,399999,409900,399899.5,399900,399900,399000,399200,399000,399000,399999,399999,415000,419000,415000,419000,409900,410000,4e+05,4e+05,419000,415000,415000,415000,414900,419000,415000,419000,423950,419900,424900,424999,424900,421687,424000,425000,425000,425000,425000,429000,431400,429000,427950,435000,449000,449000,449900,450000,449000,445000,449625,449900,450000,450000,450000,450000,459990,459000,459999,450000,459000,452490,450000,459000,450000,465000,474540,469900,469900,469950
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,350000,350000,350000,349900,349000,344900,344250,335000,335000,329500,332900,329900,329900,330000,330000,330000,325000,324900,325000,319000,320000,324990,325000,325000,330000,340000,345000,345000,349900,350000,350000,350000,360300,365000,370000,375000,375000,378849.5,379900,389500,397900,395000,399900,399000,399900,399500,399500,399995,4e+05,409900,410000,409999,4e+05,4e+05,4e+05,408994.5,413350,414900,419000,420000,420000,424900,425000,429000,425000,425000,425000,426599,429450,430000,435000,439000,439900,439922.5,442550,445000,449900,449900,450000,450000,450000,450000,459700,463995,467500,469000,475000,469000,468590,465888.5,459900,459995,465000,469000,469000,473950,477500,479000,486585,485000,485000,485000,480000,485000,496990,496355
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,324997,320000,315000,306900,3e+05,299900,299900,295000,289900,280000,279900,275000,275000,277950,275000,264000,260000,264900,264900,259199,262650,260000,257503,257700,256500,259990,260000,269900,270000,273250,270000,275000,277609,285000,285000,289999,289995,295000,297950,299900,299500,299999,3e+05,309990,319000,325000,327490,335000,334945,339000,344000,349894,350000,356920,358000,359950,360000,359950,362800,365000,365000,365000,369900,375000,370950,371995,370000,374250,375000,373775,375000,379500,379399.5,384466,384884,389900,389999,390000,389900,389999,395000,396900,399900,4e+05,409683.5,412000,410000,410000,419900,425000,429000,433083,435000,439000,449900,450000,455000,465000,464900,475000,469000,474900,475000,479680,479000,479000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,849000,824000,799900,799500,819000,825000,808850,799000,799000,799000,795000,780000,775000,766825,759000,759900,755000,749900,746591.5,737500,740000,735876,744435,749500,749900,755438,769000,783750,798500,799000,799000,799000,799000,799000,799000,849000,849000,850000,849900,866000,889000,895000,899000,899000,925000,917000,919500,936500,941399,939700,929000,939700,929200,920000,925000,949000,949000,939000,959000,959000,969000,998000,996500,998000,995000,975000,979000,989000,998000,1048225,1014990,1049999,1079000,1099000,1099000,1075000,1069000,1075000,1085000,1088888,1081348.5,1078950,1099000,1150098,1149000,1150000,1149000,1150000,1125000,1189000,1199000,1198000,1200000,1210745,1225000,1250000,1239450,1250000,1256750,1249000,1279900,1275000,1200000,1229950,1255900,1260000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,399000,395000,390000,389000,385000,379999.5,379000,375000,375000,373000,374900,371245,375000,375000,375000,379000,379000,379000,378000,375000,369900,375000,375000,379950,385000,389000,392000,399000,397600,399000,399000,399000,399500,399900,399900,399990,4e+05,409000,415000,415000,419900,419900,420000,425000,425000,425000,429000,430000,425000,427450,429000,439000,440000,449000,455000,450000,450000,449974.5,450000,460000,465000,472925,475000,480000,475000,485000,479900,479900,480000,489900,490000,490000,499000,509000,519401,525000,525000,525000,524900,515000,525000,534900,529900,539000,533000,545000,549900,559000,551925,550000,549000,549000,548250,545000,542000,549000,550000,550000,550000,560000,565000,550000,550000,550000,554079,559000
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,1079000,1099944,1090000,1068000,1075000,1075000,1069000,1080000,1090000,1090000,1098000,1089000,1047000,999000,998944,985000,988650,995000,995000,998000,989499.5,982500,985000,999850,1e+06,1049000,1029888,1050000,1099499.5,1060000,1099888,1099000,1146500,1180000,1198000,1212500,1250000,1220000,1200000,1249500,1272500,1296500,1328000,1300000,1350000,1350000,1375000,1363944,1399500,1395000,1349457.5,1386500,1395000,1398000,1438000,1399000,1440000,1449950,1479900,1466499.5,1599888,1550000,1584500,1588000,1522000,1550000,1598400,1671500,1599974.5,1598000,1664000,1695000,1796500,1699000,1688000,1650000,1650000,1659443.5,1600000,1599444,1649425,1668000,1686944,1748900,1769000,1749000,1798000,1769000,1699999.5,1750000,1699000,1747450,1799950,1899000,1949000,1949000,1997000,1999000,1999444,2181500,2e+06,2e+06,2095000,2069400,1998888,2100000
"Austin","TX","Austin-Round Rock","Travis County",12,399450,399000,399000,399000,399900,4e+05,399900,399900,399000,398000,397000,391995,390000,394990,398000,399900,399900,399900,399627.5,399000,412224,409900,405350,405000,415000,415000,419900,425000,426988,438000,430000,429975,429700,428625,435000,429900,429000,430000,444900,449900,449000,444500,449000,449900,449694,450000,448850,449000,439000,443445,452800,459797,459154.5,459404.5,450000,450000,461000,464900,465000,479000,495000,490210.5,499900,5e+05,5e+05,499990,499000,498250,489900,495000,495000,482651,493000,520000,525000,534900,540000,549000,549900,549900,549999,549000,550000,549900,549000,549900,550000,565000,569000,561990,565000,559000,554900,559000,556632.5,558883,559000,564044,572460,579900,575450,577000,575000,575000,594450,589900
"Jacksonville","FL","Jacksonville","Duval County",13,325490,325000,321750,324900,319900,315000,312000,309900,309900,3e+05,3e+05,299000,295000,294900,295000,299000,299000,289000,287945,284000,285000,284900,284990,279999,279999,279900,280000,280000,280000,279900,274900,269900,277450,275000,277445,279000,279500,279000,275000,274900,274900,275000,280000,277000,277990,274973,279900,283503.5,288020,290000,289000,295000,292900,294765,298945,299000,295000,299000,292500,3e+05,3e+05,309240,310000,316495,314990,315000,319900,318945,319000,327975,329525,330000,334500,349900,350000,350000,355950,350000,352490,350000,349900,350000,349900,350000,365000,375350,374900,374285,374900,375000,368000,369000,379990,375000,364900,369000,367995,369900,369900,379000,376680,379000,379850,380000,379990,379900
"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",14,949000,995000,998000,1027000,999000,1049000,1039000,1025000,1025000,999000,999000,995000,990000,950000,950000,950000,949000,949000,949000,925625,949000,950000,950000,979500,995000,999000,999975,1049000,1050000,1099000,1095000,1059000,1068000,1149000,1195000,1192000,1198000,1195000,1200000,1249000,1299000,1249500,1295000,1299000,1300000,1350000,1390000,1388000,1323000,1299000,1375000,1450000,1495000,1499000,1488000,1395000,1425000,1475000,1495000,1550000,1499000,1500000,1500000,1600000,1609000,1625000,1595000,1595000,1588400,1630000,1695000,1695000,1699000,1695000,1749000,1698000,1750000,1700000,1698000,1698000,1698000,1738000,1750000,1795000,1748000,1750000,1795000,1888888,1799500,1795000,1750000,1750000,1795000,1799000,1895000,1955000,1995000,1895000,1895000,1898000,1899000,1995000,1995000,1988444,1995000,1995000
"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",15,245000,242500,239900,239900,244900,245000,249900,249900,250000,249900,249900,245000,245000,247945,245000,244900,240000,239900,240987.5,249850,239900,235000,239900,239900,240000,240000,244500,249900,249900,249500,245900,240000,245000,244900,240000,239950,239995,239900,239000,239000,239900,240000,244900,244900,249900,249900,250000,253500,250000,249900,247200,249900,250000,259900,264900,263995,269000,267000,267312.5,268145,269900,269000,269692.5,275000,274500,274900,275000,275000,276900,279900,279900,279700,279900,278887.5,279450,285950,289500,289500,298000,299000,299900,299900,3e+05,309000,318000,319900,3e+05,315000,314900,315000,310000,3e+05,3e+05,299999,310000,309000,3e+05,313500,316000,325000,325000,325000,320000,320000,325000,325000
"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",16,349500,349420,349000,349000,345450,340000,339900,339900,334700,329000,329900,325000,325000,324900,319000,324900,324900,324900,319900,314417,324949.5,318750,315000,314500,318000,325000,329000,339000,339000,337999,331000,329900,329900,330000,330000,329900,339000,347750,349900,359000,354796,350000,349950,349900,340000,345594,349900,350000,349999,350000,350000,367000,355000,357995,360000,369900,370000,374900,366997.5,369000,375000,369900,374994.5,389000,389900,389000,387900,384957.5,395000,394970,399000,395700,395370,399900,404900,406999.5,414900,410000,405000,4e+05,405000,4e+05,399900,4e+05,410000,419000,425040,430000,425000,425000,425000,420838.5,425000,432900,435000,428672.5,436878,449900,450000,455500,457000,459900,450010,450005,450010,450000
