"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,267.452229299363,261.397620533213,267.361111111111,267.507645259939,266.945933293939,264.878389997059,262.77038835822,262.318526238637,258.359482331802,254.933620264468,252.985829959514,246.734896433399,243.887530562347,244.349419670128,244.688072344322,243,244.138013271758,244.736614126394,243.7961178244,242.1875,238.692098092643,235.5463728191,232.212666145426,228.6926332224,227.588621655559,227.876100199445,229.885057471264,231.412639405204,234.375,240.518038852914,243.303571428571,244.385072655218,245.618693574084,246.263807667316,248.82369222253,249.604792676248,255.063765941485,260.17655955831,272.661870503597,286.236335149379,294.049912294481,301.836425732203,306.759348034516,308.310991957105,309.065934065934,307.755872359215,307.648401826484,306.132075471698,305.457746478873,308.166828570613,310.986691327849,318.330989217065,324.572375517538,327.858081471748,330.020723834311,329.811541480926,330.790796925823,330.318315407901,331.203532875368,325.25375449718,322.068202764977,329.620230083248,335.177239661711,342.307692307692,350.721514088942,351.818723911747,354.002776492365,356.264127764128,356.902613025424,359.247135842881,357.213930348259,357.18830717237,358.908915164037,365.509114987798,370.857142857143,374.927169096379,377.567140600316,382.764654418198,384.301732925586,384.261761761762,384.469696969697,384.725196288365,383.727322704783,381.718061674009,384.614445970696,386.735252986421,394.557823129252,401.149425287356,404.734065259732,404.471654072343,404.161855273287,404.093292224362,404.101326899879,405.991800809773,407.421420256112,405.689405414077,406.793048973144,414.281176006314,416.5770609319,420.914037712845,423.610769332823,426.949341518262,427.025841092503,426.513149907744,426.682029726062,428.53869047619
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,188.425250067586,190.127009646302,190.310013262599,189.79721166033,188.519999404101,187.4375,182.228705090038,180.050109614782,173.315892740353,174.583590376311,171.713695801789,164.134208840487,159.938461538462,158.045977011494,158.126651339562,157.711568047154,158.267370272647,157.722766547165,154.935039751794,151.892497404419,150.413687394598,146.992654493547,142.19512195122,138.282387190684,137.2234935164,137.464285714286,137.81163434903,139.161805841664,138.815789473684,138.796296296296,134.071870245865,132.167832167832,130.010943123949,127.83332902258,127.715600275198,125,124.198733911903,127.644667623147,132.236235004614,136.862745098039,140.922137903895,143.534482758621,142.303969022265,141.030653820231,142.484971098266,140.41514041514,138.004246284501,133.791308249437,131.951955443352,138.75,146.396396396396,152.003286314923,156.956819739548,158.981036241766,159.0625,157.894210526316,156.145833333333,154.103694197105,151.041666666667,147.425897035881,143.284193284193,147.219949081651,155.629288700179,158.269484674504,162.954684432954,164.759963764205,164.03162055336,162.534435261708,161.989795918367,161.414897177165,158.9,154.979129397734,154.214876033058,160.269709543568,168.241700307711,173.155737704918,176.263132808188,176.953907815631,174.20604182804,171.070891136716,170.630081300813,169.796244506592,167.312775330396,163.210099188458,163.15466931268,170.163539851696,176.445526475959,180.630809365135,183.315497692743,184.647852322135,183.333333333333,181.039566568864,180.51371110838,180,177.919177839216,174.358939953036,174.576042008982,181.885221684699,190.625,195.913216374269,197.032811927232,197.527360550519,197.010869565217,195.923872246299,195.771386416992,195.187165775401
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,75.4716981132076,76.271186440678,76.4940239043825,76.7579256220033,76.6359918200409,76.2327404526167,75.0312891113892,74.8948464390515,75.5778621812263,75.0060112580624,75.3962264150943,74.5513115508514,73.9879911566041,73.9584905660377,74.1954270728216,73.8916256157635,74.2903703703704,74.3987364292467,73.8795518207283,73.6363636363636,72.6868821810191,73.1702329293232,72.7532038032245,72.9942100909843,73.0377154578562,73.0447610591364,73.9839193886638,74.8027237354086,75.334263191391,75.7270227322016,75.4655188613449,75.4614022729642,75.5371937507397,75.0517598343685,75.6069294773884,76.2840073323944,76.625099692353,78.8947368421053,79.9859550561798,80.9621054505923,81.7298458712829,82.457161974013,82.6766563681802,83.2105323126026,83.8509316770186,85.6106041866001,85.2188743604321,85.6685982007293,86.6894264230674,89.2905587253741,90.6114066523449,92.4316348053165,93.3144724161048,93.3889259506338,93.9549785459077,95.2341597796143,96.3817243920413,97.1299065420561,98.979897989799,101.162540419866,103.902538419349,105.136138613861,105.945087361017,108.294930875576,105.885122410546,103.944392971011,106.506135679555,107.11353431687,108.058759261221,109.494525547445,109.35192780968,111.109373000572,112.178408011741,109.848484848485,111.087808446254,111.204766233028,111.301369863014,111.519903498191,110.886075949367,111.400452131486,111.049709148599,111.195124058686,111.292246520875,111.852246434816,112.511354251832,113.331246086412,113.525786571521,114.114724705982,113.924050632911,113.492707062282,112.714869052038,112.973296816159,113.985594237695,114.37125748503,114.809186085782,115.698924731183,116.323412728243,116.991643454039,118.230358504958,118.536607576493,118.605958403598,118.279569892473,117.647058823529,117.461430575035,118.100890207715,118.094631782946
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,99.2644354542111,97.6546794436084,96.6488586692569,95.264017419706,93.071354705274,91.8069648357047,89.499237509494,87.7517124433225,86.5800865800866,85.0080809813526,83.5073068893528,81.7231302625062,80.3996194100856,80.091533180778,79.6437659033079,78.307210031348,78.5790934320074,78.485860710586,78.4283317067828,79.5870206489676,80.0359948631096,81.5018315018315,82.5253630304392,82.7160493827161,85.1063829787234,86.9470699432892,90.1178572330379,93.9588956345765,95.8852867830424,97.4448349820218,98.4167736414206,99.9250374812594,101.289134438306,103.356553392462,105.689494635146,107.075695930194,109.353233830846,111.875945537065,114.340212514071,117.018083685523,119.438669438669,120.499569336779,121.038409082317,120.449911485067,121.138211382114,122.563939449834,122.80701754386,122.950819672131,124.603534209334,125.546230440967,126.245828698554,127.081016997354,126.719768283852,126.711101640894,126.008303677343,125.9765625,126.263157894737,127.620783956244,128.328588024969,128.996549127943,130.648535564854,131.463275221492,132.995373939861,134.838367053261,135.326300755995,135.022356057689,133.108108108108,134.702139965298,135.762788592123,137.486566924415,138.888888888889,139.726950952301,140.870667213074,143.495531281033,143.922007764836,144.578313253012,145.598610191926,145.044762569063,144.305956441879,144.171779141104,144.970986460348,145.961459614596,146.792452830189,147.093451066961,148.612945838838,150.053552873159,150.581793292266,151.726571435524,151.717263551562,151.222618243374,150.401069518717,150.938477580813,152.482269503546,154.470198675497,155.18109540636,156.311787072243,157.740585774059,159.139150943396,160.097804773064,161.713443835972,161.996059544658,161.525974025974,161.174140104448,161.290322580645,161.867691776227,162.873399715505
"San Diego County","CA","San Diego-Carlsbad","06","073",5,246.723734028379,249.533996942534,250.962512591981,251.279901771832,250.836120401338,247.730490416009,246.530962788445,246.09843937575,240.890543046503,236.501420903063,234.577022534171,230.515916575192,227.841501564129,226.210526315789,224.062414245952,224.988521579431,226.364335126826,225.303951367781,223.835322718641,217.838604156668,213.651050080775,211.421319796954,210.282574568289,209.182867005814,208.115942028986,207.57071547421,208.823529411765,209.963756221192,214.299807815503,216.659282233053,219.512195121951,220.866638620109,218.778855586316,221.238938053097,221.774558623812,224.379922909335,228.921865590969,237.27746175256,245.604611690677,253.968253968254,262.465373961219,272.779617100907,277.220077220077,278.309332679445,280.096308186196,277.503765362549,274.161735700197,274.590163934426,278.050448866393,282.600310798573,287.163375224417,290.753169276659,295.226130653266,296.716626638931,296.580600139567,296.867104598282,295.372017925399,293.103448275862,293.077501881114,290.47619047619,290.978311485609,294.828946627567,300,303.064111498258,308.94519131334,303.565915973304,315.555555555556,316.496311287053,317.854849068722,316.195915617925,316.51173085436,318.373253787767,319.592603876992,322.387344199425,325.42113323124,326.700898587933,328.545780969479,329.817158931083,332.129963898917,331.378964990746,331.852948433259,332.210526315789,330.160135943588,331.159679585238,334.147386461011,335.09398144654,339.185852173613,342.583955223881,346.337579617834,346.584546472564,347.581552305962,347.863993025283,348.326446446797,348.743937907712,348.777877339705,349.540078843627,353.342757832872,356.960408684547,360.315893385982,362.426035502959,375,376.892796016736,375.80529706514,377.468182299343,377.456931277659,372.885303759503
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,299.904421148587,296.433831522155,296.666666666667,298.16265060241,297.588359350363,295.87567244471,293.378873631471,294.117647058824,287.773933102653,284.457478005865,283.870571883437,278.614457831325,276.056307657691,273.950131233596,273.460848774656,273.256736191142,272.489734975737,272.076376004947,270.477312905127,268.903500033207,266.152934202727,263.224180302689,259.937696625748,257.061224489796,256.653992395437,257.586699241188,259.983059051307,261.922758310553,266.227180527383,269.164810503341,273.009950248756,275.125099830288,276.160193074264,277.777777777778,280.659898477157,283.152627189324,290.322580645161,298.61963352447,309.646017699115,318.23531824147,327.485380116959,334.975309586417,339.002267573696,341.819854550123,343.953656770456,343.288534157226,343.814987862944,343.605126806654,345.581802274716,348.369053047576,349.556310589586,352.743561030235,354.545454545455,356.585977074077,356.358140466742,355.887331949387,358.272506082725,357.317670093001,357.808535308431,357.289811637638,357.406042741341,360.823696797239,361.937916909236,364.914841849148,367.678958785249,370.171673819742,372.121212121212,374.228348816302,374.96875,375.268048606147,374.172123479888,377.246992295896,379.373012267151,382.432432432432,384.615384615385,386.930388716648,389.252336448598,391.975308641975,391.775391918065,391.601392515231,392.200147167035,392.941176470588,394.755244755245,395.795182650955,398.876510772465,400.903161063723,404.388984509466,406.641747685074,409.180327868852,409.304919529398,411.273486430063,412.423625254582,413.908533710514,414.147521160822,415.799432355724,417.385501680269,422.25411437664,425.985090521832,426.152815671723,429.328200037449,432.904765327193,435.840707964602,434.695725624177,433.461808689294,433.96636231005,433.69169849882
"Kings County","NY","New York-Newark-Jersey City","36","047",7,415.406427221172,414.027149321267,400,397.058823529412,402.097902097902,402.073732718894,398.75,391.489361702128,408.987179487179,412.279272015205,409.761275956709,411.556603773585,409.531362653208,394.154818325434,403.846153846154,400.547445255474,403.935185185185,398.252184769039,392.857142857143,389.177489177489,398,400.053418803419,400.550716812954,400.400619562444,398.482490272374,401.639344262295,404.954954954955,427.306389639531,437.123952492916,426.816239316239,424.106371490281,417.317886384739,411.904761904762,406.976744186047,401.981747444598,388.585317460317,383.792405851229,380.34188034188,389.14609800363,393.476983548099,396.820010055304,400.784248726359,391.339869281046,390.068359375,405.263157894737,402.55376344086,420.32967032967,403.728778096605,402.785236901778,392.50700280112,398.666666666667,405,434.029595695172,448.879331993973,449.21875,449.593149146451,450,471.681996855346,468.125,471.681996855346,522.727272727273,517.924528301887,532.4298160697,550,579.156197607886,577.731922288007,579.189137777686,575.21494067687,599.957118353345,607.323964068386,606.640832008479,610.307080596834,660.357142857143,676.328502415459,655.296229802513,703.971119133574,668.402777777778,677.265385686438,666.772621318076,681.042780748663,703.739247885121,713.040031708284,713.859444028495,722.222222222222,718.181818181818,729.166666666667,745.522388059701,752.155172413793,783.000643915003,795.37037037037,780.864197530864,767.108167770419,753.138075313808,754.755275774714,767.045454545455,754.310344827586,757.172345317726,706.133209550334,638.888888888889,684.895833333333,723.143683702989,714.939896966228,714.038657913932,707.48987854251,714.113455436561,713.171446772915
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.609375,157.477699008554,163.481104651163,168.067226890756,171.357142857143,170.731707317073,170.132325141777,174.781495813799,181.658986175115,164.890783164624,163.684210526316,168.694241686942,181.979359370128,182.680430296112,189.374013677012,192.618998143371,190.617342250357,193.556371766209,191.163976210705,193.880597014925,191.217391304348,191.281138790036,194.936708860759,197.860750100234,219.634990560101,222.528327114428,222.645006016847,223.083351473344,223.774537296691,227.317544523908,208.443465491924,209.592338464438,228.413654618474,230.322580645161,234.284598650081,234.098939929329,251.030195381883,255.474452554745,271.616141247115,275.909661229611,269.007516266547,275.066632296148,278.953488372093,278.089887640449,277.777777777778,271.620343316214,276.395332894593,280.079686010179,282.667743867616,285.944577979107,287.009063444109,289.014004460536,288.126801152738,287.81838316722,290.68918193615,292.303249624562,290.900090009001,284.991467576792,288,284.665141717116,291.316848066847,295.625546806649,295.62828475872,295.100222717149,296.410256410256,296.747127285254,297.333437516279,294.628751974724,294.016560486166,291.977914907437,294.578313253012,295.024527950311
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,84.6536347325323,85.0268240343348,87.5664298353233,88.8450148075025,88.3938305269076,87.7649909145972,87.4635568513119,85.6724659606657,84.4907407407407,84.4031531531532,83.6409301412841,81.0714285714286,78.9196629093889,79.2806077632577,79.8440671545785,80.4261363636364,81.7612243651811,81.2542772250833,80.4775001942988,79.2253521126761,78.2122905027933,78.8473839593242,77.7763256336319,77.0068376068376,76.3685601534129,78.4139150943396,79.4154014693258,80.322368662355,83.1689895540947,83.1702860470812,81.6829637377021,80.4597701149425,80.2944325481799,81.2226621910533,82.0755142580997,82.0493939917179,81.3372093023256,82.6742824718211,87.6538604998135,90.2372836482775,91.792656587473,91.6069518716578,91.4950419527079,91.3714285714286,91.9305413687436,91.7097208509432,91.5848740069721,90.8368042408179,90.4054075408489,91.5310463865006,95.873320537428,98.3050847457627,101.570680628272,97.3122412557351,98.1671218648436,102.313624678663,99.6796556463655,100.312405492492,100.694444444444,102.311756935271,103.780864197531,105.937868531912,111.056237485433,113.48897535668,112.838705450734,112.596483613742,110.551075268817,110.691847419596,112.15438761145,113.839285714286,114.270015946722,114.593646757199,115.084619620272,117.269828510182,123.478130212702,127.60357497151,129.694493617144,130.102040816327,129.722502099076,128.510564793556,130.599366359447,132.254901960784,132.917002417405,133.420142704822,134.625062908908,136.470491803279,139.206256827383,145.237077760145,148.239654107474,147.20314033366,145.278450363196,143.975036005761,144.472789115646,145.406477197621,145.837837837838,145.160153754704,145.749151659016,149.834354344463,152.821159275006,155.523255813953,157.758666613395,156.736857401162,155.320555188367,152.108916177256,154.096308920258,153.854277888677
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,334.386852085967,327.312748015873,323.863636363636,328.865979381443,326.831113801453,321.06182235196,321.428571428571,308.053691275168,312.411879415228,308.856209150327,308.24,307.855185185185,305.598066365447,304.145189003436,301.510574018127,297.777777777778,288.16199376947,285.807291666667,284.090909090909,283.613445378151,290.833333333333,300,305.924240723926,300.76224088868,299.71807755325,296.731135326924,293.75,292.467948717949,291.15301995566,291.5625,291.62,293.814953810624,300.314465408805,302.898550724638,307.5,312.432432432432,316.463142218913,319,324.698795180723,318.965517241379,319.300088456435,315.556595131122,314.715400723396,312.449799196787,321.924144310823,328.946546052632,337.572393822394,347.62491644385,346.795187951027,347.29982718894,347.683758802817,350,346.854304635762,345.333333333333,350,350.629496402878,354.134956874683,349.23339011925,361.428571428571,376,379.96062992126,390.863751131771,397.814611486486,397.108957219251,398.754867282941,400.133422281521,413.214285714286,419.066256639642,425.02129471891,432.744897959184,439.705882352941,444.020356234097,448.75,455.005055611729,456.861437908497,462.962962962963,458.406113537118,456.862745098039,445.933333333333,452.727272727273,463.682432432432,479.20567829839,495.74045048183,501.798012214396,499.645876718034,498.779761904762,496.601092535441,498.74686716792,499.166666666667,495.614035087719,499.643640350877,468.59806763285,430.244252873563,447.904469164715,493.604651162791,504.240831126971,507.373020207537,506.628787878788,508.844444444444,508.017857142857
