"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,413.01703163017,407.874015748031,426.315789473684,425.106276569142,424.131257756766,422.806455284353,416.507747318236,413.74269005848,412.43654822335,410.524102909085,410.386657799696,408.112244897959,404.781199351702,409.068746952706,406.204617569202,401.970954356846,403.166775268369,401.018459579885,400,398.02065404475,397.107395318095,394.598155467721,392.128458160731,389.941176082914,387.211538461538,387.137514970823,387.258914183139,391.554054054054,392.233856893543,395.138496325608,397.111913357401,398.469875677399,398.121798520205,402.51572327044,402.322404371585,401.30764721209,410.683077912978,413.207982215789,423.005662843449,434.044088024824,441.550575408843,447.182757689017,447.169811320755,443.813088829071,446.081577438583,448.208593069729,450.161493179533,450.901916572717,458.387942332896,464.367816091954,475.450901803607,477.00047325595,479.848053223346,483.114909090423,481.672025723473,476.326473424915,482.269503546099,485.436893203883,486.10198456595,483.409436834094,484.604091153038,495.045045045045,502.51572327044,516.85393258427,520.849420849421,521.450994070457,520.21698506261,521.270396270396,526.722925457103,531.639004149378,536.681958305955,535.061654603781,541.204735289219,552.189930413426,548.259799962567,549.905838041431,552.47225025227,557.799742157284,556.329113924051,554.589707927677,558.935618484064,566.983122362869,572.393052294324,575.027382256298,580.119437654931,586.295627150183,592.729970326409,597.488038277512,599.667124416369,603.555052858482,603.502759769846,597.956131605184,602.83480049756,608.80829015544,612.389979688558,614.398974529783,619.14708575027,624.523339907955,630.606860158311,631.642039255071,629.934210526316,630.725863284003,632.84717818643,630.837795244414,633.844144895795,639.510377098816
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,258.333333333333,257.377049180328,255.278310940499,253.846153846154,250,250.837677634432,249.246663796814,247.766193847136,243.394148720032,243.111426256078,242.62718144149,240.339491030099,239.903335163167,236.315789473684,232.85140562249,231.132075471698,229.040319428157,227.091959420042,225.118483412322,223.3,221.418444504456,218.092891760905,215.510812826249,216.630552546045,216.938405797101,216.222062004326,214.802293173209,216.624120082816,216.6,216.404673393521,209.95,208.270202020202,207.668711656442,208.253961054669,208.305555555556,207.701787648971,209.842602308499,214.04193076548,217.291301916156,219.385647909138,221.872671488056,223.468543046358,224.608539140514,224.150815217391,228.417911653533,226.852657546535,227.406103286385,228.635488166384,228.503393665158,234.148550724638,236.698080323743,239.224470018171,237.690922443197,238.690695108496,237.146843390303,234.504901960784,235.349330156135,234.036326762969,233.569936735177,231.084311169057,231.822134387352,235.953733129233,238.715277777778,240.194805194805,241.832029977191,243.818269594056,244.767784020952,242.123687281214,242.424242424242,241.903225806452,242.452947160485,242.784912862964,243.606836859591,250,250.453858829992,250.983477576711,252.349460494257,253.329473074696,252.838009778988,250.92624956309,253.682072117826,255.26511759695,256.328594277775,257.697044334975,260.921798986181,263.173671589045,262.578222778473,261.459050240881,262.451852065544,262.016685205784,261.113532887726,257.482117310443,257.328990228013,257.440476190476,259.204840103716,260.668789808917,265.680473372781,266.5,274.342572850036,277.306682673529,275.793103448276,275.22421975547,274.396464412605,273.787251122972,273.951650981797,273.611111111111
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,124.962828390455,125.347782128273,125.179701267208,124.483452510278,124.220623501199,122.804076759745,124.077072413124,122.829647829648,116.533139111435,115.981380915438,115.579647396357,113.897742349894,111.809824462061,112.124571402094,112.701886792453,114.31905961377,113.818960899839,110.132158590308,109.23426616049,108.872278193045,115.841297422531,118.208694960613,114.841034746985,115.369254663686,115.213547300468,114.726598925792,116.391804097951,117.016163936005,116.714068584776,116.115444801535,115.699944227552,115.773224810553,117.370892018779,118.029620920766,117.302443319729,116.487455197133,118.766257287456,117.430498835089,118.793141576417,119.887730553328,119.771842501925,121.951219512195,123.008434864105,124.637305699482,126.534705007758,124.854368932039,130.750813922703,129.12,130.67167493598,132.459970887918,128.309020541828,136.26122820131,135,135.3799098519,135.787467238504,136.283185840708,140.247629467542,142.828254229793,142.596683202525,146.510509607267,148.616418966737,152.191914271797,152.640668523677,155.565043667094,153.571428571429,154.832162373146,153.119633657699,152.694668794088,154.012959422137,154.012959422137,155.132667512059,157.208588957055,153.951419774205,164.158450095139,163.658718595575,163.710706041492,163.503837830527,163.169284946298,161.620294599018,162.548034289093,161.007025761124,160.79475624744,162.043440983138,160.150730098917,162.728042762182,162.703435804702,162.911611785095,161.966558522585,160.267857142857,158.909853249476,158.061116965227,157.42574565553,160.25641025641,160.234336248926,160.728467025821,160.859180855959,160.414937759336,161.966558522585,164.127603669536,167.769691889225,164.462809917355,163.37746831939,164.203176864554,165.973377703827,168.196838928663,168.707496520183
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,162.770050310743,160.270541082164,158.784949948222,157.967032967033,156.404349029992,154.454022988506,152.063026674975,148.582226560048,146.634038018176,144.430992736077,143.767625493514,143.139351146462,142.899408284024,143.949843260188,142.624286878566,140.63643170507,138.708865929378,134.952766531714,133.305988515176,131.99593702387,134.110787172012,134.032754440595,133.850124346813,135.212330551214,137.646249139711,140.986214209968,142.902131782946,143.050052843199,143.43112244898,144.209630748745,142.465753424658,142.854808590103,145.89756097561,148.364429826294,150.744943262764,151.365484255479,153.987615552085,155.973747680669,158.750431480842,159.33541892878,160.556603119945,159.090909090909,159.111404632943,159.098143236074,162.184872018998,163.231184110015,165.430954587581,166.849015317287,169.285816927985,169.896568699598,167.845772904139,166.863439590712,164.576802507837,163.98388752803,163.058445997175,161.904024631172,162.189597315436,164.609053497942,167.071781238131,169.060635755669,172.568726294879,174.256505576208,174.478099819554,173.755907700862,170.793766011956,170.799977468519,169.568211839955,168.294051627385,170.553175504639,173.724904437542,175.713030379111,178.201409034397,179.766673759087,184.188911704312,184.042492779326,182.943687741411,183.823529411765,181.72504957039,181.959437230219,181.463146314631,182.926531390375,186.262733634511,189.157261550566,191.184515381645,193.00056508944,193.499602530726,192.477717006207,192.266475934261,191.441441441441,190.55481406253,187.997878190186,188.286544046467,190.589839754518,194.815480190348,196.868125539879,199.128703012198,201.268742791234,200.978678783642,202.428435443003,201.831750339213,201.061452513966,199.809705042816,198.51083032491,198.436281359084,201.016635859519,203.775203775204
"San Diego County","CA","San Diego-Carlsbad","06","073",5,370.201277767067,367.480136208854,360.050093926111,356.878432011833,359.527941238249,355.281207133059,352.715178470094,347.826086956522,346.502936465563,342.270635994587,341.849770056208,338.370565045992,335.422633761002,334.862385321101,334.243995893812,328.441262785378,324.470704086657,322.510977033661,319.991568296796,313.300498076971,313.090909090909,305.979284369115,304.956776500353,308.755958545691,309.482545184452,306.898734177215,309.379528753857,312.628371396639,321.935483870968,323.492462311558,324.833029751063,331.662137831311,336.752136752137,334.677432619624,337.837837837838,349.848538201781,348.855258051998,349.4453710337,352.540669004506,362.152357920193,358.484124274496,365.447829727467,374.251497005988,372.805379155771,370.827151335312,368.553928438852,368.397414635908,374.528757854036,371.944739638682,372.596153846154,372.930506607108,377.901109989909,390.82851622632,380.838637589501,368.832478005865,370.37037037037,372.785997082726,374.064171122995,376.675403125062,375.527426160338,374.678663239075,377.668393782383,379.661016949153,372.378468988638,374.932028276237,377.784625723399,376.786735277301,380.199179847686,387.320574162679,385.760257441673,386.129334582943,390.513347022587,393.984220907298,401.596993893847,401.05352306703,399.878417831978,398.138916583583,398.492717379075,397.254876580373,397.627491951108,399.535796766744,400.763358778626,406.407458761823,416.211053882373,416.291854072964,421.592279855247,418.727230572926,423.645336645697,422.618547521028,426.919385796545,429.71625001049,435.663627152989,439.202049780381,441.537309885932,442.749611801683,451.312910284464,453.586497890295,456.963589380256,456.043956043956,454.38859593616,465.227195687581,462.064575433213,459.945504087193,465.988264784552,478.163850812879,477.804359383307
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,367.341759294036,365.779002142638,362.631578947368,363.795110593714,362.287023931492,357.103825136612,355.100191651053,351.136363636364,350,345.628053439639,345.211134495967,343.645637377162,342.142857142857,340.588914549654,337.716003005259,333.872662218809,332.943341121495,331.938618927372,331.989617510614,331.334743382235,332.412060301508,333.738601823708,333.558379666402,334.008018974917,334.787770059877,334.709332945898,329.920739762219,331.305309734513,336.235694231742,336.300309597523,338.189052326983,339.009294753793,344.532017038646,346.53164715023,349.568336313168,352.855759922556,360.755975541968,367.431718206607,372.227157137075,379.035093265887,383.000723555789,382.677949228472,385.761589403974,386.363636363636,388.763740451551,387.156393789649,392.198431206275,393.427933285435,393.696023588415,394.70102856488,400.118553645525,402.959927140255,402.197654204985,400.384985563041,399.67049031393,400.824553366926,403.012303775986,404.166666666667,403.531035711105,409.42347088089,406.610874312308,412.359292441994,410.452143276571,411.297091900283,410.760309278351,412.187628865979,416.722833155965,422.341149998951,422.718741065411,423.597678916828,427.730192719486,430.358762623183,434.034123875834,437.61664984191,435.653560042508,435.487055574732,435.507490445281,437.300319488818,435.918039373242,436.423488621574,438.894592886474,442.413540763943,447.26368159204,454.153686513546,460.073251111922,455.380862022228,455.380862022228,452.595051297526,454.108657516001,458.466563629607,464.885706416965,467.915174882952,467.568470273881,468.613236003691,474.763823226275,482.603092783505,486.92904337834,485.988386771017,484.780870492259,488.518636148731,489.599188229325,493.745885450955,493.17288137228,491.7584529002,497.159718318416,499.680735930736
"Kings County","NY","New York-Newark-Jersey City","36","047",7,368.452380952381,375.939097744361,372.320596458528,373.441396508728,375,376.712328767123,376.561201703365,372.792288557214,385.444992003168,392.206477732794,381.171320476764,384.023668639053,386.595744680851,377.222222222222,388.659074377159,381.916743970315,387.931034482759,379.746202531646,377.857142857143,370.888073158166,376.412891384543,385.803644553645,382.716049382716,372.844827586207,373.423423423423,370.348518522676,374.466651943463,395.94985158569,404.048582995951,399.051418439716,389.4408919495,378.185695838873,376.3197586727,377.030352748154,380.489417989418,370.633187772926,374.126122754491,376.506024096386,385.586194656373,388.06599607505,391.236363636364,394.84126984127,389.9652260308,390.13671875,401.459854014599,404.285714285714,412.873068432671,398.333333333333,400.711932324132,400.711932324132,406.852248394004,418.226600985222,440.349385376756,461.593094405594,464.186046511628,465.144346431435,470.684671186842,495.046531382213,495.044052863436,498.003954038287,534.821428571429,527.511467889908,537.246276285047,550.660792951542,572.62313860252,568.181818181818,565.476698096767,563.408907328536,586.712913553895,604.515827536793,608.552631578947,608.84070058382,640.113442389758,653.117982235629,641.367806505421,676.736111111111,650.268440709617,660.225442834138,647.154007233961,650.520833333333,671.875,680.967690220742,683.848797250859,690,679.214373356705,691.184162147256,698.4375,711.278865328566,734.126984126984,742.715700141443,729.977116704805,712.009426052148,704.166666666667,706.090026478376,708.40197693575,699.592461170848,702.863961813842,695.017730496454,678.447397546495,704.25324967554,714.0115,707.670209904782,701.54095701541,690.215399916248,695.121951219512,693.75
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,292.362333238717,292.450867017655,284.810126582278,282.490317308034,288.819875776398,285.81173260573,283.842794759825,284.121083377589,287.341772151899,287.014853857211,293.30985915493,291.139240506329,289.868651991768,306.896551724138,290.322580645161,287.878787878788,295.90303786933,293.248307264262,289.982425307557,288.773148148148,293.478260869565,294.520547945205,303.416557161629,307.899807321773,295.698924731183,284.090909090909,295.643693604161,313.059492353271,311.860940695297,307.881773399015,309.299050114641,303.775402361325,303.995367689635,300.111251173328,296.610169491525,302.226720647773,318.674698795181,328.523489932886,329,333.885353241746,325.995594713656,331.125,343.900758097864,327.185792349727,324.357284113382,330.22533022533,345.937248592116,345.598069646513,350.474226804124,355.625214887399,351.554795708516,357.575757575758,357.142857142857,355.377008652658,352.381431235602,356.312292358804,362.34902124115,367.206120559991,382.501515935533,385.844748858447,388.235294117647,389.312977099237,390.259696273741,396.551724137931,389.105666760944,386.200078075937,391.844724305457,396.637918379331,401.069518716578,398.122123245091,400.519586488728,404.649588216661,417.78525303775,423.368983957219,421.686746987952,419.545903257651,417.043517679057,416.856628674265,414.48275862069,408.938455369556,411.458333333333,414.835085210805,418.68932038835,423.599320882852,425.453540153621,431.149732620321,428.802588996764,428.418041517524,427.655677655678,426.557863501484,423.413104771267,421.686746987952,424.235669382426,421.348314606742,432.780847145488,437.384898710866,434.782608695652,434.865446971669,439.613526570048,435.356247762263,435.922330097087,435.608186403235,437.244600116754,437.017994858612,443.702290076336,444.88188976378
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,148.615079581566,148.308605341246,147.808242635179,147.935336090247,147.435897435897,145.480225988701,146.060113728676,143.955446889432,142.177777777778,139.593733734564,138.580150594938,137.127185464518,137.096774193548,139.434843533945,139.748549323017,141.743290188512,142.748382185002,137.380191693291,135.05867865894,133.563418549283,135.997732426304,138.286334056399,138.541099618944,139.13881748072,139.593363557913,139.318413021363,142.938570584761,145.151327980235,143.989622369559,141.973502569215,139.473795435334,138.693810179375,139.898121048281,140.283060586469,140.670982931136,141.974752028855,143.494156150914,144.701136834346,146.749656128644,150.772333207689,148.281596452328,146.768402154399,148.186889818689,150.458115183246,152.53360910031,153.228484324146,152.234812337779,149.889544182868,150.472598365034,152.971269461028,154.51174289246,158.383189843864,157.955539225113,156.675749318801,157.993966817496,160.173021467478,159.96,162.668331731245,162.065771190366,163.845401174168,166.995073891626,168.297645732587,174.077790255429,175.209205020921,174.052069471996,172.927234629119,172.874777421074,172.761521931364,174.872224940014,175.031962523781,176.314860571832,176.755989912769,177.183168388574,185.644661054497,186.953878884583,192.367294172748,193.704600484262,195.252183713722,195.549378678875,193.341409390066,195.753357170175,197.017845497125,198.825206062744,199.065096952909,202.23401199258,204.756980351603,209.071580439405,210.664335664336,212.416311625076,209.820298658567,207.659126610116,206.613541999361,209.578296096035,211.569986357667,213.487544483986,213.995928599276,215.388226708755,218.562711389397,221.232914177853,222.025661569238,220.122361047668,218.622272676535,217.182890855457,216.279069767442,219.103865938389,220.914597646722
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,376.635220125786,376.06458548409,374.675948675949,369.535978480161,373.399715504979,374.475548902196,374.664500683995,374.475548902196,372.589552238806,368.809730668983,372.170997485331,365.72265625,366.071428571429,364.763993316625,364.789446981228,364.322916666667,364.855962699273,363.335539377895,361.879176577189,362.723214285714,362.092323327079,365.777080062794,368.336704869897,369.922630560928,370.952380952381,373.572782963827,367.070769623561,365.079365079365,365.894974590627,367.94777265745,368.693815987934,369.753086419753,369.565217391304,369.479064039409,373.735309146653,374.583333333333,387.472,388.968263797964,386.363636363636,390.653989513622,392.778128950695,390.699695784442,391.971561649488,385.416666666667,388.181850892343,395.424836601307,400,411.574074074074,416.666666666667,424.375,425.393174490839,420.64606741573,426.923076923077,434.9899723306,429.396662387676,433.391203703704,441.075120606478,437.433155080214,440.340909090909,441.935483870968,456.049578604854,460.897435897436,465.51724137931,476.170499164578,480.202707276286,484.545454545455,491.995073891626,501.674107142857,505.631580361659,513.089005235602,517.380759902991,526.559883975131,529.378568583189,532.238442822384,531.862745098039,537.715517241379,533.825592646347,538.793103448276,542.753623188406,545,541.445993031359,545.572314686392,547.111111111111,559.006211180124,563.461538461538,571.766561514196,568.131385502178,570.36850753761,577.633461138007,573.770491803279,571.52683166818,572.719112126653,576.257213520198,582.437275985663,576.282051282051,590.277777777778,599,599.459020368574,595.565749235474,591.543878656555,590.45584045584,586.666666666667
