"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,399000,389000,398000,398000,399000,395950,393000,399000,382500,375000,370000,359000,350000,350000,350000,350000,350000,357500,355000,350000,349500,345000,339000,330000,329990,330000,338000,340000,349000,359000,366450,369500,372250,374900,377000,379900,389000,399000,425000,449000,460250,475888,485000,480000,487000,479000,474900,469000,459900,469000,475000,490000,499881,5e+05,510000,509250,515000,499999,509900,499000,494949.5,499500,519000,539000,560000,569000,569900,572000,574900,574950,569000,565000,568000,579400,589000,599000,599000,605000,599999,599800,599000,599999,6e+05,599000,599900,599900,615000,629000,639000,639000,639900,638800,634950,635000,630000,625000,629900,648000,649000,660000,668981,675000,659900,660000,665000,668000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,244900,249000,249000,249000,245000,245000,239000,237900,225000,229000,225000,214900,201760,201760,208000,210000,214900,210000,205000,199900,199000,190000,185000,179900,178000,179000,179900,184900,184900,180950,176600,175000,171000,169900,169900,165000,167500,175000,180000,190000,199900,207200,2e+05,199900,205000,199900,199000,189900,185000,199000,216000,225000,234900,238000,237000,230000,229500,224900,219900,214725,2e+05,215000,229450,233500,239900,239900,239000,235000,230000,229999,229000,224900,224900,235000,249000,255900,259900,259900,254000,249900,249900,249500,245000,237900,239000,250000,264900,269900,274900,276950,275000,269900,269900,269500,262900,254900,259000,274500,279900,289900,294000,294000,289900,287000,288000,285000
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,149900,152866,154691.5,154900,155000,155000,151000,150000,155000,154900,155000,153095,150000,150160,153997.5,154000,155000,155000,154900,153900,149900,150000,149900,149900,149900,149950,151995,154500,156900,158925,157900,158990,158000,155827,159900,162000,161948,169900,174500,177839,179523,179950,179990,181982,184900,189900,187500,188551.5,189990,199900,204990,214900,219000,218000,219000,223990,225000,227990,235000,244383,255000,260000,266990,275000,265000,255000,269900,270000,274900,277990,277068,283900,285000,274000,279900,279900,278000,279878,275000,275000,272000,269900,269900,269900,269000,269990,272990,275990,278500,275000,270000,270000,275000,275000,275000,278500,279990,283000,284999,284900,284999,281990,279900,275091.5,278495,275000
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,179900,176000,174900,169900,165000,159900,155000,152967,150000,149500,149000,144900,142989,140000,139999,139900,140000,142500,141990,145000,145000,149900,150000,151940,159900,164900,171000,179900,180000,184900,185000,188900,189700,195000,199900,200945,209000,216500,224900,229900,237000,239000,239900,235000,235000,236612,238600,239377,239990,241000,249000,249900,252958,255000,250000,250000,254000,255000,255000,257900,259500,260000,269000,275000,279000,278500,270000,279000,279500,279900,284000,284800,285000,288446.5,289000,290000,293000,294900,290000,289000,289500,289000,289000,289756,289900,294900,297500,299900,299999,299900,299900,297900,299000,299900,299900,299900,304750,309000,309900,312900,314000,310000,307990,305000,304999,307945
"San Diego County","CA","San Diego-Carlsbad","06","073",5,399000,399000,399500,399999,4e+05,399900,399900,402900,399000,389900,385000,374900,365250,358000,355000,365000,370000,374500,369900,359000,349900,349000,349000,349000,349000,344900,349000,349900,364250,370888,375000,377900,375000,379900,379000,380000,389900,399000,419900,430000,449000,450000,460000,460000,459900,458945,450000,455000,460000,469900,479000,491600,463900,489000,499000,499000,495000,489900,499000,489000,489000,495000,525000,539000,550000,529000,560000,560000,565000,569000,570000,579900,575000,575000,575000,580000,585950,589000,590000,585000,584938,580000,575000,575000,579000,579925,585000,598000,599900,599000,599000,599000,598000,595000,595000,590000,594900,599000,609900,619000,650000,650000,649500,648875,649000,635000
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,550000,529000,509900,519000,519000,520000,509500,525000,499000,489900,495000,470000,464700,459000,459900,465000,469000,469900,465000,460000,450000,449000,435000,425000,429000,430000,440000,450000,470000,480000,489900,499000,495000,498000,499900,5e+05,505000,535000,559000,574900,595250,599900,599999,599900,599900,599900,599999,599900,599000,599994,614950,625000,629900,639000,639000,639945,649000,645000,649000,639900,639000,649000,659945,674900,689000,698844,690000,689000,690000,695000,689000,695000,689900,698000,699000,7e+05,712000,719000,715800,715000,718000,720000,720000,724000,725000,735000,749000,759000,759990,753000,758000,750000,768000,758000,760000,765000,779000,789000,789990,799000,799000,799000,798000,785000,785000,777777
"Kings County","NY","New York-Newark-Jersey City","36","047",7,479000,479990,469000,469000,465000,469000,469000,479000,469000,469000,475000,470000,469000,449000,455000,450000,455000,449000,449000,449000,449000,449000,449000,449000,449000,449000,450000,465000,478888,465000,459000,450000,449000,440000,439000,435000,430000,439000,450000,459000,469000,470000,449000,449945,465000,469000,499000,499000,515000,499000,519000,525000,529000,538000,549000,549000,549000,595200,599500,599000,649000,639000,650000,656400,699000,699999,699000,699000,725000,729000,710000,719000,767250,787550,775000,799000,795000,791150.5,780000,795000,799000,825000,815000,825000,812000,829000,839000,835000,830745.5,830000,828000,808020,818944,815000,806000,799000,799000,764187.5,750000,780993.5,799000,799000,794000,775000,779000,779000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227100,235000,248326,250000,250000,254400,258945,259000,269900,249900,249000,254000,270000,270000,274900,278000,275000,279000,279500,280000,279000,280000,289000,289000,310000,315000,312000,315000,320000,320000,299000,299000,325000,329000,335000,339900,359000,365000,369000,369000,360000,375000,375900,375000,379000,377000,379900,379000,379520,379968.5,380000,380000,380000,380000,385000,389000,389000,385000,389000,385000,389900,393995,390000,390000,395000,395085.5,399000,398000,398000,395000,395500,395000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,159900,159900,164900,169000,168000,169000,165000,159900,159950,159900,159500,149900,146000,147900,149900,149900,154900,155000,154900,150000,149900,149900,149500,147500,144900,148990,149900,150000,159900,160000,158495,156990,154900,157900,159900,159990,159900,161490,175000,180000,185000,184900,180000,179655.5,179900,179900,179900,179900,179500,184000,190000,196700,209000,195500,199000,212000,199900,199900,2e+05,209900,214900,225000,236182.5,240000,243250,239900,229000,229900,236000,240000,245000,245000,244900,244500,265000,275000,279900,279900,275450,275000,279900,284900,280000,280000,282000,295000,297000,311445,319900,314900,307000,299900,299900,3e+05,299990,299900,299500,309900,310000,318000,325000,319900,314900,299900,3e+05,3e+05
"Queens County","NY","New York-Newark-Jersey City","36","081",10,410000,405000,375000,375000,379000,379000,369900,379000,389000,389000,385000,380000,379000,365000,369000,359000,359000,359000,349000,347000,339000,325000,325000,325000,325000,320000,309000,319000,309000,318000,325000,318000,309888,310000,315000,310000,305000,319000,299900,319000,325000,328000,335000,339000,349000,349000,349000,349000,349000,345000,359000,365000,365000,369900,375000,379000,379000,379000,389000,389000,391500,399000,399999,399000,410000,425000,429000,438000,439000,449000,440000,444000,459900,475000,475000,475000,479999.5,488944,489000,489000,489000,489000,486300,489000,495000,499000,499999,519000,539999,549990,549999,550000,558888,565000,568000,559000,559000,539999,528000,544443.5,579000,589000,598000,589000,598000,599000
"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",11,229900,234000,234000,234900,234900,231512.5,229000,229500,229900,229000,229900,225000,224900,219500,220000,220000,220000,219900,215000,215000,215000,219000,219000,219700,219900,219900,219900,222200,225000,225000,227790,230000,235000,241000,250000,259000,264900,269970,279000,285000,295000,299000,3e+05,305000,315000,315000,320000,324900,325000,327000,329000,331950,335716,335000,334790,334900,330000,329900,330000,335000,335000,339000,339900,342225,349000,349500,349000,348900,349900,350000,354178,355000,358994.5,359000,360000,365000,365900,369000,369900,367900,365000,368300,369000,370000,375000,375000,378000,379000,379990,384900,385000,384970,387900,389900,392495,395000,399000,399000,399000,4e+05,409900,410000,410000,409900,410000,409990
"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",12,174500,170000,174900,179000,179900,180000,179900,179900,179000,175000,172000,168888,165000,165000,168900,169876,170000,174900,174900,174900,172975,170900,168000,165000,164900,163000,165000,169900,172500,177800,179900,185000,184900,185000,185000,185000,185000,189900,199000,201150,210000,220000,229900,235000,240000,240000,235000,235000,239750,242250,249900,250000,259000,265000,265000,265000,265000,264900,265000,262500,269000,265000,269900,270000,275000,281490,284900,285000,285000,289000,289000,289000,289000,289900,295000,297802,299900,300800,309000,305000,299999,299900,299900,299900,299900,3e+05,309900,315000,319000,319000,319500,319000,320000,320000,320000,319900,320000,325000,330000,334900,339900,343800,345000,345000,345000,339900
"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",13,157899,159500,156900,154900,150000,149900,145000,142000,142000,139900,139000,131670,130000,130000,130000,129500,128900,127500,126990,129000,128000,126500,125900,125000,125000,126900,129900,130900,140000,145400,139788.5,135000,138000,139900,139900,145000,149000,149900,150000,155000,160000,165000,162050,175000,179900,180000,184500,180000,179999,181900,187825,189900,192777,195000,195000,202000,207495,207819,206000,208139.5,208650,210000,215000,219900,225000,224999,225000,227500,229900,229900,229900,229900,229900,225000,230000,235000,239900,243000,245000,248945,249900,249990,250000,250000,255232.5,259900,263616,269000,270000,275000,279999,280000,285000,285000,288888,289900,290000,294844,290920.5,296999.5,299000,299000,299990,309900,309000,305000
"King County","WA","Seattle-Tacoma-Bellevue","53","033",14,379950,377500,375000,375000,375000,375000,370000,369950,360000,359000,349992.5,345000,329000,324950,324900,319500,319950,319950,319995,319900,317500,3e+05,299577.5,289950,289000,299000,309900,329000,340010,349950,350000,350000,355000,350000,349950,339900,334950,349950,361990,379000,396125,399950,4e+05,399950,399950,399950,390000,379999,379000,383149,392440,399950,4e+05,425000,425000,424950,424900,411826.5,399950,395000,398950,4e+05,424970,440000,449950,450000,450000,450000,459000,459950,459950,459950,459900,469000,479975,499000,5e+05,514850,5e+05,499900,499999,507225,502450,499990,5e+05,525000,540000,549990,569950,575000,575000,559950,565000,590000,589950,580950,589995,6e+05,634900,639950,649700,649969,649000,635000,635000,632990
"Wayne County","MI","Detroit-Warren-Dearborn","26","163",15,64900,64901,65000,65000,62000,59900,59900,57000,57000,55900,54900,47900,44000,44865,40000,41000,45000,46000,45000,45900,44500,43000,41500,39900,39900,37500,39900,39900,40000,41800,39900,39900,39900,39999,40000,39900,39000,39900,40000,45000,49900,55000,54900,54000,50000,53000,54900,54900,50000,50000,52900,59900,65000,72500,74900,73000,69900,69900,64900,60000,62000,63900,69900,74900,74900,77000,79900,76700,75000,72900,69999.5,67800,65000,65900,69521,74800,79945,85100,89900,89900,85000,85000,84499,79900,79000,79900,85000,90000,105000,114900,110000,110000,109900,104900,94900,87500,88000,89000,103890,110000,119000,121165,124900,125000,120000,119900
"Tarrant County","TX","Dallas-Fort Worth-Arlington","48","439",16,152950,153950,155000,155950,159800,158000,156900,155000,157000,155000,155410,152000,149999,149900,150491.5,150000,154900,157000,156500,157990,158900,159900,159000,158900,157000,159000,159620,159990,161990,164500,163000,162500,159900,160000,160000,161990,163907.5,168000,169900,174100,177990,179900,178000,177000,175900,175000,175000,175307.5,177990,183900,186024,189992.5,194500,189000,190000,195000,195000,196990,199500,205000,210000,208990,219900,220550,215000,214495,212000,210000,210000,211990,214900,215000,219000,217000,224900,229500,230000,236900,235000,235000,239000,239900,239596.5,237000,239900,245000,249900,250192,256702.5,259000,255000,250000,250000,251959.5,253000,255000,256317.5,260070,268000,270000,274900,274281,269900,265314.5,265000,265000
