"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,210000,214900,214900,215900,220000,220000,220000,225000,224400,220000,220000,220000,219900,209153,215000,215000,214900,212995,206000,207900,204900,2e+05,199900,199900,199500,199900,199900,199900,2e+05,199900,199900,199900,199500,2e+05,199900,204999.5,205900,210000,215000,219900,227950,235000,239000,239900,248000,249500,249900,249900,250000,250000,249900,255000,260000,270000,269900,274999,269900,269900,269000,268000,275000,270758,269000,279000,299000,299000,299900,3e+05,305000,3e+05,299000,309000,312000,314500,319000,321950,320999,325000,325000,329900,329900,330000,330750,329900,329000,329900,335000,339000,349675,329900,339000,339900,340000,343500,339900,330000,335000,345000,349500,349000,349900,350000,350000,355000,359000,360000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,95000,99000,99900,99900,99000,95000,94500,94900,94900,89900,89900,85000,84900,79000,81500,79950,80000,79900,79000,77900,77000,74000,72650,70000,66900,69900,69900,69000,67500,67500,65900,65000,66100,65000,66900,65900,65325,65995,66950,67828,67999,67000,66500,65000,69000,69000,68600,68400,66900,68000,69000,69900,70000,72250,72000,74900,74900,74900,75000,75000,75000,75000,76000,77900,79900,79900,80000,79999,80000,80000,79900,80000,80000,80750,81900,85000,85000,88000,89900,89000,89000,87600,86920,85000,85825,87500,89900,90100,95000,99000,99000,99000,99000,99000,98000,98500,98800,99572.5,99900,109900,110000,110000,112500,110000,110000,110000
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,80000,80000,80000,81000,80000,80000,79900,79900,79900,79900,79900,79000,75562,74900,74900,74990,75000,75000,75000,74900,74500,74000,70000,72500,70000,70000,70000,69900,70000,70000,70150,70000,69900,69900,69900,69900,69900,69900,70000,69900,69700,69900,73000,75000,74889,74000,74900,73000,73787.5,74900,74227.5,68800,68900,70000,70000,74150,72900,70000,70000,70000,74900,73975,74200,70000,76532,82900,80000,79900,79900,81950,81000,80000,80000,80950,86500,87200,89950,90000,95000,95900,95600,95000,99900,99500,99500,99500,1e+05,105000,105000,105000,108000,107000,106000,104000,100800,104900,101000,1e+05,103000,108000,114900,114900,114000,115000,112500,110000
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,76900,78000,79900,79900,79100,75000,75000,75000,75000,73000,72500,70900,69900,65250,69000,68000,68000,67500,64900,64900,64000,64900,64900,64900,63500,65000,66500,67000,67900,69500,69950,73947.5,71500,75000,75000,79500,80000,80000,85000,85000,89900,89475,90000,91000,95000,98000,99900,99900,102000,105000,109900,109900,109900,110000,110000,110000,109900,110000,110000,110000,112985,112935,110000,110000,115000,115000,107000,114900,117900,119900,119900,123000,124500,124900,124900,125000,120000,124500,126000,125000,125000,128000,130000,129950,130000,137000,139000,137500,138500,139900,139900,140000,144000,149000,149000,145000,145000,148000,149000,149900,149999,150000,150000,150000,154500,155000
"San Diego County","CA","San Diego-Carlsbad","06","073",5,185000,190000,191500,190000,195000,199000,199900,199900,199900,199900,2e+05,199999,199000,187500,194900,195000,196565,191500,190000,189900,189000,185000,184000,180000,179900,180000,180000,179900,180000,180000,179900,180000,175000,179000,175000,182350,185000,189000,187000,195000,199000,205000,215000,224877,230000,236000,235000,239250,239900,240000,249000,249900,239000,245000,250000,250000,259000,253400,255900,250000,250000,249900,251559,259000,266249.5,249900,280000,289000,285000,281499.5,278000,274999,275900,285000,290000,289999.5,299000,299000,309000,310000,315000,314900,319700,320000,329900,335000,335000,335000,339000,340000,345000,345000,348000,349000,349000,345000,340000,339000,349000,350000,344900,325000,340950,349000,349999,350000
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,225000,225000,225000,225000,225000,227500,225000,245000,230000,226775,235000,230000,226950,215000,219000,219000,219500,219900,210000,209900,207000,200575,2e+05,199900,197000,199000,199000,199000,199900,199000,199000,199650,190000,199999,199000,199900,199000,199000,209999.5,225000,239900,249250,255000,264997,275000,277000,279000,274900,269900,269900,274900,279900,282500,285000,290000,299000,299000,290000,297000,295000,299900,295000,299900,299000,304999,310000,310000,316000,320000,314999,3e+05,315000,315000,319000,319900,329900,334900,338450,340000,341500,341500,340000,348000,339950,339400,342000,349900,355000,369000,369000,369000,369900,375000,379000,375500,375000,380000,378000,389900,395000,398945,398888,399250,399662,399000,399000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,219000,215000,210000,210000,220000,224000,220000,224900,220000,209000,207000,209000,205000,189000,199000,2e+05,2e+05,199000,199000,199000,199000,199000,195000,191000,189000,189000,189000,189000,188000,189000,185000,180000,179000,179000,179000,179700,185000,185000,180000,179999,175000,170000,175000,179000,179900,179000,179000,179900,179000,175000,175000,175000,179000,180000,179000,179000,190000,195000,199000,199000,199000,189000,189000,195000,195000,195450,195000,199000,199000,199000,199000,199000,199000,195000,188000,189000,199000,210000,210000,215000,219000,219000,217500,219000,220000,219999.5,225000,239000,229000,237000,233000,239000,239000,249000,250000,250000,250000,255000,250000,256000,259000,259999.5,260000,260000,260000,260000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,69000,66900,66000,66950,65000,65000,65000,65000,65000,65000,65000,60800,61200,59000,60000,60000,61000,62900,62500,62000,62000,60000,61000,60000,62900,64777,64900,64900,65000,65000,67500,67100,69900,69000,69900,69900,69900,69900,70000,72000,73300,75000,75000,75000,79000,79000,79900,80000,83000,84900,85000,85000,87900,89900,89900,93000,94900,95000,97900,98000,99900,97000,89000,89900,95000,95000,90000,92250,97500,99000,110000,112000,114897.5,115000,115900,117000,119900,124858.5,125000,129000,129000,129000,130000,134000,135000,135100,139900,139500,139900,140000,144000,144900,145000,145000,148500,149000,149900,155000,155000,155000,155000,155000,156000,159900,160000,160000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,75000,76900,78000,78200,77889.5,77900,77806,77000,76900,78000,77500,75000,74900,72900,72700,71500,70650,70950,70000,74000,70000,69900,67000,65100,63900,64900,65000,65850,66500,67000,67900,68000,66900,68000,68500,69500,69000,69900,69900,70000,70000,69900,68000,69000,69500,69500,68000,67900,65000,65000,65000,67500,69000,68400,64900,70000,70000,69900,68000,65000,69850,70000,69999,72500,75000,78900,79900,84900,83250,84900,83900,86408,84900,84900,87000,89000,89900,92000,95700,96500,95000,95000,99900,102000,1e+05,105000,108908,110000,118300,119600,119900,124000,118811.5,124900,125000,125000,124900,129000,127000,130000,130000,130000,140000,140000,144900,144900
"Queens County","NY","New York-Newark-Jersey City","36","081",10,225000,225000,219000,219000,219000,219000,219999,223999,225000,219000,216000,215000,214950,2e+05,205000,2e+05,199999,199000,199000,198999,199000,195000,189000,189000,189000,189000,189000,189000,188000,185999,186000,185000,186000,185000,188000,186000,186900,185000,181000,185000,188000,185000,185000,188000,189000,189000,189000,189000,189900,190000,190000,190000,190000,190000,190000,195000,196000,192888,190000,190000,199000,199000,199000,199000,199000,209000,207075,209000,209000,209900,210000,215000,2e+05,209000,208000,209900,218888,219999,220000,225000,219000,219888,225000,225950,225000,229000,229000,230000,235000,235000,238800,239000,239894,240000,239894,242999.5,248888,249000,250000,250000,252000,255500,259000,250000,255000,259000
