"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,949000,944950,950000,945757,939000,935000,919000,9e+05,899000,899000,899000,899000,895000,895000,895000,874950,879000,875000,875000,850000,859000,865000,875000,875000,875000,880000,879000,889000,889000,898000,899000,899000,899650,939000,939000,935000,949900,948880,965000,985000,999000,999950,1025000,1e+06,1029000,1050000,1050000,1095000,1098000,1099000,1099000,1125000,1128000,1100000,1100000,1100000,1127000,1125000,1150000,1150000,1150000,1179000,1189000,1200000,1225000,1249000,1249000,1249000,1250000,1250000,1278000,1285000,1299000,1299000,1298000,1295000,1299000,1299999,1300000,1300000,1325000,1350000,1369000,1390000,1399000,1399999,1399000,1399000,1399000,1439793.5,1450000,1435000,1450000,1490000,1497000,1499999,1549000,1550000,1568765,1549000,1530000,1545000,1548000,1549000,1550000,1550000
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,429900,429900,427200,425000,424900,425000,425000,424900,410000,414000,414900,408500,404500,399900,399000,399000,399000,395000,395000,395000,398000,394000,389900,395000,398500,398000,399000,399000,399000,399000,395000,389900,389900,397250,399000,397000,399000,399900,399900,399900,415000,415000,419000,412000,429800,429000,429000,429900,434287.5,439000,434700,430000,429000,429900,429888,425000,435000,435000,439000,430000,435000,439900,439900,439000,440000,449000,449000,449000,449900,449900,449900,455000,459900,469000,465000,465000,465000,469900,475000,474900,479000,479925,489000,499000,499900,499900,499000,494900,499000,499000,498000,485000,485000,489900,497000,499000,499900,5e+05,499900,505000,5e+05,499900,499900,499900,499900,499000
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,344900,340000,339000,339000,339900,339900,336250,333000,325000,324900,324900,320000,315000,316990,319900,323990,320990,319900,318000,319900,319000,319999.5,319000,320900,319900,322000,325000,324900,324900,323970,322502.5,324000,325000,325000,325000,335000,337583,339900,342990,349000,349900,350000,350000,354990,361503,364900,373990,375000,379990,384900,371990,387990,389900,389900,393990,395736,399999,401990,402900,415000,419900,419990,419900,423900,419000,415585,415000,415000,415000,419000,419000,425000,424900,425000,425000,425000,425000,425000,421372,424900,421372,424712,424845,419999,424950,425000,424999.5,425000,424900,419992.5,419000,417000,419900,419500,419000,420990,419900,422495,420000,425273.5,425000,425000,425000,424990,429000,429844
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,399000,395000,389000,389000,380000,375000,369900,359900,350000,349900,349990,349994.5,349900,350000,349900,349900,345000,335990,335000,329900,335000,338000,336995,340000,349000,359900,364320,362000,366100,374000,365000,369000,374900,379000,389270,390000,392995,396945,399900,4e+05,410000,4e+05,409000,405000,415664,419000,419000,425000,425000,425389,425000,425000,420000,419900,419000,415000,418450,424900,425000,429000,433388,435000,439900,439900,434000,437000,432990,430990,435000,442900,449995,450000,450732,464999,465000,464515,469900,465000,469000,465000,465000,470000,479000,485000,485000,487000,488500,489000,489000,487900,479000,477945,479900,489900,495000,499000,5e+05,5e+05,510000,509900,5e+05,499900,499500,499000,5e+05,504000
"San Diego County","CA","San Diego-Carlsbad","06","073",5,850000,849000,824438,815000,819000,819000,815000,799000,799000,799000,799000,779000,769900,760000,749000,750000,750000,749900,749000,729000,729000,725000,725000,738944,736702,740000,745000,759000,789000,782000,794900,797000,799000,799000,799000,849000,849000,849500,849000,850438,875000,895000,9e+05,899000,899876,899000,899000,899900,899900,899900,899000,899000,925000,899000,899000,915000,925000,915000,925000,925000,924900,950000,949000,949000,949000,949000,939000,949000,959990,975000,975000,985995,999000,999990,1049000,1024950,1025000,999999,1e+06,999950,999974,1023900,1050000,1099000,1099000,1099000,1095000,1099633.5,1095000,1100000,1149000,1119000,1144950,1149000,1149888,1175000,1175000,1199000,1199000,1199000,1220900,1199900,1189000,1198944,1200000,1200000
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,899900,899000,875000,875000,875000,869000,860000,850000,850000,849900,850000,849000,849000,849000,830000,809000,811500,8e+05,806500,799900,799000,799900,8e+05,800250,816500,815000,799900,825000,830000,849000,849900,849900,859900,879000,898300,899000,899900,945000,950000,975000,975000,955000,968800,968888,989000,979000,989000,995000,990000,995000,999000,999000,995608.5,994450,995000,995000,999000,1029000,1040500,1050000,1067000,1089000,1084000,1099000,1099000,1095000,1099000,1100000,1125000,1149000,1150000,1175000,1195000,1198000,1188000,1180000,1195000,1199000,1199000,1198000,1199900,1200000,1249000,1261617,1275000,1259950,1250000,1250000,1250000,1292720,1298000,1299000,1299999,1329000,1349000,1379000,1374900,1370000,1388000,1395000,1369999,1372444,1375000,1379990,1399000,1400000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,679000,680000,685000,689000,679000,685000,688000,689000,689000,685000,689000,679000,675000,675000,679000,685000,689000,689000,689000,680000,685000,689000,679000,679000,675000,669000,669000,679000,685000,689000,679000,679000,678999,679000,675000,665000,659000,669000,699000,699000,699000,729000,725000,749000,750000,775000,799000,799000,799000,799000,8e+05,819500,848444,850000,865000,869000,879000,899999,9e+05,919000,959000,962000,979000,995000,999000,999000,995000,995000,999000,1029000,1050000,1015000,1099000,1100000,1150000,1150000,1150000,1149000,1100000,1100000,1109500,1120000,1100000,1149000,1146500,1139500,1124333.5,1129000,1102100,1149000,1150000,1129500,1150000,1180000,1195000,1195000,1185000,1190000,1185000,1199000,1200000,1225000,1200000,1199000,1199000,1195000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,499000,499000,490000,479000,485000,475000,475000,469000,459998.5,469000,465000,450000,450000,459000,449000,450000,465000,465000,459000,460000,460000,469900,468792,475000,480000,479000,477900,494000,495000,489000,485000,514900,525000,470000,464900,453915,480000,485000,484358,493845,483450,489000,499000,479000,479900,479000,489000,495000,499000,499999,499000,499000,499999,499000,499000,499900,5e+05,515000,525000,529000,530000,535000,536950,550000,549000,549000,569000,575000,579000,575000,580000,595000,609500,620000,615000,624900,620000,629000,625000,619999.5,625000,625000,630000,639000,639999,650000,650000,650000,650000,657999,650000,649990,650000,649938.5,665000,669000,670000,675000,685000,689000,689000,690000,690270,690000,699000,698000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,379900,379000,379000,375000,375000,369250,369000,359000,349900,349900,349000,347500,345000,349000,349500,350000,357500,349500,349000,339900,345950,349900,349900,349900,349900,359000,365000,375000,375000,374900,369900,365000,367250,369000,368000,374000,372500,374945,379000,385000,385000,383700,385000,388000,389000,390000,389900,385000,383886,390000,395000,4e+05,409000,408705,417750,419000,419995,425000,420000,429000,429950,437085,445155,450000,449000,450000,444500,445000,445000,449000,450000,450000,460019,475000,479000,489000,485990,489000,490202,479000,489900,495000,495000,495000,489900,499000,503296,517200,517900,515000,5e+05,499900,5e+05,505000,504950,505900,522900,525000,529900,539000,539000,529900,525000,522950,525000,529000
"Queens County","NY","New York-Newark-Jersey City","36","081",10,675000,670000,669000,669000,669000,669000,669994.5,671750,670000,669000,675000,669000,669000,659350,659000,650000,649999,650000,650000,649000,649000,649000,649000,649000,649000,649000,649000,649000,649000,650000,650000,649994.5,650000,649000,649999,649000,649000,649000,649000,659000,669900,668000,669000,659000,669000,669888,669000,671944,679000,679000,679000,699000,699000,709000,719000,720000,719000,719894,718000,719000,719000,699000,699000,738000,739000,720000,749000,760000,775000,780000,788000,790000,798000,795000,799000,816800,806888,820000,829000,829000,829000,839000,838000,840000,835000,823888,849000,868000,890000,899000,898400,898000,895000,899000,899000,899000,899000,899000,897298.5,899990,917000,925000,929000,925888,928000,925000
