"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,207300,206700,206100,205500,205000,204700,204500,204500,205000,205700,206300,206900,207400,208000,208600,209300,210200,211300,212700,214400,216500,218900,221100,222900,224500,225900,227200,228300,229500,230800,232300,234000,236200,238600,240900,242900,244900,246800,248600,250300,251900,253300,254800,256500,258400,260600,262700,264700,266700,268800,270900,273000,274900,276800,278800,280800,283000,285300,287600,290000,292300,294800,297200,299600,302000,304600,307300,310100,313400,316900,320800,324800,329100,333700,338800,344100,349800,355700,361900,368100,374200,379700,384800,390000,395300,400900,406900,413400,420400,427600,435200,443000,451400,460300,469800,480300,491700,503600,515600,527200,538100,548200,557200,565200,572500,579700,586800,594100,601700,609300,617400,625800,634100,642100,649700,656500,662300,667500,672000,676300,680000,682900,684800,684900,682800,679600,676100,672400,669100,666300,663200,659600,655500,650700,645600,639700,632600,625100,617500,610000,602500,594900,586200,576000,564300,552200,540900,532100,525900,521200,516500,512000,508100,504700,500900,496300,490800,484800,480400,479100,480000,481600,483700,485900,487800,489500,490500,489600,489800,491800,491500,487700,485000,482500,480400,478200,475800,472200,469300,467200,464600,461600,459700,457700,454100,450500,447800,445400,442900,440800,439800,440700,443700,447600,450900,453800,456400,459200,462500,467300,472600,477400,483800,493300,503000,512000,520700,528800,535400,540300,543700,546200,547900,549800,552400,555700,559200,562600,566600,570500,572700,574000,575300,576500,579000,583200,587600,591000,593900,596300,598200,600400,603100,606400,610100,613700,617500,621300,623900,626000,628000,629300,630900,634300,639200,644200,647900,651200,655400,659000,661700,664000,666400,669100,672200,675300,679400,684300,688900,692500,696000,700700,705600,708200,708500,708100,707600,707300,707500,708600,710800
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,204400,206100,207300,207800,207500,206400,204700,202400,200400,198600,196400,193900,191600,189600,187600,185600,183800,182500,182000,182300,184100,187000,190200,193300,196800,200400,204200,208000,211900,215600,218900,221500,223600,225100,225600,225200,224600,224200,224100,224500,225500,226900,228700,230800,233700,237000,240100,242800,245600,248200,250700,253000,255300,257300,259300,261000,262700,264300,265600,266700,267800,269000,270300,271800,273300,275000,276800,278700,280700,282700,284800,286900,289000,291000,293000,294900,296700,298500,300200,301900,303600,305300,307000,308700,310400,312000,313600,315300,317200,319200,321400,323600,326000,328400,330900,333400,336200,339100,342100,345200,348300,351400,354500,357500,360500,363500,366100,368800,371700,374900,378200,381700,385100,388500,391700,394700,397300,399600,401600,403400,405100,406700,407800,408600,409000,409200,409300,409100,409000,409200,409100,408600,407800,406700,405100,403500,401900,400500,399500,398100,396000,393800,391100,388000,384600,381100,377000,372500,367600,363300,359700,356200,352300,348700,345000,340500,335400,329900,324600,320700,317900,315900,314900,314500,314500,313300,313400,313500,312000,309700,308400,305500,302400,298900,294600,291200,288600,287200,286400,285000,282600,280700,278900,277900,277600,276600,274900,272900,271900,270100,266900,265300,266200,267100,268000,269100,270200,271200,272200,272800,273100,274100,275500,277600,280200,283700,287600,291800,295000,297500,299500,300600,301200,302200,302900,303400,304900,307600,309800,311400,312800,313900,314400,314800,315100,314700,314400,315100,316400,317300,317900,318300,318000,318100,319200,320300,320900,321500,322800,324400,325600,326200,326700,327500,328700,329700,330900,332200,333000,333000,333100,333700,334500,335300,335800,335900,336400,337700,339400,341200,342500,344400,347000,348500,348800,349100,348600,347400,346500,346200,346600
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,138500,138300,138100,138000,137900,138000,138000,138100,138200,138100,138100,138200,138300,138500,138800,139000,139100,139200,139100,139100,138900,138800,138800,139000,139200,139500,139900,140300,140800,141500,142300,143500,145000,146500,148000,149200,150100,150700,151200,151600,151900,152400,153000,153900,155200,157000,158900,160600,161500,161600,161100,160300,159400,158600,157800,156900,155700,154300,152800,151500,150400,149800,149400,149300,149200,149200,149300,149300,149300,149200,149100,149100,149300,149800,150500,151200,151800,152300,152800,153000,153000,153000,153000,153000,153000,153100,153300,153500,153700,153800,154000,154500,155300,156400,157900,159300,160600,161700,162500,163100,163800,164500,165100,165800,166300,166700,167000,167300,167600,167700,167800,167900,167800,167600,167500,167400,167500,167600,167800,168100,168600,169000,169500,170100,170600,171100,171500,172100,172600,173000,173300,173600,174000,174700,175500,176500,177500,178600,179600,180400,180700,180600,180000,179000,178000,177000,176000,175200,174600,174200,173800,173400,173100,172900,172700,172300,172000,171500,171100,171000,171200,171400,171600,171800,172000,172200,172300,172300,172400,172600,172500,172100,171600,171400,170900,170000,169300,168900,168500,168500,168800,168700,168400,167800,167000,166300,166100,166300,165800,165000,165100,165400,165000,164700,165300,166100,166800,167000,167100,167200,167900,169000,170000,170500,171100,172000,173100,174200,175500,176600,177400,178400,179200,179900,180400,181500,182800,184200,185600,186900,187900,189000,190400,191800,193200,194400,195600,197000,198600,200000,201100,202000,203200,204500,205700,206800,207900,209000,210100,211000,212300,214000,215500,217000,218600,219600,220000,220700,221900,223100,224200,225100,225800,226500,227100,227700,228700,229700,230700,231300,231800,232700,234200,235700,236900,237500,237600,237800,237800,238000,238600
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",4,207700,207300,207000,206800,206700,207000,207400,208100,209000,210100,211000,211800,212600,213500,214500,215500,216700,218000,219600,221400,223700,226300,228700,230900,233000,235100,237200,239200,241200,243200,245300,247500,249900,252500,254900,257100,259300,261400,263500,265700,268100,270700,273600,276800,280500,284400,288400,292100,295700,299400,302900,306200,309400,312200,315000,317700,320600,323800,327000,330200,333400,336500,339600,342800,346100,349600,353400,357400,361800,366400,371000,375700,380500,385200,390100,395200,400400,405700,411200,416800,422400,427700,432900,438300,443800,449500,455700,462600,470100,478300,487100,496200,505800,515800,526400,537800,550500,564300,579000,593300,606200,616900,625600,632000,636700,640300,643500,646600,649400,651100,651700,651300,649900,648300,646900,645700,645000,644900,645200,645600,645600,645100,643800,641600,638800,636200,634000,631800,629700,627500,624300,619900,614700,609400,604600,599800,594600,589300,583800,577500,570400,562600,554000,544500,534700,525500,517300,510200,504300,499500,495200,491100,487500,484100,480300,475400,469500,463400,458500,455900,454900,454600,454800,455400,456600,458000,458400,458800,460900,463400,464400,463300,461700,459400,456400,453500,449700,444800,442400,442000,440800,438200,434000,430200,427500,424600,422600,421900,421500,421600,422000,422400,424300,427600,430900,433700,437100,442000,447200,452300,457700,462000,466900,474800,483200,491400,501300,511000,518300,523600,527100,529600,532900,537500,541800,544300,545600,547400,550500,553100,553600,554500,557000,558600,558500,560000,563400,567000,569900,572700,576100,580200,584000,586900,588900,591500,596200,601500,603900,604500,606800,609300,610800,612500,615700,619800,624100,628900,632700,635200,638100,642500,647300,651800,654900,656700,658800,661800,664600,667000,670400,676000,682700,687100,687800,685900,684900,686300,689000,689800,690300
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",5,236700,236400,236300,236200,236200,236300,236700,237200,238000,239000,239800,240400,241100,242100,243300,244900,246600,248600,250800,253400,256400,259800,263000,266100,269200,272300,275400,278600,281700,284900,288000,291000,294100,297200,299800,302100,304100,306100,307900,309700,311500,313600,315900,318600,321800,325200,328500,331700,334800,338000,341100,344300,347500,350700,354000,357500,361100,364800,368200,371300,374200,376900,379600,382400,385300,388400,391700,395300,399000,402900,406900,411000,415400,420200,425700,431700,438100,444600,451300,458000,464500,470700,476900,483200,489900,496900,504500,513100,522600,532900,544000,555500,567500,580100,593900,609100,625600,642400,658300,672100,682900,690700,696600,701300,706000,710800,715900,721200,726400,731300,736300,741600,747300,753300,759800,766400,773200,779600,785100,789800,793100,794800,795100,793900,791300,788000,783900,779200,774500,770300,765700,760100,753300,746000,738000,728800,718800,709000,699600,690100,679900,669100,658300,647800,638100,630400,624500,619800,616100,613200,610800,609000,607200,605300,602600,598500,593700,588900,585500,584700,586000,588200,591000,593800,596400,598300,598700,597300,597000,597700,596000,592700,590600,589200,586700,581600,575900,572100,569800,567600,564800,560900,557600,555100,551800,547500,544200,544100,545600,544900,543800,545000,547000,549200,553100,558900,564000,569700,575900,581500,587500,595400,605500,618100,632300,644800,655000,662500,668000,671700,674600,676900,678000,679600,682600,685000,686900,689400,690300,689900,690100,691200,692700,695500,697800,699300,701500,705200,708700,711700,714700,717500,721000,725600,728700,730900,734500,737100,737800,739100,740500,741400,742900,746100,749600,752900,756900,760700,763100,766100,770000,772300,773100,774900,778000,781100,783700,787300,791000,794400,798300,803800,808700,810800,811600,813700,817000,820400,823400,823300,822600
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",6,145200,145300,145400,145500,145500,145500,145500,145500,145500,145700,145800,145900,146000,146200,146300,146600,146800,147100,147400,147700,148300,148900,149400,149600,149700,149800,149700,149800,149900,150100,150500,150900,151400,152000,152400,152800,153100,153600,154000,154400,154800,155200,155700,156200,156900,157600,158400,159200,160000,160900,161700,162500,163300,164200,165200,166200,167300,168500,169500,170500,171600,172800,174100,175500,177000,178600,180300,182100,184100,186100,188100,190000,192000,194100,196300,198500,200700,203000,205500,208200,211300,214600,218400,222200,225900,229400,232800,236100,239400,242900,246400,250000,253600,257400,261400,265400,269600,274000,278600,283600,288700,293900,299200,304600,310200,315900,321400,327200,333600,340500,347700,355000,362200,369000,375400,381300,387100,393200,399400,406000,413100,419800,425600,430500,434100,436700,438600,439700,440800,442200,442800,442900,443200,443400,443200,442600,441100,438900,435600,430800,424600,417700,409100,399500,389600,379700,369600,359700,349600,339600,329400,318600,308300,299100,289800,280000,270200,260200,251100,245000,241500,239600,238400,237100,236300,235300,235100,234000,231600,229200,228400,226200,222900,220000,219000,219700,219300,218000,217800,219200,220800,222300,222800,222600,222000,221500,220900,221300,222400,222600,222600,223800,225700,227700,229100,230700,232900,234300,234400,235500,237500,239700,241900,244200,246800,250000,252900,255800,258400,260900,262800,264300,266200,269400,272200,273900,276000,278800,282000,286200,291000,294700,297500,299700,301300,302700,304300,306600,309300,312000,314100,316100,318500,322300,325600,326800,327400,329000,331600,334900,337200,338900,341500,344500,345800,347400,351200,355800,359000,361300,362600,363400,365400,367400,368200,368700,369800,371900,374000,375100,376800,380300,384100,386200,388300,391400,394600,396900,398400,399500,400500
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",7,146500,146600,146800,147100,147400,147700,148200,148600,148900,149200,149400,149700,149900,150200,150600,151000,151300,151700,152200,152700,153500,154600,155700,156700,157400,157700,157700,157400,157100,156800,156800,157000,157700,158800,159900,160800,161500,162200,162700,163200,163800,164300,164900,165400,165900,166300,166600,167000,167400,167800,168400,169000,169700,170500,171300,171800,172100,172000,171800,171600,171300,171200,171200,171300,171400,171600,171800,172000,172100,172300,172500,172800,173100,173600,174200,174900,175600,176100,176600,176900,177100,177100,177000,176900,176900,177100,177300,177600,177900,178200,178500,179100,180100,181600,183500,185500,187200,188500,189400,189900,190400,190900,191500,192200,192900,193500,194000,194500,195000,195700,196300,196900,197200,197500,197600,197700,198000,198400,198800,199400,200000,200500,200700,200900,201100,201500,201900,202200,202400,202400,202100,202100,202200,202200,202100,202100,202100,201900,201500,200900,200200,199000,197500,195900,194700,193700,192900,192300,191800,191200,190600,190000,189700,189400,189100,188700,188300,187600,186700,186300,186300,186500,186600,186800,186400,186300,187100,187000,185800,185300,185300,184800,184300,184200,184100,183900,183600,183200,182600,181900,181500,181400,181400,180800,180000,179200,178900,179000,179700,180200,180500,181000,181500,182000,182900,183900,184500,184900,185200,185400,185500,185700,186000,186800,187900,188500,188800,189400,190500,191400,191800,192300,193200,194100,194800,195700,196900,198100,198900,199800,200400,201000,202000,203100,204300,205400,206700,208700,211000,212900,214700,216900,219200,221400,223300,225700,228100,230100,231600,233300,235500,238000,241300,245400,249100,252400,255800,258400,260400,262500,264900,267700,270500,272600,273600,274400,276000,278500,280800,282300,283800,286400,289600,291800,293000,294500,295800,296800,297600,298800,299900
2832,"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",8,156100,155600,155000,154500,154000,153600,153300,153200,153400,153600,153900,154000,154200,154400,154700,154900,155200,155600,156200,157000,158200,159600,160900,162100,163200,164300,165300,166200,167000,167900,168900,170200,171800,173600,175400,177000,178600,180000,181300,182500,183800,185300,186900,188700,190600,192600,194200,195600,196700,197600,198500,199500,200500,201600,202900,204400,206100,207900,209800,211700,213500,215200,217000,218800,220600,222500,224400,226400,228600,230900,233000,235200,237500,239800,242400,245200,248300,251600,255200,258900,262700,266500,270500,274700,279300,284400,289800,295400,301000,306600,312200,317900,323800,330000,336800,344400,353100,362700,373100,383600,393500,402400,410200,416900,422800,428400,433700,439200,444800,450000,455000,459100,462300,465200,467800,470100,472000,474000,476100,478300,480500,482800,484800,485600,485200,484300,483000,481100,478700,475900,472400,467600,461700,455600,449200,441300,432000,422500,413300,404000,394300,384800,375000,363900,351700,339700,328300,318500,310700,304100,297700,291300,284700,278600,272700,266300,259800,253400,248600,245900,244900,244700,245000,245100,245900,246700,246000,246400,248900,250900,251500,251500,250400,248100,246300,246000,245900,245500,246100,246500,245800,244200,241600,238900,237900,237300,235600,234400,234200,234600,235600,237300,238800,240200,242200,244600,246100,247900,251000,255200,258800,262000,265800,271000,277100,284100,291400,298300,304800,310900,316100,319700,322200,325300,329200,332200,334400,336800,339000,339800,340300,341300,342800,344100,345600,347200,348500,348700,349600,351400,352900,353700,355300,358000,359800,361200,363300,365000,365800,367100,369200,371600,374600,377800,379800,381000,383500,386200,387000,386900,387400,389100,390900,392700,395900,400000,403200,406700,410000,411600,413100,416200,419500,421000,421300,422600,424900,427200,429300,429500,428000
3250,"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",9,140000,139800,139600,139400,139200,139000,139000,139000,139300,139800,140200,140400,140600,140800,141000,141200,141400,141600,141900,142300,142900,143600,144400,145000,145600,146300,147000,147600,148300,148800,149300,149800,150600,151400,152300,153100,153900,154900,155900,156800,157700,158600,159400,160200,161200,162400,163600,164700,165900,167000,168100,169200,170200,171200,172400,173600,175000,176500,178000,179500,181000,182500,184100,185600,187200,188900,190600,192400,194200,196100,197900,199800,201700,203800,206200,208800,211800,215100,218700,222500,226400,230100,233800,237800,242200,246900,251900,257100,262400,268000,274000,280300,286900,293800,301100,309000,317400,326300,335900,345600,354900,363600,371800,379500,387100,394400,401200,407600,413800,419400,424700,429700,434400,439100,443900,448500,453200,457900,462600,467600,472400,476200,478800,479700,478400,475800,472300,468100,464100,460400,457000,454100,451200,447700,443300,437600,430400,422700,414900,407100,399000,389800,379100,367100,354400,341800,330100,320600,313400,307200,301000,295000,289500,284200,279100,274100,269100,263800,259300,256900,256200,256200,257300,259100,260300,261000,261900,262400,262900,264500,265700,265200,264500,264000,262200,259500,257300,256600,255800,254300,252400,251400,249600,247400,245200,243500,242900,243200,242100,240700,241100,242700,243700,244700,246400,248900,250600,251800,253500,256100,260000,263600,266600,270200,275900,281600,288100,294200,299800,305000,309400,312600,317000,321500,324700,327500,330500,332800,334800,336700,339000,341500,344400,346500,347800,349000,350900,353400,356000,358100,360000,361700,363400,365100,366400,367700,368800,370300,372200,374200,376100,377500,377800,378000,379700,381800,383700,385300,387200,389000,391200,393800,395900,398200,401500,405100,407200,408500,409700,411600,413600,415900,418800,421600,424200,427100,429800,432300,433600,433400,433300
445,"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",10,155100,154600,154200,153800,153500,153400,153500,153700,154000,154400,154700,154800,154800,154900,154800,154800,154800,154800,155000,155300,155800,156300,156800,157200,157600,157900,158200,158500,158600,158700,158800,158900,159000,159000,159100,159200,159300,159600,160000,160600,161300,162000,162800,163600,164400,165300,166100,166700,167300,167900,168500,169100,169700,170400,171100,171800,172700,173700,174600,175500,176400,177400,178300,179400,180400,181700,182900,184300,185800,187300,188600,189600,190600,191500,192300,193000,193600,194300,195200,196200,197400,198500,199900,201400,203200,205500,208200,211600,215700,220500,225900,231900,238500,245500,252900,261200,270600,280900,292100,303700,314700,324600,333200,340600,347400,353800,359600,364800,369100,371900,373700,374700,375300,375900,376500,377300,378300,379500,381000,382800,384900,386400,387100,386600,385000,382600,380000,377200,374500,371900,368600,364900,361300,357500,353500,349200,344800,340200,335100,329200,322400,314700,306400,298200,290800,283700,276600,269700,263300,257300,251500,245700,240000,234300,228200,221700,215300,209000,203000,198000,194300,191400,189300,188100,186600,185800,186200,186700,185400,184100,183200,182000,180200,178900,177200,175500,173700,171900,170300,168700,167300,165900,164100,162300,160500,158400,157200,156600,156100,156600,157300,157900,158400,159100,160100,162000,164600,167000,168600,170500,173400,175500,177300,180100,184400,189300,194600,199000,203100,207100,210900,213800,216000,217900,220200,222500,224500,226100,227800,229600,231000,231900,233100,234700,236500,238100,239200,240200,241400,242900,244600,246000,247100,248100,248700,249900,251600,253100,254400,255700,257400,259100,260100,261000,262600,264100,265600,267600,269200,270800,273000,275600,278500,281400,284000,286100,287900,290300,293600,296500,299400,303100,306500,308300,310100,312700,315400,318300,322200,326500,329700
