"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,280000,279700,279600,279400,279400,279600,279900,280500,281500,282700,283900,284800,285900,287100,288600,290400,292600,295100,298000,301300,305300,309600,313800,317500,321000,324200,327100,329900,332600,335500,338600,341900,345700,349600,353300,356600,359800,362900,365700,368200,370400,372300,374400,376700,379600,382700,385900,388700,391600,394600,397500,400400,403300,406000,408900,411900,415200,418500,421900,425000,428100,431100,434100,437000,439900,442900,446200,449700,453700,458000,462600,467400,472600,478300,484400,491100,498100,505600,513500,521700,529800,537500,544900,552300,560000,567800,576300,585500,595100,604800,614800,624900,635700,647200,659800,673600,688600,704000,719200,733500,746500,758100,768200,776800,784600,792000,799300,806800,814600,822500,831100,840200,849300,858400,867000,874600,881000,886500,891000,895200,898800,901200,902300,901300,897800,893100,888200,883100,878400,874100,869300,864300,858800,852800,846600,840000,832600,825300,818300,811500,805200,798700,790500,780700,769200,757200,746000,737500,731700,727500,723600,720000,717200,715100,712100,708200,703200,697300,693200,693500,696800,700900,705100,708700,710900,712700,714400,712700,711600,713400,712600,706900,702800,698700,694800,691600,689000,684900,681100,678600,676300,673900,673000,672300,669500,666000,663400,660700,657900,656500,656800,658900,663900,669800,674800,679100,682700,686600,692400,701100,709600,716900,726200,740500,754700,767400,778900,789000,796800,803200,807800,811000,812900,814500,817400,821600,825400,829400,835000,841100,845300,848300,850700,852300,855700,862400,869100,874100,879500,885000,889400,893800,898700,904500,911200,917900,925000,931400,935300,938400,941400,942800,944600,949400,956900,963900,968800,974600,981800,987200,991100,995700,1001400,1007800,1014700,1021400,1029800,1040000,1049800,1058400,1067000,1079900,1095200,1105900,1110400,1113000,1115100,1117300,1120500,1124700,1129400
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,217200,219100,220500,221000,220800,219600,217700,215200,212900,210900,208700,206000,203700,201600,199600,197600,195900,194900,194700,195700,198300,202000,205800,209400,213300,217200,221100,225000,229000,232900,236400,239200,241600,243400,244100,243900,243600,243600,244000,245000,246400,248300,250500,253100,256400,260200,263900,267100,270500,274000,277300,280500,283600,286400,289000,291200,293200,295200,296800,298100,299400,300800,302400,304200,306300,308500,310800,313200,315600,318000,320400,322800,325100,327200,329200,331100,332900,334600,336400,338200,339900,341600,343200,344800,346300,347700,349200,350700,352300,354000,355700,357500,359500,361800,364100,366600,369300,372000,374900,377900,380800,383600,386500,389200,391800,394400,396800,399400,402400,405600,408900,412400,415900,419400,422900,426100,428900,431400,433700,435900,438100,439600,440700,441300,441400,441300,441300,441300,441300,441400,441100,440800,440000,438700,437100,435500,433900,432400,431200,429800,427600,424800,421700,418400,415000,411100,406900,402700,398500,394800,391800,389100,385900,382700,379400,375900,371700,366800,361900,358300,355700,353700,352700,352300,351700,351700,352700,351900,349000,347300,346100,343500,340800,337900,333600,329900,327300,326200,325600,324000,321800,320000,318300,317000,316100,314900,313400,311500,311200,309800,306800,305100,306100,307400,309000,310500,312000,313700,315200,316600,317800,319200,321000,324100,327800,332000,336600,342300,346600,349500,351600,352700,353300,354300,355000,355500,356700,358600,360600,362400,364000,365300,366100,366800,366900,366000,365400,366900,369500,371100,371700,371500,370900,371000,372600,374300,375200,375800,377300,379300,380900,381800,382400,383000,384200,385700,387300,389300,390600,390300,390200,391000,392100,393000,393600,393900,394100,394100,395000,395900,396000,397600,401200,403600,404000,404100,403600,402900,402700,402700,402900
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,205300,204700,204400,204500,205000,205800,206700,207200,207100,206400,205300,204400,203700,203500,203800,204500,205700,207000,208300,209400,209800,209600,209100,208500,208000,207600,207300,207200,207500,208400,210200,213300,218000,224000,230500,236700,241200,243400,243800,242900,241300,239200,237200,236000,236200,238100,241800,246800,252300,257800,262600,265900,266900,265300,261800,257400,253100,249500,246400,243600,241100,238800,236700,235100,234300,234300,234900,235700,236500,236900,236700,236000,235500,235400,235600,236000,236500,237000,237500,237700,237200,236500,235500,234400,233300,232400,231700,231100,230800,230800,231000,231400,231700,232000,232200,232400,232500,232600,232700,233000,233500,234200,235100,236100,237300,238500,239600,240500,241300,241900,242500,242800,243000,243200,243500,243800,244300,244900,245500,246000,246300,246500,246900,247600,248700,250100,251500,252900,254000,254700,255100,255500,256000,256800,257800,258800,259600,260200,260600,260900,260700,259900,258700,257300,255900,254700,253800,253100,252600,252200,251900,251700,251600,251500,251300,251000,250700,250300,249900,249900,250200,250500,250900,251300,251600,252000,252100,252200,252600,252700,252000,250800,249800,249100,248500,247400,246000,245200,244800,244900,245500,246300,246600,246200,245900,245800,245700,245800,245400,244800,245100,245400,244800,244400,245000,246300,247700,248300,248400,248900,250400,252000,253500,254900,256200,257900,260200,262800,264900,266700,268500,270000,271700,273100,274300,276100,278600,281200,284000,286600,288700,291100,293900,296900,299400,301300,302400,304100,306300,308200,309500,311000,312500,313800,314700,315500,316500,317800,319100,319800,320300,320900,321500,321900,322300,322600,322900,323300,323800,324500,325100,325200,325600,326200,326500,326400,326300,326300,326800,327500,327600,328900,332400,335600,337200,337800,337500,337300,337800,338100,338400
2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,176200,176600,177200,178000,179000,180100,181300,182400,183400,184400,185400,186400,187400,188500,189600,190600,191500,192400,193300,194200,195100,195900,196600,197200,197800,198600,199600,200800,202100,203500,204900,206300,207700,209100,210400,211600,212900,214200,215400,216500,217600,218500,219600,220800,222300,224100,226000,227800,229600,231100,232400,233400,234300,235200,236100,237300,238600,240100,241400,242500,243400,243900,244300,244500,244700,245100,245600,246300,247300,248500,249600,250600,251600,252600,253500,254600,255700,256900,258200,259700,261100,262500,263600,264700,265800,266900,268200,269700,271300,273200,275300,277300,279400,281600,284000,286700,289700,293400,298100,303800,310400,317700,325900,334900,344900,355600,366900,379300,393100,408000,423500,439100,453700,466500,477000,485000,490700,494800,498200,500900,502600,502800,501400,498500,494700,490700,486900,483500,480900,478900,477300,475700,474200,472400,469800,466200,461500,455800,449100,441800,434000,425900,417200,408300,399700,392000,384800,377900,371300,364700,358000,351600,345300,339200,332700,325900,319000,312200,306100,301900,299500,297800,296600,296100,296100,296200,296100,295700,294600,292700,290400,287300,283400,280600,279000,276600,274500,273400,273200,272800,271600,269400,267600,266300,265700,265500,266500,268900,271500,273300,275800,279300,284400,290100,295200,299700,304500,308300,311300,314700,317800,320500,323700,327400,331100,335600,340500,345100,348700,352300,354400,355300,356000,357400,358400,358700,358500,359100,359500,359500,359100,359600,361100,362800,364200,365300,366300,367100,368500,370700,373200,375800,378800,381100,382000,382800,384000,385300,386300,387400,388600,389600,390600,392300,393900,394600,395500,397400,399000,399400,399900,401500,403600,405100,406300,408000,409700,411600,413600,415100,416900,420200,423800,426100,427900,429900,432300,434400,436400,438500,440700
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",5,265000,264500,264000,263500,263400,263500,264100,265000,266400,268100,269700,271000,272600,274200,276000,278000,280200,282700,285500,288600,292200,296200,299900,303200,306600,310000,313600,317300,320900,324400,328000,331600,335300,338900,342100,345000,348000,351000,354200,357400,360700,364200,368100,372400,377500,383000,388500,393700,398800,403900,408800,413500,417900,421900,425700,429500,433500,437700,442000,446400,450700,454800,458500,462000,465600,469400,473700,478300,483300,488300,493200,498100,503200,508400,513900,519600,525600,531800,538400,545000,551400,557400,562900,568500,574400,580600,587600,595600,604400,613900,623700,633700,644400,656100,669000,683100,698400,714700,731600,747600,761500,772900,781900,788400,793100,796700,799700,802500,804600,805500,805400,804500,803000,801800,800900,800200,800100,800600,801400,802400,802800,802300,800600,797500,793500,789900,786900,784000,781200,778400,774500,769500,764100,759100,754900,751100,747000,743000,738500,733100,726600,719300,711000,702200,693400,685400,678400,672400,667400,663700,660800,658200,656300,654800,652300,648400,643400,637800,633800,632800,633700,635400,637500,639400,641600,643600,644200,643600,643900,644400,643200,640200,637100,632900,628000,624200,618900,612500,609400,609000,607700,605200,600300,596000,593400,590500,588300,587300,586800,587800,589200,590300,593900,600100,606100,610200,614000,619300,625600,632400,639200,642900,647700,657900,668600,677600,688200,698100,705200,710000,712300,713100,715800,721100,725800,727300,727100,727500,729900,733100,733800,734800,737900,739900,739800,741300,745300,750000,753700,757600,762800,768500,774000,778600,781700,784600,790300,796400,799300,800500,803200,806000,807100,808900,812400,817100,822700,829400,835000,839200,842800,847200,852500,858200,862300,864800,867600,872100,876000,879400,884000,892500,902300,909100,911400,911200,911200,913800,918300,920600,921800
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,311600,311200,310800,310400,310200,310100,310300,310800,311700,312800,313900,314600,315600,316900,318700,320900,323400,326500,329900,333800,338200,343000,347600,351900,356300,360700,365300,369800,374300,378700,382900,387000,391000,394900,398200,401100,403700,406200,408700,411200,413800,416600,419900,423400,427400,431700,435600,439100,442400,445800,449100,452600,456100,459800,463800,467900,472300,476700,480800,484600,488300,491800,495200,498800,502500,506600,510900,515400,520100,524800,529500,534300,539600,545500,552200,559600,567300,575400,583800,592200,600300,608000,615400,623100,631400,640200,649900,660600,672200,684400,697000,709800,723600,738700,755500,774100,794000,813800,832400,848200,860500,869600,876600,882600,888400,894300,900100,905900,911400,916200,921300,927000,933100,939600,946300,953200,960500,967800,974600,980600,985100,987400,987800,986600,984400,981800,978600,974700,971000,967700,963700,958100,950800,942000,932100,920900,908700,897000,885800,874500,861900,848300,834500,821300,809900,801700,796600,793000,789600,787100,785500,784400,783500,782100,779300,774600,768700,762800,758500,756600,756700,757700,759200,761000,762300,763400,763600,761600,760400,761300,760300,757500,755400,753400,749700,743500,736800,731900,728900,726800,725000,721100,717400,715100,713400,709900,707300,708600,712100,712300,711300,713400,716600,720200,725100,731100,736700,744300,751900,757700,763800,773000,785200,800600,817700,832200,844000,852400,857900,861100,864600,867500,868600,870500,874800,878000,880100,882200,882000,880500,880600,882500,885100,889100,892300,894700,897400,901500,904600,907000,909900,914000,918800,925100,930000,934100,939600,943700,944200,945000,946300,947500,950100,954200,958500,962800,968900,974700,979200,984600,990200,992800,993300,994700,998500,1003900,1008500,1012600,1016700,1022100,1027600,1036000,1046200,1053300,1058100,1065700,1074100,1080600,1086000,1087400,1087600
581,"Kings County","NY","New York-Newark-Jersey City","36","047",7,225800,226200,226600,226800,227000,227200,227400,227600,228200,229100,230000,230600,231200,231900,232700,233700,234900,236500,238300,240300,242700,245300,247800,250100,252400,254400,256100,257500,258800,260200,261700,263400,265600,268200,270800,273300,276200,279200,282400,285800,289400,293100,297000,301100,305900,311100,316400,321500,326600,331300,335600,339500,343100,346700,350400,354600,359500,365000,370800,377000,383300,389400,395100,400800,406900,413500,420800,428400,435600,441100,443300,441900,437900,433000,428800,426300,425900,427500,430400,434100,438200,443500,451200,461800,475400,491500,508900,524900,537100,545000,550200,554100,557900,562500,567800,573900,580400,587500,595300,604500,615300,627700,641100,654400,666800,678000,688200,698000,707500,715800,723500,732100,741900,752500,762500,771000,777500,781900,784600,787600,792600,799000,805400,811600,816200,818200,817500,815600,813700,813000,812700,813000,813300,811700,807900,804500,801800,799400,797000,795700,796500,800100,805000,811100,817200,820400,819200,816000,812000,807700,803000,798000,792700,787900,782500,778000,774000,768900,761300,754800,750300,748300,748300,750100,755300,759900,761700,752400,736600,728100,733400,736100,732200,725400,723900,726600,728000,726700,732600,747100,760300,766500,769500,772100,774500,777200,778200,777000,774500,773300,771900,770000,770100,771000,770000,771500,776600,783400,791700,800500,807800,814200,817100,820000,827400,839200,850600,861500,872800,887300,901300,911700,921800,933300,942400,950100,960100,972400,982700,991000,1001600,1012700,1018900,1024600,1032600,1041600,1047900,1056400,1068900,1080900,1090900,1105200,1124200,1140400,1153900,1165400,1175100,1181300,1191900,1204200,1212900,1218000,1225600,1233100,1238700,1243100,1248400,1256900,1267400,1277400,1285700,1296400,1303400,1305800,1306300,1309800,1312800,1316500,1318000,1316900,1316300,1322900,1333800,1342300,1347300,1348800,1348000,1348400,1350300,1349400,1347700
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,173300,173300,173100,172900,172500,172100,171800,171600,171800,172200,172600,172900,173300,173800,174300,174700,175200,175700,176200,176800,177600,178400,179000,179400,179500,179600,179600,179700,180100,180800,181600,182500,183400,184300,185000,185500,186000,186600,187400,188100,188700,189400,189900,190500,191100,192000,193000,194200,195600,197000,198600,200200,201800,203500,205300,207200,209300,211400,213500,215600,217900,220400,223200,226100,229200,232300,235500,238600,241900,245100,248200,251200,254200,257000,259900,262700,265600,268600,271800,275300,279200,283100,287100,291000,294700,298100,301300,304300,307200,310200,313400,316700,320300,324400,328900,333800,338900,344200,349900,355900,362000,368400,375100,382100,389400,396900,404200,411700,419900,428600,438000,447600,456900,465500,473300,480300,487300,494600,502300,510900,519800,527800,534400,539300,542600,544700,546000,546500,547000,547600,547600,547200,546900,546100,544800,542900,539900,536200,531500,525100,517000,507600,496300,483800,470800,457800,445100,434200,424300,414900,405300,395300,385700,377300,368800,359900,351000,341700,333300,328100,325600,324400,323800,322900,322200,322400,322900,320700,317300,315400,314900,312800,309400,305800,304100,304800,304300,302000,301300,303400,305500,307200,307700,306900,306100,306400,306800,307700,310100,312100,313800,316700,320600,324500,327800,331200,335000,337700,339000,341300,344200,347200,350300,353900,358000,363200,368600,373800,377800,381700,385300,388600,392200,396900,400700,403600,406800,409700,412900,417300,422800,427200,430100,431900,433400,434400,435500,437500,440200,443200,445900,447700,449700,453400,457200,458800,459000,460100,463000,467200,470500,472200,474100,476400,476500,476300,478700,483200,487000,489300,489300,488500,489100,490500,491900,494000,496000,497900,499700,500400,500700,503600,508500,512200,513900,515000,515800,515800,515800,516200,516700
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,193700,194100,194700,195300,196000,196700,197400,198200,198900,199400,199800,200100,200400,200800,201200,201500,201700,201800,202100,202700,203500,204700,206100,207300,207800,207700,207200,206400,205600,205000,204600,204800,205600,206800,208100,209000,209700,210200,210500,210800,211100,211400,211800,212100,212500,212700,212800,212800,212700,212700,212800,213200,213700,214300,214800,215000,214700,214200,213400,212700,212200,211900,211900,212000,212300,212800,213300,213900,214300,214600,214800,215000,215300,215900,216500,217300,218100,218800,219300,219800,220000,220200,220500,220800,221100,221400,221600,221500,221300,221000,220700,220700,221200,222500,224300,226400,228200,229600,230600,231300,231800,232300,232900,233500,234200,234900,235600,236500,237700,238900,240300,241800,243200,244300,245300,246200,247300,248500,249800,251100,252400,253300,253900,254600,255400,256400,257500,258500,259300,259800,260000,260500,261100,261600,262000,262400,262600,262800,262800,262600,262000,260700,258600,256500,254800,253300,252200,251700,251400,251000,250700,250500,250500,250700,250600,250500,250400,249800,249000,248500,248200,248100,248100,248300,247700,247600,248600,248400,246400,245900,246100,245300,244700,244700,244200,243500,243000,242600,242000,241400,241200,241300,241100,240600,240200,240200,240400,240700,241100,241400,241200,241300,241800,242300,243100,244000,244300,244100,244100,244500,244900,245200,245600,246600,248000,249000,249800,251100,252600,253300,253700,254800,255900,256500,257200,258200,259700,261300,262700,264400,266600,268800,270700,272500,274600,276800,279100,281900,284600,286700,288400,289900,291400,293200,295100,297500,300000,302000,303700,305900,308500,311300,315600,320600,324800,328300,333000,337300,340600,344300,349100,354000,358400,362300,365100,367400,369900,373000,374700,374900,375500,378400,382100,385200,387300,388500,388400,388200,388500,389700,391300
1347,"Queens County","NY","New York-Newark-Jersey City","36","081",10,242500,243100,243900,244500,245000,245400,245700,246100,246600,247100,247400,247400,247700,248300,249200,250500,251800,253400,255100,256900,258900,260800,262300,263600,264900,266600,268500,270700,272900,275000,277100,279100,281100,283000,284700,286300,288600,291600,295200,299100,303200,307300,311300,315400,319800,324100,327900,331400,335200,339200,343300,347300,351100,354700,358000,361300,364400,367000,369000,370900,373400,377100,381800,387300,393200,399400,405400,411100,415700,418400,418500,417200,415700,415100,415400,416000,416600,417300,418700,420700,425300,435000,450600,468900,484000,492200,494900,495000,494900,496200,499500,504400,510300,516300,521800,527400,534300,542800,552600,562900,573000,582900,592300,601100,608600,614400,618800,623300,629000,636200,644500,653500,662800,672200,681500,690200,698100,704300,708500,711800,715200,719100,722600,724800,724700,721500,715100,707100,699400,693600,689900,688000,687000,686200,684800,683000,681400,680200,679200,678600,677500,675400,672200,668300,663200,657300,651600,647200,643900,640900,638000,635800,633800,631500,628700,626100,623700,621300,619000,618500,619200,620000,621300,623700,627400,630000,630100,628400,625400,622300,622800,625900,625000,619100,615700,613000,611100,611200,614900,616700,618800,621500,621900,617900,616900,621100,622400,618900,613500,609200,605400,603200,600900,599100,598600,597700,596900,599600,603800,606900,609100,610900,612800,616200,621900,628800,633900,637500,641500,645900,650700,657000,663800,670700,677800,684100,688700,692300,696400,702800,710400,715000,718000,723900,732300,739300,744900,751600,757700,761800,767600,775800,781900,785200,789800,795700,799500,802500,805900,809200,813100,817200,820300,823200,827600,830200,832600,838300,846200,851500,854000,857200,862900,870000,875100,879500,884800,891400,897500,902100,904400,907500,910900,915700,921000,927000,932000,935400,936800,939900,942900
