RegionID,RegionName,SizeRank,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
9,California,1,15.33,16.38,15.88,18.52,20.71,23.81,26.55,28.69,25.48,16.52,15.64,18.56,16.62,18.21,12.09,11.99,13.6,22.68,18.78,15.34,14.19,16.51,14.29,17.14,13.47,11.97,14.74,16.48,13.89,14.02,12.63,14.23,16.21,13.95,9.58,10.49,13.26,12.65,14.57,12.1,11.84,13.53,10.87,11.13,11.35,8.96,8.27,9.34,9.71,7.76,6.02,5.25,4.93,4.85,4.74,5.56,6.09,5.75,4.61,4.13,3.5,2.33,2.38,2.31,1.73,1.3,1.59,1.61,1.88,2.08,1.82,2.07,2.18,1.59,1.96,1.89,1.69,1.61,1.82,1.59,1.71,1.66,1.41,1.83,1.45,1.27,1.41,1.58,1.3,1.45,1.25,1.18,1.18,1.15,1.14,1.4,0.99,0.97,1.02,0.96,0.81,0.97,1.01,0.95,0.87,0.83,0.85,0.86,0.87,0.71,0.77,0.48,0.53,0.61,0.53,0.6,0.68,0.61,0.48,0.54,0.49,0.38,0.54,0.5,0.46,0.5,0.53,0.51,0.41,0.45
54,Texas,2,2.66,3.83,2.94,2.95,3.41,2.95,2.62,3.11,2.78,2.73,2.69,2.47,3.14,3.08,2.32,2.37,3.02,2.76,3.8,2.9,2.61,3.54,3.56,3.34,3.56,3.02,3.33,3.94,2.83,2.96,3.14,2.64,3.44,3.3,2.33,3.46,2.81,2.34,2.5,2.81,2.24,2.95,2.28,2.38,2.26,2.3,3.1,2.98,3.12,3.29,3.15,2.39,2.75,2.85,3.07,2.85,2.14,2.1,2.53,2.07,1.46,1.9,1.58,1.48,1.23,1.58,1.52,2.91,1.82,1.71,1.55,1.42,1.69,1.36,1.51,1.33,1.58,1.39,1.35,1.15,1.32,1.44,1.29,1.45,1.56,1.23,1.33,1.35,1.21,1.15,1.06,1.01,1.11,1.23,0.97,1.15,1.18,0.89,0.98,0.9,0.75,0.91,0.66,0.75,0.85,0.51,0.69,0.88,0.86,0.79,0.8,0.66,0.7,0.83,0.65,0.63,0.56,0.55,0.55,0.56,0.6,0.57,0.68,0.67,0.81,0.91,0.77,0.84,0.67,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.27,0.23,0.21,0.34,0.25,0.32,0.29,0.29,0.24,0.24,0.33,0.33,0.35,0.31,0.22,0.44,0.22,0.31,0.24,0.18,0.21,0.2,0.24,0.31,0.22,0.25,0.3,0.3,,
14,Florida,4,1.99,1.93,2.44,2.79,2.67,3.7,3.16,3.08,3.91,4.24,2.95,3.37,3.02,3.12,3.4,2.89,3.58,4.65,4.6,4.93,4.93,4.38,4.31,5.69,4.08,4.69,5.81,6.37,7.32,10.08,7.91,8.57,8.69,8.07,5.55,4.72,3.66,3.42,3.6,3.37,3.54,4.39,4.14,4.42,3.41,3.95,4.05,4.17,3.74,4.42,4.11,3.49,3.21,3.34,3.23,3.86,3.43,4.21,3.64,3.63,4.18,4.71,4.42,4.21,4.73,4.63,5.38,4.93,4.6,5.31,4.48,5.14,4.77,5.09,5.11,5.2,4.34,4.55,5.05,4.75,4.52,4.92,3.58,4.19,3.42,4.22,3.95,3.51,3.11,2.97,2.8,2.27,2.1,2.13,1.9,2.1,1.98,1.91,1.77,1.09,0.99,0.84,1.04,0.84,0.5,0.38,0.37,0.35,0.42,0.33,0.5,0.33,0.46,0.44,0.42,0.47,0.39,0.36,0.44,0.27,0.47,0.54,0.44,0.35,0.5,0.31,0.33,0.44,0.39,
21,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,9.84,10.64,10.74,8.27,5.01,5.06,4.82,4.83,5.05,5.28,5.01,6.2,5.78,4.41,5.03,6.64,3.87,4.84,4.66,4.25,5.42,4.85,4.44,4.83,4.9,5.21,4.47,4.24,3.75,3.94,3.35,3.64,3.41,2.14,2.44,3.09,2.9,4.83,3.25,3.56,2.59,2.69,2.64,2.96,3.41,2.48,2.29,2.12,2.63,4.72,2.51,2.89,2.53,3.1,2.63,2.54,2.97,2.57,2.39,2.38,2.47,3.9,2.53,3.18
47,Pennsylvania,6,1.51,2,2.03,1.56,1.95,1.72,1.95,1.73,1.53,1.71,1.75,2.06,1.82,2.15,2.1,1.58,1.38,1.76,1.98,2.24,1.8,1.82,1.68,2.09,1.23,1.64,2.84,2.35,1.65,2.89,3.15,2.92,2.73,2.78,2.97,2.31,1.92,1.89,1.98,1.97,1.93,2.52,2.68,2.38,1.89,2.25,2.14,2.11,1.95,2.4,2.36,2.12,2,2.5,2.47,2.06,1.71,2.53,1.9,2.27,2.51,2.09,2.69,2.36,2.94,2.89,2.69,3.08,2.81,2.67,2.43,3.11,2.43,2.38,3.21,2.91,2.87,3.36,3.58,4.32,3.33,4.31,2.8,3.44,3.31,2.98,3.64,3.69,3.15,4.02,3.7,3.18,3.55,3.59,2.92,3.33,2.76,2.61,2.42,2.19,2.74,2.44,2.79,2.35,2.22,1.86,2.25,2.84,2.66,2.36,3.35,2.42,2.56,2.91,2.97,2.79,2.8,2.29,2.31,1.7,2.15,2.38,2.27,1.53,2.38,1.91,2.34,2.27,2.2,
44,Ohio,7,3.73,3.24,3.34,3.94,4.35,4.05,4.15,3.97,3.82,4.29,3.39,3.79,3.84,3.44,3.64,3.13,3.28,3.81,3.43,4.21,3.77,5.23,3.83,4.48,4.01,4.58,5.66,5.36,5.07,4.84,4.1,4.02,3.96,3.91,4.15,4.1,3.93,3.34,3.86,3.83,3.56,3.91,3.17,4.79,3.95,3.72,3.19,3.76,3.78,3.42,4.09,4.06,4.79,4.17,4.17,5.83,5.14,6.59,5.28,5.76,6.45,5.57,6.11,6.26,5.89,5.66,6.18,5.99,5.16,5.82,4.44,4.29,4.03,4.39,4.09,4.48,4.87,4.93,4.46,3.83,4.46,5.64,4.63,4.88,4.75,4.08,4.73,4.76,4.26,4.19,4.17,3.76,4.31,3.59,2.81,3.04,2.78,2.73,3.43,3.09,3.77,3.7,3.15,3.44,3.09,3.29,2.81,2.96,2.87,2.89,3.85,3.48,3.97,4.53,3.31,4.1,4,4.1,3.66,3.16,3.2,2.8,3.09,3.31,3.09,3,2.67,2.66,3.16,
30,Michigan,8,17.78,14.28,15.24,16.8,14.76,13.75,14.24,13.13,13.53,14.76,11.25,10.41,10.49,11.43,7.38,13.15,11.34,13.57,14.09,8.38,8.08,12.66,10.35,13.95,14.22,12.13,15.34,14.26,11.77,14.15,12.07,11.47,11.49,12.25,7.28,7.98,10.23,9.99,13.37,9.44,7.33,8.89,8.13,9.44,8.87,7.64,7.81,8.72,8.78,7.69,7.77,6.16,7.35,7.68,8.96,8.63,7.88,7.78,7.36,6.61,7.29,5.02,6.29,6.58,5.75,5.18,5.82,5.22,4.37,5.69,4.13,4.66,4.99,4.07,4.76,3.76,3.54,3.44,2.82,3.47,3.83,3.84,3.05,3.07,3.45,3.05,3.95,3.81,2.76,3.72,2.87,2.6,3.07,3.01,2.63,2.96,3.43,2.43,2.89,2.65,2.55,2.56,1.93,2.02,2.33,1.73,1.93,2.25,2.08,1.78,2.27,1.67,2.37,2.03,2.12,2.07,1.9,1.95,1.71,1.62,2.38,1.68,1.85,1.6,1.46,1.65,1.39,1.54,1.35,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.11,17.59,19.63,20.26,19.28,19.51,23.39,21.45,20.52,15.88,17.05,14.28,12.86,16.21,13.53,10.78,9.66,8.97,7.93,9.04,12.25,10.82,9.75,8.87,6.84,10.57,9.33,8.98,7.93,8.6,8.74,8.72,9.38,8.76,8.93,7.88,6.34,8.14,7.5,7.05,7.18,4.18,3.67,4.1,3.78,4.97,5.17,3.94,4.59,5.3,4.57,4.53,4.79,3.99,5,2.76,2.9,3.76,2.31,3.06,3.34,2.3,2.73,2.88,2.41,2.38,2.5,1.96,2.28,2.74,1.77,2.38,1.9,1.47,1.88,1.7,1.81,1.78,1.97,1.31,1.94,1.51,
36,North Carolina,10,3.43,3.41,3.78,3.91,4.44,3.54,3.9,3.75,3.65,4.03,3.49,3.61,3.18,3.12,3.02,2.46,2.7,4.43,4.97,4.85,4.58,4.94,4.64,5.88,4.19,5.62,7.02,6.13,6.12,7.22,6.21,6.88,6.65,6.22,4.86,4.4,3.67,3.39,3.54,2.87,3.34,3.77,3.27,4.04,3.86,4.41,4.34,5.6,5.36,5.28,5.58,5.51,5.29,4.79,4.46,3.48,3.76,3.74,2.72,3.44,3.57,3.79,4.11,4.94,4.51,3.3,3.91,3.38,4.09,4.74,3.34,3.39,3.49,3.07,3.81,3.36,3.51,3.13,2.92,2.83,2.73,3.11,2.18,2.79,2.5,2.39,2.7,1.73,1.26,2.09,2.4,1.89,1.8,1.73,1.41,1.54,1.62,1.75,2.05,1.74,1.89,1.88,1.8,1.7,1.58,1.52,1.28,1.24,1.14,1.2,1.46,1.35,1.59,1.34,1.26,1.51,1.33,1.58,1.53,1.61,1.34,1.05,1.39,1.5,1.25,1.3,1.08,1.3,0.82,
40,New Jersey,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.68,0.4,0.53,0.47,0.33,0.33,0.26,0.34,0.3,0.29,0.39,0.3,0.38,0.56,0.45,0.6,0.7,0.76,0.71,0.83,0.72,0.71,0.78,0.76,0.8,0.95,0.93,1.1,1.06,1.15,1.27,1.37,1.04,1.33,1.26,1.22,1.98,1.68,1.95,2.21,2.72,2.52,2.45,2.6,2.17,2.98,1.95,2.31,2.8,2.67,3.18,2.3,1.76,1.71,1.85,2.23,2.22,1.63,2.99,2.61,4.34,3.4,3.87,3.9,3.82,4.46,4.15,4,3.32,3.45,2.85,2.75,3.23,3.35,3.32,3.38,2.43,3.18,2.27,
56,Virginia,12,1.11,1.73,1.84,1.72,2.55,2.55,3.23,3.44,2.71,4.05,2.67,2.53,2.44,2.34,2.31,2.27,1.99,3.2,3.31,3.13,2.65,2.26,2.08,2.02,2.52,2.34,3.21,3.18,2.89,3.56,3.27,4.25,3.97,3.64,3.35,2.38,2.25,2.55,2.79,2.61,2.89,2.85,2.87,3.2,3.04,3.17,2.79,2.9,2.69,2.84,2.57,2.38,2.4,2.54,1.92,2.12,1.8,1.68,1.75,1.8,2.34,2.14,2.44,2.42,1.98,2.01,2.13,2.7,2.04,2.21,1.53,1.49,1.51,1.36,1.67,1.78,1.29,1.38,1.53,1.39,1.65,2.26,2.07,1.98,2.59,1.84,1.98,2.03,1.64,1.54,1.91,2.12,1.89,2.09,2.19,2.09,2.12,2.42,2.51,1.7,1.76,1.98,1.93,1.87,2.02,1.78,1.87,1.79,1.72,1.34,1.65,1.61,1.87,1.92,1.82,1.71,1.79,1.81,1.23,1.69,1.58,1.59,1.85,1.69,1.76,1.58,1.57,1.65,1.34,
59,Washington,13,1.61,1.26,1.23,1.31,1.59,1.55,1.79,1.53,1.89,2.42,2.14,2.18,2.95,2.58,2.08,2.35,2.99,2.97,4.18,4.12,3.83,4.53,2.84,3.05,2.65,3.25,2.49,2.55,2.95,3.77,4.75,5.92,6.28,6.09,4.18,5.02,4.82,3.66,3.75,3.46,4.02,4.01,3.85,4.71,4.43,3.52,3.78,2.88,2.14,1.94,1.9,1.8,1.93,2.16,2.23,2.52,2.33,1.84,2.19,3.07,2.68,2.39,2.41,3.72,3.12,2.08,2.55,2.5,2.67,2.92,2.18,2.43,3.41,2.38,2.06,2.43,2.32,2.42,2.5,2.37,2.6,3.06,2.59,3.04,2.88,2.28,2.17,2.17,1.62,2.02,2.47,1.93,1.97,1.7,1.27,1.8,1.53,1.82,1.89,1.58,1.76,1.59,1.33,1.51,1.62,1.52,1.24,1.53,1.27,1.01,1.14,1.07,1.05,1,0.8,1.18,0.66,0.9,0.62,0.66,0.8,0.86,1.06,0.82,0.89,0.95,0.62,0.86,0.62,0.85
26,Massachusetts,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.4,1.13,1.32,1.39,1.43,1.57,1.81,1.65,1.6,1.53,1.26,1.49,1.73,1.6,1.95,2.68,1.91,2.05,1.94,1.59,2.77,2.39,2.38,1.43,2.07,2.06,2.04,2.51,2.07,2.03,1.75,1.58,1.98,1.73,1.68,1.52,1.47,1.81,1.19,1.66,1.6,1.75,1.78,1.36,1.72,1.13,
22,Indiana,15,5.63,6.87,6.53,7.2,6.5,6.08,6.51,4.9,5.85,6.31,5.52,5.17,4.59,4.76,4.65,5.42,4.8,6.38,6.31,5.87,5.3,5.45,4.16,4.94,5.05,6.27,5.86,4.98,6.11,6.05,5.07,6.4,6.8,6.15,4.66,4.6,4.31,3.92,4.57,4.09,3.68,5,3.62,4.56,3.61,4.75,5.75,5.9,7.26,6.57,7.08,5.42,5.51,5.22,4.44,6.57,4.64,4.88,5.67,4.79,5.06,5.3,4.08,4.2,3.47,3.13,2.7,3.61,3.04,3.42,3.83,3.29,3.67,5.83,4.02,5.19,4.8,3.75,3.74,4.8,3.34,4.23,2.69,3.94,2.95,4.05,3.73,3.9,3.04,3.43,4.01,3.93,2.63,3.63,3.32,3.63,3.4,3.84,3.65,3.9,2.98,2.82,2.06,2.68,2.41,2.59,1.89,2.15,3.01,2.14,2.96,2.34,2.12,2.88,1.94,2.29,2.42,2.98,2.96,2.33,3.22,2.7,2.97,2.3,2.62,1.9,1.81,2.15,2.01,
8,Arizona,16,7.68,8.38,8.23,11.64,12.08,12.15,14.72,14.62,15.59,16.75,14.53,15.02,17.21,17.75,12.64,11.91,14.27,18.02,19.43,14.58,14.59,16.37,12.64,13.94,14.51,15.59,17.05,15.12,14.42,15.3,16.13,17.1,17.82,16.72,12.26,13.62,17.42,13.76,16.52,12.64,12.07,12.04,8.95,9.58,8.19,6.22,6.37,7.47,7.9,6.04,6.62,5.26,6.75,5.64,6.65,7.03,5.78,6.24,5.05,4.62,5.14,3.97,3.63,4.15,3.41,2.89,3.28,3.24,2.94,2.93,3.01,3.32,2.98,2.67,2.85,2.32,2.47,2.26,2.44,1.96,1.9,2.15,1.57,2.02,1.84,1.62,1.91,1.75,1.37,1.49,1.62,1.38,1.47,1.55,1.33,1.38,1.34,1.34,1.33,1.11,1.37,1.46,1.46,1.58,1.3,1.3,1.26,1.14,1.1,0.68,0.96,0.72,0.81,0.84,0.9,1.03,0.85,0.94,1.1,0.79,0.83,0.67,0.78,0.47,0.66,0.49,0.57,0.55,0.39,0.56
53,Tennessee,17,3.5,2.97,3.54,3.32,3.06,3.07,3.46,2.51,2.8,2.76,2.44,2.79,2.39,3.32,3.28,2.68,2.39,3.79,3.99,3.71,3.13,3.35,3.37,3.79,3.54,3.6,4.5,3.54,3.43,3.25,3.61,3.48,2.94,2.27,1.83,2.22,1.94,3.32,3.21,3.05,3.09,3.1,2.62,2.74,3.18,3.06,2.93,3.29,4.37,4.49,3.73,3.18,3.2,2.15,2.29,2.4,2.11,2.68,1.57,2.13,2.01,1.77,1.99,2.59,2.02,1.61,1.97,1.71,2,1.89,1.65,1.74,1.73,1.35,1.63,1.85,1.53,1.38,1.6,1.45,1.62,1.78,1.26,1.57,1.45,1.43,2.07,1.75,1.28,1.51,1.56,1.66,1.39,1.51,1.57,1.34,1.03,0.94,1,0.75,0.99,0.86,1.67,1.36,1.38,1.43,1.5,1.41,1.66,1.37,1.52,1.41,1.55,1.57,1.19,1.27,1.33,1.48,1.21,1.1,1.65,1.26,1.47,1.48,1.36,1.22,1.58,1.07,1.08,
