"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY, NY","New York, NY",0,5.57347822395789,95.73,,0.02,677500,0.504376205310785,5.56248052352758,0.0628531365313654,,0.0548801716243005,0.137144292368216,160
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA, CA","Los Angeles-Long Beach-Anaheim, CA",1,5.56413957042194,96.37,0.0045,0.49,682600,0.411885848779053,6.12562189054726,0.0462335188983298,,0.0459386347503299,0.0205584142257452,64
"City","Chicago","Chicago","IL","Chicago, IL, IL","Chicago, IL",2,1.04847610153663,81.92,0.026,3.73,228600,0.175284837861525,2.74157303370787,0.0641382327209099,,0.220721647798827,0.037373425848075,97
"City","Houston","Houston","TX","Houston, TX, TX","Houston, TX",3,2.57237456490364,80,0.0062,0.48,181800,0.165289256198347,6.81551116333725,0.0267546754675467,,,,77
"City","San Antonio","San Antonio","TX","San Antonio, TX, TX","San Antonio, TX",4,2.32617369895577,50,0.0083,0.52,172400,0.700934579439252,8.97597977243995,0.0239907192575406,,,,63
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA, PA","Philadelphia, PA",5,4.46812123270227,87.6,0.0213,,154400,0.915032679738562,11.3997113997114,0.153283678756477,,0.152207448911034,0.069764364141418,81
"City","Phoenix","Phoenix","AZ","Phoenix, AZ, AZ","Phoenix, AZ",6,5.7594023261737,88.21,0.0063,0.72,237700,0.805767599660729,8.78718535469108,0.0464493058477071,,0.0910698611818209,0.0151865453288485,60
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV, NV","Las Vegas, NV",7,4.4834026657611,81.94,0.0136,0.33,272000,1.00259933160045,15.5480033984707,0.0750294117647059,,0.101027047911701,0.0533311183404519,55
"City","San Diego","San Diego","CA","San Diego, CA, CA","San Diego, CA",8,4.42057899651923,96.79,0.0043,0.52,629000,0.0954805856142584,5.50150956055015,0.039691573926868,,0.0546122289120574,0.00927683709716221,54
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX, TX","Dallas-Fort Worth, TX",9,8.53807623737159,96.65,0.0047,0.46,198400,0.659563673262303,12.3442808607022,0.106285282258064,,,,70
"City","San Jose","San Jose","CA","San Jose, CA, CA","San Jose, CA",10,9.21300619747007,97.97,0.0022,0.14,1098400,0.438917337234821,15.2933767187992,0.161967407137655,,0.0200711195490061,0.00720850968891117,45
"City","Austin","Austin","TX","Austin, TX, TX","Austin, TX",11,5.73563120808218,100,0.0014,0.04,357800,0.675295441755768,9.4859241126071,0.020279485746227,,,,59
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL, FL","Jacksonville, FL",12,5.40113761779438,80.76,0.0056,,170700,0.826934435912581,9.70437017994859,0.116080843585237,,0.134581080859625,0.0222326285802517,70
"City","San Francisco","San Francisco","CA","San Francisco, CA, CA","San Francisco, CA",13,8.75965701672468,98.6,0.0019,0.13,1387700,0.769733497930433,8.15213155638688,0.075495424083015,,0.027972206902484,0.00310943058961389,42
"City","Indianapolis","Indianapolis","IN","Indianapolis, IN, IN","Indianapolis, IN",14,2.04856099838696,,,1.72,135400,1.2715033657442,13.1161236424394,-0.0267725258493353,,0.104144487708379,0.0418679219755584,61
"City","Charlotte","Charlotte","NC","Charlotte, NC, NC","Charlotte, NC",15,5.55649885389252,91.03,0.0039,0.65,218900,0.875576036866359,10.5555555555556,0.0513796253997258,,0.0752370329405037,0.0232715050632351,57
"City","Fort Worth","Fort Worth","TX","Dallas-Fort Worth, TX, TX","Dallas-Fort Worth, TX",16,8.13226929280924,98.67,0.0046,0.18,190400,0.900900900900901,10.6976744186047,0.0914653361344537,,,,55
"City","Columbus","Columbus","OH","Columbus, OH, OH","Columbus, OH",17,1.58672213260888,85.8,0.0453,5.31,148900,0.472334682860999,7.43145743145743,0.0659368703828072,,0.0934803083529398,0.0373075401756365,55
"City","Tucson","Tucson","AZ","Tucson, AZ, AZ","Tucson, AZ",18,1.52474743187028,85.25,0.0181,1.14,185100,0.488599348534202,7.49128919860627,0.00629389519178813,,0.109530203058142,0.0235760281892723,62
"City","Louisville","Louisville","KY","Louisville-Jefferson County, KY, KY","Louisville-Jefferson County, KY",19,0.666440275065795,88.8,0.0021,397.35,157700,0.254291163382072,4.85372340425532,-0.0026759670259987,,0.0807210790060542,0.033225243545668,63
"City","El Paso","El Paso","TX","El Paso, TX, TX","El Paso, TX",20,0.309873503693013,0,0.0223,0.87,126300,0.158604282315623,4.20792079207921,0.0027790973871733,,,,90
"City","Orlando","Orlando","FL","Orlando, FL, FL","Orlando, FL",21,3.62254860344681,82.48,0.002,0.3,234200,-0.0426803243704652,9.69555035128806,0.0472331340734415,,0.0857077605572843,0.0184922824390915,71
"City","Denver","Denver","CO","Denver, CO, CO","Denver, CO",22,7.13048645895237,98.89,0.0021,0.15,421500,0.668736565560067,7.91090629800307,0.0558481613285884,,0.0595263200829081,0.00291006778824578,51
"City","Seattle","Seattle","WA","Seattle, WA, WA","Seattle, WA",23,3.8763901859241,98.27,9e-04,0.27,733400,-0.27196083763938,2.63084242933109,0.020661303517862,,0.0445345966048763,0.00233167005267656,43
"City","Memphis","Memphis","TN","Memphis, TN, TN","Memphis, TN",24,0.459291960268274,80.73,0.0376,2.21,84200,0.477326968973747,6.85279187817259,0.0114251781472685,,0.168151551466546,0.04588482756617,64
"City","Boston","Boston","MA","Boston, MA, MA","Boston, MA",25,6.92164020714831,97.69,0.0103,0.54,593500,0.406022669599053,6.61038261181965,0.0872973883740522,,0.0756426076494724,0.0118640915208789,71
"City","Washington","Washington","DC","Washington, DC, VA","Washington, DC",26,4.44180320910094,97.68,0.0082,0.81,575800,0.629150646627053,5.1689497716895,0.0616481417158736,,0.117680047149887,0.033516757485504,64
"City","Nashville","Nashville","TN","Nashville, TN, TN","Nashville, TN",27,7.99473639527973,96.53,0.0015,0.16,261300,0.654853620955316,9.19348098620978,0.0846957520091849,,0.0573259182327749,0.00534291240024542,61
"City","Portland","Portland","OR","Portland, OR, OR","Portland, OR",28,3.50369301298922,99.04,0.0072,0.77,422400,-0.165445521153392,0.619342544068604,0.0157267992424241,,0.0443892525296475,0.00517334791354846,62
"City","Sacramento","Sacramento","CA","Sacramento, CA, CA","Sacramento, CA",29,3.50878682400883,93.14,0.0088,0.7,319500,0.093984962406015,5.58493060145407,0.0389859154929577,,0.0662313758814882,0.0208158693877816,55
"City","Baltimore","Baltimore","MD","Baltimore, MD, MD","Baltimore, MD",30,6.15502164869683,82.21,0.0649,,118700,1.27986348122867,25.6084656084656,0.131735467565291,,0.296473308735352,0.0568663179872382,109
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI, WI","Milwaukee, WI",31,1.00772561337974,80.62,0.0279,2.69,117600,0.684931506849315,9.3953488372093,0.051360544217687,,0.198968144782989,0.0435871619367621,69
"City","Fresno","Fresno","CA","Fresno, CA, CA","Fresno, CA",32,2.9162068087274,88,0.0162,1.18,235000,0.642398286937901,6.47938377888536,0.0522936170212767,,0.111875227036854,0.0290361898853212,57
"City","Omaha","Omaha","NE","Omaha, NE, NE","Omaha, NE",33,3.7227268868325,100,0.0049,0.93,170200,0.591016548463357,7.65338393421885,-0.00433607520564039,,0.0596983427786794,0.0171717658191205,54
