"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Metro","New York, NY",,"NY","New York, NY, NY","New York, NY",1,3.03112313937754,85.92,0.0103,1.83,433700,0.440018527095878,5.21591460456089,0.0606156329259857,,0.0891844896899217,0.105735292536183,122
"Metro","Los Angeles-Long Beach-Anaheim, CA",,"CA","Los Angeles-Long Beach-Anaheim, CA, CA","Los Angeles-Long Beach-Anaheim, CA",2,7.99729364005413,95.17,0.0063,0.41,648900,0.216216216216216,4.96603041087027,0.0407766990291263,,0.0466947281176877,0.0194917215132548,63
"Metro","Chicago, IL",,"IL","Chicago, IL, IL","Chicago, IL",3,0.554803788903924,76.26,0.0318,4.47,223200,0.314606741573034,5.18378887841659,0.0670071684587814,,0.154968444406652,0.0438002635396899,87
"Metro","Dallas-Fort Worth, TX",,"TX","Dallas-Fort Worth, TX, TX","Dallas-Fort Worth, TX",4,9.94587280108254,97.81,0.0031,0.3,235500,0.727117194183062,10.9279321714555,0.0869129511677282,,,,58
"Metro","Philadelphia, PA",,"PA","Philadelphia, PA, PA","Philadelphia, PA",5,0.54127198917456,83.17,0.0372,4.21,230200,0.261324041811847,4.49387199273718,0.0703258036490009,,0.115851932099466,0.0722135195337094,88
"Metro","Houston, TX",,"TX","Houston, TX, TX","Houston, TX",6,5.46684709066306,80.33,0.0068,0.58,202100,0.447316103379722,6.48050579557429,0.0337654626422563,,,,76
"Metro","Washington, DC",,"VA","Washington, DC, VA","Washington, DC",7,1.74560216508796,84.29,0.0254,1.11,401600,0.199600798403194,3.47848492656532,0.0349501992031873,,0.113023687636685,0.0387839095990131,73
"Metro","Miami-Fort Lauderdale, FL",,"FL","Miami-Fort Lauderdale, FL, FL","Miami-Fort Lauderdale, FL",8,9.05277401894452,85.88,0.0014,0.21,279700,0.430879712746858,7.82575173477255,0.0532034322488379,,0.0866136510737885,0.017470970769814,101
"Metro","Atlanta, GA",,"GA","Atlanta, GA, GA","Atlanta, GA",9,7.05006765899865,89.06,0.0179,1.73,212800,1.14068441064639,13.0712008501594,0.0689614661654134,,0.098732198362656,0.0293834333399019,62
"Metro","Boston, MA",,"MA","Boston, MA, MA","Boston, MA",10,6.48173207036536,94,0.013,1.3,459600,0.349344978165939,5.94744121715076,0.0886575282854656,,0.0444453967129662,0.0360060049461388,69
"Metro","San Francisco, CA",,"CA","San Francisco, CA, CA","San Francisco, CA",11,9.83761840324763,95.72,0.0037,0.28,967200,0.550992826697162,9.61015412511333,0.0703132754342433,,0.0305230570885493,0.0128913022432168,44
"Metro","Detroit, MI",,"MI","Detroit, MI, MI","Detroit, MI",12,4.41136671177267,88.53,0.0159,2.39,158300,0.507936507936508,9.3232044198895,0.0808212255211624,,0.108425831906759,0.0229615253361326,68
"Metro","Riverside, CA",,"CA","Riverside, CA, CA","Riverside, CA",13,4.47902571041949,88.75,0.0147,1.11,360700,-0.110772639158128,5.28312901342674,0.0424202938730247,,0.0738333238166353,0.0293847227927325,72
"Metro","Phoenix, AZ",,"AZ","Phoenix, AZ, AZ","Phoenix, AZ",14,6.9553450608931,87.39,0.0055,0.82,260400,0.618238021638331,7.51445086705202,0.0331413210445468,,0.0871606076237941,0.0159275817846457,58
"Metro","Seattle, WA",,"WA","Seattle, WA, WA","Seattle, WA",15,8.9851150202977,97.1,0.0061,0.98,488600,0.349147668925857,7.10214818062253,0.0606139991813344,,0.0501310343865253,0.0141263328409915,51
"Metro","Minneapolis-St Paul, MN",,"MN","Minneapolis-St Paul, MN, MN","Minneapolis-St Paul, MN",16,7.60487144790257,86.56,0.0066,0.99,264800,0.493358633776091,6.9035123132822,0.0555211480362539,,0.0639238466039885,0.0132873903255263,68
"Metro","San Diego, CA",,"CA","San Diego, CA, CA","San Diego, CA",17,8.43031123139377,94.92,0.006,0.46,589800,0.186852386614574,5.35905680600214,0.0443981010512038,,0.0532383894814062,0.0134481616429281,59
"Metro","St. Louis, MO",,"MO","St. Louis, MO, MO","St. Louis, MO",18,2.54397834912043,80.27,0.0209,,164500,0.673194614443084,5.92401802962009,0.0466322188449848,,0.119693749505181,0.0309733653447272,68
"Metro","Tampa, FL",,"FL","Tampa, FL, FL","Tampa, FL",19,9.07983761840325,86.01,0.0035,0.29,209700,0.575539568345324,9.73312401883831,0.0667477348593228,,0.0751191739799576,0.0198652290575473,76
"Metro","Baltimore, MD",,"MD","Baltimore, MD, MD","Baltimore, MD",20,0.378890392422192,79.58,0.0403,,266600,0.263256863482512,4.50803606428851,0.0344261065266316,,0.142308194334117,0.0474595582108362,91
"Metro","Denver, CO",,"CO","Denver, CO, CO","Denver, CO",21,9.74289580514208,98.33,0.0017,0.23,400900,0.476190476190476,6.22681505034446,0.0479620853080569,,0.0489016443433991,0.00370586210647071,54
"Metro","Pittsburgh, PA",,"PA","Pittsburgh, PA, PA","Pittsburgh, PA",22,2.38159675236806,91.26,0.0293,1.94,142700,0.28109627547435,6.73148840688108,0.0547512263489838,,0.0959763684885985,0.0327169361264218,78
"Metro","Portland, OR",,"OR","Portland, OR, OR","Portland, OR",23,7.69959404600812,98.12,0.0098,1.57,392300,0.204342273307791,4.80897675661234,0.0325516186591894,,0.0404860867558029,0.00924835276951013,61
"Metro","Charlotte, NC",,"NC","Charlotte, NC, NC","Charlotte, NC",24,8.17320703653586,90.07,0.007,0.92,201700,0.85,11.068281938326,0.0573921665840358,,0.0684058479560668,0.0257643408966384,63
"Metro","Sacramento, CA",,"CA","Sacramento, CA, CA","Sacramento, CA",25,6.71177266576455,90.9,0.0085,0.46,402600,0.224047796863331,4.73465140478668,0.0369547938400396,,0.0543355685554141,0.017518704437627,56
"Metro","San Antonio, TX",,"TX","San Antonio, TX, TX","San Antonio, TX",26,4.14073071718539,33.33,0.0059,0.67,189400,0.637619553666312,6.52418447694038,0.0238648363252376,,,,69
"Metro","Orlando, FL",,"FL","Orlando, FL, FL","Orlando, FL",27,8.55209742895805,82.52,0.0035,0.4,232300,0.432338953739732,9.78260869565217,0.0640378820490746,,0.0778474208348585,0.0169674999244034,77
"Metro","Cincinnati, OH",,"OH","Cincinnati, OH, OH","Cincinnati, OH",28,2.11096075778078,86.94,0.0215,2.96,164900,0.426309378806334,6.80051813471503,0.0606549423893268,,0.0942765562581538,0.0324366485738296,65
"Metro","Cleveland, OH",,"OH","Cleveland, OH, OH","Cleveland, OH",29,0.649526387009472,83.33,0.0459,3.48,143900,0.629370629370629,6.82999257609503,0.0418763029881863,,0.129950720764028,0.0510069494104636,71
"Metro","Kansas City, MO",,"MO","Kansas City, MO, MO","Kansas City, MO",30,5.72395128552097,79.5,0.0125,1.62,187300,0.698924731182796,9.27654609101517,0.0600480512546717,,0.0602522218908702,0.0216919658143443,58
"Metro","Las Vegas, NV",,"NV","Las Vegas, NV, NV","Las Vegas, NV",31,5.69688768606225,81.17,0.0154,0.45,276200,0.950292397660819,14.7486497714998,0.0738595220854454,,0.0992185617085967,0.0500770775914421,55
"Metro","Columbus, OH",,"OH","Columbus, OH, OH","Columbus, OH",32,3.82949932341001,88.38,0.0365,3.62,186000,0.75839653304442,8.32847990681421,0.0655806451612904,,0.0698190559250862,0.0297298157682224,60
"Metro","Indianapolis, IN",,"IN","Indianapolis, IN, IN","Indianapolis, IN",33,4.35723951285521,98.75,0.0198,1.9,159500,1.07731305449937,11.9298245614035,-0.019667711598746,,0.0739061963739184,0.0335550727193937,62
"Metro","San Jose, CA",,"CA","San Jose, CA, CA","San Jose, CA",34,9.98646820027064,98.24,0.0016,0.17,1290000,0.365673383645841,17.9482490628143,0.127324031007752,,0.0192141742464897,0.00783102287995782,45
"Metro","Austin, TX",,"TX","Austin, TX, TX","Austin, TX",35,8.4573748308525,89.66,0.0023,0.19,302100,0.43218085106383,6.48572435671484,0.0286726249586229,,,,66
"Metro","Virginia Beach, VA",,"VA","Virginia Beach, VA, VA","Virginia Beach, VA",36,0.13531799729364,80.8,0.0604,4.57,228500,0.263273365511189,2.92792792792793,0.0297811816192559,,0.166727542204876,0.0330254808477336,82
"Metro","Nashville, TN",,"TN","Nashville, TN, TN","Nashville, TN",37,9.72936400541272,95.24,0.0052,0.38,250900,0.682182985553772,9.65909090909091,0.0804105221203666,,0.0531732904601745,0.00858418549754613,62
"Metro","Providence, RI",,"RI","Providence, RI, RI","Providence, RI",38,3.20703653585927,85.29,0.0214,2.49,290400,0.58884655351576,7.11914422722243,0.0682747933884298,,0.0674953687891113,0.0576599504551445,78
"Metro","Milwaukee, WI",,"WI","Milwaukee, WI, WI","Milwaukee, WI",39,2.58457374830853,87.61,0.0205,1.18,225800,0.489541611036938,5.31716417910448,0.046390611160319,,0.0816827578996377,0.0308997563507768,66
"Metro","Jacksonville, FL",,"FL","Jacksonville, FL, FL","Jacksonville, FL",40,7.80784844384303,79.23,0.0047,,206500,0.731707317073171,9.6072186836518,0.0983874092009684,,0.104677855722272,0.0190497212530691,80
"Metro","Memphis, TN",,"TN","Memphis, TN, TN","Memphis, TN",41,1.81326116373478,82.06,0.0272,1.43,137300,0.586080586080586,10.1926163723917,0.0288638018936636,,0.118442947399191,0.0433743809767468,64
"Metro","Oklahoma City, OK",,"OK","Oklahoma City, OK, OK","Oklahoma City, OK",42,1.78619756427605,91.27,0.0166,2.62,144100,0.278357689631176,3.37159253945481,0.00993754337265784,,0.0896030281806803,0.0305957086169888,72
"Metro","Louisville-Jefferson County, KY",,"KY","Louisville-Jefferson County, KY, KY","Louisville-Jefferson County, KY",43,4.60081190798376,90.46,0.0041,0.97,159300,0.631711939355654,6.76943699731904,0.00239171374764591,,0.0795063317899909,0.0307599587693158,63
"Metro","Hartford, CT",,"CT","Hartford, CT, CT","Hartford, CT",44,0.216508795669824,76.23,0.0219,2.74,228000,-0.175131348511384,1.37839039573144,0.0238070175438596,,0.105117599550467,0.0556434325647991,87
"Metro","Richmond, VA",,"VA","Richmond, VA, VA","Richmond, VA",45,1.8809201623816,85.62,0.0248,2.1,225400,0.356188780053428,4.40018527095878,0.045075421472937,,0.0912170088314265,0.0272234893317246,66
"Metro","New Orleans, LA",,"LA","New Orleans, LA, LA","New Orleans, LA",46,2.28687415426252,87.64,0.0243,2.36,175800,1.20898100172712,2.44755244755245,0.0170932878270762,,0.116099871064736,0.0417750519562457,87
"Metro","Buffalo, NY",,"NY","Buffalo, NY, NY","Buffalo, NY",47,8.86332882273342,100,6e-04,0,158200,0.636132315521628,6.96416497633536,0.081472819216182,,0.0612437600129367,0.0437043277143673,84
"Metro","Raleigh, NC",,"NC","Raleigh, NC, NC","Raleigh, NC",48,8.18673883626522,94.1,0.0045,0.41,259900,0.386249517188104,6.16830065359477,0.0375644478645634,,0.0582166918882945,0.0165311059219778,60
"Metro","Birmingham, AL",,"AL","Birmingham, AL, AL","Birmingham, AL",49,0.527740189445196,83.66,0.0343,3.33,142100,0.70871722182849,6.8421052631579,0.0100774102744545,,0.150390544585138,0.0270022888829093,71
"Metro","Salt Lake City, UT",,"UT","Salt Lake City, UT, UT","Salt Lake City, UT",50,8.3085250338295,0,0.0033,0.32,348500,0.664355863662623,10.9166136218969,0.0438794835007175,,0.0437035025427455,0.00633020111854048,48
"Metro","Rochester, NY",,"NY","Rochester, NY, NY","Rochester, NY",51,1.70500676589986,83.33,0.0028,0.35,140600,-0.142045454545455,-4.09276944065484,0.00872688477951633,,0.073981991205102,0.0555994073172126,76
"Metro","Grand Rapids, MI",,"MI","Grand Rapids, MI, MI","Grand Rapids, MI",52,7.64546684709066,96.2,0.0093,1.58,187900,0.696677384780279,8.92753623188406,0.0514475784992017,,0.0483236257633281,0.0145929346105729,56
"Metro","Tucson, AZ",,"AZ","Tucson, AZ, AZ","Tucson, AZ",53,2.80108254397835,83.06,0.0175,1.11,202300,0.596718050721034,8.00854244527496,0.00731092436974801,,0.107373529013932,0.0237776553027321,65
"Metro","Urban Honolulu, HI",,"HI","Urban Honolulu, HI, HI","Urban Honolulu, HI",54,8.61975642760487,96.14,0.001,0,684300,0.0146156094709149,4.25045703839122,0.0118792927078766,,0.0454252671643976,0.0186915887850467,78
"Metro","Tulsa, OK",,"OK","Tulsa, OK, OK","Tulsa, OK",55,1.67794316644114,83.33,0.0181,2.6,135700,0.295639320029564,3.19391634980989,0.0602947678703021,,0.104031746740909,0.0353874827350395,76
"Metro","Fresno, CA",,"CA","Fresno, CA, CA","Fresno, CA",56,3.68064952638701,87.16,0.0115,1.29,244600,0.451745379876797,5.5675442382391,0.0496238757154539,,0.104924254889701,0.0283324621014114,58
"Metro","Worcester, MA",,"MA","Worcester, MA, MA","Worcester, MA",57,1.58322056833559,88.03,0.0509,3.64,272800,0.294117647058824,6.52089027723546,0.0671114369501467,,0.0679809153811208,0.0788547488568813,74
"Metro","Stamford, CT",,"CT","Stamford, CT, CT","Stamford, CT",58,0.974289580514208,75.72,0.0217,2.39,336700,0.32777115613826,2.52740560292326,0.0386189486189485,,0.112932604735883,0.0701507254542893,106
"Metro","Albuquerque, NM",,"NM","Albuquerque, NM, NM","Albuquerque, NM",59,2.48985115020298,80,0.0173,1.41,194900,0.567595459236326,6.56096227446692,0.0448589020010262,,0.110120157732742,0.0478268634763984,74
"Metro","Albany, NY",,"NY","Albany, NY, NY","Albany, NY",60,4.62787550744249,85,0.0049,0.45,218800,0.413033501606241,7.25490196078431,0.0756627056672761,,0.10338783882644,0.0555825664852213,93
"Metro","Omaha, NE",,"NE","Omaha, NE, NE","Omaha, NE",61,5.91339648173207,97.31,0.0055,0.79,171900,0.644028103044497,7.10280373831776,0.00244909831297258,,0.0622945184134827,0.0204527676974604,56
"Metro","New Haven, CT",,"CT","New Haven, CT, CT","New Haven, CT",62,0.148849797023004,70.53,0.0333,2.82,212000,0.283822138126774,3.26351680467608,0.0461981132075471,,0.161174296785304,0.0635538983805443,91
"Metro","Bakersfield, CA",,"CA","Bakersfield, CA, CA","Bakersfield, CA",63,2.69282814614344,85.38,0.0217,1.33,212500,0.472813238770686,5.77401692384271,0.0446870588235293,,0.150148836644189,0.0303447159734585,73
"Metro","Knoxville, TN",,"TN","Knoxville, TN, TN","Knoxville, TN",64,4.33017591339648,86.38,0.0201,1.12,165200,0.425531914893617,7.48210800260247,0.0472276029055689,,0.0891156918676168,0.0175116351129149,70
"Metro","Greenville, SC",,"SC","Greenville, SC, SC","Greenville, SC",65,7.32070365358593,92.54,0.0065,0.9,173800,0.695249130938586,8.89724310776942,0.0427100115074799,,0.0717178168217373,0.0268895804364788,68
"Metro","Ventura, CA",,"CA","Ventura, CA, CA","Ventura, CA",66,8.02435723951286,90.46,0.0081,0.53,601300,0.250083361120373,5.82541358676522,0.0685065691002826,,0.0530354045505561,0.0230858022316275,65
"Metro","Allentown, PA",,"PA","Allentown, PA, PA","Allentown, PA",67,0.717185385656292,83.26,0.0316,3.03,201300,0.599700149925038,6.96068012752391,0.0437257824143069,,0.100625355577232,0.0649099545600752,77
