"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"State","Alaska",,"AK",,,,4.31372549019608,85.63,0.0037,0.89,310400,0.0644745325596389,1.14043662430759,-0.0442880154639175,,0.0718582943609896,0.013900053178085,86
"State","Alabama",,"AL",,,,0.980392156862745,82.25,0.0268,2,129000,0.389105058365759,6.78807947019868,0.0108449612403101,,0.16220426527874,0.025933230196338,80
"State","Arkansas",,"AR",,,,3.33333333333333,83.92,0.0124,0.88,123600,0.48780487804878,6.09442060085837,0.0769498381877023,,0.148761837727774,0.0290931055946974,83
"State","Arizona",,"AZ",,,,6.86274509803922,86.93,0.0092,1.03,246800,0.69359445124439,8.00875273522976,0.0380024311183145,,0.0947475894916521,0.0188249503659316,63
"State","California",,"CA",,,,8.82352941176471,93.06,0.0087,0.6,546100,0.238619676945668,6.0182488837119,0.0770298480131844,,0.0544815235058489,0.0215051068313396,61
"State","Colorado",,"CO",,,,10,96.91,0.0024,0.36,370600,0.597176981541802,6.89356792616095,0.0920426335671884,,0.0560905004165,0.00871799348189531,57
"State","Connecticut",,"CT",,,,0.196078431372549,74.74,0.0271,2.75,241700,0.165768752590137,3.15834400341443,0.0375755068266446,,0.122552097930112,0.0623887862640578,93
"State","District of Columbia",,"DC",,,,5.68627450980392,97.68,0.0082,0.86,576100,0.62882096069869,5.16611902154071,0.0181392119423711,,0.119459129727532,0.035177304964539,64
"State","Delaware",,"DE",,,,0.588235294117647,74.06,0.049,4.53,232500,0.129198966408269,4.02684563758389,0.0490838709677419,,0.0910357218635153,0.0669528317511974,90
"State","Florida",,"FL",,,,8.03921568627451,83.98,0.0034,0.47,228700,0.439174352217831,8.13238770685579,0.0517184083952777,,0.0835033561553147,0.0198757117961813,89
"State","Georgia",,"GA",,,,5.09803921568627,83.98,0.0242,2.28,182200,1.22222222222222,10.9622411693057,0.0762568605927552,,0.11513277062594,0.0284779489369202,69
"State","Hawaii",,"HI",,,,8.23529411764706,93.17,0.0019,0.18,620100,0.161524794055888,6.40013726835964,0.0204273504273504,,0.0484082795495926,0.0290507717100029,90
"State","Iowa",,"IA",,,,4.70588235294118,92.31,0.0063,0.79,141500,0.497159090909091,4.89251297257228,0.0117667844522968,,0.0832732308488058,0.0234798174231174,72
"State","Idaho",,"ID",,,,9.01960784313725,89.73,0.0069,1.16,246200,1.48392415498763,14.1929499072356,0.0225060926076361,,0.0383636738612943,0.015183222913933,57
"State","Illinois",,"IL",,,,1.17647058823529,76.56,0.025,4.72,178000,0.451467268623025,5.01474926253687,0.0507640449438203,,0.163942584746205,0.0402509925511998,88
"State","Indiana",,"IN",,,,3.13725490196078,91.03,0.0247,2.29,139000,0.870827285921626,10.3174603174603,0.0248345323741008,,0.0812112213474075,0.0330301866542309,63
"State","Kansas",,"KS",,,,4.90196078431373,96.23,0.0139,1.37,137800,0.510576221735959,5.59386973180077,0.0313425253991291,,0.063205530639401,0.0247608902642035,61
