"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"United States",0,117.58691206544,117.535545023697,117.743874071146,117.770725812542,117.508463545871,116.69145780423,115.621986499518,114.309210526316,113.601473748849,112.587412587413,111.683848797251,109.379901759372,107.924377562065,107.171581769437,108.440797186401,108.310749774164,109.693644261546,109.841827768014,109.68869232571,109.428571428571,109.238451935081,108.561993795999,107.482078853047,106.565656565657,105.985037406484,106.227106227106,107.409663012586,107.852828583581,108.289768483943,108.377270064441,108.354591836735,107.913669064748,107.988721804511,107.637120470127,107.02479338843,106.470588235294,106.429942418426,107.758620689655,109.592757697471,111.733931240658,113.343637300361,114.233038348083,114.190476190476,114.214285714286,114.648630814913,114.209515300424,114.190476190476,113.053797468354,113.001027749229,114.427860696517,116.38198757764,118.75,120.412844036697,120.941558441558,121.120107962213,120.952195158204,120.829120323559,120.575190575191,120.100143061516,119.036259541985,119.565217391304,120.285661595205,121.894409937888,124.284491345806,126.878306878307,127.344521224087,126.859142607174,126.551538046411,126.660839160839,126.912075850532,126.643817544367,125.730994152047,125.594025797692,127.551020408163,129.988262910798,132.575757575758,133.922261484099,134.534161490683,134.476534296029,134.070490670352,134.585336538462,134.6018735363,133.878968253968,132.8073089701,132.572463768116,134.251175285426,136.421052631579,138.888888888889,140.892736950205,141.630901287554,141.272621132516,140.713556222655,141.153081510934,141.276252019386,140.738423028786,139.650655021834,140.094339622642,142.192387904067,144.444444444444,147.310838854268,148.891966759003,149.857142857143,150,149.727371864776,150.582944081558,150.907715582451
"New York, NY",1,236.494897194882,235.147849462366,238.666666666667,238.163420259588,242.217008024401,242.272727272727,239.339019189765,236.143914000674,238.020833333333,236.933649717077,236.068111455108,233.880778588808,232.173913043478,227.678571428571,231.696428571429,229.432013769363,229.096411586684,227.272727272727,225.2208047105,224.074074074074,223,221.729490022173,220.009263547939,220,219.148936170213,219.907407407407,220.530451866405,223.389355742297,224.137931034483,222.389527133224,220.6496471204,218.570366617235,219.69696969697,219.594594594595,217.33304805492,215.871332336489,217.532467532468,219.469273743017,222.37854021046,223.30394365015,223.540145985401,221.96805875989,221.299446749654,219.404924427109,220.351664796109,221.153846153846,226.23434045689,224.628206545776,226.855716878403,229.58904109589,232.230392156863,235.18192772837,238.384615384615,242.322629166004,239.479166666667,238.392857142857,238.230095947662,238.421509106678,238.333333333333,239.889943517104,241.71974522293,240.51724137931,240.740740740741,242.588588812699,239.759036144578,242.105263157895,245,243.888888888889,243.333333333333,243.870967741935,243.60318758231,242.165242165242,249.669073405535,249.995416666667,246.406570841889,252.324037184595,250.885753241066,250.557414293668,249.039692701665,246.905089408528,248.650330131044,249.6875,251.211619670459,249.821428571429,253.332,256.216277317257,257.539682539683,258.314855875831,263.292216078265,263.820605431001,263.948021722265,260.46986721144,264.401772525849,267.137096774194,270,271.426603157107,272.652838427948,265.55595959596,259.043962567616,263.717283696346,269.230769230769,269.679004517714,270.027378802213,268.921515175117,271.93381221139,273.076923076923
"Los Angeles-Long Beach-Anaheim, CA",2,280.448717948718,276.761339424525,279.5,280.105282546472,279.58635663994,278.068128791414,275.571586160809,275.856204550786,271.084337349398,267.050123253903,265.742216068016,260,257.018839346615,256.889096476205,256.594724220624,255.389408099688,256.043956043956,256.233662862053,255.102040816327,253.431034482759,250.160878156781,247.655550949017,243.901567944251,240.425531914894,239.61661341853,240.147498062345,242.203367319834,244.37037037037,247.925311203319,252.35531628533,255.318794326241,256.839754327191,257.747933884298,258.281573498965,260.642594775852,262.870987280436,268.949595998461,276.133144475921,288.562434417629,299.67871299393,308.803301237964,316.54390049312,320.909642497884,322.863741339492,324.675054112554,323.98753894081,323.980710214818,322.443891993562,322.795099785239,326.160672374098,328.118559356966,333.876221498371,338.189386056191,340.909090909091,342.319095203336,341.719077568134,342.800632911392,341.758094074527,342.6366937851,338.200064146801,336.903262564472,342.190416925949,346.62937972416,352.32706359478,358.263069139966,360.303807276233,362.066989620291,364.007813137646,364.766081871345,365.75405203213,364.20395421436,365.296803652968,367.517173699706,372.571601941748,376.733191035219,380.264173871217,382.764654418198,386.554621848739,387.557077625571,387.232524964337,387.755102040816,388.283378746594,388.305162174509,387.272727272727,390.399591094387,392.30464101547,399.037473304698,403.623558484349,406.653088934148,406.578724277632,407.268170426065,407.666941467436,408.16895267164,409.74358974359,411.089375927302,410.738871041762,413.445378151261,419.108280254777,420.826161790017,424.429421358981,427.538089359159,430.807248764415,430.197007369445,429.258184233707,429.84390076583,430.733386912454
"Chicago, IL",3,152.102540282538,151.860288534548,152.567220005261,152.091254752852,150.490196078431,149.954545454545,147.127510509108,145.855468420609,141.351744186047,141.388174807198,139.350046886509,135.069444444444,132.224601475137,130.702588219598,131.30173062453,131.578947368421,132.010081915564,131.19984,130,128.258771183299,126.757240502386,124.377828054299,121.428571428571,118.686350154523,118.090909090909,118.577075098814,119.047222222222,119.743907476249,120.156682512443,120.310244225217,117.573696145125,116.402116402116,115.672426786125,114.741345779852,113.975726369989,111.922178387851,111.516395286074,113.635890151515,116.410063837777,119.490386015008,122.868318222059,124.607046070461,123.958333333333,123.767605633803,124.204771371769,123.051282051282,121.504364089776,119.603680113234,118.659881255301,121.953897143265,126.459733983547,129.775590911652,133.374689826303,135.815317138232,135.050251256281,134.39715541389,133.308651123459,132.447736095829,130.949103179773,128.712871287129,127.551020408163,130.208333333333,134.772439192785,137.215909090909,141.908975979772,143.239875389408,142.678849577214,141.782945736434,140.639534883721,139.908854166667,138.558670449457,136.209744013212,135.819270549809,139.513108614232,143.280339888186,146.686456749743,148.757035060658,151.157298063297,150.013044612575,148.453048893928,148.026315789474,147.945469425375,147.151898734177,144.871794871795,144.873397435897,148.546511627907,152.221866118555,154.931703811677,156.168604651163,157.06940874036,156.479581280118,155.210420841683,155.020408163265,154.454545454545,153.227277077406,151.342019272146,151.53488372093,156.176079271767,161.393776502917,165.301417055135,165.880580978604,166.444629475437,166.233766233766,165.760869565217,165.9,165.284908206347
"Dallas-Fort Worth, TX",4,83.9477368175455,84.2412451361868,85.0340136054422,85.5057876195269,85.7209522210558,85.3734912469455,85.0448998940597,84.4051221574742,83.9285714285714,83.791273177239,83.4932821497121,82.3360655737705,81.582682753726,81.6296670030273,81.8506725946192,82.1330418488445,82.8755672319083,82.7435360148126,82.6572530637731,82.3840449693852,81.9767863619877,82.4106792304672,82.1549742847197,81.7105263157895,81.7094017094017,82.7513966480447,83.1117021276596,84.0688318947349,85.2932665603555,85.7080923467005,84.9871183761383,84.5770877944325,84.2347852700835,84.6252129471891,85.2911646586345,85.7115117891817,85.6400247149608,86.938431064237,89.4226857357451,90.6865791967266,91.6370717197775,92.1739130434783,92.3355184002415,92.4778761061947,92.4737816162862,92.8230648833238,92.9966666666667,93.3935523114355,94.2963752665245,95.661853188929,97.0067916671999,98.1708491761724,99.5954796935854,97.9942096595619,98.5078731564684,100.716922518377,100.798782807151,101.552928533047,102.389162561576,104.354237858015,106.116024053767,106.602475928473,109.961190168176,110.601001669449,109.624145785877,109.841239761421,109.893307468477,110.060166838572,110.600351408404,111.856687138029,112.365591397849,113.976608187135,114.732291320253,114.942528735632,117.385907283684,118.815060696821,119.90280610799,120.580592773041,120.839919913197,121.402683756674,122.127645515756,124.014349162965,123.676975945017,124.280085959885,125.502152080344,126.696735395189,128.205128205128,129.671215857692,130.256513026052,130.607100238663,130.272840063163,130.31221719457,131.004366812227,131.351689612015,131.384307846077,132.028730937137,133.301017935046,134.775687003124,136.143931256713,137.229849404905,137.84547311096,137.708649468892,137.362637362637,136.689895470383,137.150138376882,137.205882352941
"Philadelphia, PA",5,143.364220267844,144.210544686064,145.833333333333,145.251937984496,145.017064846416,144.230769230769,143.142361111111,141.816991389231,141.089906263066,139.511627906977,138.570988469325,136.253894080997,135,134.955752212389,135.805369906247,135.782747603834,136.226964112512,135.562584726615,134.305846667689,133.347228011672,131.734774011696,130.584848867559,129.348795718109,127.834612105712,127.467105263158,127.947834645669,129.581650049479,129.65625,129.338443951012,129.166666666667,128.125,126.933275924521,126.294642857143,125.631313131313,124.688279301746,123.703703703704,123.055162659123,124.610591900312,127.00127064803,128.34694664903,130.652124517155,131.208997188379,129.359673024523,127.52515015015,127.704799766689,127.284990400302,126.957585852754,126.38538266919,124.355697861227,124.801901743265,128.626163108922,131.491228070175,132.62599469496,132.426778242678,130.930134972085,130.085476329632,130.208333333333,129.464285714286,128.757073504136,126.732673267327,125.342623989502,126.78527607362,129.816513761468,133.02752293578,134.545907731351,134.335535976505,132.692307692308,131.238273921201,130.79750976295,130.568980849609,129.87012987013,127.487244897959,126.530074054938,127.618549210427,130.490969178728,133.714899713467,134.803921568627,134.803921568627,133.78898253297,132.431470396714,132.479846542347,132.0906463464,130.780792748565,127.929288724355,127.868852459016,129.513888888889,132.421281177221,135.566912007257,137.465174531351,137.783783783784,137.184115523466,135.483870967742,136.198547215496,137.340529931305,136.381398983978,134.163685152057,133.282051282051,135.615848406546,137.471352177235,140.895231213873,142.481100960871,144.779332615716,144.639132477346,143.605755914906,143.199304408479,143.434782608696
"Houston, TX",6,81.0207037380715,81.6522574447646,81.9117824346402,81.9430648092065,81.8142076502732,81.6599053414469,80.5349886876674,80.0734312416555,80.7344970906068,80.1427071140417,80.2041560335399,79.4823626977179,79.0605052472141,79.0006325110689,79.3045826278455,79.062959390171,79.4828990489728,79.5495207667732,79.0911549051262,78.8969686499164,77.7310924369748,78.4778587665853,77.9780564263323,78.3068232992561,78.6096256684492,78.7416004886988,79.5225797422124,80.4783136365257,80.9430896629063,81.1193765497698,80.6862321968062,80.8801213960546,81.2291567413054,81.0940816453613,81.4865985078751,82.5208681135225,82.9669596556903,85.1377952755905,86.3092401376754,87.1298818193508,88.16029143898,89.2114638905355,89.6159592399632,89.8716119828816,90.8444984272538,92.468112244898,91.9366972477064,92.5410089755494,93.5253144789557,95.4938824231573,96.7589679043424,98.8605693053573,99.473167539267,99.9245147375989,100.390479732242,101.660441039155,103.029263370333,104.00110660273,105.223992502343,107.600430416069,109.678388938984,110.501155049576,111.428571428571,113.173737940812,111.773617071365,110.291595197256,112.443930808412,113.111726685134,113.373134328358,114.329886820631,114.282857142857,115.819209039548,115.859985009493,113.710565349759,114.779431106483,114.854101799323,114.977331226474,114.97303837698,114.678899082569,114.465739179382,114.24774056353,114.718614718615,114.269788182832,114.553423250178,115.259191720657,116.045952380952,116.3760336799,116.91055527129,117.018350873653,116.951678120872,116.404431092753,116.358319625803,116.974480712166,116.99762398261,117.333333333333,118.14615087433,118.564042462689,119.134199134199,119.919319748468,120.342553199783,120.539917574868,120.380937668283,120.083010514665,120,120.099392600773,119.954062926381
"Washington, DC",7,182.397959183673,182.481751824818,186.449718023912,192.309552149978,192.017410138272,188.883396424816,187.480745442879,182.857830331363,178.818643285648,178.571428571429,177.209127503759,172.413793103448,168.429433268295,167.508417508417,171.134020618557,173.771153577848,177.777777777778,178.286852589641,177.577426767036,175.732577110886,176.026995305164,174.673378091973,171.193421645105,168.060985144644,166.611111111111,168.919219352745,174.829931972789,179.007907979871,182.545638945233,183.330555555556,180.999131190269,178.131313131313,179.562343846535,179.2572166428,178.429817605075,173.997171026759,174.063451914708,177.674258109041,184.602272727273,192.242605053113,195.945945945946,197.172000039617,194.842385272403,193.961694319138,198.015530629853,196.875,194.929797191888,189.52380952381,187.172284644195,191.052943592333,195.402298850575,199.149114774115,204.082840236686,204.166666666667,202.414551472671,199.72882377986,200.45230936017,200.240384615385,197.924408766523,192.982456140351,190,191.909801050261,196.585556028867,201.164874551971,204.541734860884,204.081632653061,197.091112566874,200.566393245501,201.701704545455,201.612903225806,199.199280874416,197.208737864078,196.170066007753,200.393572721241,205.591694078947,212.282398452611,213.579853363086,214.285,213.018108974359,209.972489683631,211.965811965812,213.366170357038,212.053571428571,208.753007217322,207.585000889087,211.568714806083,215.123417645792,219.508710801394,221.331079003996,222.142414497361,220.260984233712,217.749546279492,221.152144315861,221.021611001965,218.766578249337,214.944939695857,213.589743589744,217.556316024401,222.371244635193,227.272727272727,227.746509135068,227.975730477662,228.639240506329,225.947521865889,228.427787934186,229.469525917522
"Miami-Fort Lauderdale, FL",8,151.60023540959,150.640542577242,147.147911659113,144.425470332851,144.312393887946,140.718562874251,137.614678899083,135.859417902252,133.01751159924,131.138868559719,133.25,130.289266076978,128.970676970612,131.622516556291,128.80064304719,124.646872637944,126.666666666667,126.549056327121,127.093596059113,128.207967114079,130.118343195266,130.84495488105,132.163461538462,134.108527131783,133.332727272727,132.398753894081,134.440274748351,133.298484056456,132.40302743614,132.315849049543,136.702568351284,136.745550827443,138.733705772812,127.057547715442,129.079970036012,131.133671742809,134.952766531714,137.64404609475,139.705882352941,142.15637254902,143.221690590112,144.196106705119,144.693001908252,144.196721311475,145.958083832335,148.484848484848,152.884234192897,153.703703703704,155.986509274874,157.441574415744,157.384987893462,158.774373259053,158.275462962963,160.15625,159.219311761685,159.329272102468,160.519806473867,161.358692825292,166.666666666667,168.286827592407,168.404170008019,168.975928054352,169.113495200452,169.292452830189,167.853509664293,168.50291639663,172.371900826446,173.667205169628,174.464363795365,176.049618320611,181.853995978535,183.219864995178,186.455067505955,188.768606224628,188.679245283019,191.673536685903,192.772925026304,194.676409185804,196.013071895425,196.818181818182,199.514857489388,201.674828484941,203.208556149733,204.444444444444,204.303931987248,205.43615676359,205.841924398625,206.569684626198,208.030663570721,208.949617633828,209.100844151171,208.846962177124,211.330492256441,210.527547225574,213.583356239692,215.654520917679,215.858195236408,215.956710173401,216.525075692748,217.102838186509,217.046773535684,216.95652173913,216.994061215167,217.011313641364,218.682521050779,219.671230408935
"Atlanta, GA",9,92.8571428571429,92.7130977130977,93.4012506871908,93.9097744360902,92.5581395348837,90.9090909090909,89.8268398268398,87.7633711507293,87.3334783214195,86.7456012037142,85.2288125153979,82.3110289515436,80.0860022696648,79.5436467763862,78.5449211360807,76.9977168949772,77.5109021210865,77.2754312908983,76.5081816925994,75.7947053577121,75.4005655042413,74.6974281391831,73.3333333333333,72.0547705376356,71.0263157894737,71.6145833333333,72.2489921141494,72.1311475409836,73.5628801255641,74.7589601407001,76.0138561482375,75.5184359321494,77.0547945205479,78.6324786324786,78.8837552571983,79.5064380554663,80.1369863013699,82.3861171366594,84.2875127998006,86.7354024943311,88.7096774193548,90.0900900900901,90.5917159763314,90.4509333393139,90.9055727554179,90.7097902364801,90.3780068728522,89.2181819110258,89.2219842969308,90.9090909090909,92.5347222222222,95.3949722549184,96.6684578183772,97.0439189189189,96.6439135381115,96.4347826086957,96.2556076507416,95.443650297016,94.3396226415094,94.035000655443,93.724233995594,95.054,95.4254247105779,96.083892958893,97.9020979020979,98.7463126843658,97.1417682926829,97.3027963600265,97.0088924818108,97.3157894736842,96.7083439652973,96.1858258774759,96.4069640914037,98.6842105263158,100.954772781398,103.207367418228,104.876543209877,105.13468013468,105.445043282516,105.752212389381,105.529124194587,106.383977624613,106.029435037189,105.15247108307,104.998189717596,107.142857142857,110.293933823529,112.422037272271,113.610084033613,114.57334611697,114.854517611026,114.696620301305,114.913494279659,115.605810498514,114.950278121137,115.326251896813,116.167594121722,117.478508644837,120.512957250826,123.161552205581,124.361873990307,124.764911649098,125.084516565247,124.488858258672,124.750499001996,124.548736462094
