"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"United States",0,160.998908296943,159.970238095238,158.968206358728,158.522082203476,158.822386356845,158.100558659218,157.827045199262,156.450796511241,155.30303030303,154.438202247191,153.77126035855,152.121878494223,150.856350806452,151.776649746193,150.924528301887,150.178724484092,149.976926626673,148.547455291339,148.048780487805,147.667002349782,149.625017929654,149.376558603491,148.563461160144,148.459278195919,147.710555077616,147.914260786434,148.224736636754,148.197674418605,148.336330935252,147.897196261682,148.221343873518,147.611111111111,148.755656108597,148.736664795059,148.072646404744,148.010610079576,148.051948051948,148.741418764302,150,151.535605804927,151.777970511709,152.099817407182,151.818181818182,151.607142857143,152.550096961862,151.957623215108,154.082691319979,153.302513039355,153.362897265336,154.42690459849,155.022736668045,156.789325889761,157.720861172977,158.170271418343,157.853354416083,157.368421052632,158.196202531646,158.644234291232,158.381144393241,158.333333333333,158.501613318238,158.863027222765,159.496004917025,161.316521774084,163.527163527164,163.840976819425,163.04347826087,162.4674196351,162.590361445783,164.192136574256,164.540466392318,164.315600717274,164.4,169.204529966525,170.32748924909,172.092451438407,172.381864623244,171.845771144279,171.583087512291,171.666466586635,173.441734417344,173.553240740741,174.45355877875,174.34988179669,175.070028011204,175.925925925926,175.888006686168,176.638146134934,177.365930599369,177.216312056738,176.402186204297,175.833500615273,176.659528907923,177.599522097526,177.69623484365,177.656576787182,178.206043302403,180.101073910297,182.129449184983,184.316353887399,185.163303082516,185.328518173346,185.681470137825,185.590631364562,187.637346827031,189.063977308541
"New York, NY",1,326.656490769007,324.883516324588,326.597325408618,324.947885032538,329.400690918488,327.503916569698,325.333928093347,322.330413604307,327.643835616438,329.961219842014,330.865159781762,329.84731284698,329.831144465291,327.247191011236,332.962962962963,327.288817578653,324.027072758037,321.291593595554,320.704562103482,318.053177568746,319.166666666667,319.148714539007,321.428571428571,323.529411764706,324.5,324.981301421092,323.979591836735,333.164812942366,334.061586694847,330.53839364519,330.22014676451,329.468028067907,334.259405050056,337.5,335.0213942631,336.906662388841,342.112199317482,340.068999507146,341.526366415277,335.766541413354,333.758503401361,332.539138961386,331.007294969889,332.537517053206,337.594983069121,340.670335429769,361.111111111111,360.555555555556,368.547947271926,362.779924155698,362.223545943304,362.211902974141,366.796875,380.352368220015,377.229080932785,381.050965233422,383.650822447992,394.390446976337,399.5,415.352208455657,435.031517696619,424.107142857143,415.555555555556,406.454801644482,404.675505931612,404.266958424508,404.533266428428,409.323770491803,416.666666666667,429.18827815335,439.699598343832,452.473958333333,490.974242600566,488.903375344053,454.166666666667,465.212264150943,446.169337487306,444.444444444444,445.217505367881,451.112736362423,458.333333333333,469.5885509839,482.169390787519,499.375,507.03125,506.358926048045,489.608269858542,490.633363068689,482.926829268293,484.242424242424,485.768123306233,485.036702428007,492.768081565627,503.753457131569,517.743794876832,532.028571157189,539.84514056393,509.69387755102,482.03188286809,481.707317073171,477.502812148481,473.621103117506,474.747474747475,477.073713795558,486.850649350649,489.583333333333
"Los Angeles-Long Beach-Anaheim, CA",2,391.304347826087,387.093998853158,400.469168900804,399.790042248249,397.524221456443,393.518518518519,388.329979879276,386.167146974063,385.428423746082,382.924604368154,383.129322784495,380.384615384615,377.637885736793,379.74811456873,377.751338488995,372.308733920108,373.597006948156,371.749107598164,370.835938411499,369.981470043237,371.638141809291,369.511593487913,367.589787970576,367.16686531382,365.912373615792,365.719074115338,363.60153256705,366.692681922613,368.39481555334,370.724906193564,373.022847100176,372.264931992904,374.515050167224,378.517316017316,380.896226415094,381.285805219605,389.273356401384,391.024254067732,402.039696204189,411.882176734898,416.575192096597,418.273092369478,420.386906615448,418.330670926518,421.733779465739,423.42308109618,425.891472868217,425.710594315245,430.080482897384,432.666467602269,441.593032140392,441.9795221843,443.862049660805,442.281879194631,442.639094042344,440.942080521657,447.420937993793,451.205010685167,450.064197748668,452.287679425837,448.608983390253,460.271164076397,463.78197826332,471.816809260191,473.887256446,473.385542964917,475.728281315157,478.900255754476,482.704402515723,486.67439165701,493.265993265993,491.243264346734,498.121380005036,507.001166861144,501.28470437018,503.655685292238,505.179282868526,508.997122821219,508.477450957846,507.622811970638,512.864503458852,520.795374046556,527.962456003129,532.229185317816,537.014938566251,535.820280296785,537.52990652316,538.856535261163,542.447477282265,549.718851012626,551.66144200627,548.790911267005,552.688172043011,557.889822595705,561.154374713697,564.965473948525,564.965473948525,568.044362197597,574.508864398658,578.657604829954,576.233215141666,578.549848942598,577.790754257908,576.659760566421,580.6362861287,587.223519661613
"Chicago, IL",3,211.805555555556,210.551744800954,209.853895444483,210.164835164835,207.384596169074,207.566529867667,205.857843137255,204.364633963331,200,199.95503073439,198.819623755072,196.879643387816,195.84742427632,194.099378881988,192.879691336373,192.215088282504,189.911452528864,187.913125590179,186.378109683466,184.89490559316,184.654130288784,182.156416097191,181.056367849748,180.371853104909,179.738562091503,179.420665801989,178.362573099415,179.868090452261,180.121776504298,179.780701754386,176.141884936521,174.89235737352,174.72553537544,174.677419354839,175.659394532743,175.324123273114,175.246692559777,177.299449610095,179.548653221339,180.7478368356,183.150183150183,184.823873889631,185.782195332757,185.430997063705,188.160199912737,187.22181600565,187.239542135104,186.388888888889,186.214678333604,188.434452081671,190.28005207353,193.140186915888,193.713607863074,194.612684980499,194.040308230272,192.80303030303,193.937924345296,194.444444444444,193.370165745856,192.609725292075,192.364094863448,195.597649459714,196.501776441651,197.571428571429,199.556541019956,200.842696629213,200.686740623349,199.600684540787,199.713672154617,199.661157024793,199.973333333333,199.643195666892,200.4613160673,203.141706836582,203.975399688528,204.13612565445,204.765283497861,205.82656291216,205.68106739635,204.98861047836,206.185567010309,206.896551724138,208.333333333333,208.532219570406,209.661289263603,212.27604512276,211.64920718412,211.557407341293,211.927057663874,211.939102564103,211.579911761636,210.270622758396,210.645103951352,211.400136585621,211.605904074151,211.995353328103,213.07899197454,215.249662618084,222.152777777778,225.238841405508,224.098815225611,223.257037377576,223.70218579235,222.970561998216,224.601749950659,224.692118226601
"Dallas-Fort Worth, TX",4,114.754098360656,114.82037524422,115.145560228051,114.654094459722,114.340833735852,113.730802702711,113.712828311645,112.568735271013,110.172705536141,109.571827184576,109.260882267017,108.462929475588,107.588082072842,108.07762922512,108.338226658837,109.708737864078,109.833659491194,107.612030033034,107.41664920746,107.323983972524,109.036535746372,109.347403736173,109.365977690289,109.233305853256,109.15211062591,109.05595765411,110.458854295773,112.287455887071,112.676149333257,112.754044415934,111.896838602329,111.345646437995,112.45095474758,112.635425623388,112.878497508624,113.573048276605,113.602425967961,113.815384615385,114.871240579377,115.637065637066,115.829468366407,115.823644344263,116.570831685078,116.921134941912,118.847707354553,119.610688653452,120.370882922779,120.922473407599,121.8533867676,122.802631578947,122.825844074644,123.913409203365,123.821259963461,122.925121677018,124.584025470653,125.465757222452,126.448643410853,128.255511143411,128.15768302494,130.364559298569,131.596269884805,131.623546511628,133.939964335249,133.994243684042,133.333333333333,133.148316651501,133.13664442616,133.938393839384,134.867454818799,136.646422471057,137.12552742616,137.509881422925,138.709677419355,140.051230928412,140.905891839705,142.081617371771,142.496289133314,142.520693757333,142.927402403675,143.669759543846,144.718216601919,145.818780517895,146.224368256672,147.258351101635,148.247768855493,149.055130887636,149.281741600825,149.739583333333,149.343232438607,148.970925280662,148.963654533118,149.021739130435,150.159259821022,151.04781004939,151.33145702533,151.668225480283,153.029677419355,153.690186536902,155.260521042084,155.570004334634,155.993262638038,155.823848238482,155.653450807636,155.36252354049,156.132153748416,156.650214592275
"Philadelphia, PA",5,173.59750667854,174.279370705669,174.67468379823,173.217821782178,173.565452039705,172.843198062496,172.477646838433,171.364571428571,170.857867203219,170.617816091954,169.556171983356,168.970380818054,168.4499486931,167.96,168.505697733639,168.080834582709,167.574931880109,165.979879232949,165.089877010407,165.035377358491,164.510851059568,163.912574131684,163.793103448276,163.357843137255,162.891130074994,162.938654949347,163.611565739225,164.553613287791,164,164.387144992526,163.526837882906,161.867591789535,162.68609206064,163.791690992297,163.819095477387,164.18795620438,163.822698086911,164.462772304737,165.821917808219,165.378717094573,165.892123957376,166.296399119831,165.747273013642,164.887813055729,165.858939495693,166.617981520967,168.54527938343,166.954540753822,166.880616174583,166.616904337493,168.944353518822,169.954627473807,170.643910007758,170.224252491694,169.150221506242,169.53216374269,170.58677890567,169.81498040839,169.592452839299,169.851671398667,168.018539976825,168.95325203252,171.052631578947,172.020532269122,172.863279254682,172.284644194757,171.672419009626,172.183216315614,171.22667426947,173.063608827347,173.499638467101,172.889114954222,172.263410379416,172.334123222749,173.219397782475,175.199661942365,176.206210438728,174.435915329146,174.755198657638,174.298951077892,174.680912585932,175.721309072872,176.614421338168,177.503736920777,178.455790784558,179.62962962963,180.327868852459,180.823199251637,181.782642689601,182.100789203134,181.942544459644,180.772843895189,182.809792967086,183.21335078534,183.816651075772,183.360222747636,183.763027975864,183.875,185.343228200371,185.940291490362,185.145502645503,186.170212765957,186.731107205624,186.930572196383,188.17590478606,188.705459988153
"Houston, TX",6,114.719378750441,114.329282225586,113.68804001819,113.676663542643,113.082901554404,112.391484163429,112.509166639044,112.01044386423,107.453271028037,107.142857142857,106.729055258467,106.110154905336,104.802516803571,105.122606066389,105.550426284051,106.727528089888,106.535178098322,104.337807523778,103.80128521997,103.37384458493,106.939163498099,108.433734939759,107.355896368125,107.642131688166,107.603173445302,106.662736120177,107.787336901261,108.105737316264,108.244075003222,107.250374236356,107.088237380673,107.443164123326,108.948717948718,108.848988733541,109.215194315897,109.818863237431,110.299465240642,110.500460546515,111.836719078304,113.099476109499,113.770250368189,114.770459081836,115.472115534696,116.522153765096,117.688810692692,117.284843869002,118.783005899536,118.89253188,119.72422545046,121.087095222904,120.240207386643,123.535132694558,123.921442369607,124.608640588456,125.107411385607,125.594908688434,127.466097170315,127.995642701525,128.461738308928,130.299145299145,131.240771030691,131.889809833396,132.785956964892,133.720044769036,133.384776390099,133.408854277586,133.053221288515,132.884527450366,133.847248725562,133.699341877381,134.000868893609,134.436746215037,133.478381210519,137.355225623127,137.147335423197,137.26992460466,136.934389322472,136.01756214751,135.363367524005,136.540212443096,136.252129471891,136.211660293897,136.747589400717,136.437134482425,137.945670628183,137.280846840887,137.140816326531,136.974073602397,136.495334322086,135.869565217391,135.821680056734,135.17643847469,136.961839530333,136.745455934593,137.051039697543,138.138787892527,138.225236730386,139.166886681907,140.505127231295,142.094455852156,141.24908859392,140.600093764651,141.827108415871,142.762128325509,143.894431155968,143.963897651595
"Washington, DC",7,266.573753392474,267.616925894477,274.519560138423,275.731071908134,274.884259259259,274.686028257457,275,266.483516483516,263.644366197183,266.663253822031,263.847354191634,260.416666666667,256.752425781467,257.8125,260.416666666667,263.169083422843,265,259.259259259259,258.824902087816,254.785197788175,262.805169937769,262.160503762121,259.823284823285,254.065040650407,251.53005441411,255.145228215768,260.115375722543,265.099124020286,267.733475397512,266.900247320692,265.652173913043,260.567433821901,268.193851312784,270.557137771449,268.230287607721,265.472511105503,264.22605193953,263.157894736842,272.326395316368,277.727272727273,277.246949647706,277.123903274128,273.025866701524,271.725418172582,280.327102803738,283.845278725825,280.803571428571,271.721278028278,265.275825005333,266.335227272727,271.28680277944,274.595537910718,275.847799375963,277.298850574713,273.630625068876,266.331658291457,272.727272727273,274.042379788101,268.998344370861,264.87738607239,256.869759469484,262.967562658031,266.920293083297,270.9943273906,276.752536900369,278.233576642336,275.190315289936,272.817189631651,278.678250326573,281.778793959731,281.994542146756,275.564236111111,270.806149598394,279.421433267587,282.783262557036,287.055038569505,286.492277030394,287.070601264978,287.031502715636,284.559697720445,288.331071913161,291.95757174475,294.530479721421,293.691112679335,297.767480560735,300.97549369498,297.462903523397,296.315965773328,297.845638987659,300.036541312208,298.464082192571,293.794537643946,302.18585762064,307.414104882459,306.578947368421,305.128205128205,304.650872817955,306.666666666667,305.226824457594,311.251895833142,312.545606850821,311.697836450312,316.881660123388,315.479332583599,325.605823724839,332.38543907302
"Miami-Fort Lauderdale, FL",8,221.203716469483,218.685831622177,214.067278287462,212.110481586402,216.083242152301,213.645213801431,210.15037593985,210.782066562758,210.13744024783,211.727857769198,213.951815893563,211.786372007366,209.930861093652,221.304347826087,210.536504855311,205.729166666667,206.928722330832,203.606789250354,201.548043260815,200.349956255468,205.008551881414,207.916666666667,212.772751463544,218.824495617047,211.111111111111,207.452395851958,207.53125,218.663594470046,218.647166361974,215.197255574614,218.542805100182,215.909090909091,224.409448818898,221.030372933487,222.222222222222,228.742348642864,235.221252371917,235.725510738607,235.72692859765,236.860687745404,228.645833333333,232.558139534884,237.018518518519,231.942964607093,234.850826659173,242.522831050228,247.17859220477,255.474452554745,256.887565152643,257.330006238303,253.512609599566,257.296142714836,256.666666666667,251.744085726548,250.752860871311,255.102040816327,258.998715351549,264.101057579318,270.33115566569,277.857142857143,277.487758433079,277.35368956743,266.583229036295,273.362897265336,279.024046129309,274.264859228363,271.181829081954,277.033492822966,279.646203907949,282.505105513955,291.666666666667,296.052631578947,304.277728295112,311.973018549747,310.673977723661,308.79510875798,306.552846820315,308.849557522124,309.296342140355,305.768255535711,311.692504063678,317.546050457253,325.298464102086,332.18734856454,331.697341513292,335.765993265993,332.399049881235,329.959580077505,327.747467453546,327.794697175763,323.514972999509,324.390243902439,329.40483205657,328.542392992852,337.837837837838,343.092406221409,342.629482071713,342.217254076802,345.688386173751,343.087051938552,339.630367036114,338.186942226397,337.883959044369,340,346.556155936136,348.542458808619
"Atlanta, GA",9,131.214150521263,130.45371508712,131.248687526249,131.740196078431,130.030112236518,128.896473265074,129.339686861811,128.525526597644,127.578718783931,125.930165998855,124.947916666667,123.771998393361,122.477297624107,122.130394857668,120.148826559817,119.953596287703,119.692750596794,118.412570507655,117.51326762699,117.034445640474,116.901361673863,115.657216494845,114.994713234171,114.589945891911,113.970588235294,113.603988603989,113.815789473684,114.202657807309,114.768373389063,115.521327014218,115.196078431373,114.637612505921,115.740740740741,116.533753409843,117.537608867775,117.241379310345,117.442083505107,117.774869109948,119.419320273883,120.846751220486,122.506040731792,123.443375138221,123.403554970375,123.432359271092,123.235997379627,123.367852318775,124.090980320561,124.038914466275,124.673474234149,125.658005076356,125.804990535863,129.046717171717,128.855250709555,129.14070819468,129.265770423992,129.290457881859,130.760134421222,130.732099758648,128.640776699029,130.354847004371,131.271596406358,132.754800590842,133.096366508689,133.612989168984,133.863889556042,134.412733260154,133.547008547009,133.007600434311,132.522096082837,133.184165232358,133.537906849335,133.102409638554,133.874423346061,137.044271564726,138.593380614657,141,141.507430997877,140.267919049529,141.50750088406,142.81269446173,143.331495773613,145.522355000893,146.257301510007,145.951654541188,147.210730625903,149.717138103161,151.630600426699,151.40756302521,151.726100151745,151.124637813074,150.77519379845,151.422560484222,152.284890901606,153.717705325092,153.105861767279,154.320987654321,155.64655984862,155.880031570639,159.181504119054,161.257351144328,160.070093676377,160.796324655436,163.015205850883,162.82392507266,163.361427863163,164.610769230769
