"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"United States",0,204000,202990,204899,2e+05,2e+05,199999,199900,199500,199000,196990,194900,189500,185000,184900,188000,187500,189900,189900,189900,189900,189500,188900,185000,182500,180000,184000,185000,187500,189000,189500,189000,187900,185000,184900,184900,182600,184900,189000,190000,198000,199900,199900,199900,199900,199900,199900,199900,199000,199000,199900,208500,214900,219000,219900,219900,219900,219000,217951,218000,214900,215000,219000,222026,225900,230000,234900,233000,230000,233475,232000,232000,229900,229999,232400,239000,244500,247900,249500,249000,247000,248900,249000,245000,244100,242500,249000,250000,259500,263000,265000,264900,260000,262000,262000,260840,259900,259999,266900,269950,275000,279000,279900,279000,275000,276490,275000
"New York, NY",1,399000,398500,399000,398000,399000,399000,399000,398900,398888,395000,389900,385000,379000,369990,379500,379000,379000,375999,370000,369000,368900,360000,359000,359000,359000,359000,359000,369000,369000,368000,365000,359000,359900,359028.5,355000,349990,350000,359900,365000,369900,375000,369990,369000,365000,365900,365000,369900,369000,369900,374900,379900,389000,397900,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399999,399995,415000,419900,417000,419000,419500,418500,410000,425000,428900,425000,439000,439000,439000,439000,430000,435000,435900,439000,434900,439000,448000,449000,450000,464900,469000,469000,455000,459999,465000,469900,469000,465000,486000,489900,489999,499000,499000,499000,495000,499000,499000
"Los Angeles-Long Beach-Anaheim, CA",2,440000,429900,429500,429900,432000,430000,429000,439000,419900,407000,4e+05,395000,389000,385000,388000,389000,390000,395000,394900,389900,380000,375000,369000,359900,359900,360000,369000,375000,385838,399000,399900,4e+05,403250,4e+05,410000,417000,425000,439900,468000,490000,5e+05,525000,529000,525000,526990,524900,515000,508800,499900,515000,522680,538000,549000,550000,554900,550000,558000,549900,550000,540000,539000,549000,565000,580000,599900,608000,605000,605000,609000,609900,599990,599999,599999.5,619900,629000,638400,645000,649888,649000,649000,648994,649000,649000,640000,648900,649000,659000,678000,685000,680000,680000,678000,676005.5,675000,674900,669000,678500,695000,699000,699900,709999,719000,699990,699900,699900,699900
"Chicago, IL",3,239000,239000,239900,239000,238900,237900,229900,229900,220000,220000,219000,208900,199900,199900,199900,199999,204990,2e+05,199900,199000,198000,189999,185000,179900,179900,179900,184700,185000,187500,186900,180000,179900,179900,179000,179000,174900,174900,179900,185925,194900,199900,208000,204900,2e+05,204900,199900,199900,195000,194000,199900,215000,222000,229900,231495,229900,229000,225000,224000,219900,215000,210000,219900,229900,232000,239900,240000,239900,239900,237000,235000,230000,228500,228000,237500,248500,250000,257900,259900,256990,250000,250000,250000,249900,245000,245925,254900,264900,269900,270000,274900,269900,268000,267900,265000,264000,259000,259900,272810,279000,284900,285000,287000,284900,279900,279900,278500
"Dallas-Fort Worth, TX",4,175000,175000,177000,179500,179990,179950,179000,176000,179900,179900,179900,174999,172500,173900,174900,174847,177108,177550,179000,179000,175000,176990,175990,175000,175000,179000,178000,179900,184500,185000,182900,179990,179900,179900,183900,185000,184900,189000,197000,199900,205000,207900,205000,204500,203570.5,204525,200990,205000,209000,214900,219900,224900,229900,224900,225000,234900,230000,235000,239000,249000,252990,256740,269900,269900,264900,260990,259000,259000,259900,265000,269500,275990,279000,274900,284900,287000,289900,290000,289900,289900,295000,3e+05,299000,299500,3e+05,308990,314900,319900,323900,320990,319900,315990,319000,319000,317000,319000,322900,327277,329500,332311,334900,329990,325000,320000,323015,320000
"Philadelphia, PA",5,239900,239900,244000,240000,244900,240000,239900,235000,234900,229900,229875,224900,221000,221250,224900,225000,228000,225900,224900,224900,219900,219000,215000,210000,210000,214900,219650,219900,219000,217900,214900,212000,209900,204900,2e+05,199900,199900,2e+05,209900,215000,222000,224900,219000,210000,211900,210000,209900,210000,2e+05,205000,215000,224900,225000,227357.5,223900,219990,222000,219900,219900,214900,209900,214900,220000,229000,234900,230000,229000,225000,228850,224900,220000,215000,212500,215000,224900,229900,234900,237900,230000,229900,229900,229900,225000,215000,214900,219900,225999.5,235000,239900,239990,239990,238900,239900,240000,239395,229900,229000,230000,239000,246903,250000,259000,259000,250000,250000,249900
"Houston, TX",6,169225,169900,169900,169900,171450,172900,169900,169900,174755,172500,174000,170000,169900,169900,170000,169900,171950,173900,171000,170990,168000,169500,166326,168900,168990,169900,170000,174500,175000,176900,175000,176500,176990,175000,179000,182990,183990,191066.5,196733,199550,201978,206500,206900,207500,209975,216990,212965,214900,217693,225000,229900,239000,241500,244000,244990,249900,252198,256990,263260,274990,282400,285000,289900,296990,289000,279950,290000,295000,295000,299000,299440,304990,304678.5,291506,296945,296503.5,294999.5,295500,293990,289950,289831,289900,286990,286440,287800,289990,291990,295999,296990,295000,290000,290000,291000,289990,289990,292999.5,295000,295500,298000,299000,299000,297094.5,294900,289950,289990,289500
"Washington, DC",7,315000,319000,320000,329000,325000,324900,319900,315000,3e+05,305225,3e+05,295000,286000,289900,299500,299990,315000,319900,319900,316000,314927,315000,309600,3e+05,306990,315000,328350,339900,349500,349900,349000,341000,344900,345000,348200,339000,339000,349000,357450,369900,379900,379900,375000,369900,370000,369900,365000,360000,357945,364000,375000,385000,395000,393350,389900,385500,389000,387500,384600,375000,370000,374900,385000,395000,399000,399000,379000,389000,389990,389000,384000,379990,384990,385000,398000,410117.5,415000,414990,409900,4e+05,4e+05,401050,4e+05,399900,399900,402358.5,420000,429900,431990,430000,428748.5,421900,423000,420000,419900,412500,410000,419990,429900,439900,439900,439900,433454.5,425000,425000,425000
"Miami-Fort Lauderdale, FL",8,250000,249999,245000,239000,235000,229000,225000,220000,210000,209000,215000,205000,200500,209000,210000,2e+05,214702,218000,219900,224900,225000,225000,228000,229000,230000,235000,239000,230000,229000,230000,239000,239000,240000,208888,212900,215000,225000,235000,239000,242500,249000,248000,249000,244900,245000,248500,259500,254900,255000,259000,259000,259000,259900,265000,260000,264900,265000,265000,277950,279500,279000,279900,289000,285000,275000,279900,295000,299000,299900,299900,313943.5,315000,315000,315000,310000,325000,325000,329000,330000,330000,336250,339000,339000,339000,335000,339000,339990,344000,349000,349000,349817,349000,349912.5,349000,349450,349712,349000,349900,349900,350000,355000,357000,355000,350000,353875.5,354000
"Atlanta, GA",9,180000,179900,179900,180000,179900,176000,175000,174900,169900,169900,168000,159900,156500,155000,154900,150000,152250,152500,150000,149900,149900,147000,142000,139900,139500,139900,144000,145000,149900,150000,155000,158000,159900,162900,165000,167000,169900,175000,179900,189000,190485,195000,197500,195000,198000,195900,191100,189000,188000,192900,199900,208650,210000,219000,219000,215000,212000,209561,209900,203890,203975,205440,209900,212990,219000,219900,219168,223137.5,223900,224900,222900,223990,224900,224937,229000,235000,240000,244875,244900,240000,240039,244900,240467,239900,239900,241379,250000,259900,264000,265000,264900,261000,263480,265000,265000,265000,269900,274900,279834,287000,290000,289900,284900,279900,280000,278900
"Boston, MA",10,342900,349000,349900,349900,349900,349900,349000,340000,339900,339900,335000,325000,320000,319900,325900,330000,340000,345000,339900,334900,335000,329900,319900,310000,319900,327835,335900,349000,349900,349000,339933,339900,339900,339900,339900,337500,339000,345000,350000,365000,370000,375000,369900,359900,369000,369900,369900,360000,359900,375900,379900,389900,395000,395000,389000,379900,384900,389000,386250,379900,379900,380000,389900,399000,399900,4e+05,399900,395000,399900,399900,399900,399000,399000,409000,429900,439900,444900,444000,439000,429900,439900,449000,449000,447500,445000,459000,475000,479900,489500,489900,479000,469900,479000,479900,479777,475000,479000,489000,499900,509000,519000,509900,499900,489900,499000,499000
"San Francisco, CA",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000,649000,639000,599000,599800,599000,582500,574975,575000,599900,625000,645000,654900,649950,649000,625919,629000,625000,609888,585000,589000,625000,658000,689888,699000,699000,695000,679000,688000,699000,698000,675000,655000,699000,729000,750000,759000,749999,738000,705000,729000,738444,715900,699000,699000,735000,757563,775000,789000,775000,749000,729000,745000,749000,739999.5,699950,699000,749000,779000,799000,799900,799000,788000,758000,789000,788000
