"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"United States",0,84900,85000,85000,85900,85000,84900,84900,84000,84000,80000,79990,79900,78400,70500,75000,75000,75000,74000,70000,70000,69900,69000,66000,65000,64900,64900,64900,64000,64900,65000,65000,64900,62000,63750,62000,62900,62500,63900,64900,64900,65000,65000,65000,65000,65000,65000,65000,65000,65000,65873,66900,67900,69000,69800,69900,69900,69900,69900,69900,69800,69900,69000,69900,69900,74000,74900,74800,74900,74900,73500,72000,70000,70000,70100,73000,74900,74900,75000,75000,75000,75000,75000,75000,74900,74900,74900,75000,76000,79000,79900,79900,79900,79900,79900,79900,79000,79000,79900,80000,83500,85000,85620,87500,89000,89000,89900
"New York, NY",1,219000,219000,219900,219900,219990,219900,219900,219900,219900,209900,205000,2e+05,199900,195000,199000,199000,199000,195000,191500,190000,189900,189000,182000,180000,179000,179000,179000,179000,179000,179000,179000,178000,175000,175000,175000,175000,175000,175000,175000,175000,175000,174900,174500,175000,175000,176000,175000,175000,179000,179000,179000,179000,179900,184900,184900,185000,187000,185000,184999,181500,180000,182000,183000,185800,185000,189000,190000,189900,189890,189000,189000,185000,184999,185000,185000,189000,189900,195000,195000,193000,191000,191950,190000,189900,189900,190000,195000,199000,199900,199999,2e+05,2e+05,205000,209900,209900,209900,210000,214900,219000,219900,224900,225000,229000,228500,229000,229000
"Los Angeles-Long Beach-Anaheim, CA",2,215000,215710,218500,219900,220000,223000,221000,229000,225000,221894,224900,224900,220000,210000,215000,215000,215000,214900,208000,208900,205000,2e+05,199900,199900,199000,199500,199500,199900,2e+05,199900,199500,199900,199000,2e+05,199900,2e+05,204000,209900,215000,219999,229900,237000,240000,248900,250000,250000,252350,250000,250000,254000,250000,260000,269000,275000,275000,279000,275000,275000,275000,274900,280000,275000,275000,284900,299000,299900,3e+05,305000,310000,305000,299900,310000,314900,315000,319000,325000,325000,326000,329000,330000,330000,334000,335000,330000,329900,330000,339000,340000,350000,339000,345000,345000,349000,349900,349000,340000,349000,349999,353719.5,355000,359000,360000,360000,367999,369000,370000
"Chicago, IL",3,99913,100900,105000,106500,100900,99900,99900,99900,99900,95000,94900,89900,89900,80000,87000,85000,85000,84900,80000,79900,79900,75000,75000,74900,69900,70000,70000,69900,69900,69900,69900,69900,69900,69900,69900,69900,69300,69900,69900,69900,69900,69900,69900,69900,70000,70000,70900,70000,70000,70000,72500,73999,75000,77000,77900,79200,79000,79900,79900,79900,79900,79900,79900,80000,85000,85000,85000,85000,85500,85000,84900,85000,85000,85900,86200,89000,89900,89900,93900,91685,90000,90000,90000,89900,89900,90000,93000,94999,98000,99900,99900,99900,99900,99900,99900,99900,99000,99900,1e+05,109900,110000,112000,112900,112900,111999,110455.5
"Dallas-Fort Worth, TX",4,74900,75000,75900,77000,76526,76000,75810,75000,75000,75000,75000,74860,70000,69500,69900,69900,69900,69900,69000,69900,67100,65000,59900,59900,57900,56000,59900,59900,59900,59900,59900,59400,59900,59975,59900,59900,59900,59900,59500,59900,59500,59400,59900,59900,59900,60000,59900,59500,59000,58000,59900,59900,59620,59500,57000,64500,64300,63949.5,60900,61000,63000,65000,64094,65000,69000,69500,70000,74500,74000,74245,72900,75000,74900,75000,75000,77000,78000,79900,84500,84500,83000,85000,85000,90000,89900,90000,90000,92000,99000,99000,99900,104500,90000,99925,1e+05,99000,95000,99900,1e+05,110000,110000,113460,119900,120000,120000,120900
"Philadelphia, PA",5,99999,104000,105000,1e+05,1e+05,1e+05,1e+05,1e+05,102000,1e+05,102000,99900,99900,97000,99869,95000,96750,95000,94650,90000,89900,89900,89012,89000,86900,85000,85900,85000,85000,85500,85900,85000,85000,84900,84500,84900,84500,83300,84900,84900,84900,85000,84900,84900,84999,84900,84900,82700,84900,84000,84514,84900,84900,84900,85000,84995,84999.5,85900,85000,85000,85000,85000,85000,85000,87900,86500,86900,85000,85000,84900,84900,82900,83000,84900,84900,85000,85000,86900,88000,87000,86900,85000,85000,85000,89000,89500,89900,90000,92900,94900,93000,92500,93000,95000,95000,94900,95000,96166,98500,99000,99900,99972,104900,104900,102500,103740
"Houston, TX",6,79900,79900,79900,79900,79900,79900,79000,79000,79900,79500,77900,75000,73000,69900,70000,70000,70945.5,70000,69990,69900,69500,69500,65000,67000,64900,65000,65000,65000,65000,65000,65900,67900,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,67900,69500,67500,65900,66900,67900,67500,68500,67000,59900,59900,60000,60000,64000,62500,60000,60000,60000,64900,64500,64900,60000,69900,75000,71900,70000,70000,74900,74900,74000,73500,74900,76000,77400,79900,80000,85000,85000,85000,84995,87000,87000,87000,86000,89000,90944.5,93000,93900,94900,95000,94900,92000,92000,93900,90000,89900,89900,90000,95500,98500,98000,99000,98000,98000
"Washington, DC",7,171000,170000,174000,175000,174900,172000,170000,170000,170000,169900,165000,161500,159900,150000,155000,155000,156900,155000,153900,159900,150000,150000,149995,149900,145000,149900,149900,149900,151000,152000,150000,150000,153000,155000,153000,150000,159000,159999,160000,165000,169000,169900,175000,175000,179900,179900,179999,175000,179900,184900,184900,182900,189990,192950,192499,194990,190000,189900,189900,189500,189891.5,189000,189800,189900,190000,190900,178500,194375,195000,195000,189999,189000,190000,194900,199000,199999,199950,2e+05,2e+05,203996,2e+05,2e+05,199900,204900,2e+05,206700,214000,215000,217500,219900,219000,217900,219000,218000,215000,219900,219000,219900,225000,227500,229950,230000,233925,230000,230000,230000
"Miami-Fort Lauderdale, FL",8,63050,62950,63650,64000,63000,60000,60400,63720,62900,60000,61200,59900,59900,55000,58000,59000,59000,59000,59000,59000,59000,59000,59000,58000,59000,59000,59000,59000,59900,59900,60000,60000,62900,64200,64900,65000,65000,65000,66500,68000,69000,69900,69900,71300,74900,74500,75000,75000,78000,78900,79000,79000,80000,80000,83000,85000,85000,85900,87000,88900,89000,87650,85000,85000,89900,89900,87965,89500,90000,90000,97000,99000,99000,99900,1e+05,103000,104000,107900,109900,114650,114900,115000,118900,119500,120000,120000,124000,123863,124500,124900,125000,125000,125000,127900,129000,129000,129500,134500,134900,134900,135000,136900,138900,139900,140000,140000
"Atlanta, GA",9,64900,65000,65000,65000,65000,62900,61500,62000,62900,61249,59990,59900,59000,54900,55000,53900,52900,52000,49900,50000,49500,48000,46000,45000,45000,44900,44900,44900,44900,45000,45000,45000,42500,44900,42000,45000,45000,47500,49000,49900,50000,50000,50000,50000,54900,54900,55000,56000,59100,59900,57000,59000,59900,59900,59500,59900,59900,60000,60000,60600,62500,63000,62000,62000,65000,65000,62500,65000,64999,65000,65000,65000,65000,65000,65900,66000,65000,69000,69900,69900,72000,73000,74900,75000,75000,76900,79000,79000,83025,83451,84900,85000,85000,86000,87000,88000,90000,91900,95000,95000,95975,99900,94900,99000,99900,99900
