"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"United States",0,389000,385000,385000,379900,380000,379900,379500,375000,375000,372500,369900,365000,359900,360000,359900,359000,359000,350000,350000,350000,354500,353000,350000,350000,350000,352990,354900,355000,356500,354500,351909.5,350000,358000,359000,355000,357000,357017,359900,362000,365000,366900,367500,367000,365000,369900,369500,375000,374900,375000,378583.5,379000,379900,384602.5,384990,384800,382975,385000,388900,389000,389900,389900,390000,394900,398000,399500,399900,399900,399900,399900,4e+05,403346,408300,409000,419000,419900,425000,425000,425000,425000,425000,429000,429482.5,430000,433791.5,435000,439000,437500,439000,439900,439900,439000,435000,439000,439900,440000,440000,443889.5,449000,450000,450000,452900,453015,453285,450000,459900,462000
"New York, NY",1,714900,7e+05,699990,699985,7e+05,7e+05,7e+05,7e+05,7e+05,709900,719000,710000,699900,699000,699999,699990,699000,699000,699900,699000,699000,699500,699999,7e+05,7e+05,7e+05,7e+05,729000,729000,729000,729000,725000,735000,745000,739000,740000,740000,739000,749000,744900,749000,749000,749000,749000,750000,750000,778000,795000,799000,789000,795000,799000,799000,819900,8e+05,819000,825000,850000,859000,879000,898000,885000,875000,869900,869900,850000,850000,859000,885000,899000,899900,915000,950000,950000,926950,949000,925000,925000,925000,919000,929000,942005,950000,975000,974999,976200,975000,989650,988000,989000,989000,988950,995000,999000,999988,1049000,1045000,1050000,999999,999000,999000,999000,997000,995000,998000,998844
"Los Angeles-Long Beach-Anaheim, CA",2,935000,919900,920000,899000,899900,899000,899000,898500,890000,885000,889000,880000,874500,874900,869000,849000,850000,849000,849000,840000,839900,848000,849000,849500,849525,850000,849900,859000,860500,875000,880000,888000,895000,899999,915000,925000,939000,948000,959000,979000,995900,995000,999000,998000,999000,999900,1e+06,1050000,1049000,1050000,1050000,1080000,1079000,1060000,1075000,1050000,1090000,1099000,1100000,1100000,1100000,1149000,1149000,1193350,1195000,1195000,1195000,1199000,1199000,1199998,1238000,1249000,1250000,1269000,1250000,1249000,1259000,1275000,1275000,1275000,1290000,1299000,1300000,1348888,1350000,1350000,1350000,1349999,1350000,1390000,1395000,1395000,1399000,1400000,1438000,1475000,1495000,1495000,1499000,1495000,1488000,1493990,1495000,1495000,1499000,1499000
"Chicago, IL",3,428500,425500,425000,424900,419000,419900,419500,414900,4e+05,399900,399900,399900,399900,397900,389900,389900,389900,388000,385000,385000,386000,379900,379900,379900,380000,379000,379000,379900,380000,379900,379000,375850,378000,380000,385000,384000,384000,389000,389000,389900,399000,399000,399000,399000,405034.5,405000,409000,409900,412000,415500,413090,414990,412000,419000,415000,413621,419900,420000,420000,420000,420000,425000,425000,425000,425000,430000,434000,435000,439000,439000,439900,449000,449000,449800,449000,449000,449000,449900,450000,450000,450000,458245,460000,469900,473500,475000,469000,465000,469900,469000,469000,459900,464900,468500,469900,472000,477100,479000,478202.5,485000,480000,479000,479900,479000,479900,479000
"Dallas-Fort Worth, TX",4,349000,348144,345000,340000,340000,339900,339000,332500,325000,328000,328000,325000,320000,320000,320000,325000,329018,320990,321812.5,319900,324990,325000,328000,325000,325000,325000,329999.5,339900,340000,340000,339000,335000,339900,340000,344000,349000,349000,346000,349000,349900,350000,349900,349900,350000,356990,359000,359000,362500,365000,368490,365390,369900,369900,368111,375000,375000,378500,385000,385900,397900,399000,399500,408166,405000,4e+05,399900,399000,399900,399900,407500,405990,409000,415990,417840,420000,424500,420675.5,421900,423700,424520.5,425000,425000,429900,433990,435000,436990,436000,439900,439900,439000,439900,437990,439990,441900,439931,441990,450000,449990,453990,456670,459900,457990,454907,449990,450000,452000
"Philadelphia, PA",5,416950,415950,414900,410000,419000,419000,410000,409000,4e+05,405000,399900,399900,399900,399000,399000,399000,399000,395000,390000,395000,389900,389900,390000,394900,395000,394900,395000,395000,395995,396900,395000,390000,395000,396500,399000,399000,399000,399000,399900,397955.5,399000,399000,395999.5,399000,399000,399000,4e+05,399900,399900,399900,4e+05,4e+05,404900,409900,4e+05,402990,415000,410000,414900,419900,409990,409992.5,415000,416955,420000,420000,424900,425000,424900,425000,425000,425000,425000,425000,425000,429900,435000,430000,435000,435000,439900,439900,445000,449900,449900,449400,449000,449900,452985,452990,458500,457388.5,465000,460000,461590.5,459990,459990,459900,460370,464716,459500,459999.5,464990,465000,465000,460000
"Houston, TX",6,337000,335000,332000,331037.5,333060,331547,329900,327000,320000,319900,319500,316990,309990,310000,312500,317000,316049.5,310990,309990,309900,310000,311850,310000,314650,311382,310000,315000,314900,314900,312000,314900,314900,318961,319900,319995,329000,329900,329900,333879,336131,338999.5,339900,340000,344671.5,349316,349900,354000,358119,359990,364428,359900,369900,372956,374990,375000,378955,385460,389000,389000,395953,399000,399000,399900,400900,4e+05,399900,399990,4e+05,4e+05,403307,401611.5,409990,407995,409900,405990,409000,405000,403970,4e+05,403990,402300,400990,403990,4e+05,408924.5,408990,409000,409443,409000,401990,4e+05,399900,399987,399900,399990,403313,401995,403588,405000,410000,410000,409900,409742,408990,414131,414000
"Washington, DC",7,654900,650000,649900,649000,649000,649000,649000,639900,634900,639900,639000,634900,629900,629990,629000,634200,639000,629894,625000,624900,639000,629992.5,634990,627000,649900,650000,649950,649989,659990,659886,659000,650000,674900,680000,679900,679900,679000,675000,679999,685000,694000,695000,689990,699000,699000,699777,699900,699990,699900,699900,699900,699900,699900,699900,699000,695000,699000,699000,699000,695000,694945,698000,699000,699990,699900,712749.5,7e+05,7e+05,714900,719990,724000,720000,719990,725000,725000,725000,725000,729000,725000,728995,733450,739900,749000,749900,750000,751658,749990,756500,759900,754900,750000,750000,755000,769990,769900,774581.5,774900,775000,769900,774990,774275,769990,774000,769900,775000,775000
"Miami-Fort Lauderdale, FL",8,450000,450000,449000,439900,445000,439000,439000,434500,425000,429900,429900,424900,419000,425000,415000,416853,419000,419000,410000,414900,415000,419000,419000,424894,425000,427315,428000,440000,445000,439000,439000,445000,455000,439500,440000,445000,450000,450000,450000,455000,450000,454900,474900,450000,460000,469000,467000,475000,484000,489000,479900,485000,489000,489000,489000,490000,494900,499000,499900,5e+05,509994,510000,515000,529000,524999,525000,529900,538000,535000,539000,550000,559900,573990,575000,575000,579000,579000,589000,584900,579000,589000,593245,599000,599900,599900,625000,619694,619000,620000,624900,619000,615645,625000,623000,639000,642025,645000,649000,649999,649900,649000,649800,649900,649900,650000,650000
"Atlanta, GA",9,354999,349999,350000,349999,349900,349000,349000,349900,344900,339900,339900,339000,335000,334900,325000,325000,325000,320000,319987,315000,319000,309000,309000,307600,304900,3e+05,309900,317500,319900,324900,319900,315000,319000,319900,325000,325000,325000,325000,328932.5,329900,339500,342900,340000,340000,340000,345065,348000,349900,349990,350000,350000,362500,362430,362889,360000,364900,370000,369900,369000,371073,374990,379000,379000,379000,379900,383000,384217.5,380619,379900,384484.5,385000,385000,389900,398010,398844,401467.5,401625,399900,4e+05,404275,410000,415000,420520,420000,424955,425000,429000,429000,430000,429900,429000,427500,429900,434914,431095,435000,438000,439900,447000,449900,449000,449500,454495,450000,450000,450000
