"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
102001,"United States",0,155000,154900,154800,154700,154800,155000,155200,155500,155900,156500,157000,157400,157900,158400,158900,159400,159900,160300,160800,161300,161800,162300,162700,163100,163500,164100,164700,165300,166100,167000,167900,168800,169700,170600,171400,172100,172900,173800,174700,175700,176800,177800,178900,180100,181400,182800,184100,185400,186600,187700,188600,189600,190600,191500,192400,193300,194300,195300,196200,197200,198100,199000,199900,201000,202000,203100,204200,205300,206500,207800,209100,210400,211700,213000,214300,215600,216900,218300,219800,221500,223100,224600,226100,227600,229200,230700,232300,234000,235700,237400,239200,241100,243100,245200,247500,249900,252400,255000,257800,260700,263500,266400,269200,271900,274500,277100,279600,282300,285100,288000,290800,293600,296200,298700,301200,303500,305700,307700,309600,311500,313500,315200,316800,318000,318800,319200,319400,319300,319300,319400,319300,319200,319100,318500,317600,316300,314800,313000,311000,308900,306500,303900,301000,297900,294700,291200,287600,284400,281700,279100,276700,274400,272200,270200,268200,266100,263900,261300,258900,257100,256000,255200,254700,254400,254000,253900,254400,254200,253000,252300,252300,251500,250300,249100,247800,246800,245600,244300,242900,241700,240900,240300,239700,239000,238500,238100,237800,237500,237400,237400,237500,237900,238700,239600,240400,241200,242000,242800,243700,244800,246000,247000,248000,249500,251200,253000,254900,257000,259000,260700,262200,263400,264500,265700,266900,268100,269400,270800,272000,273100,274200,275300,276300,277200,278100,279100,280100,281200,282500,283800,285100,286400,287700,289000,290300,291500,292800,294000,295400,297100,298900,300100,301400,302800,304100,305400,307000,308700,310300,311700,313100,314800,316400,317900,319100,320200,321700,323100,324200,325500,327100,329300,331700,333400,334700,336200,337600,338700,339600,340700,341900
394913,"New York, NY",1,200300,199900,199400,198900,198300,197800,197400,197200,197300,197800,198300,198700,199200,199900,200600,201400,202100,202900,203800,204700,205800,207100,208100,208800,209500,210200,211000,211800,212800,214000,215400,217000,218700,220500,222200,223900,225900,228200,230600,233100,235700,238200,240700,243300,246100,249100,252100,255200,258200,261200,264200,267000,269600,272200,274700,277300,280000,283000,285900,288800,291900,295000,298200,301500,304900,308400,312100,315800,319600,323300,327000,330700,334600,338400,342200,346100,350000,353900,358000,362400,366900,371300,375600,379700,383800,387800,391900,396100,400400,404700,409000,413200,417300,421400,425600,429900,434300,439100,444300,449700,455200,460700,466000,471000,476100,481200,486100,490800,495400,499500,503400,507300,510900,514400,517700,520700,523500,526200,528700,531200,533600,535400,536600,537100,536700,535800,534400,532500,530500,528400,526500,524700,522900,521000,519000,516900,514900,512900,510800,508600,506400,504100,501500,498700,495300,491200,486700,482200,478000,474000,470200,466300,462800,459600,456600,453600,450000,445700,441200,437700,435300,433600,432500,432100,431800,432200,433500,434000,433300,432500,432000,431300,430300,428500,426700,425100,422800,419900,416300,412500,409900,409600,409500,407900,405600,403900,402700,400900,399100,396500,393600,392100,392100,392200,392100,391900,391400,391200,391000,391000,391400,392700,394000,394900,395200,396000,397800,400500,402900,404200,404900,406300,407900,408800,409100,410200,411900,413300,414100,415000,415700,416500,418000,419300,420200,421200,422500,423000,423000,422500,421800,421600,422700,424300,425800,426600,427300,428500,430000,431000,431800,432100,432000,432900,434800,435900,435900,436000,436900,437800,438400,440100,442600,445100,447900,450400,452300,454300,456500,458800,461100,464000,467900,471300,473700,475900,478400,480600,482300,483600,484400
753899,"Los Angeles-Long Beach-Anaheim, CA",2,220100,219900,219800,219600,219400,219400,219400,219600,220200,221000,221700,222100,222700,223400,224100,225100,226200,227500,229200,231200,233700,236600,239200,241600,243900,246100,248200,250200,252400,254600,256900,259400,262000,264800,267200,269300,271300,273100,274900,276600,278300,280000,281800,283900,286300,288900,291500,293800,296200,298600,301000,303500,306000,308500,311200,314000,317100,320200,323400,326400,329300,332100,334900,337700,340500,343400,346500,349700,353200,357000,361000,365100,369500,374300,379500,385100,391000,397100,403400,409800,416000,421900,427500,433200,439000,445000,451500,458600,466400,474800,483700,493000,502800,513200,524200,536300,549600,563400,577100,589900,601100,610800,619000,626100,632600,639100,645500,652300,659200,666100,673500,681200,688700,696100,703300,709700,715700,721200,726200,730800,734500,737000,738100,737600,735100,731600,727700,723400,719400,715900,712200,707600,702100,695900,689000,681000,671900,662900,654200,645600,636800,627800,618100,607700,596700,586300,577300,570100,564700,560500,556700,553200,549900,546900,543400,538700,533200,527300,523200,522200,523700,526400,529500,532500,534900,536600,537100,536500,537600,540100,540000,537200,535100,532600,529400,525500,521900,518400,515700,513800,511500,508200,505300,502700,499300,495700,492900,491700,491200,490200,489600,490900,493400,496700,500500,504600,508300,512200,516900,522300,528000,534300,542300,552600,563700,574300,584200,592500,598700,602900,606200,608800,610100,611800,614600,617500,619900,622200,624000,625700,627200,629400,631600,633700,636100,639500,643300,646900,649700,652200,654900,657700,660800,664500,667600,670100,673800,676700,677700,679400,681700,682900,684300,687300,691900,696700,700700,703900,707100,710600,714300,717100,719200,721600,724800,727800,730700,734200,738200,742100,745800,750600,755700,758300,758700,759500,761200,762700,764000,764300,765200
394463,"Chicago, IL",3,196600,197300,197700,197700,197400,196800,195900,194800,193800,193100,192100,190800,189500,188200,186700,184900,183000,181300,180100,179800,180600,182200,184000,186000,188200,190700,193300,196200,199100,202100,204600,206700,208300,209500,210000,210000,210100,210400,211100,212000,213200,214700,216400,218300,220600,223100,225500,227600,229700,231700,233700,235600,237500,239300,241100,242700,244300,245900,247300,248500,249600,250700,251800,253000,254300,255600,257000,258500,260000,261600,263200,264800,266400,268000,269500,271000,272500,274000,275600,277200,278700,280200,281800,283400,285100,286700,288400,290200,291900,293700,295400,297200,299000,301000,303200,305400,307700,310200,312900,315800,318600,321400,324200,326800,329500,332200,334800,337400,340200,342900,345700,348400,351000,353700,356300,358600,360700,362500,364100,365700,367300,368500,369600,370500,371100,371800,372400,372800,373100,373200,373100,372900,372400,371500,370300,368800,367300,366000,364900,363500,361800,359700,357100,354500,351700,348700,345300,341700,337900,334500,331600,328800,325800,322900,320000,316700,312800,308600,304500,301200,298800,297000,295800,295000,294300,294300,295100,294500,292400,290700,289500,287600,285200,282400,279200,276500,274600,273300,271900,270200,268500,267000,265500,264600,264200,263300,261700,260200,259400,258000,255800,254600,255100,256000,257000,258000,258900,259800,260800,261600,261900,261900,262600,264600,266900,269100,271200,273400,275300,277200,278600,279200,279600,280200,280600,281300,282700,284600,286600,288800,290300,290800,290800,291100,291400,291900,292400,292900,293300,293700,294100,294100,294000,294400,295700,297000,297500,297700,298400,299700,300900,302000,302600,303200,304200,305600,307000,308300,309200,309500,310200,311300,312200,313100,313900,314500,315100,316100,317600,319100,320200,321800,324100,325900,326700,327100,327100,326900,327000,327300,328000
394514,"Dallas-Fort Worth, TX",4,184000,183900,183800,183900,184100,184300,184500,184600,184600,184400,184400,184400,184500,184600,184800,185100,185500,186100,186900,188100,189500,191000,192400,193300,193700,193600,193100,192500,192000,191600,191500,191900,192600,193600,194600,195600,196600,197500,198400,199100,199700,200200,200600,201000,201200,201300,201200,201000,200500,200000,199500,199100,198900,198700,198700,198700,198700,198700,198700,198600,198400,198100,197800,197400,197100,196700,196400,195900,195300,194700,194100,193700,193500,193600,193800,194200,194600,194900,195000,195000,194800,194500,194200,193800,193600,193400,193300,193300,193300,193300,193400,193800,194500,195700,197300,199200,201000,202400,203500,204300,205000,205600,206100,206700,207300,207900,208500,209100,209800,210500,211200,211800,212400,212800,213300,213900,214500,215200,215800,216500,217300,217900,218600,219300,219900,220600,221300,221900,222400,222600,222600,222500,222500,222600,222900,223200,223600,224000,224300,224300,224000,223300,222500,221500,220600,219900,219400,219100,218800,218600,218400,218300,218300,218200,218100,218000,217700,217300,217000,216900,216900,216900,217000,217300,217500,217700,217800,217800,217400,217100,216800,216400,216000,215600,215000,214200,213600,213200,213000,212800,212600,212500,212400,212000,211600,211300,211000,210800,210900,211000,211000,211300,212100,212900,213400,214000,214700,215300,216400,217600,218700,219900,221300,222700,224100,225600,227100,228500,230000,231700,233200,234800,236000,236900,237800,238900,239700,240600,241500,243000,244800,246500,247800,249100,250700,252300,253900,255500,257200,259200,261300,263400,265200,267000,268700,270500,272300,273800,275600,278100,280900,283500,286200,289000,291700,293800,295600,297600,299700,301400,302700,304300,306100,307500,308600,310100,312000,314000,315800,317100,318200,320500,323900,326800,328300,329800,331200,331500,330900,330900,331700
394974,"Philadelphia, PA",5,184300,184100,183900,183600,183400,183300,183300,183400,183600,184000,184300,184400,184500,184500,184600,184600,184600,184700,184800,185000,185500,186000,186600,187100,187500,187900,188300,188600,188900,189300,189800,190400,191200,191900,192600,193200,193800,194600,195400,196400,197500,198800,200100,201600,203300,205200,207100,208800,210600,212300,213900,215300,216700,218100,219400,220800,222200,223800,225400,226900,228400,229800,231200,232700,234200,235600,237200,238800,240600,242500,244600,246800,248900,251100,253300,255600,258100,260700,263500,266300,269200,271800,274300,276800,279400,281900,284600,287400,290200,293200,296200,299200,302000,304900,307900,311200,314800,318700,322900,327200,331400,335300,338800,342200,345500,348700,351600,354400,357200,360000,362800,365800,368700,371500,374200,376700,379000,381100,382800,384400,385700,386500,387100,387400,387500,387300,387000,386400,385800,385300,384700,384300,384000,383600,383200,382600,381800,380900,379900,378500,377100,375600,374000,372500,371100,369700,368300,366800,365100,363600,362200,360800,359700,358800,357600,356200,354400,352400,350200,348400,347200,346600,346200,346000,345800,346100,346600,346300,345300,344800,344600,343700,342300,340800,339400,337900,336200,334100,332900,332200,331600,330800,329600,328200,326700,325200,324400,324200,323900,323400,323300,323700,323900,323600,323200,323500,323800,324000,324000,324100,324800,325300,325600,326100,327000,328200,329600,331100,333000,335300,337200,338400,339500,340700,341400,341800,342700,344200,345200,346000,346800,347300,347500,347700,347700,347300,346700,346600,347500,348900,350400,351400,352100,352700,353100,353200,353400,354500,356100,358000,359300,359900,360800,362500,364100,365300,366200,366500,366500,366900,367900,368900,369700,370700,371500,372200,373200,374200,375700,378900,382900,385600,386500,386500,386200,386300,387100,388100,388800,389500,390200
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,144000,144900,145900,147000,148200,149400,150300,150900,151200,151200,151100,151000,151100,151400,152100,153300,155000,157000,158900,160500,161700,162400,162800,162900,163100,163400,164000,165100,166900,169300,172200,175100,177300,178400,178400,177700,176700,175600,174300,172700,171000,169000,167100,165300,163600,162400,161700,161300,161100,161100,161200,161200,161300,161300,161200,161200,161500,162000,162700,163600,164300,164900,165300,165500,165500,165500,165600,165800,166000,166300,166700,167200,167700,168100,168400,168600,168900,169300,170000,170900,172000,173000,173900,174700,175400,176100,176800,177600,178600,179600,180400,180900,181000,180900,180500,180100,179800,179400,179100,179000,179000,179200,179400,179800,180300,181100,182100,183000,184000,185000,186000,187100,188200,189100,189800,190100,190500,190800,191100,191500,191900,192400,192800,193000,192800,192100,191000,189700,188500,187500,186600,186000,185700,185400,185100,184700,184500,184300,184000,183700,183400,183100,182800,182800,183000,183300,183400,183600,183500,183400,183600,183700,183800,184000,184100,184000,183600,183200,182900,182300,181500,181000,180900,181100,181200,180900,180200,179400,178400,177700,177600,177700,177500,177200,177300,177400,177200,177200,177700,178300,179100,179500,179400,179400,180200,181100,181800,182300,183100,184100,185300,186500,187600,188500,189400,190200,191300,192200,193000,194100,195500,196800,198200,199800,201400,202800,204400,206100,207800,209300,210600,212100,214300,216800,219500,222300,224800,227300,229600,231200,232400,233800,235200,236300,237500,238700,239500,239800,240000,240300,240500,240800,241200,241600,242200,242700,243200,243600,244000,244200,244500,244900,245500,246400,247000,247800,249000,250500,251600,252100,252100,252200,252400,252700,253100
395209,"Washington, DC",7,220700,220300,219800,219400,219000,218800,218900,219100,219500,220000,220300,220100,219800,219500,219200,219100,219300,219700,220300,221100,222200,223300,224200,224900,225500,226100,226700,227400,228200,229000,229900,230900,232100,233500,234900,236300,237800,239500,241200,242700,244300,245800,247400,249100,251100,253300,255500,257500,259600,261900,264400,267200,270500,274000,277800,281700,285800,290000,294000,297800,301700,305600,309300,313100,316900,320700,324500,328500,332500,336600,340500,344300,347900,351400,354900,358600,362300,366000,369900,373900,377800,381800,385700,389800,393700,397300,401000,404700,408500,412700,417100,421800,426600,431700,437500,444300,452400,461500,471500,482100,492700,503000,512800,522300,531800,541100,550100,559300,569100,578800,588000,596200,603000,608300,612200,614900,616900,618200,618700,618200,616500,613600,609800,605100,599700,594300,589200,584500,580400,576900,573600,570100,566100,561800,556900,551400,545400,539300,533100,526800,520600,514600,508800,502400,495600,488800,482600,477600,474000,471500,469300,467400,465900,464700,463000,460400,456800,452500,449200,448000,448600,450000,451900,454200,455400,456800,458500,459900,461000,463000,464700,465200,464800,464300,463300,461800,460500,458400,455100,453300,454200,456500,458400,460000,461000,460900,460500,460900,461600,461700,462500,464700,467100,468900,471000,473400,474500,475600,477800,480100,481700,484000,487400,490700,493800,497300,500500,503100,506300,509300,511500,513100,515500,517600,519500,520700,522000,522700,523100,522800,522500,522300,522900,523600,523600,523800,525500,527000,527400,527200,526700,526500,526700,526900,526900,527200,527800,527800,527800,529100,531100,532700,534800,536700,538600,541300,543300,544800,546600,548700,550300,551800,553100,554500,555700,557000,557800,558700,560000,561200,563000,566600,571200,574200,574900,575200,575300,575300,575500,575800,576300
394856,"Miami-Fort Lauderdale, FL",8,158900,159000,159000,159000,159000,158900,158800,158800,159000,159300,159500,159600,159700,159800,159800,159900,160100,160300,160700,161100,161800,162600,163200,163600,163800,163800,163700,163600,163600,163600,163800,164100,164500,165000,165400,165800,166100,166600,167100,167600,168100,168500,169100,169700,170500,171500,172600,173600,174700,175800,177000,178100,179300,180700,182100,183600,185300,187200,189100,191000,193000,195200,197400,199900,202400,205000,207600,210200,212700,215200,217500,219600,221600,223600,225600,227700,230000,232500,235100,238000,241100,244400,247800,251400,255000,258500,261900,265200,268500,271800,275300,278900,282500,286100,289900,293900,298100,302800,308100,313900,320000,326500,333200,340000,347300,354800,362200,370000,378400,387000,395600,404200,412100,419100,425200,430500,435300,440000,444500,449400,454400,458900,462400,464700,465700,465700,465100,464100,463100,462100,460500,458500,456000,453200,449800,445900,441100,435800,430000,423400,416100,408200,399600,390600,381400,372300,363500,355200,347000,339100,331100,323000,315100,307900,300600,292900,285100,277000,269900,265300,262800,261400,260500,259800,259300,259300,259800,258700,257000,256300,256100,254400,251900,249700,248800,248600,248000,246800,246000,246300,247400,248100,247900,247400,247000,246800,246800,246800,246800,247000,247800,248900,249900,251000,251700,252400,253500,254300,254600,255800,257700,259400,261500,264300,267600,271000,274500,278100,281700,284900,287700,290500,293200,295600,298000,300700,303500,306300,309700,313600,317100,319400,321200,323300,325300,326700,328000,330400,333200,335800,337800,339500,341500,344300,346700,348400,350000,352200,354400,356400,358500,360600,362900,365200,367200,369200,372100,375300,378200,380600,382100,382900,384100,385200,386300,387700,389100,390800,392300,393100,394500,397800,401700,404200,405600,407400,409600,411500,413000,414500,415900
394347,"Atlanta, GA",9,155200,155900,156500,157000,157400,157900,158300,158600,159000,159400,159800,160100,160500,161000,161600,162200,162800,163500,164100,164600,165200,165800,166400,166800,167300,167900,168600,169400,170200,171100,172000,173100,174300,175500,176700,177800,178900,179900,181000,182000,183100,184100,185000,186000,187100,188400,189500,190600,191600,192700,193700,194800,195800,196800,197800,198800,199800,200700,201700,202500,203400,204300,205100,206000,206900,207800,208800,209700,210800,211800,212700,213500,214200,214800,215300,215800,216200,216700,217100,217700,218400,219100,219600,220000,220300,220500,220700,221000,221500,222000,222700,223300,223900,224400,225000,225600,226300,227100,227900,228800,229800,230700,231500,232300,233100,233900,234700,235600,236600,237700,238800,240000,241200,242500,243800,245100,246300,247600,248600,249800,251000,252100,253200,254200,255200,256200,257000,257700,258300,259100,259700,260300,260900,261200,261300,261300,261100,260700,260000,258900,257700,256300,254700,253100,251600,249800,247900,245800,243500,241300,239200,237100,235000,233100,231000,228600,226000,223200,220400,218400,217100,216100,215300,214400,213500,213200,213600,212700,210500,209500,209100,207800,206000,203700,201500,200000,198500,196200,193600,191900,190900,189600,188000,186600,185400,183800,182300,181000,180100,179600,179300,179300,179900,180700,181500,182400,183300,184900,186600,188300,190000,191500,193000,195000,197200,199100,201200,203700,206100,208300,210400,212300,214000,215600,217600,220200,222600,224300,225700,227000,228100,229100,230200,231400,232200,232700,233000,233500,234200,235200,236100,236700,237400,238000,238400,239100,240100,241300,242900,244400,245800,247300,249300,251800,254200,256300,258000,259600,261500,263400,264800,265900,267100,268100,268500,269200,270500,272300,274200,275800,277400,280100,283300,285600,287000,289000,290900,292000,292800,294700,297100
