SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1,6181,New York,City,NY,0.9026548672566371,0.918580375782881,0.8936197255421537,0.9114219114219114,0.9205020920502092,0.9171762090050027,0.925611519839024,0.9246171967020024,0.932675511071243,0.9290953545232273,0.923017051225801,0.9238192293579827,0.9156278613370666,0.9176470588235294,0.9166704861270255,0.9164345403899722,0.9221443854432496,0.921578947368421,0.9309309309309309,0.9319776254229255,0.92000184000368,0.9117647058823529,0.9130434782608695,0.9139329805996472,0.9011278195488721,0.9026548672566371,0.9094216078574027,0.9116471704516335,0.9170858155882171,0.9148572822639668,0.9230769230769231,0.9258517034068137,0.9253132832080201,0.9271523178807947,0.9232315874063282,0.9287698967726774,0.9134615384615384,0.922077922077922,0.9147869674185464,0.932746196957566,0.9394255709495793,0.9511568123393316,0.9562911767598017,0.9607791524085285,0.9583333333333334,0.9528946422150306,0.9454949944382648,0.9499568221070811,0.9503167722574192,0.9377049180327869,0.949921444921703,0.9474900656881031,0.9621802002224694,0.9537037037037037,0.9567441816700984,0.9600960192038408,0.9538371380623851,0.9492958372206672,0.9540771983755915,0.9493765663031899,0.9534883720930233,0.9509503187778179,0.9475712872605528,0.9511728992860613,0.9640102827763496,0.9646539027982327,0.9630136077607481,0.9666666666666667,0.9620253164556962,0.9639420993325821,0.9551313000664492,0.9611671757594504,0.9579129230885574,0.9627376323017652,0.961277816122588,0.9571428571428572,0.9655172413793104,0.9676497671912718,0.969940954998189,0.9733346311128415,0.9661969148733575,0.9701492537313433,0.9652522341111593,0.9653846153846154,0.970944139580695,0.9677419007977428,0.9623188405797102,0.9692322603573236,0.9696969696969697,0.9700700800332982,0.9727290413255297,0.9706774519716885,0.9688665042172235,0.9636704972124246,0.964200477326969,0.9638297872340426,0.9638245804173553,0.9568845618915159,0.9615384615384616,0.9627203183199945,0.9698492462311558,0.9666666666666667,0.968615687679083,0.964824120603015,0.9610353553103255
2,12447,Los Angeles,City,CA,0.9639519359145527,0.9515859766277128,0.9664804469273743,0.9703179297580716,0.9686956521739131,0.9696705914692811,0.96875,0.9625091666666666,0.9603841536614646,0.95,0.9496781196435456,0.945531806060606,0.9428571428571428,0.9369475190121226,0.9400386847195358,0.954607442041691,0.951417004048583,0.9523809523809523,0.9509382009154068,0.9476934184526524,0.938366718027735,0.9439252336448598,0.9434628975265018,0.9465975428026285,0.9396786905122765,0.9494715526318396,0.9411764705882353,0.9562238652641326,0.9681321220962552,0.9761526232114467,0.9789251844046365,0.9717424735316733,0.9827115559599636,0.9809200540405261,0.9873417721518988,0.9833349722249537,0.9937451184587347,0.9954268927871994,1,1,1.001669449081803,1.0013351134846462,1.0010593177648281,1.0002020816492345,1,1,0.9858757062146892,0.9827586206896551,0.9785330261136713,0.9785226771206237,0.9901980396079216,0.9884889941534027,0.9906298167912122,0.98823517591046806,0.9874957280312562,0.9844183204591064,0.9839357429718876,0.9774692471118692,0.9747126436781609,0.9748737786495223,0.9694394076380446,0.9793458940632775,0.9838527445626588,0.9929356602632449,0.9959919839679359,1,0.9911982396479296,0.9934838387987045,0.9927575334012039,0.9870765320248394,0.9841269841269841,0.9830508474576272,0.9797979797979798,0.9847715736040609,0.9931227863046045,0.9966887417218543,1,1,1,0.9933110367892977,0.9885112494016276,0.9870967741935484,0.9847841745125276,0.9812108559498957,0.9819435736677116,0.9826589595375722,0.9924604308226055,1,1,1,1,1,0.9962406015037594,0.9979385853293943,0.994991652754591,0.9913471689894153,0.990990990990991,1,1,1,1.0000445654692136,1,0.9991567574478968,1,0.991147669408539
3,17426,Chicago,City,IL,0.9013333333333333,0.8905251458738539,0.9022556390977443,0.8938547486033519,0.908359133126935,0.9205020920502092,0.9233176838810642,0.9141446495385246,0.916754478398314,0.9096692178341992,0.9037119908204245,0.8996138996138996,0.8913897820650232,0.8970467696554654,0.888259140573723,0.8895478131949592,0.9111902095664695,0.9190616932405253,0.92,0.9112123681805833,0.9074508451190065,0.8976660682226212,0.8959156785243741,0.8951310861423221,0.8980890875972843,0.8931932773109243,0.8868894601542416,0.9012234619345911,0.9216906693851104,0.9289258095995669,0.9317627494456763,0.9327330300272976,0.9302325581395349,0.939183987682833,0.9342332908395556,0.9343094948631281,0.9337250120406191,0.9310344827586207,0.9438528557599225,0.9523809523809523,0.956081081081081,0.9670781893004116,0.9699909063352531,0.9657022432269468,0.9657957773940171,0.9618266978922716,0.9601897527045546,0.957233731242082,0.9523809523809523,0.9505941213258287,0.9521904761904761,0.9611152635456433,0.9662850647505379,0.9719733038371726,0.9699499165275459,0.9628209470041542,0.9587628865979382,0.9528627377368442,0.948509485094851,0.9403761504601841,0.9357827769241929,0.9347826086956522,0.9473684210526315,0.9588638195004029,0.9711595055915244,0.9728183118741058,0.967741935483871,0.9655772374795639,0.9594882729211087,0.9558232931726908,0.9515570934256056,0.9443402126328956,0.9343137243746779,0.9447272812296537,0.9561519641999969,0.9671272034302049,0.9719839908519153,0.9744494371910717,0.9720759233926128,0.9714285714285714,0.9643797380023471,0.9636363636363636,0.958244895896503,0.9527833153901639,0.9507042253521126,0.9498806682577565,0.9628235068980548,0.9698996655518395,0.9754877438719359,0.9759474303200539,0.9747487517749989,0.9689554802484772,0.965461085676913,0.96,0.9569230769230769,0.9488666315234581,0.9483545151208146,0.9468244707451242,0.9698941130332477,0.9743589743589743,0.9722222222222222,0.9732217823246242,0.968421052631579,0.9662921348314607,0.9616919778930125
4,39051,Houston,City,TX,0.9312276906435911,0.92971,0.9467719298245614,0.9509187085088077,0.951096,0.9574806629834254,0.9328291867242969,0.92956,0.934595202935812,0.918123177630642,0.9124240071663183,0.9041701390046335,0.8956384119202735,0.9016387096774193,0.8948479932664913,0.9140378365011101,0.9088677248677248,0.9005817351598173,0.9065647058823529,0.9097166701790902,0.8955264593562466,0.91443,0.9037777777777778,0.9177198256339498,0.9045684931506849,0.9233610548446772,0.9158013339562351,0.9143780290791599,0.9186945794001755,0.9314299332697807,0.930509147973513,0.9429797101449275,0.9424262951695157,0.9303429101019463,0.9266453162530024,0.9235839565738452,0.9259227985524728,0.9219292929292929,0.9374753086419753,0.9358074960820438,0.9348123366616834,0.9397302022331966,0.9403983149816484,0.9396533333333333,0.9426263578110543,0.9405624366244362,0.9324749919328815,0.9270944423797136,0.9269785714285714,0.943998794347747,0.9284322246173595,0.9335957421573859,0.9454148471615721,0.9428580585263673,0.9427060151575588,0.9751279199110122,0.9434805867486827,0.9349749903809157,0.933354271356784,0.9456701048951048,0.9663865546218487,0.9543113740141138,0.9553766151472574,0.9591361977274969,0.9653333333333334,0.9645457697642164,0.9551000488042948,0.9592174470814625,0.9510874686500044,0.9489492063492063,0.9446451612903226,0.9431796118588571,0.941992157644635,0.9406204206684528,0.9485811965811966,0.949717139154894,0.9575567050241045,0.9611559322033898,0.9609152190821882,0.9637348666954051,0.9385272119185163,0.929276936267505,0.9485778935268339,0.9376072096284178,0.9372690380761524,0.9382331519699812,0.9415286270150084,0.9433065937774179,0.9530046511627907,0.954337899543379,0.9538327272727273,0.9470722222222222,0.9379785576299338,0.9503325051338075,0.9437751004016064,0.935584375,0.9436973684210527,0.9362850241545894,0.9379310344827586,0.9434751326412918,0.9574937746256895,0.9437212121212121,0.9451587982832618,0.9441362255662802,0.9440261194029851
5,6915,San Antonio,City,TX,0.9891377983063895,0.9922765596889878,0.98268,0.99625,0.9918038892411752,0.9911194833153929,0.988006574567059,0.9838845381526105,0.9834248670645525,0.9614909619109102,0.9707300660233621,0.9436398522563032,0.9697684782608695,0.9607746989016304,0.9803877983193277,0.9695469561113733,0.9678262162162162,0.9770983879933296,0.9761526417425314,0.9801500833796554,0.9739751207480106,0.9608355240132218,0.9565217391304348,0.9733904065666282,0.9589884816908913,0.9531070300176574,0.9854321608040201,0.9755085097550851,0.9904646175839885,0.9943226246785817,0.9839701923076923,0.994136,0.9924476701129881,0.9888098693759071,0.9926219024780176,0.977804761904762,0.9945416227608008,0.9800120481927711,0.9897575757575758,0.9983027063147344,1,1.0012367049166702,0.9949354720744681,0.988376923076923,0.9987401739685311,0.9806395408163265,0.9882217142857143,0.9958019375672766,0.9926471176941554,0.9964804003336113,0.9826661901358112,0.9880636604774535,0.9989401230706522,0.9936908517350158,0.9968652037617555,0.9888888888888889,0.9880006315789474,0.9881356950666658,0.9804744644480687,0.9824360540504637,0.9797158895219911,0.9788583333333334,0.9996294924045943,1,1.0055434782608696,1,1,0.995,1,0.9973020353907637,0.99219825708061,0.99482660602615125,0.9899749373433584,0.985,0.9968652037617555,1,1,1,1,1,0.9954555052790347,0.9882090592334495,0.9930468139372248,0.982553815159378,0.9838059163059163,0.9853706889050036,0.9903365876005293,0.9893035893035893,0.999837416481069,1,1,0.9995805369127517,0.9894621026894865,0.9920981869199224,0.9869697133884243,0.980975476839237,0.9831263736263737,0.9827083552654665,0.9929418960244648,1,1,1,1,1,1
6,13271,Philadelphia,City,PA,0.9203681472589036,0.9172413793103448,0.9211404679924109,0.925737415008109,0.9393939393939394,0.9454949944382648,0.9341723136495643,0.9318637274549099,0.9292630272632083,0.8990406644169782,0.906725254433743,0.9089729028070744,0.9102765591546671,0.9032445492292291,0.9090909090909091,0.9050156630699617,0.9116465863453815,0.9181894065867355,0.9180795539274484,0.9119496855345912,0.9032258064516129,0.9003126170604456,0.8869076923076923,0.896551724137931,0.8833922261484098,0.8876694641704326,0.8959595515067944,0.8998435054773083,0.904291407139076,0.9164925620849035,0.9271237602414834,0.9237875288683602,0.9117647058823529,0.9075353330338726,0.9140619171950765,0.9136393732318626,0.9090702385381785,0.8936170212765957,0.9171683183933126,0.9204555813741486,0.9353776953913606,0.9425531914893617,0.9427292559993982,0.9290138161029061,0.9301723836830859,0.9277369230557959,0.9086538461538461,0.9127853881278539,0.921217173822426,0.9144542772861357,0.9224515322076298,0.9220026350461132,0.9325358851674641,0.9449694274596998,0.9384615384615385,0.9298998569384835,0.9236363636363636,0.925,0.9230769230769231,0.9191293639145344,0.911480808539632,0.9194594594594595,0.9203681472589036,0.9175587553959037,0.9480960777813099,0.95,0.9490940465918896,0.9483667017913593,0.9375,0.9365687526607067,0.9313556398758193,0.9353014208856394,0.9310344827586207,0.9284690953745396,0.932415519399249,0.9467676767676768,0.959310441714933,0.9623530631243011,0.9640287769784173,0.959479739869935,0.9557706499881227,0.9527590373676709,0.9521423799980914,0.9473684210526315,0.9461201352908002,0.9404045926735921,0.9488425264361247,0.9606404269513009,0.9636363636363636,0.9717062017719348,0.9687426880222841,0.9647058823529412,0.960960960960961,0.96,0.9593013830839263,0.9502262982372558,0.9466666666666667,0.9473407056345445,0.9511111111111111,0.9593023255813954,0.9711595055915244,0.9749573636726296,0.9759759519038076,0.9728956424235394,0.9718228867165037
7,40326,Phoenix,City,AZ,0.9386733416770964,0.9408650417200429,0.9337549104148701,0.9217955834857425,0.9441986234021632,0.9375,0.9328481422956931,0.9197855261507588,0.9156626506024096,0.9118541033434651,0.9168704156479217,0.9,0.9129616759332804,0.890625,0.898876404494382,0.9191176470588235,0.9294573643410853,0.9467656728887438,0.9555555555555556,0.9598853868194842,0.9534466950070851,0.9673402750063491,0.9631257631257631,0.9612860157629528,0.9666080843585237,0.9673115410273516,0.9725103745449528,0.9757887013939839,0.9939532334673,1,0.995307483329217,1,0.985398347988276,0.9943659733132469,0.9807692307692307,0.978049533691557,0.9705882352941176,0.9678349141712602,0.9721725835914542,0.9761746513038205,0.9777777777777777,0.9777777777777777,0.98,0.974968671679198,0.9759085340955492,0.9695290858725761,0.9627329192546584,0.9578947368421052,0.9578836535930508,0.9607762395342824,0.9548872180451128,0.956304347826087,0.9577230334592737,0.9617108485485157,0.9598853868194842,0.9560997837530778,0.9600960192038408,0.9566531165311654,0.9539158576827844,0.9583659032847844,0.9553571428571429,0.9619096682912507,0.9668485491179022,0.9669603524229075,0.9723448778112538,0.9707112970711297,0.9716430358632193,0.9727543635589613,0.970916698077648,0.9711595055915244,0.9692997585374267,0.9666666666666667,0.9641509433962264,0.9693558474046279,0.9699624530663329,0.9738695317468287,0.9733333333333334,0.9733222175906627,0.972972972972973,0.9717868338557993,0.9705225378829087,0.9693558474046279,0.9702874739639445,0.968421052631579,0.967741935483871,0.9706504798514932,0.973677281671794,0.9758305951077035,0.9764705882352941,0.9771958397622722,0.9767441860465116,0.9770527609652633,0.9726443768996961,0.9752438109527382,0.9711595055915244,0.9690637697706437,0.9719922000509655,0.9739130434782609,0.978319783197832,0.9815272962152741,0.9821753364859949,0.9807692307692307,0.9813866874539864,0.9766555502620295,0.9738079247817327
8,18959,Las Vegas,City,NV,0.9805677032064419,0.9652509652509652,0.965596612487864,0.9683666881859264,0.9713573319096247,0.9680908599242833,0.9645692556717453,0.9644970414201184,0.9622714134239692,0.9537210756722951,0.945179584120983,0.9387755102040817,0.9328,0.9299369607034026,0.9363157894736842,0.9411418481459682,0.9459459459459459,0.9491525423728814,0.9510668871976528,0.9570181329751511,0.9437281636415864,0.9491039129471741,0.950920533793462,0.9469468508973937,0.9497162022703818,0.9485354364050178,0.962278675904542,0.9731543624161074,0.9874368686868686,0.9918042287373572,1,1,1,0.9925373134328358,1,1,1,1,1,1,1,1,1,1,0.9924937447873228,0.9842909428262726,0.9758149316508938,0.9674418604651163,0.9655172413793104,0.9690660800365442,0.9657102869139258,0.9735194747242939,0.975365777412337,0.9758794119778833,0.9719757061703186,0.975,0.9636767976278725,0.9652844421630549,0.9639061207609595,0.9591326105087573,0.96000192000384,0.9615168539325842,0.96819697358297,0.9678899082568807,0.9714285714285714,0.9733475479744137,0.9748427672955975,0.9722222222222222,0.9722222222222222,0.9683938704087527,0.9627000960955547,0.9610321221695629,0.9663865546218487,0.9683666881859264,0.9683770215639516,0.9748163416309921,0.9736710482441515,0.9735066569286754,0.9738562091503268,0.9735449735449735,0.9736867728666716,0.9670079635949943,0.9709740832865281,0.9710640172505073,0.9717102391230539,0.9735465351530702,0.9799544886501408,0.9821428571428571,0.9851519695912337,0.9874126559571188,0.9914893617021276,0.990990990990991,0.9857149897969242,0.9846153846153847,0.9821428571428571,0.9837837837837838,0.982532751091703,0.9864136718671435,0.9916574581973052,0.992498845976304,0.993357365360348,0.9945205479452055,0.9933617120144714,0.9886253369272238,0.9830111095080074
9,54296,San Diego,City,CA,0.9553158705701078,0.9565217391304348,0.9706599713055954,0.9676201647393778,0.9759519038076152,0.9593089338486019,0.9634243282019466,0.9631657532581017,0.9548313321898227,0.9428571428571428,0.9407001667063587,0.942015990744435,0.9404388714733543,0.9413333333333334,0.9449311639549437,0.9348612786489746,0.9523809523809523,0.9390651085141903,0.9360100376411543,0.9415044689124465,0.943089430894309,0.9377930603313536,0.9383561643835616,0.9336206896551724,0.9345181505985527,0.9363544303797469,0.9484094237645991,0.960421888053467,0.9634146341463414,0.9705882352941176,0.970873786407767,0.9714285714285714,0.9760191846522782,0.9678756946303317,0.970873786407767,0.9777777777777777,0.9838709677419355,0.9893411586520258,0.9893885692531248,1,1,1,1,0.9871321592534056,0.9773462783171522,0.970970970970971,0.9666666666666667,0.9625,0.9612676056338029,0.9711606437393437,0.9710394265232976,0.9733333333333334,0.9746581940477599,0.974629907745119,0.9715994020926756,0.967391304347826,0.9607686148919136,0.96,0.9540229885057471,0.9536423841059603,0.9558172826652785,0.9617955875995574,0.9697949386775413,0.9767004000941398,0.9770453207769276,0.9834972495415902,0.9818181818181818,0.9746835443037974,0.9787234042553191,0.9696875358919644,0.9719438877755511,0.9692307692307692,0.9713257965056525,0.973567768979972,0.9833024118738405,0.9879518072289156,0.98670594010800206,0.9888888888888889,0.9873127890743515,0.9813084112149533,0.9799666110183639,0.97708082026538,0.977810261407738,0.9760233918128655,0.9778270452616983,0.9848484848484849,0.9933333333333333,0.99569210821938825,1,1,0.9919839679358717,0.9862161008750472,0.9888268156424581,0.9823008849557522,0.9838998211091234,0.9778073584518547,0.9835631374289602,0.9921104937291634,0.9928057553956835,0.9924469908541882,0.9908602703284488,0.9909919229536595,0.9875704020198097,0.9814814814814815,0.974903998390497
10,38128,Dallas,City,TX,0.9496086826033119,0.9123042622547513,0.9524616956077631,0.9333079122974262,0.9510995473006183,0.9342643678160919,0.9290982492997198,0.8961142857142858,0.9467410330647095,0.9289475982532751,0.9057264437689969,0.8897397473221911,0.8708009313154831,0.9284965986394558,0.8990208527994068,0.9174481074481075,0.9111111111111111,0.9237272727272727,0.9414788519055749,0.9229739776951673,0.9100767331077813,0.9256127948534667,0.9192590738423029,0.9293883495145631,0.9217877094972067,0.9562885649709506,0.9472702731362015,0.9454581831132399,0.9535454545454546,0.929484,0.9502325102880659,0.931993220338983,0.9622025316455696,0.9448618303571428,0.9450992255038315,0.938544383325244,0.9490893342830385,0.9612483985770812,0.9445272727272727,0.9532773109243697,0.9634105263157895,0.9518545594459408,0.9466281055019853,0.9556840077071291,0.9366733524355301,0.946013422818792,0.9444347376583095,0.9206490765171504,0.9292035398230089,0.9376195773081202,0.9466666666666667,0.9473924462667905,0.9383314932126696,0.9442401839824703,0.9378907878282617,0.9403134378126042,0.9523575112988167,0.9250038491147036,0.9277142857142857,0.9342525951557094,0.9285185780062105,0.9216956334389675,0.9476923076923077,0.9570686345604231,0.9566787003610109,0.9524021263289556,0.952,0.9588468085106383,0.9489291508923743,0.9424622566002379,0.9346157993966817,0.9374887387387387,0.9317021704180064,0.9555555555555556,0.944,0.9508644222020018,0.9578270192994996,0.9466666666666667,0.9621080175668131,0.9493975903614458,0.9523501808490387,0.9635416666666666,0.9463372231483687,0.944748687171793,0.9634488558244656,0.9322176116966862,0.9531309510473843,0.9507884048550708,0.9635271844790929,0.960288096034573,0.967741935483871,0.9503563985043284,0.9544416501685484,0.9513947895791584,0.9445258166491044,0.951708471049088,0.9448732083792724,0.9415142857142857,0.9498069498069498,0.9610307024924408,0.955538202247191,0.9552497031506101,0.9405314009661836,0.9464574669187146,0.9381613801332405
