SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
1,3101,Los Angeles County,County,CA,0.9669549789310269,0.9610920776564948,0.9682804674457429,0.9711187571681785,0.9726235583128617,0.9704641350210971,0.9715812484819043,0.967093976846622,0.9617234083477592,0.9579100145137881,0.9531279785249329,0.9478991596638655,0.9487179487179487,0.9427207637231504,0.9476556776556777,0.952,0.9550926736454056,0.9546615613270524,0.9538461538461539,0.9523809523809523,0.9454949944382648,0.9474940334128878,0.9476177941563569,0.948609865470852,0.9459806850552352,0.9523809523809523,0.9519149067707012,0.9584054209919262,0.9691072276502827,0.9748848846744181,0.9784172661870504,0.9785376500545653,0.9824937477670597,0.983341527914354,0.9855072463768116,0.9854457246816253,0.9928342245989304,1,1,1,1.000533712913147,1.0029498525073746,1.0003775009437523,1,1,1,0.988487033375974,0.9865996273933245,0.9818451278251205,0.9840348330914369,0.9888423771805606,0.9892073923610176,0.990990990990991,0.9899379635211638,0.989010989010989,0.9851470142467414,0.9805219554710126,0.9789473684210527,0.9767151117362087,0.974665671112922,0.9728997289972899,0.9790232611264829,0.9830880276871028,0.98982484705775,0.9922480620155039,0.9948109710896961,0.9909308288042223,0.9910995658707218,0.9897895394873932,0.9852216748768473,0.9841402226723328,0.984070796460177,0.9815384615384616,0.9849624060150376,0.9909819639278558,0.9941066606182176,1,1,1,0.9981809909835387,0.9919839679358717,0.9887677556291096,0.9879769517251071,0.9844271412680756,0.9833489665708319,0.9864176178946155,0.9939570743904981,1,1,1,1,1,1,0.9984997499583264,0.9949899799599199,0.9916666666666667,0.99301364878776055,1,1,1,1,1,1,0.9982173095708649,0.9890371782650142
2,139,Cook County,County,IL,0.8887133405747013,0.88,0.8803418803418803,0.8853443115000124,0.8976692656349076,0.9064860665394694,0.9006004002668445,0.9053285049146405,0.906896551724138,0.8932825154835636,0.8949666743277407,0.8757297748123436,0.8706928492034087,0.8860505838201984,0.8816901559516914,0.8761904761904762,0.8996279060125828,0.9007200004608003,0.9009009009009009,0.9006004002668445,0.8876645332689288,0.8862840442675095,0.8787878787878788,0.8782572895476122,0.879423606696334,0.8714941022280471,0.8717434869739479,0.8922379301146972,0.9045226130653267,0.9184726522187823,0.9208494208494209,0.920704853985145,0.9224736433064746,0.9217634199659946,0.9181375937265563,0.918854415274463,0.9109458901280463,0.9174311926605505,0.9238314806971559,0.9329636885481847,0.9437523593808984,0.9541764471052211,0.9574468085106383,0.9565217391304348,0.9561519641999969,0.9542857142857143,0.9478260869565217,0.9435897435897436,0.9451219512195121,0.9430803571428571,0.9366754617414248,0.952,0.958904109589041,0.9607791524085285,0.9594439376103591,0.9581479966716968,0.951968810624162,0.9451377262134125,0.9382239382239382,0.9340659340659341,0.9281600042469608,0.9278350515463918,0.9360877985797289,0.9487179487179487,0.9594882729211087,0.9628252788104089,0.9586241692473643,0.9554140127388535,0.9499358151476252,0.9456393257272073,0.9406952965235174,0.9361702127659575,0.9289031797070382,0.933572710951526,0.9456264775413712,0.9554551323434474,0.9616658859134355,0.9635396833089849,0.963459141890689,0.960545528885109,0.9547738693467337,0.950950950950951,0.9454949944382648,0.9405792773962377,0.9398894763410293,0.9398496240601504,0.9510204081632653,0.9626593806921676,0.9679550933837224,0.9683666881859264,0.966542750929368,0.9619084263178146,0.9573542210617929,0.9523832199600475,0.9488372093023256,0.9436435124508519,0.9393585710751317,0.9398609487775783,0.9569377990430622,0.9673115410273516,0.9671564145316768,0.9682539682539683,0.9649749821300929,0.96,0.955909596146721
3,1090,Harris County,County,TX,0.9467455621301775,0.9420220674193289,0.9556156156156156,0.9579233449477352,0.9633117408906883,0.9624506077062323,0.9400172588832487,0.9471028630000861,0.9466862745098039,0.9238507209499576,0.9190707401345699,0.9182879377431906,0.9056131070490709,0.9249055283414975,0.9146483870967742,0.9298201973867111,0.9184080406639663,0.9200395038266806,0.9140825489161999,0.9214821763602251,0.9190643311460431,0.9263021990182672,0.9186264671793536,0.9254038461538462,0.9111045003430304,0.9313594895512162,0.9266158230964061,0.9245136363636364,0.9402827296000942,0.9510633333333334,0.9483074838709677,0.9504772507932931,0.9549542774566473,0.9390421413864105,0.9470624401913876,0.9391242853591847,0.9480533743414745,0.9410426829268292,0.9552238805970149,0.9518987341772152,0.9583055555555555,0.9567007910656119,0.9587370600414079,0.9526665254686011,0.96,0.9575792256832214,0.9436496845647964,0.9446604458268533,0.9430379313977497,0.9539851334381021,0.9485383576426358,0.9611544303797468,0.9645293878156173,0.9692448275862069,0.9611388995767602,0.9763443348353834,0.9601172413793103,0.952101716792243,0.949609090909091,0.95641059602649,0.9732508833922261,0.9680217391304348,0.9701423556854433,0.973165679048032,0.9830944559161547,0.9795254429081651,0.974858569577447,0.9738275798945312,0.9676145339652449,0.960207100591716,0.9596935584740462,0.9561875,0.9578498641304347,0.9590803212851405,0.9628148148148148,0.9728813559322034,0.9714285714285714,0.9738528599610363,0.9750855365474339,0.9741011879804333,0.9619637323283744,0.9474789473684211,0.9532668271500047,0.9490128205128205,0.9485512077542437,0.9493670886075949,0.96,0.958105165508172,0.9675675675675676,0.9659332798224818,0.9706452773294982,0.9619715471167369,0.9523433962264151,0.9592412615349724,0.9583333333333334,0.953076923076923,0.9577464788732394,0.9549181969949917,0.95855123152709365,0.9650558139534884,0.9747059927360775,0.9683770215639516,0.9668310502283105,0.9621068586585828,0.9633843523501195
4,2402,Maricopa County,County,AZ,0.9316770186335404,0.930576070901034,0.9242761692650334,0.9259259259259259,0.9329367225527312,0.9333333333333333,0.9292351679771265,0.9261779725180018,0.9235924406034652,0.9152542372881356,0.9194524899560871,0.9042553191489362,0.9120227038183695,0.9022073005214658,0.9019656333944485,0.9178571428571428,0.9272539280000012,0.9378960709759189,0.9523809523809523,0.9546382942097027,0.9525574499629355,0.9595959595959596,0.9587079133198118,0.9553158705701078,0.9541326755333586,0.9544448146143061,0.9629629629629629,0.9673571374957999,0.9761902652907568,0.9824937477670597,0.9841688654353562,0.98363056639415,0.9828080229226361,0.9780912792760592,0.9767965096715053,0.9701948393891522,0.967741935483871,0.9657627118644068,0.9705882352941176,0.9714285714285714,0.9722649572649573,0.9753251083694565,0.9755978526110298,0.9769230769230769,0.9721758486366165,0.9674418604651163,0.9627329192546584,0.9595753368721928,0.9570930773090071,0.9586206896551724,0.9573170731707317,0.9559748427672956,0.9562563580874873,0.9593162040119495,0.9571553446553447,0.9555357936860827,0.9591836734693877,0.9561128526645768,0.9577193932827736,0.9583159649854106,0.9563318777292577,0.9619989497636969,0.9647743457681739,0.9684447605500237,0.9710144927536232,0.9710144927536232,0.9713386928164653,0.972,0.9712300088489845,0.9701754385964912,0.9696969696969697,0.9682097638082717,0.9671474295714417,0.9682539682539683,0.970891438658429,0.972547194773675,0.9724828017510945,0.9732112580535774,0.973404255319149,0.9736578859619873,0.9727272727272728,0.9717370593839314,0.9714285714285714,0.9698996655518395,0.968800564034674,0.9719438877755511,0.9743458183683941,0.9763895663484543,0.9764705882352941,0.9775,0.9772727272727273,0.9768225891767399,0.975447081606664,0.9759036144578314,0.9744680851063829,0.972972972972973,0.9733586818757922,0.9755555555555555,0.9788359788359788,0.9803921568627451,0.9811392646218328,0.9814126394052045,0.9807692307692307,0.9791213531615394,0.9769749029806163
5,2841,San Diego County,County,CA,0.957542908762421,0.964354099683952,0.967741935483871,0.9666080843585237,0.972292691122211,0.9624706572769953,0.9646539027982327,0.963302752293578,0.9534229446702095,0.9483870967741935,0.9409200852551669,0.9437625502008031,0.9412318404241329,0.9378907878282617,0.9447236180904522,0.9389926183239253,0.949874686716792,0.9412669915362913,0.9409020217729394,0.941717232769474,0.9444444444444444,0.9385597952684549,0.936435517234713,0.935064935064935,0.9384847239347855,0.9411835594686175,0.9525321479599936,0.9596146721007781,0.961912164788185,0.9686274509803922,0.9699378903660281,0.9722222222222222,0.9742893867058391,0.9736147757255936,0.9743589743589743,0.981081081081081,0.9830097087378641,0.9857142857142858,0.9886689136846314,1,0.9979123173277662,1,1,0.9880708519098687,0.9785202863961814,0.9726027397260274,0.96875,0.965435041716329,0.9617850730956655,0.9695942475603493,0.9720722776276716,0.9733333333333334,0.9739130434782609,0.9738955823293173,0.9712643678160919,0.9674486270230951,0.9618537545086895,0.9597468799437511,0.9583333333333334,0.9565857247976454,0.9569138276553106,0.9634032009643072,0.9714285714285714,0.9772738378124413,0.9769713886950454,0.9816302857745439,0.9794754579211783,0.9763313609467456,0.9774436090225563,0.971567366766681,0.9730042060550536,0.9708383530578981,0.9732360097323601,0.974025974025974,0.9806430078814763,0.9865832421158844,0.9848484848484849,0.987791876679321,0.986403800650695,0.9821753364859949,0.9787367104440275,0.9771528998242531,0.9774436090225563,0.9741935483870968,0.974902366988144,0.9825783972125436,0.9888579387186629,0.9914529914529915,0.9922718441826722,0.9916935073741312,0.9878058191756481,0.9849370686543788,0.9833024118738405,0.9786666666666667,0.9787234042553191,0.9774436090225563,0.97943657219973,0.988313856427379,0.9887344809892569,0.9906759906759907,0.9879032258064516,0.9883035978939834,0.9846153846153847,0.978021978021978,0.9719626168224299
6,1286,Orange County,County,CA,0.9562841530054644,0.9456023544169441,0.9634107171294309,0.967741935483871,0.9650943396226415,0.9663865546218487,0.9634403084180478,0.9584132011000916,0.9539929219879981,0.9509155254654562,0.945872701970263,0.9393939393939394,0.9427671791072421,0.9363057324840764,0.9413063052875577,0.9455587392550143,0.9444444444444444,0.9453302961275627,0.9454949944382648,0.939310229365478,0.9375,0.9388235294117647,0.9373173484640493,0.9348124291763583,0.9391919556201407,0.9407172048681482,0.9489666807254323,0.959966611018364,0.96,0.9733185020393029,0.9729041643935261,0.9771238073341764,0.9742120343839542,0.9790160536744563,0.9789473684210527,0.985119124110103,0.9887198398578534,0.9877944410114687,0.9949937421777222,1,1,1,1,0.9888611047965447,0.9838648310387985,0.9731558763816828,0.9707241910631741,0.9668639053254438,0.9650282876960343,0.9729354093495859,0.976111555606355,0.9799361017920957,0.9779816513761468,0.9769094138543517,0.9741344565209338,0.9689202452084871,0.9690943157391005,0.9620427881297446,0.9618497109826589,0.9615384615384616,0.9631688672689368,0.9693718012533343,0.9769324122479461,0.9813084112149533,0.9832756646098848,0.9844263466209459,0.9837209302325581,0.9806840264282938,0.9781818181818182,0.9712950600801068,0.968118136956853,0.9708029197080292,0.9708542713567839,0.9762993749060138,0.9833795013850416,0.9849977269283224,0.9862385321100917,0.9849634432335495,0.9857731724648346,0.9789256593433245,0.9782529344175919,0.9743159869314815,0.9731543624161074,0.9744789405123752,0.975,0.9786746792268962,0.9876288659793815,0.990990990990991,0.9909654841704671,0.9906974731741087,0.988285932221859,0.9847668872134174,0.9820761762509336,0.9806787467426217,0.98119900565902185,0.9792146697388633,0.9796407185628743,0.9861325115562404,0.9917959153678841,0.9923076923076923,0.993103448275862,0.9893048128342246,0.9854497275922692,0.9809523809523809,0.9730776715982089
7,581,Kings County,County,NY,0.8991596638655462,0.9244528124264533,0.8648114557950981,0.9298245614035088,0.9197080291970803,0.8986731001206273,0.9042032176553623,0.9106145251396648,0.9243805233061861,0.8969588235294118,0.9111617312072893,0.9066901408450704,0.9121372031662269,0.9185586994488952,0.9212283044058746,0.9223091539063373,0.9201477820745227,0.9215686274509803,0.9395894428152494,0.9420655518394648,0.9165090850097339,0.9090909090909091,0.8868055995439286,0.9275,0.8549222797927462,0.8566666666666667,0.8686372452378435,0.9203741239195166,0.8870288634647773,0.928,0.9376,0.9240687679083095,0.9236450805732943,0.9358682554558844,0.9051428571428571,0.9101601896603665,0.9311424100156495,0.9475184082258861,0.9238095238095239,0.9404094767796705,0.9523809523809523,0.9547738693467337,0.9717984479550956,0.9798305978246737,0.9635258358662614,0.9437751004016064,0.9581749049429658,0.9440939465408805,0.9572901325478645,0.9298017771701982,0.9499165275459098,0.9724238026124818,0.9688195991091314,0.9658421672555948,0.966237704111745,0.96875,0.9606401966727285,0.9777777777777777,0.9621478653591835,0.9610722365444311,0.9715301277027338,0.9625,0.9709287304237221,0.9691785210816353,0.9735580524344569,0.9764705882352941,0.9682539682539683,0.9705882352941176,0.967741935483871,0.9644705288400859,0.9637526652452025,0.9585711928724633,0.960960960960961,0.9642857142857143,0.9658421672555948,0.9553158705701078,0.9692307692307692,0.9760765550239234,0.9726027397260274,0.9748953974895398,0.9638629565847912,0.975975975975976,0.9652631578947368,0.9597645908163437,0.9697983176244046,0.9604814404824005,0.958904109589041,0.9603340292275574,0.9767753948889174,0.9682804674457429,0.9762532981530343,0.9776992540243423,0.9699624530663329,0.9623036235888529,0.9545558844450563,0.9712230215827338,0.9637240898406307,0.9525049246320636,0.9653167602245389,0.9782608695652174,0.9744959090753483,0.974025974025974,0.9698996655518395,0.9688581314878892,0.9640831758034026
8,2964,Miami-Dade County,County,FL,0.8764607679465777,0.8731242028444134,0.8626465661641541,0.8679581024128682,0.8659217877094972,0.891273445624964,0.9171428571428571,0.9111969111969112,0.9166312056737589,0.9183465369832928,0.9183673469387755,0.905587668593449,0.9131403118040089,0.9148936170212766,0.9037116834024284,0.910010111223458,0.9068217054263565,0.9090909090909091,0.9090909090909091,0.9216757741347905,0.9290691738420823,0.9218612818261633,0.9245137657353839,0.926829268292683,0.9353319126436045,0.9333333333333333,0.9354413702239789,0.9366590760901612,0.9411764705882353,0.9459459459459459,0.9438639513807442,0.9472551130247578,0.9473684210526315,0.9576586136387863,0.9535160905840286,0.949685534591195,0.9545454545454546,0.9494949494949495,0.9430027682680162,0.9535483097578519,0.9480701754385965,0.9512195121951219,0.9555555555555556,0.9583333333333334,0.9582821457821458,0.9561350342492111,0.9539693128752502,0.9535452322738386,0.9489795918367347,0.9468085106382979,0.9428571428571428,0.9379310344827586,0.9444444444444444,0.948025974025974,0.9437751004016064,0.9447614582646053,0.9481481481481482,0.9449311639549437,0.9414611838130003,0.9423655421952191,0.93861852433281,0.9375380890322338,0.9386733416770964,0.9380907710176003,0.9476190476190476,0.9507042253521126,0.9465478841870824,0.9473684210526315,0.9444444444444444,0.9430331023864511,0.9453125,0.9447152405539785,0.9432387312186978,0.9380530973451328,0.9411764705882353,0.9420591913297207,0.9393939393939394,0.9419673222325085,0.9433962264150944,0.9436917373929214,0.9403309720114461,0.940983606557377,0.9411764705882353,0.9428571428571428,0.9337349397590361,0.9364548494983278,0.9372549019607843,0.9368053350269927,0.9375,0.9381818181818182,0.9340109523565161,0.9383368720416074,0.9384473573153358,0.9401571180862733,0.9322033898305084,0.9344262295081968,0.9331476323119777,0.9346196660482375,0.9386792452830188,0.9427207637231504,0.9361242911287795,0.9399075500770416,0.9394572025052192,0.9428571428571428,0.94
9,978,Dallas County,County,TX,0.9730546822742475,0.9539,0.9745632486619658,0.9748357142857142,0.9811313868613138,0.9760750259067357,0.9682713347921226,0.94136632598171055,0.972122905027933,0.9501429772918419,0.9459702602230483,0.9335967532533962,0.9301728608470181,0.9441891219650285,0.9344057908383752,0.944728813559322,0.9452614015572859,0.9494650205761317,0.9589892076862332,0.9499864682002707,0.9403767272727273,0.9366238341968912,0.9312597014925373,0.9345959970348406,0.9490090563832896,0.9747973333333333,0.9629833955372031,0.9681364631055275,0.968830181926633,0.9666859699921032,0.9831647429423364,0.974717113210176,0.9849217243525301,0.9731891891891892,0.9622407014879728,0.9705879027285274,0.978626046585453,0.9790413094310211,0.9750334346504559,0.9750225437349885,0.9765702757229321,0.9862492853058891,0.97763437065177206,0.9786122448979592,0.9759625393081761,0.9751078066914498,0.9701723179544192,0.9707470857969338,0.9704746883200724,0.9590804147746055,0.9677772177419355,0.9705624817108568,0.9745801136363637,0.9763818181818181,0.9836065573770492,0.9736842105263158,0.9737482634065018,0.9605899705014749,0.9619013581129379,0.9645846153846154,0.9685673435712812,0.9666272643340763,0.9754978723404255,0.9787767441860465,0.9846153846153847,0.9838810969227548,0.9837643761929551,0.9873408460915177,0.9833333333333333,0.9666666666666667,0.9753180296756383,0.9673643570099331,0.96614375,0.97562,0.9740032467532467,0.9830213040671401,0.9842016087657475,0.9851781758614295,0.9868421052631579,0.9888777729447585,0.980758064516129,0.9889867841409692,0.9719406081648123,0.9739130434782609,0.9788511003143755,0.9664753850800363,0.981464374305021,0.9844097222222222,0.9874429099608526,0.9920088178561587,0.9912841077441077,0.9780193236714976,0.9864144850651597,0.9782608695652174,0.9754990013600109,0.972972972972973,0.9698996655518395,0.9749303621169917,0.9735633874787863,0.9872444790704833,0.9831383932677935,0.9813690024586407,0.9747247706422019,0.9738079247817327,0.9720943089430895
10,1347,Queens County,County,NY,0.9019139566395664,0.8951048951048951,0.9354986696027159,0.9073455759599333,0.9120616182506187,0.9246649479463918,0.9522342064714946,0.9447674418604651,0.9473709141339846,0.9383388190807405,0.9369951534733441,0.9399075500770416,0.9265442404006677,0.9090909090909091,0.918563370848834,0.9171276946289519,0.9230160340978284,0.918580375782881,0.9211323763955344,0.9266021369499988,0.9273182957393483,0.9237406783050944,0.9254237288135593,0.9273182957393483,0.9204956597594635,0.9126259915309834,0.9336941813261164,0.9160793705097503,0.9294871794871795,0.9025787965616046,0.9230769230769231,0.9371428571428572,0.9092799605078614,0.9381443298969072,0.9415137184251023,0.9345794392523364,0.9243580286754876,0.9492202331566143,0.8997474871064985,0.9385474860335196,0.9373886040109081,0.9523809523809523,0.957374358974359,0.9565370590763815,0.9558249721293199,0.9547169811320755,0.950950950950951,0.9471301512438679,0.9507809217246779,0.9509433962264151,0.9552805800756621,0.9467667023937121,0.949928469241774,0.9517583554205185,0.9602194787379973,0.9583333333333334,0.9597188429305218,0.9568965517241379,0.9566913054877679,0.948905109489051,0.9440559440559441,0.9558823529411765,0.96,0.956951418300171,0.9727629464837474,0.968,0.9652705443780495,0.9764728858185548,0.9718676683894014,0.9657740900125039,0.9586956521739131,0.967741935483871,0.9628378378378378,0.9607791524085285,0.9682804674457429,0.9694646150271466,0.9665871121718377,0.9649122807017544,0.9722222222222222,0.9769641387673784,0.9672926447574335,0.9744224390878382,0.9673262734712245,0.9663157894736842,0.9729546867571225,0.9753072865727245,0.9670079635949943,0.9714285714285714,0.9712219872299006,0.9706905015135401,0.9725536992840096,0.9658834654833781,0.9635700066357,0.9665856344618633,0.9680769114123677,0.9590504272475628,0.9691552461822661,0.9605662285136501,0.96,0.9562489840815648,0.9701492537313433,0.9699077083890191,0.9674633684327818,0.9666080843585237,0.9643024789324273
