RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
102001,United States,0,255307,284831,302528,320095,330796,305007,289933,290080,211489,241311,189714,192760,250855,259336,271795,324755,338402,309646,303266,311205,292694,295133,210002,205105,304583,309547,320865,362429,280944,271519,284670,247276,235764,260933,214818,205215,280851,270937,289023,321289,287636,319201,280017,262470,256458,266337,224202,231012,286488,290128,334060,344676,328909,344207,279343,319068,291339,295569,263579,246736,302382,344310,379080,379575,404320,399889,343126,352347,301398,306399,258889,245063,304495,343188,374471,403847,410358,380025,363610,375981,299039,343095,258351,256684,350885,374402,381784,462916,457615,419655,405523,381324,306145,363457,283761,295050,377043,393272,439607,502837,438867,476043,423650,394542,375024,389332,319097,298046,421689,397339,487472,529883,463223,507462,425252,435612,393014,393382,330914,308483,402992,429272,493440,515613,502163,519922,400059,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9298,9069,8605,10324,9723,9862,11392,11958,12308,10179,8581,7424,8264,7893,6610,7386,7626,8894,9859,10607,11082,10135,9665,8128,9732,9965,7969,8342,9003,10912,10520,13316,14398,13326,13153,10534,11804,10225,7931,9295,9268,11282,11302,14206,13735,12613,13170,10306,12853,10183,9459,10386,10804,10976,13791,16534,16576,16090,14856,13381,14553,12189,12192,13695,12544,13236,16384,17386,19058,18233,16040,15160,17741,16654,14739,17062,15921,18162,20480,19888,24088,20969,20610,18190,19562,18506,15993,16055,17325,18740,20239,23432,25414,18902,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,5844,6973,7594,7880,8870,8445,8436,9092,6748,8321,6481,6588,8317,8499,8791,10271,10562,9200,9515,9816,8313,9960,6653,7015,9521,9243,10077,10487,8762,8464,8423,7615,7292,8694,6831,6523,9157,8586,8447,9429,8447,9354,8531,7792,7725,8554,6805,7201,9411,9171,10276,10423,10051,11053,8549,10054,9204,10480,7771,7817,10091,10418,11510,10645,11579,11444,9542,10027,8546,9042,7347,7029,8724,10008,9939,10079,10324,9920,9281,9876,7835,9494,6951,6877,9749,10767,10782,11971,12127,10710,10674,10014,7778,10305,7524,7417,10020,10442,10941,11895,10766,11552,10478,9912,9799,10194,7977,7390,10835,9716,11683,12906,10528,11942,10362,10132,9696,9365,7465,7553,10682,10255,11249,11511,10831,11313,8363,9041
394463,"Chicago, IL",3,8670,9827,9749,11210,11993,10954,10543,10087,6897,7628,6433,5619,7472,8166,8100,9974,11028,10011,10305,11031,10132,10652,7757,6592,9100,10139,10598,12634,10929,9511,7944,7521,7226,7791,7312,5819,8037,7500,8633,10572,9008,10664,8811,8092,8006,8489,7736,6649,8258,8434,10065,11491,10385,12665,8761,9160,8146,7840,8936,6673,8012,10289,10639,11615,14719,13903,11602,13653,11237,11137,10705,8321,9560,12295,12594,14300,14392,13138,15135,15216,10414,12333,9336,8399,10985,12579,12761,17147,17721,17625,16105,14796,11034,12199,10343,9875,11344,12857,14571,18458,16459,18453,15008,13842,12622,12833,11508,8571,12675,12851,16235,17797,15981,18280,13711,14013,12434,11914,11058,8508,11791,13623,16255,18930,17462,16204,13248,14882
394514,"Dallas-Fort Worth, TX",4,7109,8023,8003,8480,8929,8037,7240,6802,4748,5817,4362,4785,6350,6362,6221,7275,7863,7106,6578,6639,6581,6493,4298,4613,6896,7451,7764,8119,6099,5928,5334,5053,5060,5419,4341,3989,6237,5987,6832,7071,6292,7321,5783,5315,5153,5775,4316,5092,6045,6187,7963,8031,7947,8182,6054,7103,5960,6548,5540,5371,7330,9168,9327,9197,10136,9853,8016,7928,6282,7060,5464,5918,7452,8681,9597,10146,10312,9322,9117,8812,6780,8247,5746,5879,9010,8796,9708,11501,11201,10580,9657,8843,7225,9299,6493,7434,9914,9941,10450,11829,10691,11588,10090,8601,8446,8920,6722,7032,9806,9436,11268,11558,10878,11473,9753,9534,8578,8763,7435,7552,9543,10164,11697,11692,11745,11360,8660,
394974,"Philadelphia, PA",5,5175,5920,5964,6528,7255,6306,5706,5292,4070,4672,3540,2906,3771,4198,4267,5554,6384,5990,5749,5548,5336,6084,3408,2915,4702,4945,5603,7154,6089,4557,4236,3902,3708,4280,3372,3072,4001,3866,4445,5386,4734,5350,4147,4199,3828,4451,4022,3539,4098,4304,5535,5673,6091,5822,4035,5321,4986,4942,5033,3905,4556,5515,6291,6480,7504,6964,5989,6166,5037,5438,4406,3554,3999,4999,5743,6948,6924,6885,6035,6170,5396,6278,5062,4389,5578,5773,6481,8550,9567,7790,7672,7543,5664,7111,5455,5168,6190,6740,8244,9976,9013,9389,7384,7689,7172,7160,7134,5474,7645,7368,9510,10477,9985,10567,8583,9041,8739,8559,7587,6017,7024,8226,9458,10483,10613,9859,8520,
394692,"Houston, TX",6,5931,6219,6567,6958,7057,6021,4181,5167,3738,4798,3807,3912,5175,4961,5156,6255,6577,5599,5388,5456,5318,5274,3391,3768,5602,5802,6146,6700,5024,4979,4483,4258,4031,4362,3973,3498,5173,4955,5495,5802,5332,6046,4883,4565,4197,4835,2957,3868,4963,4121,5910,5934,6433,5364,4677,5237,4248,4546,4142,4713,5621,7180,7841,7123,8248,7973,6749,6224,5361,6251,4825,4370,6684,7143,7755,7974,8504,4930,7856,7535,5729,7601,5236,4885,7139,7035,7390,8931,8844,7676,7206,6836,5318,7048,5151,5621,7016,6772,8038,8950,8179,8649,7645,7380,7077,8038,6012,6516,8820,7912,9717,10229,8785,8293,7967,8263,7456,7994,6328,6829,7992,7932,9684,9625,9542,9566,7416,7977
395209,"Washington, DC",7,5241,5875,6294,7437,6689,6300,6533,6755,4986,5595,3581,4176,5824,5845,6060,7942,5886,6169,5633,5296,5110,5154,4054,3427,5389,5306,6029,7270,4820,6839,4874,4778,4333,4629,3935,3730,5479,4976,5576,6681,5339,5718,4816,4369,4365,4669,4149,3914,5013,4997,6675,7225,5964,6672,4302,5406,5683,4745,5035,4230,5336,6315,7493,8646,7256,7497,6155,6358,5300,5565,4375,4219,5467,6180,6570,8305,7717,7108,6416,6722,5435,6539,4747,4758,6405,7205,7698,9832,9043,8062,6948,7225,5771,7773,4908,5971,7448,7636,9537,11095,9196,9453,7755,7671,7987,7816,6600,6476,8421,8318,10175,11460,8981,9449,8149,7918,7451,7270,6380,5854,7557,8113,9922,11176,9580,9681,7132,
394856,"Miami-Fort Lauderdale, FL",8,4591,5288,5253,5470,5523,4800,4813,5161,3773,5100,4735,4625,5807,5824,6064,7137,6918,6413,6613,7272,6081,7120,6491,5482,8215,7759,7270,8626,8409,7094,7018,7090,6286,8558,7743,7126,9460,9572,9084,9390,8555,8898,8194,6973,7416,8271,7160,6708,8748,9072,9434,8911,8814,8944,8066,9139,8157,9713,8999,8422,10017,11166,11158,11299,11701,10753,9952,10827,9016,10539,8891,8288,10822,11700,11379,11253,11852,10670,10365,11384,9754,11840,8579,8957,11470,12197,11872,12959,12905,11108,11172,10632,9517,11585,8092,8992,10746,10601,11391,12313,10635,10673,9675,9526,9446,10720,8407,8612,11616,11030,12523,12682,11201,11815,7124,10520,8812,10093,9297,8483,12414,12319,12350,12926,12374,11860,9726,
394347,"Atlanta, GA",9,6916,7676,7432,7755,8289,7230,7176,7708,5686,6501,5479,4695,7335,6597,6610,7911,8179,8068,7105,7374,7133,7769,5433,5785,7891,7394,7325,8052,6313,6245,7600,7974,7116,6836,6117,5859,7597,6512,8189,8643,8693,11820,13723,12812,12460,11343,12508,13114,14572,14514,15672,17592,16239,16349,14250,14709,13592,12137,13286,12573,14290,15276,16186,16543,16184,16599,14097,13922,11936,10788,12047,10645,13240,13238,15665,15239,14946,14906,13644,13407,11517,11392,10936,10496,12769,15040,10217,11924,10843,10470,14002,12072,7468,12271,11247,12264,15152,15836,17009,19679,13551,13649,12235,11291,10513,11189,7544,7894,11688,10656,13531,13511,11387,12546,10677,10485,9952,11094,7800,9207,11422,12846,13758,14199,12984,14503,9157,
394404,"Boston, MA",10,2666,3187,3807,4600,4421,4424,3386,3428,2485,2782,1881,1813,2482,2655,3242,4037,4824,4507,3640,3918,3962,3385,2179,2069,3076,3724,4102,5466,3513,3635,3029,2750,2645,3241,2257,1966,2911,3087,3344,4513,3890,4205,2840,2770,2926,2555,1584,1336,2441,2321,2743,4541,4246,4593,2054,2997,3202,2958,1662,1315,1802,2324,2797,3275,3373,3264,2406,2329,2016,2240,1471,1898,2701,3368,4470,5779,5936,5397,4189,4130,3360,3847,2470,1985,2727,3063,4221,6517,7123,6178,4997,3244,3690,4549,3086,2351,3338,3833,5062,7054,4212,6541,5023,4516,3564,4414,3287,2379,4255,3613,5211,7306,5980,6450,4847,4832,4690,4214,3155,2264,3327,3950,5134,6866,6273,6599,4412,
395057,"San Francisco, CA",11,2902,3600,3774,3950,4369,4284,4050,4465,3254,3835,2993,2951,3692,3887,4076,4648,4889,4196,4196,4238,3808,4179,2830,2878,4002,4131,4641,4670,3969,3614,3626,3556,3416,4108,2884,2908,4340,3951,4217,4795,4043,4348,3943,3687,3668,4155,3065,3327,4449,4505,5158,5230,4676,4551,4013,4586,4316,4670,3259,3295,4535,4833,5332,5225,5513,5484,4357,4917,4329,4364,3176,3276,4250,5032,5415,5166,5570,5096,4687,5155,4013,4249,2935,3123,4634,5270,5548,6424,6281,5605,5304,5221,4099,5192,3192,3261,4699,5252,5536,6346,5530,5773,5272,5134,5123,4907,3551,3275,5102,4957,5930,6657,5650,5899,4983,5580,4959,4764,3367,3594,5443,5786,6519,6569,6145,5959,4052,
394532,"Detroit, MI",12,5074,5670,5880,6007,6296,6007,6130,6932,5767,4823,5518,4560,5915,6364,6221,6352,7296,6551,6816,6178,7566,6049,5813,4921,6107,6410,6171,7450,5718,5875,6314,6111,7708,5110,5508,4912,6252,5646,5578,6624,5832,7438,6393,5939,10921,5051,5468,5595,6093,5221,6855,7364,6574,7864,6097,8526,15315,6156,6617,5808,5815,5802,6976,7443,7575,7865,8072,8961,14054,6292,6228,4914,4980,5560,6154,6756,7113,7013,7455,8392,12518,7568,6258,4689,5576,6358,5752,7970,7306,7331,7318,8504,11777,6122,6192,5258,5922,5906,6926,8003,7343,8565,8170,6410,6590,6241,6518,5199,6762,5492,7683,8567,7914,9502,8375,8068,7782,6053,6941,5231,6109,6273,8166,7784,8703,9159,7618,
395025,"Riverside, CA",13,3849,4296,4927,5286,5993,5906,6517,6898,5438,6637,5629,5617,7112,7287,7061,7751,7688,6743,6678,6695,5555,6588,5063,5005,6511,6317,6112,6683,5642,5554,5335,5184,4919,5735,4590,4544,6109,5647,5715,6192,5477,5953,5349,5029,4924,5450,4499,4803,5987,5413,6322,5978,5495,5664,4498,5371,4994,5272,4740,4726,5512,6106,6394,5734,6248,6071,5243,5438,4661,4961,4416,4328,5002,5730,5607,5649,5837,5178,5135,5459,4206,5110,3971,4041,5418,6121,5949,6525,6426,5748,5527,5298,4427,5568,4167,4351,5731,5673,6109,6748,5905,6297,5922,5600,5532,5631,4670,4414,6299,5738,6771,7311,6102,6873,5933,6215,5397,5614,4917,4731,6169,6471,6892,6756,6469,6622,5044,5841
394976,"Phoenix, AZ",14,4882,5747,6270,6313,6716,6127,6460,6542,4794,6189,5433,6173,8519,9117,9346,10594,10342,8579,8668,8935,7966,8860,6711,7246,9966,10081,9572,10111,7996,7911,7975,7671,7313,8895,7616,7969,11236,10822,10660,11034,9389,10052,8561,8140,7957,8262,7110,7953,9662,9281,9713,9273,8628,9331,7448,8692,8067,8429,7558,7724,9802,10444,10836,9252,9287,8695,7657,7579,6421,6860,6099,6655,7883,8666,8844,8687,7907,8292,7394,7414,5990,7539,5947,6681,9139,9679,9690,10639,9576,8360,8290,8061,6694,8405,6526,7079,9931,10106,10361,10515,9490,9774,8908,8714,8771,9153,7638,8065,11763,10521,12458,12068,10083,10998,9985,10194,9464,9841,8584,8860,11130,10996,11576,11208,10661,10483,8360,9177
395078,"Seattle, WA",15,3062,3221,3348,3460,3175,3057,2990,2601,1701,1910,1547,1655,2145,2238,2591,3476,3552,3161,3275,3509,3178,2798,1981,2313,3396,3596,3554,3691,2733,2738,2616,2619,2387,3004,2227,2246,3276,3150,3362,3915,3444,3804,3416,3197,2930,3103,2241,2726,3398,3582,4057,4087,3908,4270,3448,3741,3386,3485,2774,2920,4060,4564,5054,5227,5751,5432,4501,4344,3736,3734,2896,3116,3910,4645,4985,5463,5593,5045,4950,5039,3841,4301,2983,3434,4754,5766,5832,6684,6671,5864,5875,5254,4058,4958,3173,3587,5253,5613,6333,7144,6747,6966,6271,5736,5322,5038,4047,3766,5313,5176,6760,7564,6812,7227,6260,6175,5632,4800,3551,4033,5067,5633,6501,6806,6596,6126,4682,4836
394865,"Minneapolis-St Paul, MN",16,2502,3057,3477,3998,4276,3881,4296,4199,2747,3288,2437,2087,2790,3070,3229,3999,5210,4798,4850,4673,4199,4488,2686,2494,3283,3500,4099,4753,4073,3132,2921,2689,2690,2927,2696,2441,3336,3206,3415,3763,4030,4201,3297,3667,3338,3506,3257,2984,3846,3431,3785,4637,4823,4820,4142,4567,3795,4103,3800,2863,3562,4275,4968,5424,5971,6254,5719,5651,4312,4356,3777,2852,3716,4291,5070,5840,5995,5693,4552,5271,4164,4846,3423,3274,4521,5846,6520,7869,7422,6879,5754,5761,4634,4975,4491,4082,5264,5174,6310,8115,7113,7673,6837,5925,5497,5158,4026,3208,4228,4594,6795,7946,7261,7784,6458,6089,5426,4803,4057,3055,4226,4930,6168,7273,7896,7603,5624,
395056,"San Diego, CA",17,2016,2637,2913,2784,3143,2854,3080,3301,2417,2932,2348,2334,2735,3103,2909,3359,3563,2968,3153,3259,2874,3240,2150,2326,2984,3157,3394,3365,2753,2791,2810,2432,2287,2788,2053,2148,2791,3045,2935,3032,2813,2977,2824,2478,2497,2914,2182,2410,2950,3192,3392,3434,3263,3540,2817,3300,2978,3323,2612,2651,3503,3545,4047,3769,3998,3880,3142,3337,2814,2906,2348,2455,3031,3671,3569,3489,3484,3271,3182,3226,2541,3091,2383,2510,3347,4005,3752,4400,4239,3679,3524,3354,2635,3401,2351,2581,3483,3889,3939,4294,3770,4151,3638,3487,3361,3263,2492,2589,3606,3606,4062,4278,3721,3993,3453,3506,3098,3072,2575,2654,3372,3638,3912,4026,3705,3796,2882,3244
395121,"St. Louis, MO",18,2964,3337,3737,3840,4103,3638,3314,3315,2357,2563,1976,2034,2689,2979,3017,3625,3948,3645,3460,3657,3475,3181,2051,2094,3309,3448,3526,4e3,2939,2819,2760,2578,2361,2577,2043,1700,2564,2555,2951,3350,2738,3191,2972,2821,2461,2449,2123,2234,2833,2954,3382,3423,3417,3475,2803,3262,2797,3156,2940,2652,3121,3513,3527,3764,3872,4079,3524,3483,2846,2763,2388,2107,2687,3253,3282,4134,3930,3783,3808,3928,2638,3118,2445,2358,3610,3871,3909,5084,4825,4372,4079,3794,3007,3675,2828,2801,3991,4144,4521,5374,4656,5071,4496,4246,3793,3684,3010,2760,4221,4301,5185,5477,5114,5733,4591,4498,4149,4385,3422,2986,4186,4467,5569,5491,5485,5705,4965,
395148,"Tampa, FL",19,2441,2797,2650,2875,3062,2603,2618,2698,1993,2440,2211,2071,2838,2851,2759,3318,3324,2973,2906,3239,2856,3377,2376,2206,3447,3326,3359,3687,3133,2728,2878,2920,2733,3430,3039,2880,3960,4053,3683,3903,3345,3684,3265,2901,2819,3241,2680,2481,3575,3581,3935,3892,3866,4010,3450,4380,3687,3903,4088,3598,4483,4988,5466,5228,5383,5093,4534,4613,3846,4606,3697,3907,4718,5318,5379,5519,5705,5571,5068,5586,4328,5896,4281,4407,6074,6339,6154,7111,6752,5992,5846,5626,4912,5873,4514,4666,6150,6033,6246,6451,6128,6130,5730,5579,5525,6191,4849,5147,7041,6434,7741,8108,7161,7088,5196,6039,5257,6087,5702,5011,6477,6634,7123,7338,6903,7078,5631,
394358,"Baltimore, MD",20,2792,2858,2821,3828,2276,2785,2572,2521,1813,2057,1568,1424,2276,2017,2136,2728,2157,3206,2204,2500,2326,2356,2263,1350,2565,2190,2623,2982,1877,2555,2490,2187,1985,1977,1716,1626,2175,1875,1719,1684,1201,1389,1769,1683,1847,1719,1888,1688,1958,1974,2573,2995,1915,2801,2296,2353,2256,2357,2387,1792,2014,2580,2989,3813,2570,3681,3220,3226,2510,2476,2200,1882,2135,2670,2356,4078,2746,3474,2808,3180,2521,2893,2550,2187,2764,3128,3288,4783,3209,3699,3359,3289,2338,3146,2797,2975,3193,3301,4071,5891,3222,4532,4225,3564,3861,4031,3693,3132,3931,3913,4590,6400,3206,5064,4160,4196,4110,3894,3716,2720,3549,4171,4511,6085,3542,5099,4100,
394530,"Denver, CO",21,3679,4036,4427,4769,5043,4380,4245,4732,3036,3173,2411,2509,3186,3152,3218,4076,4312,3656,3571,3772,3556,3124,2303,2168,3682,3750,4010,4308,3085,2853,2876,2569,2653,2632,2186,2e3,3068,3061,3462,3840,3411,3765,3400,3166,3017,3210,2262,2575,3425,3641,4483,4787,4520,4748,4007,4325,3818,3764,2992,2991,4243,4956,5800,5793,6424,5776,4676,4827,3668,3716,2869,2876,4082,4978,5342,6079,6700,5650,5475,5318,4050,4522,2965,3004,4617,5262,5669,7012,6808,5875,5831,5563,3923,5119,3385,3207,4705,4801,5429,6286,5625,5823,5265,5114,4937,4868,3675,3318,4908,4946,5955,6314,5685,5979,5024,5359,4727,4532,3548,3303,4881,5131,5676,6120,5920,5634,4150,4085
394982,"Pittsburgh, PA",22,2155,2239,2473,2882,2895,2617,2388,2479,1927,1961,1401,1180,1671,1871,2036,2482,2727,2525,2327,2491,2524,2198,1368,1167,1963,2312,2219,2994,2368,1955,2028,1898,1630,1929,1520,1228,1884,1815,2091,2592,2335,2491,2059,2005,1807,1726,1511,1378,1835,1914,2448,2553,2675,2642,1996,2417,2096,2219,1614,1573,1794,2303,2725,2559,3103,3074,2605,2615,2229,2425,1742,1469,1992,2263,2447,2916,3130,2764,2641,2845,2007,2617,1754,1692,2415,2589,2829,3109,3593,3327,3023,3227,2220,2895,2005,2018,2505,2917,3226,3730,3308,3551,3087,2923,2924,3006,2432,2035,2704,2769,3355,3551,3096,3518,2951,3196,3059,2919,2420,2023,2744,3104,3602,3857,3840,4217,,
394998,"Portland, OR",23,2185,2137,2432,2359,2332,2219,2055,1902,1352,1297,1042,1229,1628,1753,1805,2362,2567,2373,2342,2630,2311,1955,1436,1474,2404,2564,2666,2586,1870,1883,1888,1758,1667,1923,1450,1458,2106,2003,2116,2429,2172,2277,1999,1886,1823,1925,1538,1692,2081,2171,2537,2765,2440,2773,2318,2533,2112,2178,1689,1775,2512,2716,3347,3318,3334,3391,2802,2820,2334,2051,1970,1990,2485,2933,3283,3654,3653,3419,3282,3433,2562,2729,2192,2410,3357,3883,4009,4927,4794,4386,4124,3900,3111,3529,2651,2627,3752,3748,4283,4521,4049,4415,4057,3768,3583,3671,2735,2554,3469,3287,4278,4649,4152,4496,3760,3729,3528,3311,2622,2780,3598,3586,4183,4231,4006,4251,3122,3439
