RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
102001,United States,0,296905,288016,272230,270812,271307,268621,273567,272950,265448,257700,250887,263335,266012,264590,253156,254551,265561,273380,281293,285308,307233,314062,309702,297319,299822,305616,302900,295913,274161,256383,248131,247900,259213,259995,278377,287611,293836,284779,272507,262552,255355,260777,262248,265002,270457,274606,292380,306162,312453,305412,294195,288652,286875,286038,280927,290164,301648,316229,333750,341870,343457,336237,330907,329351,331211,332931,338579,337116,336416,334522,339209,342715,341250,335799,329896,334216,338157,335547,341093,345514,349626,354052,350897,360877,362678,367704,358404,362713,369831,376422,379199,371928,367349,365579,372282,397993,401751,401386,390923,397026,392639,398168,395834,398132,403446,404962,423515,424574,434777,419646,422030,420010,421200,421467,412278,420867,423970,426393,437129,436385,438685,428639,427793,428373,430145,432210,418904,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9246,9666,10031,11096,11605,11292,10922,10414,10343,9705,8949,8261,7878,8199,8401,8654,8766,8985,9265,9210,9141,8979,8927,8829,8922,9680,10221,10381,10274,10604,10725,10882,11016,11582,11825,11688,11497,11299,10955,10829,10732,11208,11208,11509,11333,11440,11439,11401,11751,11532,11937,11903,12430,12132,12503,12847,13555,13891,13747,14043,13907,13919,14405,15117,15593,14892,14807,14700,15299,15438,15414,15672,15913,17213,18168,19178,19347,19253,19168,18423,18680,18319,18973,18949,18960,19565,19972,20016,20059,19620,19849,19539,19957,19065,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,6447,6461,6384,6705,7130,7357,7847,8182,8243,8253,8256,8801,8796,8511,8036,8224,8668,8760,8918,8991,9422,9623,9470,9623,9473,9342,9051,8904,8586,8075,7817,7706,7968,8105,8744,9053,9201,8785,8238,7908,7704,7944,8023,8062,8224,8280,8851,9314,9593,9371,9052,8922,9006,9202,9003,9302,9523,10210,10487,10680,10547,10276,10036,9745,9888,9830,9890,9732,9587,9476,9570,9641,9531,9325,8986,8985,8887,8848,8985,9147,9184,9307,9269,9539,9618,9829,9814,10015,10210,10152,10202,9878,9660,9598,9776,10322,10222,10072,9850,9939,9836,9980,9987,10031,10330,10295,10712,10478,10685,10101,10114,10223,10277,10315,9995,10180,10324,10053,10166,10048,10478,10296,10102,9863,9837,9819,9248,8991
394463,"Chicago, IL",3,11511,11222,10012,9530,9443,9228,9373,9065,8797,8312,7976,8446,8781,8942,8428,8098,8316,8379,8787,9022,10237,10897,10825,10599,10524,10818,10565,10295,9810,8942,7913,7140,7379,7738,8520,8975,9483,9054,8600,8202,8096,8161,7954,7876,8107,8452,9239,9854,10204,9922,9468,9229,9180,9317,8845,8705,8461,8590,9554,10130,10610,10472,10187,10082,10584,10865,11220,11218,11825,12264,12628,12934,12875,12699,12129,12124,11848,11303,11997,12547,13042,12836,12177,12840,12936,13419,12860,13049,13587,14175,14389,13903,13448,12901,12779,14020,14310,14475,13679,14078,14175,14404,13930,13508,13440,13449,14088,14004,14611,14295,14750,14428,14396,14048,13361,13120,13026,13102,13505,13458,14032,14166,14662,15007,15116,14213,13077,12688
394514,"Dallas-Fort Worth, TX",4,8437,7874,7174,7147,7083,7018,6976,6801,6546,6298,6260,6578,6645,6399,5887,5781,5947,6136,6215,6279,7052,7246,7230,6697,6709,6838,6854,6799,6135,5550,5009,5027,5491,5702,6242,6045,6213,5860,5908,5784,5634,5707,5592,5644,5759,5953,6391,6687,6669,6391,6234,6434,6678,6666,6374,6571,6784,7161,7629,7722,7857,7887,7989,8085,7994,8054,8059,7930,7811,7752,7903,8124,8122,8038,7954,8268,8379,8213,8305,8424,8662,8670,8669,8663,8761,8567,8534,8705,9025,9178,9070,8955,9028,9232,9606,10164,10193,9975,9406,9369,9188,9409,9347,9291,9594,9531,10104,9956,10082,9587,9447,9372,9402,9354,9261,9467,9857,9846,10473,10520,10614,9980,9714,9762,9801,9598,9126,
394974,"Philadelphia, PA",5,6612,6445,5958,5716,5552,5467,5546,5215,4988,4728,4524,4552,4437,4511,4275,4312,4534,4882,5234,5221,5553,5751,5414,4975,4745,5143,5312,5419,5290,4832,4275,3829,3950,4028,4190,4441,4545,4567,4298,4201,4093,4210,4096,4113,4059,4223,4557,5012,5096,5011,4828,4771,4874,4788,4561,4557,4805,5168,5566,5783,5879,5820,5674,5657,5707,5705,5886,5760,5711,5616,5495,5507,5223,5233,5105,5427,5506,5649,5721,5754,5860,6032,6177,6499,6540,6563,6217,6361,6881,7049,7215,6955,6911,6838,6716,7352,7349,7562,7343,7633,7651,7721,7414,7351,7426,7462,7980,8217,8756,8510,8517,8382,8439,8445,8388,8481,8814,8935,9217,9158,8991,8871,8573,8678,8596,8423,8343,
394692,"Houston, TX",6,6684,6287,5865,5837,5804,5675,5079,4835,4604,4840,4944,5221,5359,5126,4801,4828,5067,5222,5205,5192,5737,5744,5550,5109,5232,5472,5500,5509,5042,4728,4300,4320,4517,4514,5002,4966,5246,4931,4897,4798,4691,4879,4827,4864,4815,4840,4735,4802,4859,4765,4678,4686,5156,5023,4869,4823,4996,4992,5233,5672,6040,6362,6442,6562,6552,6629,6805,6581,6445,6338,6578,6399,6560,6541,6756,6761,6835,6041,6334,6478,7389,7371,7369,7277,7148,6896,6765,6886,7090,7209,7030,6845,6778,6786,6978,7398,7408,7112,6827,6993,7096,7314,7270,7453,7826,8017,8442,8552,8834,8491,8276,8202,8106,7734,7437,7747,8380,8455,8736,8835,8859,8370,8e3,8032,8141,8153,7848,7850
395209,"Washington, DC",7,5965,5891,5577,5585,5553,5576,5921,6256,6421,6123,5564,5611,5762,6008,5706,5635,5386,5437,5352,5434,5686,5541,5684,5316,5463,5312,5367,5282,4907,5162,4989,5201,4949,4882,5139,5229,5587,5384,5161,4896,4777,4837,4791,4722,4807,4773,5265,5432,5612,5316,5318,5354,5404,5426,5071,5166,5501,5667,6230,6025,6293,6015,6098,6375,6359,6385,6300,6344,6288,6107,6049,5992,6026,6012,5836,5981,6140,6318,6406,6440,6549,6613,6608,6760,6794,6942,6826,7022,7220,7351,7237,7061,7029,7334,7238,7847,7829,8043,7862,8005,8106,8113,7955,7884,8332,8379,8924,8896,9207,8856,8612,8503,8319,8142,8026,8097,8333,8061,8422,8304,8496,8181,8167,8292,8345,8308,7920,
394856,"Miami-Fort Lauderdale, FL",8,5033,4818,4718,4850,4882,4833,4870,4893,4760,4726,5009,5515,5772,5599,5523,5753,6042,6266,6429,6724,6936,6925,7249,7244,7638,7331,7266,7159,7299,7376,7239,7022,7091,7396,8304,8905,9245,8978,8782,8499,8119,8227,8267,7967,7878,7690,8393,8397,8598,8420,8504,8309,8163,8180,8317,8652,8826,9137,9897,10335,10489,10191,10087,10187,10266,10342,10422,10436,10349,10277,10434,10495,10647,10561,10579,10406,10366,10347,10582,10734,10951,11148,10991,11052,11002,11201,11092,11212,11337,11310,11318,10904,10890,10730,10618,10782,10580,10487,10217,10380,10311,10290,9977,9887,9987,10066,10450,10483,10834,10742,10974,10966,10936,10939,9646,9712,9205,9958,10387,10605,11410,11346,11579,11386,11311,11381,10906,
394347,"Atlanta, GA",9,7326,7258,6797,6726,6838,6870,7011,7150,7203,7347,6841,6627,6551,6467,6363,6199,6617,7127,7201,7257,7619,8273,7864,7552,7173,7358,6999,6692,6288,6061,6256,7091,7982,8116,7769,7495,7377,7014,6867,6825,7428,8596,10630,12414,13714,13571,14074,14789,15241,14877,13801,14009,14393,14786,14441,14576,14979,14968,15120,15175,15229,14798,14093,14095,14222,14543,14447,14327,14021,13542,13478,13360,13586,13002,12957,12934,13325,13295,13422,13502,13533,13435,13110,13090,12929,13353,11836,11023,9591,9792,10981,11852,11636,11758,12019,14291,14578,15130,14786,15398,14543,13765,12165,11937,11953,12239,11306,10582,10143,10523,11029,11025,11143,11021,10668,10823,10948,11708,11156,11197,10706,11676,11696,11976,11891,12281,11234,
