RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
9,California,1,25119,25489,25818,26960,29033,30161,32933,34460,35810,36231,37417,39181,38919,36791,34212,33633,34701,34610,35354,35125,37478,38314,38481,38022,37272,35977,34562,33289,32027,30340,29921,29698,31791,33045,35810,36328,36725,34895,32862,31201,30604,31235,31726,31730,33286,34059,36701,37871,38381,36756,35143,33704,33696,33408,32957,33843,35928,38347,40007,40015,39634,38220,37201,35696,36237,35969,36578,35859,36199,36137,36763,36429,35926,35170,34192,33840,33846,33468,34367,34530,35224,35408,35492,36035,36522,37130,37042,37530,38494,38378,38708,37328,37417,37562,38105,39186,38832,38488,37722,37743,37561,38056,38425,38488,40668,40539,41955,39906,40403,38453,38590,38521,39002,39281,38846,39523,40951,40479,41103,40013,41074,40370,40095,39111,39073,38409,36468,34411
54,Texas,2,26394,25117,23402,23416,23158,22706,21846,21212,20460,20301,20235,21293,21621,21106,19898,20047,20926,21376,21419,21260,23610,23955,23559,22003,22240,23245,23303,23238,21076,19512,17852,17912,19162,19722,21415,20950,21410,20386,20201,19835,19336,19744,19453,19510,19844,20220,21220,21742,21979,21494,21121,21321,22018,21840,21144,21492,21905,22674,23801,24733,25316,25910,26055,26363,26070,26356,26666,26150,25971,25800,26437,26322,26431,26276,26460,27021,27112,25772,26369,26749,28381,28305,28333,28169,28280,27741,27648,28119,29072,29293,29112,28811,28871,29081,29781,31535,31652,31081,29756,29983,29807,30534,30276,30288,31413,31677,33580,33403,34095,32481,32135,31908,31922,31141,30372,31195,32919,33179,34501,34143,34016,32556,32282,32724,32837,32380,31046,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9364,9711,9982,10839,11328,10971,10693,10218,10268,9707,9018,8501,8246,8687,8907,9128,9126,9232,9559,9494,9320,9021,8925,8897,8743,9357,9786,10193,10109,10331,10393,10473,10804,11334,11594,11401,11310,11318,11096,10871,10734,11130,11341,11713,11611,11722,11761,11671,11864,11620,12023,12069,12325,11874,12068,12560,13129,13465,13209,13538,13476,13573,14062,14765,15164,14624,14319,14145,14581,14613,14530,14733,14827,15623,16437,17226,17487,17200,17190,16634,16835,16276,16570,16334,16329,16945,17079,16990,16241,15618,15754,16112,16852,,
14,Florida,4,17919,17339,17105,17492,17923,17586,17788,17523,17351,17113,17928,19281,20123,19806,19810,20502,21712,22245,22801,23278,24633,25214,25713,25074,25455,25025,24988,24692,24216,23705,23034,22760,23496,24106,26675,28041,29203,28105,27130,25881,24705,24840,24666,24330,24473,24450,25908,26099,26596,26424,26472,26014,25742,25582,25676,27030,28485,29837,31682,32280,32670,32137,32309,32566,32682,32842,33315,33349,33270,33431,34165,34586,34608,34321,34454,34681,35092,34875,35799,36438,37300,38071,37626,38324,38644,39640,39012,39469,39768,39928,39861,38818,38948,37963,37907,38333,38259,37893,37087,37505,37210,37773,36930,36719,37339,37873,39401,39142,40341,39739,40720,40752,41031,40857,37195,36957,36557,39144,41345,41610,42526,41223,41469,41046,40994,40808,39813,
21,Illinois,5,14800,14508,13298,12797,12791,12455,12579,12093,11686,11015,10473,10987,11408,11740,11182,10966,11340,11495,11869,12103,13641,14357,14067,13577,13533,14103,13867,13590,12697,11529,10275,9527,9949,10379,11293,11630,12074,11595,11187,10824,10648,10797,10583,10587,10823,11224,12192,12926,13284,12933,12409,12198,12039,12157,11649,11664,11464,11792,13064,13889,14298,13902,13301,13078,13632,14034,14521,14467,15101,15434,15871,16118,15978,15711,15124,15299,15065,14466,15105,15692,16197,16114,15402,16140,16218,16748,16196,16430,16962,17553,17707,17272,16864,16384,16276,17733,18093,18366,17502,17973,18058,18422,17925,17403,17251,17268,18085,18143,18842,18420,18754,18380,18375,18112,17326,16976,16830,17051,17518,17452,17912,18114,18648,18967,19080,18215,17069,16714
47,Pennsylvania,6,12746,12363,11311,11183,11100,10902,10898,10366,10058,9449,9100,9195,9154,9310,8946,9254,9783,10262,10639,10477,11337,11437,10873,9912,9735,10547,10763,11220,10734,9915,8838,8210,8565,8698,9275,9817,9984,9746,9179,9170,9167,9441,9212,8985,8875,8924,9675,10385,10489,10242,9813,9807,10026,9914,9533,9340,9753,10371,11061,11453,11340,11311,11063,11284,11549,11590,11952,11511,11426,11240,11473,11637,11427,11240,10967,11392,11656,11795,11875,11830,11927,12175,12358,13069,13142,13250,12654,12740,13555,13793,14196,13669,13695,13535,13689,14919,14911,14884,14107,14592,14661,14894,14634,14176,14414,14500,15668,16110,16402,15745,15360,15275,15270,15178,14904,14968,15338,15424,16337,16503,16483,16180,15842,16125,16044,16105,15529,
44,Ohio,7,13431,12954,11956,11735,11531,11171,11152,11133,10920,10751,10330,10960,10918,10919,10070,9898,10071,10364,10689,11010,11760,12034,11757,11436,11468,11852,11999,11901,10747,9645,8943,8968,9286,9525,10333,10928,11289,10955,10496,9949,9641,9678,9805,9882,9939,10055,10815,11712,12048,11627,10855,10352,10089,9888,9618,9962,10305,10914,11881,12816,13257,12919,12641,12637,12890,12922,12877,12729,12628,12551,12484,12517,12189,11783,11492,11772,12052,11667,11874,12067,12405,12789,12905,13811,13950,14200,13754,13819,13891,13951,13783,13448,12880,12585,13126,14485,14830,14597,14134,14613,14520,14677,14630,14659,14800,14904,15584,15926,16315,16033,16062,15970,15853,15962,15819,16352,16473,16513,16941,16961,17197,16868,16694,16561,16578,16851,16489,
30,Michigan,8,12262,12545,11908,11532,11134,10648,10748,10597,9713,9772,9946,11606,12318,12927,12691,11939,11804,11575,11818,11087,10673,11475,12134,13617,13831,14569,14007,13322,11885,10842,10162,9873,9817,10319,11225,12584,13313,13391,12688,11577,10943,11294,11390,11092,10989,11294,12297,13660,14469,14562,13700,12898,12602,12330,12183,12710,13843,14618,15306,15564,15756,15478,14699,14323,14188,14041,14371,14389,14902,15012,14938,14742,14100,13993,13401,13443,13634,13559,13899,13724,14116,14936,14837,14880,14305,14876,14411,14718,14424,14892,14581,14599,14447,14548,14677,15698,16050,16221,15835,15827,15787,15961,16288,15363,13611,13249,14546,16427,17135,16715,17096,16985,17258,17218,16718,16407,14447,14277,14765,15998,16112,15994,16492,16268,16594,16669,16401,
16,Georgia,9,13467,13225,12362,12148,12164,12047,12301,12453,12300,12144,10825,10327,9904,9902,9678,9564,10188,10773,10854,10886,11386,12146,11293,10850,10393,11121,10909,10662,9997,9543,9610,10467,11447,11703,11413,11313,11254,10995,10910,10932,11617,12835,14865,16674,17995,18006,18776,19783,20521,20650,20098,20725,21148,21584,21161,21525,22111,22240,22628,22673,22707,22083,21377,21389,21548,21760,21598,21397,21179,20734,20659,20494,20740,20064,19934,19878,20476,20485,20778,20936,20956,20832,20417,20496,20406,20870,18741,17432,15470,15651,17e3,17872,17503,17616,17812,20599,20887,21668,21403,22288,21530,20963,19484,19288,19209,19449,18140,17084,16476,16917,17598,17531,17677,17457,16868,17101,17215,18068,17358,17450,17133,18359,18596,19007,18998,19331,17964,
36,North Carolina,10,10716,10303,9416,9310,9169,8916,8710,8399,7742,7285,6978,7491,7581,7483,7038,7150,7564,7782,8089,8317,8912,8814,8354,7973,8063,8541,8599,8674,7877,7297,6770,6823,6957,7203,7528,7821,7818,7664,7333,7153,6879,7057,7018,7027,6941,6933,7409,8001,8226,8036,7662,7524,7374,7255,7146,7442,7813,8367,9096,9580,9680,9650,9695,9803,9804,9837,9874,9892,9766,9778,9998,10147,10091,9805,9736,9908,10139,10021,9909,10145,10186,10703,10752,11245,11334,10504,9344,9327,10530,11547,11554,11012,10328,9790,10029,11356,12083,12423,12374,13014,12988,13352,13378,13597,14025,14004,14756,14702,15279,14759,14584,14538,14447,14816,14956,15694,15863,15463,15474,15450,15642,15607,15594,15675,15383,15708,14847,
40,New Jersey,11,7575,7549,7338,7132,6942,6892,6758,6387,5998,5649,5274,5233,5280,5444,5271,5173,5310,5737,6269,6521,7083,7347,7136,6498,6309,6573,6724,6859,6742,6372,5590,5075,5190,5281,5655,5958,6306,6196,5906,5645,5454,5525,5482,5540,5434,5481,5653,6e3,6152,6268,6299,6131,6017,5812,5753,5844,5802,6138,6674,7240,7276,7153,7071,6985,6905,6834,7086,7268,7246,7138,6929,6823,6809,6776,6808,6763,6924,6983,7135,7159,7238,7568,7642,8030,8047,8273,8096,8328,8611,9079,9237,9247,9250,9314,9458,10284,10620,10703,10100,10050,9876,10032,10082,10431,10639,10719,11869,12586,13610,13110,12816,12325,11874,12250,12456,13276,13469,13493,13834,14441,14635,14752,14147,13907,13159,13217,12860,
56,Virginia,12,7499,7298,6749,6735,6783,6918,7081,7090,6883,6545,6558,6978,7121,6785,6255,6374,6706,6920,6946,7012,7764,7608,7581,6972,7120,7086,6927,6859,6307,6055,5756,5793,6130,6274,6923,7052,7200,6744,6356,6191,6052,6129,6071,5986,6118,6171,6865,7285,7479,7099,6782,6739,6772,6732,6453,6501,6872,7120,7888,8042,8288,7816,7644,7775,7859,7767,7553,7401,7390,7348,7466,7532,7450,7376,7271,7556,7763,7817,8006,8053,8172,8177,8382,8584,8838,8691,8540,8408,8731,8845,9064,8929,9011,9148,9418,10208,10202,10155,9844,10177,10133,10300,10126,10122,10243,10282,11142,11242,11452,10813,10670,10753,10594,10502,10101,10371,10518,10631,10979,11068,11326,11073,11039,11100,11188,11148,10445,
59,Washington,13,7121,6736,5948,5687,5481,5259,5237,5141,4808,4386,4393,4787,4949,4741,4476,4745,5191,5457,5577,5827,6601,6651,6603,6377,6669,6721,6396,6069,5287,4770,4411,4608,4983,5435,6057,6369,6400,5987,5585,5393,5288,5428,5431,5600,5883,6048,6467,6814,6950,6648,6219,6026,5961,6020,5933,6212,6517,6941,7512,7802,8018,7794,7674,7623,7881,7966,7980,7709,7718,7751,8241,8476,8436,8014,7677,7835,7975,7941,8035,8287,8545,8719,8901,9457,9662,9762,9410,9632,9794,9804,9773,9541,9538,9620,9857,10362,10462,10350,10280,10387,10430,10624,10670,10802,11234,11155,11860,11535,11531,10450,10394,10728,11159,11355,11163,11392,11861,11639,11964,11772,11837,11180,10650,10703,10798,10667,10018,9686
26,Massachusetts,14,6213,6308,5358,5034,4854,4708,4663,4633,4519,4382,4158,4827,5203,5304,4585,4198,4475,4609,4844,4924,5692,5704,5443,5559,6094,6631,6e3,5665,4835,4297,3862,3899,4238,4472,4766,5640,6030,6125,5060,4472,4135,4150,3961,3873,4147,4103,3995,3755,4260,4326,3982,3766,3990,4416,3806,3701,4018,4568,4332,3894,3643,3710,3355,3160,3030,2991,2968,2881,2909,2952,2953,4067,4879,5723,5407,5445,5600,5549,5440,5302,5350,5374,5274,5656,5658,5580,5134,5454,6266,6526,6567,5493,5534,5502,6288,6935,7119,7092,6474,6514,5816,5928,5835,6400,6164,6132,6492,7274,7591,7283,6745,6615,6698,6693,6448,6458,6972,6895,7059,6931,7166,7031,6611,6606,6673,6760,6455,
22,Indiana,15,7539,6923,5820,5990,6177,6331,6599,6745,6808,6770,6440,6896,6611,6525,5804,5998,6325,6578,6720,6882,7570,8016,7551,7196,6643,6874,6578,6725,6302,5888,5399,5443,5774,6071,6284,6553,6421,6199,5669,5586,5581,5780,5758,5842,6157,6479,6843,7298,7264,6991,6334,6234,6314,6325,6112,6205,6298,6457,6693,7245,7060,6664,5874,5867,5866,5950,6100,6191,6428,6595,7561,8750,9095,8680,7864,8003,8370,8386,8367,8116,7933,8089,7886,8173,7713,7601,7063,7430,7842,8283,8521,8448,8695,8768,8676,9142,8995,9137,8643,8784,8717,8779,8741,8750,8734,8456,8998,9327,10050,9661,9639,9722,9814,9939,9626,10085,10566,10697,10901,10877,10644,10359,9899,9890,9742,9824,9933,
8,Arizona,16,6866,6721,6778,7103,7596,7724,8196,8366,8518,8454,8532,8940,9333,9617,9793,10311,11051,11146,11176,11086,12054,12270,12024,11369,11253,11367,11153,10970,10291,9978,9791,10051,10955,11465,12291,12249,12515,12264,12038,11740,11433,11593,11365,11351,11822,11816,12194,11910,11992,11518,10937,10538,10491,10701,10644,11087,11911,12506,12894,12332,12196,11797,11724,11402,11279,10907,10865,10567,10690,10520,10574,10416,10346,10168,9941,1e4,9919,10036,10202,10395,10407,10468,10435,10577,10721,10987,11002,11344,11604,11516,11363,11141,11524,11644,11740,11717,11806,11886,11933,12024,12088,12340,12424,12514,13491,13608,14017,13166,13496,13067,13398,13279,13376,13260,13264,13810,14743,14779,15047,14343,14359,13743,13492,13263,13347,13255,12797,12629
53,Tennessee,17,10131,9449,8563,8381,8236,8031,7857,7528,6998,6504,6539,7126,7332,7191,6707,6786,6993,7191,7382,7541,8015,8012,7867,7738,7955,8242,8068,7912,7127,6695,6216,6184,6256,6183,6514,6685,6709,6390,6124,6135,6103,6264,6376,6429,6497,6506,7155,7695,8011,7807,7479,7309,7216,7180,6967,7033,7031,7349,7869,8258,8305,8234,8126,8191,8177,8257,8362,8253,8162,8107,8420,8649,8771,8576,8392,8498,8664,8588,8796,8896,9070,9108,9046,9134,9238,9138,9112,9356,9779,10043,10011,9807,9247,9202,9261,10259,10156,10253,9961,10075,9848,9824,9706,9798,9937,10012,10349,10366,10674,10340,10462,10297,10251,10153,9945,10147,9972,9880,10144,10385,10547,10328,10306,10455,10450,10491,10188,
32,Missouri,18,6208,5950,5742,5728,5750,5620,5696,5632,5498,5314,5110,5225,5236,5181,4934,4975,5249,5471,5666,5829,6376,6464,6086,5563,5464,5724,5841,5790,5257,4726,4352,4445,4730,4967,5268,5301,5155,4911,4777,4854,4757,4900,4913,5010,5090,5092,5408,5532,5522,5322,5175,5095,5105,5042,4933,5023,5165,5575,6098,6243,6143,5722,5602,5511,5540,5544,5667,5560,5479,5454,5527,5572,5365,5192,5059,5276,5385,5462,5480,5613,5586,5670,5626,5912,6024,6112,6016,6158,6363,6397,6536,6397,6320,6317,6608,7201,7190,7167,6997,7178,7133,7144,7056,7140,7391,7392,7805,7754,8019,7723,7956,7905,7877,7752,7645,7799,7994,8049,8299,8044,7975,7565,7704,7775,7949,7981,7944,
27,Maryland,19,6515,6383,5765,5537,5057,4794,4740,5025,5224,5036,4369,4270,4539,5064,4911,4652,4333,4563,4402,4446,4448,4525,4813,4566,4862,4608,4799,4601,4276,4425,4366,4639,4412,4211,4286,4466,5040,5125,4742,4048,3573,3392,3515,3644,4179,4263,4801,5010,5224,5013,4900,4894,4781,4804,4566,4822,5148,5394,5869,5755,5798,5641,5637,5907,5835,5982,6186,6380,6283,5862,5691,5653,5725,5739,5271,5508,5581,6074,5988,6078,6190,6349,6389,6554,6588,6795,6600,6921,6953,7140,6898,6772,6646,6873,6774,7745,7913,8106,7625,7862,8010,7985,7867,7819,8595,8753,9282,9295,9551,9439,9007,8949,8518,8505,8399,8679,9157,8901,9282,8825,8850,8645,8573,8816,8601,8694,8477,
60,Wisconsin,20,5726,5316,4788,4658,4655,4628,4699,4642,4449,4124,3991,4346,4488,4346,3963,3984,4300,4564,4823,4866,5252,5360,5361,5357,5427,5637,5494,5567,4882,4258,3606,3675,4002,4151,4758,5173,5335,4836,4291,4068,4006,4099,4133,4237,4387,4613,5189,5914,6099,5877,5360,5170,5029,4951,4903,5148,5212,5620,6280,7023,6921,6359,5686,5544,5581,5693,5830,5781,5951,6003,6302,6503,6519,6225,5789,5797,5998,5979,6094,6283,6185,6159,5814,6268,6400,6559,6076,6110,6149,6377,6276,6157,6149,6223,6413,7235,7342,7305,6932,7188,7305,7297,7094,7047,7080,7106,7388,7580,7669,7386,7378,7524,7671,7628,7480,7627,7780,7862,8084,8258,8225,7908,7544,7526,7616,7656,7248,
31,Minnesota,21,5069,5073,4553,4483,4407,4362,4647,4798,4786,4597,4327,4670,4663,4786,4345,4223,4459,4762,5201,5297,5770,5993,5689,5613,5377,5612,5273,5126,4737,4187,3738,3482,3778,4045,4526,5102,5445,5465,4918,4466,4249,4342,4391,4528,4737,5012,5309,6019,6383,6284,5428,4963,4865,4983,5044,5296,5555,5864,6223,6660,6675,6510,6093,6017,6089,6361,6740,6902,6792,6627,6517,6772,6719,6618,6225,6193,6188,6170,5994,6023,6102,6443,6317,6931,7209,8027,7763,7861,7542,7442,7138,6902,6853,6938,7343,8466,8961,8790,7847,7711,7681,7930,7888,7768,7914,7786,7937,7854,7751,7580,7602,7982,8275,8283,8155,8111,8235,7937,7825,7509,7552,7609,7547,7658,7979,8212,8039,
10,Colorado,22,8772,7929,7254,7096,6957,6844,6815,7012,6942,6502,6436,6855,7006,6398,5579,5621,5776,6008,6031,6195,6992,6966,7280,7002,7393,7225,6942,6736,5988,5390,4900,4975,5512,5695,6542,6606,6819,6298,5987,5834,5573,5705,5737,5998,6429,6509,7203,7644,7887,7498,7004,6970,6863,6921,6880,7280,7797,7989,8778,9149,9493,9072,8760,8752,8761,8703,8581,8382,8243,7889,8273,8554,8923,8712,8448,8699,8834,8876,9010,9042,9248,9068,9235,9420,9648,9595,9382,9767,9853,9910,9808,9799,9881,9813,10306,10837,10795,10154,9497,9498,9225,9421,9397,9746,10475,10520,11530,11352,11532,10450,10079,10045,9901,9883,9651,10079,10595,10498,11324,11347,11762,10881,10299,10069,9714,9536,8918,8639
4,Alabama,23,3541,3381,3279,3289,3289,3279,3297,3254,3102,2997,2834,2847,2796,2765,2589,2542,2637,2798,2896,2919,3215,3286,3218,2973,2963,3106,3241,3308,3176,2981,2821,2784,2878,2854,2936,2932,2993,2882,2873,2933,3131,3307,3240,3229,3070,3119,3271,3366,3431,3339,3462,3465,3535,3464,3615,3834,4196,4293,4386,4267,4172,4003,4e3,3981,4080,4125,4210,4274,4391,4521,4464,4427,4316,4357,4244,4359,4395,4499,4581,4581,4394,4205,3972,4069,4243,4501,4577,4703,4821,4845,4889,4791,4875,4937,5093,5297,5281,5179,5111,5185,5137,5090,5020,5030,5276,5293,5716,5586,5739,5514,5614,5501,5421,5372,5230,5256,5221,5202,5096,4888,4826,4709,4872,5097,5449,5612,5524,
51,South Carolina,24,6511,6311,5842,5833,5667,5596,5660,5551,5208,5033,4748,4865,4646,4513,4325,4384,4542,4746,4889,5110,5515,5857,5637,5512,5116,5405,5177,5319,4917,4780,4476,4575,4738,5111,5143,5294,5074,5024,4781,4728,4609,4632,4665,4810,4860,5066,5328,5705,5531,5408,5105,5082,5019,5198,5268,5620,5727,5990,6056,6191,6006,6044,6104,6229,6323,6379,6605,6680,6636,6679,6570,6450,6126,5905,5809,5939,5972,5869,6016,6107,6215,6284,6428,6716,6861,6929,6780,6757,6804,6749,6643,6256,5960,5761,5846,6326,6432,6547,6579,6758,6711,6776,6917,7153,7338,7459,7850,8011,8160,7913,7911,8113,8295,8560,8385,8593,8498,8637,8747,8768,8584,8535,8632,8708,8524,8458,8041,
