RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
9,California,1,23425,28463,31255,32911,36535,35202,36263,38662,29142,35779,28902,28832,35693,37035,36898,41590,42074,36717,37267,38339,32750,37962,26517,27172,36448,36103,38212,39954,33294,32610,32283,30209,29092,34452,26487,26118,36326,34330,34452,38372,33679,36721,33778,31272,30766,34452,26952,28955,36665,35696,40366,39608,37076,39528,31894,37169,34139,37523,28889,29366,37112,39322,43031,39911,42684,42271,35437,37380,31801,33566,26837,26624,32711,38324,38831,38774,39851,37685,35379,37498,29322,34239,25768,26371,36378,41102,41447,46365,45954,41200,39993,38362,30390,38516,27333,28442,38204,40409,42425,46881,41389,44262,40548,38613,37842,38238,29357,28142,40489,38302,45011,49349,41422,46120,40130,40554,37329,36825,29001,29756,40745,41779,46172,46283,43296,44076,32883,33785
54,Texas,2,23609,25716,26349,27579,28052,25068,21253,21729,15344,19003,14757,16353,21498,21089,21676,25609,26864,23490,22390,22144,21671,21497,14366,16435,23905,25263,26176,27640,20800,21009,18786,17692,17347,18820,15581,14861,21713,20758,22847,23992,21612,24529,19933,18366,17566,19340,14628,17216,21581,20985,25922,25888,26104,25590,20305,23015,18481,20815,18074,18949,24246,29678,30451,29386,32393,31791,26512,25735,21309,23785,18937,19249,25973,28654,31056,32319,32596,26727,29967,28577,22170,27223,19640,19931,29682,28528,31179,36321,35505,32300,30994,28994,22228,28987,21300,24174,31602,30981,33634,37672,34270,36552,31924,28887,27676,29998,23682,24942,34480,31369,38226,39383,35379,35929,31800,32240,28680,29871,24794,25466,31796,33562,39305,38677,38201,38152,29407,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9363,8522,8193,9810,9705,9736,11572,11710,12335,10130,8995,8113,8612,7931,6841,7567,7878,9320,10695,10618,10992,10108,9932,8467,8911,9078,7585,8289,8810,10641,10749,12406,14496,12977,12856,10720,11776,9751,7892,8997,9344,11561,12133,14158,14052,12993,13805,10669,12689,9828,9250,10434,10414,10852,13908,16045,15639,15603,14636,13102,14310,11324,11347,13435,12262,13353,16097,16273,18271,16847,15438,14787,15960,13706,13394,14999,14280,16793,19048,17724,21697,17915,18102,16196,16639,15269,12972,13300,13283,15246,17365,19530,21747,,
14,Florida,4,17266,19292,19513,20212,20717,17389,17555,17885,13487,17821,15981,15929,21039,21484,22366,25391,25484,22852,22929,24390,21750,26012,20360,18933,28027,27283,26442,29616,25715,23387,22915,22362,20601,26089,23613,22653,30576,29666,28507,29108,25784,27396,23931,22241,22302,25219,20914,21441,27577,28917,30244,28565,28020,28102,24252,29289,26207,29778,27365,26089,31938,36823,37183,35805,37210,35680,31432,33641,28372,33710,28188,27703,34827,38792,39320,38856,40155,36506,35300,38098,31429,39670,28934,31241,41916,44082,41725,47401,45074,39979,39598,37525,32347,38822,29395,31451,39799,40233,41422,44951,39263,40975,35286,34764,34391,38928,30932,31734,43935,41622,47825,48139,42547,44686,29780,37642,34767,39408,34772,33345,43533,44719,47617,46125,44552,44453,35831,
21,Illinois,5,11590,12932,13643,14998,16176,14753,13955,13374,9210,9898,8029,7396,10005,10884,11135,13744,14995,13646,13653,14720,13503,13528,9562,8574,12105,13473,14218,16570,13612,12316,10800,10106,9671,10320,9191,7397,10444,9956,11612,13843,11826,14183,11791,10995,10487,11075,9937,8694,10908,11250,13509,15075,13509,16292,11925,12599,10820,10981,11772,9093,10953,13387,13958,15095,18789,17882,15247,17270,14095,13802,13052,10334,12112,15341,16173,18241,18360,16735,18592,19046,12963,15457,11576,10437,14157,15843,16466,21428,21784,21533,19861,18758,13923,15418,12802,12423,14836,16607,18936,23286,21111,23580,19380,17835,16019,16404,14341,11339,16582,16483,20863,22718,20624,23499,17906,17967,15976,15732,13607,11082,15372,17396,21053,23506,22197,21472,17421,19411
47,Pennsylvania,6,10027,11050,11870,13309,13708,12461,11452,11196,8676,9150,6503,5857,7922,8773,9360,12029,13005,12113,11561,11783,11621,11427,6414,5884,9553,10509,11285,14827,11582,9579,9339,8854,8296,9394,7017,6414,8693,8324,9702,11918,10538,11753,9536,9224,8677,9326,7641,6965,8467,9096,11140,11621,12307,11960,8795,11018,10273,10357,8671,7438,8789,11028,12580,12902,14922,14108,12267,12656,10546,11233,8731,7207,9293,10662,12085,14348,14453,13911,12613,13555,10895,12895,9205,8421,11516,12098,13224,16149,18238,15532,15195,15510,11941,14127,10412,10041,12378,13267,15548,18813,17057,18093,15376,14623,14482,15055,12063,10287,14001,13609,17263,18934,17225,18829,15436,16547,15405,15115,12754,10393,13215,15489,17607,19216,19339,19758,14716,
44,Ohio,7,10957,12147,12951,14056,13942,12660,12217,12411,9065,9874,7282,7634,9722,10246,10283,12564,12990,12154,12030,12650,11342,10933,7742,7384,10979,12024,13209,14543,10397,10244,10426,9383,8692,9479,7874,7303,10432,10086,11028,12131,11081,12025,11010,10161,9327,9634,8287,8342,10516,10411,11763,12410,11632,11957,9963,11508,10066,10105,9608,8936,11277,12512,14450,15297,16013,15700,13216,13852,11694,10972,8975,8323,10034,11421,13351,14665,14792,13e3,13482,13852,10849,12465,9359,9434,12800,13903,14740,17621,17047,16116,14845,14181,10718,11751,10470,10228,12651,14036,16052,18957,16617,17882,16406,14962,14026,14168,11277,10574,15181,15026,18303,20270,17728,20135,17242,17564,15690,14701,12460,11119,15295,16548,18560,20273,20043,21010,16533,
30,Michigan,8,9295,10580,11443,11741,12247,11928,12056,12962,10121,9357,9432,8175,10496,11175,11597,12150,13864,13010,12944,12658,13231,11953,10432,9352,11723,12526,12414,14091,11350,11150,11760,11474,12529,10274,10227,8768,11395,10635,11124,12191,11547,14462,12489,11661,16125,10322,10599,10533,11637,11051,13311,13576,13182,14899,13049,16431,21544,11961,13125,11034,11678,12685,14308,15078,15797,16519,16165,17481,20932,12624,11950,9852,10281,11921,13077,14537,15885,15307,15655,16886,19064,14066,11475,9403,11796,13165,12772,17557,15896,16830,16470,17591,18641,12833,12534,11099,12882,13227,15551,18012,16802,19118,19078,15199,14895,13628,13791,10938,14492,13002,17552,19914,17536,20754,18180,18218,15935,13440,13866,10187,12877,13847,16765,17273,18791,20218,16328,
16,Georgia,9,12585,13587,13460,13489,14153,12953,12643,13061,9667,10709,8097,7628,10939,9967,10046,11974,12378,11964,10783,11128,10630,11521,7589,8641,11765,11633,11526,12448,9905,9885,11158,11322,10287,10502,9198,9161,11815,10512,12701,13431,13144,16755,17984,16978,16534,15855,16865,17554,20361,21174,22998,25180,23356,24300,20877,21880,20450,18718,20192,18802,21483,22904,24239,24327,24291,24765,20920,21071,18679,17222,18300,16674,20422,20411,23198,22895,23135,23043,21040,21084,17970,18184,17447,16616,20495,22943,16245,18650,17415,16734,20508,18063,12033,18350,16351,17756,21838,22591,24269,27741,20976,22140,19923,18130,17007,18174,12572,12985,18903,16867,20757,21136,17984,19839,16813,16712,15730,17074,12856,14601,18534,19684,21520,22371,20402,22484,15536,
36,North Carolina,10,9280,10112,10981,11e3,10786,9729,8418,8106,5774,6723,5155,5817,7244,7411,8012,9301,9725,8468,8574,8802,8086,7910,5331,5789,8479,9488,9741,10680,7783,7418,7187,6666,6066,7579,5453,5585,7855,7681,8030,8977,7607,8350,7263,6387,6206,6917,5574,6339,7851,7748,9121,9125,8119,8393,7169,7663,7439,8449,7019,7116,9066,10416,11878,11522,11625,11570,9582,9775,8583,9190,7460,7332,9367,10270,11832,12128,12272,11009,9631,10956,8589,10695,7944,8075,11364,9278,9206,13881,14585,12339,11432,10604,7713,9370,8092,9147,11900,13186,14897,16953,14623,15603,14017,12874,13142,13333,10797,10621,15563,14529,16879,18927,15890,17533,15984,15459,13952,14115,11087,11350,15220,16490,18652,18971,17376,19092,12994,
