RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
102001,United States,0,188100,184500,180600,177e3,175200,174300,173200,171900,169800,166500,163900,161900,159600,155300,151400,151e3,152900,155800,157200,158500,160400,161700,163900,163400,164600,161500,159500,156100,156700,157300,159e3,158300,158900,158e3,158700,157300,155300,152400,149900,149500,149900,15e4,149200,148300,148600,149400,149900,149800,150200,151200,153e3,155300,157300,159300,159400,160400,161800,164400,165800,165500,166300,167800,170300,171900,174200,176e3,176600,176500,175900,176300,176300,177e3,177600,178100,178400,178800,180100,182e3,183300,184e3,184600,185300,186900,189200,191500,193300,195e3,196700,197500,196600,196500,196100,197e3,198500,200800,201400,201300,201200,202100,203400,204100,205300,206e3,208400,211400,213100,214300,214200,215200,215200,215100,215400,215800,216600,218500,220200,223800,225200,229300,232600,236e3,234800,231600,229600,228e3,227200,225700,
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363100,362100,362800,363700,367900,364500,358600,354700,354800,351800,342200,330200,327700,324900,325700,325900,332100,336200,34e4,339100,338200,336800,337800,338300,337800,335e3,331500,332e3,332800,336900,339800,343900,354e3,356500,358e3,352e3,351100,351300,351600,352300,351900,355500,354700,356700,358400,357600,355700,352100,353600,355600,355600,355700,357100,355900,356800,354900,357200,359100,360900,362300,363300,360600,360900,360800,363600,363800,364e3,364100,364900,363900,364600,363700,363600,358400,360500,363100,372800,374900,375200,374700,374300,376800,377100,380100,381400,382100,382500,385400,390300,392200,391900,391400,391900,392600,
753899,"Los Angeles-Long Beach-Anaheim, CA",2,473e3,462800,446400,435800,420900,407900,392700,381500,369400,358e3,341e3,330800,323800,320800,319700,325800,334200,341700,349300,357500,364700,368200,369700,368100,366e3,362700,365800,363300,365400,361200,367600,367300,370100,366500,360100,356800,353e3,355e3,351900,347900,347e3,345900,345600,340700,339800,338e3,336200,334800,335200,340400,343700,348600,356300,364400,375200,382e3,390700,398300,398900,400900,405100,421200,433300,443800,447900,451900,453500,457100,461e3,464900,462100,465800,468200,475300,479600,480700,484800,486e3,488600,490300,489600,490300,492800,501100,505800,510200,508200,513200,512800,517200,518500,520400,522900,527300,531700,533e3,533300,537e3,541100,543200,542900,546200,548600,554500,559600,563300,566100,565500,570100,571900,577400,579600,587e3,588400,595200,596700,605700,608700,614200,622500,629400,631500,627900,627200,629300,631900,632400,632700
394463,"Chicago, IL",3,257e3,252600,237500,225400,224100,223700,225800,224e3,221100,219100,213200,211300,207e3,202e3,193500,187800,189e3,192500,193600,195700,197300,199100,198900,200300,197800,193900,186500,186200,184500,185100,180100,181700,185e3,188e3,186400,182100,177200,171300,164400,162900,165700,169800,168900,166800,163700,166e3,162600,162e3,158500,159e3,157500,160700,162800,165700,163900,162900,163800,164e3,165100,163100,162400,161600,165100,171600,183e3,188200,191100,191400,192600,194500,192700,195200,193800,192500,190300,192900,196100,199700,201600,202400,201700,200300,201400,202500,204600,206200,207400,207e3,207800,205500,206200,205500,206800,206200,204500,205400,209200,213700,215100,213500,213200,214200,211700,211100,212900,218600,223300,227200,232e3,231700,228100,222300,219800,218200,216400,217600,220400,225900,228400,233900,239e3,240600,236100,231800,228700,224600,219e3,218600
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199500,201e3,201600,202300,202e3,202400,204300,205100,206e3,206500,207700,209400,212600,214700,217300,218e3,219200,22e4,220300,219300,220900,225200,230700,232600,232300,230600,231e3,232300,235800,238e3,239700,240400,241900,245600,248500,248600,246200,244300,246400,245900,248e3,
394974,"Philadelphia, PA",5,210200,209200,207e3,198300,195100,195300,196900,197e3,197600,197500,197e3,195900,199400,199400,196100,189e3,186400,189100,191e3,192400,193200,198e3,201e3,201500,201700,201500,198400,191900,189100,186400,187600,187500,191900,195500,200800,201200,198200,192400,184900,181200,179800,181600,180200,178900,178900,183300,184900,186900,185100,185200,184900,186700,187e3,187900,182500,182200,184400,194400,197700,195800,192e3,191400,191100,191800,193800,197500,196600,195300,194200,195600,195500,193300,194400,192700,192900,191100,191300,192700,193200,194700,193700,193500,192300,189300,188500,190200,193800,194e3,192800,191900,193e3,193200,192600,190400,192500,196400,196500,194200,192100,194100,196e3,196200,196500,194e3,195e3,199700,200900,202e3,199400,200800,202300,201700,201700,198800,196900,194600,195600,202100,204700,204e3,203e3,202500,205300,203200,204400,206100,207500,
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181600,181300,183900,185400,187500,186600,187100,188400,188600,190300,190600,192e3,192900,192800,192800,189500,189300,188600,191700,192600,194e3,192200,193200,194800,199e3,202200,203100,205100,206600,209100,211100,211700,213600,215100,215200,214800,213500,214600,215700,219300,224600,224500,220200,214100,215300,219200,224400,225900,223300,220900,218100,217700,214800
395209,"Washington, DC",7,359100,349100,332900,318500,312300,309800,301600,293600,286300,281100,281800,279700,282700,276900,273400,273500,281900,296200,303e3,302900,301e3,301100,301200,297700,296400,3e5,298300,292500,292e3,285e3,293700,290600,304700,304900,304100,302300,289300,281600,273200,274400,285800,294800,304800,296900,290100,283600,285e3,282100,292900,298100,310100,313100,320700,321400,319200,316800,318300,316900,319e3,316200,325200,328700,338600,341700,346200,347100,344100,340800,339600,339700,341400,338900,341200,341e3,351300,351400,354700,347900,347e3,345600,347600,350600,350600,351400,357500,358500,358100,35e4,347200,345e3,346700,349600,350100,346700,346400,349900,351e3,352800,349900,350500,349300,351200,352900,356600,355700,357700,358800,359300,360200,359800,360900,360200,360300,360800,362100,362400,363800,367200,370600,374700,381500,384200,384400,378500,373700,374200,374900,
394856,"Miami-Fort Lauderdale, FL",8,259300,25e4,236900,229100,224400,223200,215900,208e3,195900,188200,176800,168700,159400,152400,142700,137800,138500,142100,145e3,144e3,144500,146e3,147200,149100,148900,146900,144700,141400,137900,132800,128400,129400,131e3,130500,124100,120500,117e3,119800,120700,124100,128400,127100,125600,123300,124e3,127600,130700,134700,135700,137300,137500,139600,14e4,141400,143600,146e3,148800,153400,158300,162900,160800,160700,162600,167800,170500,172200,173700,175e3,178500,179500,182300,180300,180500,179500,181200,184200,187700,187800,187900,188100,192e3,195100,196200,198200,199600,202400,205900,208200,209400,208200,208e3,208500,205600,207100,208900,218200,220300,222500,219200,219600,220600,222200,224800,227700,228300,229200,229200,236400,238800,241700,237700,237800,236700,239400,242600,244800,246300,247300,253800,262e3,269800,268800,265400,262e3,260300,260100,259200,
394347,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94500,95100,95700,98e3,97200,97300,96900,97100,98400,99700,103100,105e3,107600,108700,113100,116800,121100,123100,125800,127700,131600,134600,140200,141e3,141600,139300,138300,138700,14e4,140300,139800,140400,144100,148300,152700,153900,154900,154500,157200,159800,162500,163e3,169e3,171200,173100,168300,168100,168800,169400,170700,172600,175100,175400,175400,174700,174600,173600,175500,176500,178200,179300,181900,183200,185100,187e3,191e3,193500,195300,194800,193300,192100,193e3,195600,197e3,199600,204600,211600,213800,213900,211400,210700,208300,204600,205e3,
