RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
12447,Los Angeles,California,1,,,,,,,,,,,,0.3023,0.272,0.2858,0.2959,0.2529,0.2447,0.2419,0.2068,0.1924,0.22,0.1917,0.2151,0.2139,0.1829,0.1874,0.1693,0.1686,0.1826,0.1724,0.1633,0.1678,0.1725,0.1539,0.1858,0.18,0.1829,0.1588,0.1522,0.1617,0.1387,0.1374,0.1663,0.1698,0.1444,0.154,0.1505,0.1549,0.1584,0.1441,0.1362,0.1265,0.1131,0.0882,0.0698,0.0722,0.0623,0.0502,0.0533,0.069,0.0455,0.046,0.0454,0.0322,0.0292,0.0183,0.0093,0.0155,0.0133,0.0149,0.0138,0.0264,0.0167,0.0131,0.0123,0.015,0.0166,0.011,0.0187,0.0141,0.0158,0.0136,0.0217,0.0191,0.0204,0.0213,0.0126,0.0154,0.0181,0.0109,0.014,0.0119,0.0141,0.01,0.0129,0.0156,0.0099,0.0115,0.0131,0.0064,0.0084,0.0075,0.008,0.0092,0.0093,0.0074,0.0072,0.0094,0.0111,0.0081,0.0077,0.0051,0.0056,0.0045,0.0047,0.0079,0.0034,0.0065,0.0025,0.0037,0.0048,0.0051,0.0031,0.0041,0.0051,0.0054,0.0028,0.0043
17426,Chicago,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.1271,0.1253,0.1314,0.1018,0.0721,0.0617,0.0594,0.0468,0.0444,0.0514,0.0508,0.0449,0.0555,0.0664,0.0611,0.0426,0.04,0.0384,0.0336,0.043,0.0518,0.0507,0.0519,0.0566,0.0616,0.0643,0.0548,0.0549,0.039,0.0327,0.027,0.0281,0.0301,0.0318,0.0422,0.0368,0.0415,0.0568,0.0492,0.041,0.0346,0.0248,0.0249,0.026,0.0327,0.0323,0.0348,0.038,0.04,0.0487,0.0414,0.036,0.024,0.0298,0.0295,0.0265,0.0342,0.0356
39051,Houston,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0201,0.0258,0.0186,0.0256,0.0229,0.0239,0.0169,0.018,0.0191,0.021,0.0235,0.0202,0.0172,0.0181,0.0191,0.0067,0.008,0.01,0.012,0.0095,0.0091,0.0075,0.0055,0.0055,0.0068,0.0064,0.0056,0.0085,0.0102,0.0062,0.0076,0.0098,0.0062,0.0049,0.0044,0.0035,0.0056,0.0038,0.0033,0.0043,0.0071,0.0053,0.0071,0.0063,0.0099,0.0095,0.013
6915,San Antonio,Texas,4,0.0075,0.0078,0.0063,0.01,0.0133,0.0083,0.0206,0.0199,0.029,0.0258,0.0357,0.027,0.0319,0.0311,0.0316,0.031,0.0253,0.0312,0.0222,0.0331,0.0366,0.0552,0.0391,0.0389,0.0399,0.0264,0.0269,0.0222,0.0285,0.0206,0.0264,0.0199,0.0228,0.0267,0.0279,0.0351,0.0299,0.0365,0.0427,0.0318,0.0325,0.0263,0.0392,0.0408,0.04,0.0502,0.0527,0.0465,0.0398,0.037,0.0303,0.0396,0.028,0.0312,0.0359,0.0325,0.0476,0.04,0.0511,0.0313,0.0272,0.0262,0.0206,0.0176,0.0286,0.0185,0.0143,0.0191,0.0214,0.0212,0.0197,0.0296,0.0242,0.0213,0.0162,0.0184,0.0164,0.0157,0.0214,0.0189,0.026,0.0258,0.0229,0.0207,0.0182,0.0226,0.0177,0.0162,0.0113,0.0105,0.0148,0.0173,0.0137,0.0203,0.0184,0.0163,0.0123,0.0111,0.0118,0.0125,0.01,0.0081,0.0123,0.0107,0.0136,0.0048,0.0116,0.0086,0.01,0.0087,0.0108,0.0113,0.013,0.0083,0.0079,0.0098,0.0059,0.0048,0.0119,0.0111,0.0063,0.0119,0.0078,0.004,0.0047,0.0029,0.0025,0.0035
13271,Philadelphia,Pennsylvania,5,0.0628,0.062,0.0515,0.0564,0.0487,0.0397,0.0618,0.0581,0.0757,0.0533,0.053900000000000003,0.0698,0.0883,0.0831,0.0883,0.0807,0.0612,0.0659,0.0651,0.078,0.0564,0.0728,0.1149,0.0948,0.063,0.0768,0.0619,0.0536,0.0943,0.1061,0.085,0.0778,0.0795,0.0497,0.0894,0.0836,0.0669,0.0439,0.0533,0.0461,0.0438,0.0579,0.0668,0.0545,0.0571,0.0561,0.07,0.0672,0.066,0.0597,0.0564,0.0583,0.0558,0.0447,0.0367,0.0514,0.0442,0.0563,0.046,0.0335,0.0276,0.0211,0.0167,0.0196,0.0216,0.0228,0.0252,0.0209,0.0251,0.0262,0.0357,0.0394,0.0221,0.0455,0.038,0.0417,0.0466,0.0525,0.0578,0.0663,0.0705,0.0634,0.0543,0.0622,0.0627,0.0683,0.0679,0.0535,0.0524,0.0568,0.0511,0.0665,0.0564,0.0435,0.0506,0.0534,0.0489,0.0431,0.0374,0.0261,0.0297,0.0262,0.0181,0.0219,0.0173,0.0152,0.0177,0.0164,0.0176,0.0194,0.0167,0.0206,0.0153,0.0213,0.0227,0.0274,0.0261,0.02,0.027,0.0259,0.0195,0.018,0.0118,0.01,0.0102,0.0076,0.0067,
40326,Phoenix,Arizona,6,,,,,,,,,,,,,,,,,0.2505,0.2377,0.2226,0.2053,0.1888,0.2119,0.2145,0.2308,0.2113,0.2044,0.2045,0.1934,0.1872,0.1766,0.1997,0.202,0.2149,0.2559,0.2359,0.2484,0.242,0.2254,0.193,0.1798,0.1672,0.1661,0.1381,0.1433,0.1084,0.1038,0.1093,0.1154,0.0936,0.0836,0.0707,0.0639,0.0603,0.0459,0.0589,0.0631,0.0494,0.0579,0.0666,0.0485,0.0428,0.042,0.0426,0.0334,0.0357,0.0209,0.0216,0.0249,0.0238,0.0258,0.0362,0.0337,0.0276,0.0261,0.0291,0.022,0.0333,0.0267,0.0251,0.024,0.0209,0.0251,0.0234,0.0241,0.0209,0.0184,0.0163,0.0151,0.0172,0.0154,0.0101,0.0153,0.0123,0.0095,0.0105,0.0148,0.0156,0.0113,0.0097,0.0089,0.0088,0.0119,0.0131,0.0119,0.0148,0.0158,0.0128,0.0123,0.0143,0.0078,0.0072,0.0031,0.0063,0.0063,0.0067,0.0056,0.0087,0.0068,0.0073,0.0081,0.0067,0.0064,0.0038,0.0053,0.0045,,,
18959,Las Vegas,Nevada,7,,,,,,,,,,,,,,0.5945,0.6051,0.5755,0.5707,0.5625,0.5481,0.546,0.5177,0.475,0.4702,0.4632,0.4487,0.36870000000000003,0.3724,0.3709,0.3903,0.4328,0.4133,0.4098,0.4316,0.4792,0.4545,0.4598,0.4446,0.4228,0.3854,0.4268,0.4322,0.4281,0.4295,0.4147,0.3818,0.3622,0.3702,0.3217,0.3238,0.3174,0.2615,0.1658,0.1603,0.1276,0.0982,0.0853,0.0654,0.061,0.0721,0.0505,0.06,0.0565,0.0562,0.0521,0.0428,0.0452,0.0417,0.033,0.0522,0.0581,0.0711,0.0797,0.0787,0.077,0.0755,0.0541,0.0647,0.0572,0.0565,0.0575,0.0602,0.0516,0.0764,0.0641,0.0594,0.0519,0.0579,0.0335,0.0409,0.0469,0.038,0.047,0.0473,0.0442,0.0496,0.0669,0.0485,0.0456,0.0458,0.0383,0.039,0.041,0.033,0.0347,0.0343,0.0379,0.0348,0.0367,0.0331,0.0249,0.0213,0.019,0.0191,0.0136,0.0111,0.0105,0.0065,0.0063,0.0074,0.0033,0.0037,0.0047,0.0056,0.004,0.0075,0.0093,0.0074,
54296,San Diego,California,8,0.1951,0.2047,0.2095,0.2487,0.2335,0.2375,0.2955,0.2937,0.3371,0.3571,0.3573,0.3782,0.3655,0.3461,0.3109,0.2502,0.2405,0.2117,0.2191,0.2263,0.1882,0.2051,0.2547,0.2409,0.2079,0.1875,0.1751,0.1641,0.1793,0.1993,0.1709,0.1875,0.1779,0.1904,0.2367,0.2269,0.2285,0.1777,0.1816,0.1807,0.1697,0.1656,0.154,0.1706,0.152,0.1693,0.1632,0.1776,0.1342,0.1312,0.1137,0.1047,0.0761,0.0587,0.0459,0.0646,0.052,0.0548,0.0714,0.0533,0.0356,0.0333,0.034,0.0233,0.0147,0.0158,0.0144,0.015,0.0138,0.0119,0.0224,0.0143,0.0206,0.0215,0.0163,0.0097,0.0107,0.0137,0.0103,0.0075,0.0145,0.0164,0.0192,0.0222,0.0172,0.0071,0.0134,0.0113,0.0103,0.0152,0.0102,0.0127,0.0083,0.0096,0.0103,0.0101,0.0123,0.014,0.0117,0.0077,0.0089,0.01,0.0039,0.0055,0.0075,0.0108,0.0067,0.0093,0.006,0.0063,0.0048,0.0057,0.0051,0.0043,0.0073,0.0028,0.0064,0.0065,0.0038,0.0102,0.0015,0.0033,0.0044,0.0048,0.0013,0.0025,0.0068,0.003
38128,Dallas,Texas,9,0.0357,0.0339,0.0425,0.0382,0.0355,0.0483,0.0559,0.0597,0.0623,0.0657,0.086,0.0846,0.1043,0.1014,0.0919,0.0646,0.0878,0.0547,0.0765,0.0823,0.0632,0.0807,0.0962,0.1091,0.093,0.079,0.0909,0.0785,0.0954,0.099,0.0893,0.1127,0.0907,0.0576,0.0814,0.0895,0.0787,0.0847,0.0842,0.0644,0.0733,0.0612,0.0713,0.0862,0.0623,0.0635,0.0804,0.0759,0.0606,0.0559,0.0741,0.0638,0.0654,0.0561,0.0574,0.0674,0.0582,0.0595,0.0793,0.0573,0.0514,0.0425,0.0292,0.0364,0.0311,0.0324,0.0266,0.0239,0.0488,0.0358,0.0473,0.0408,0.038,0.0388,0.018,0.0276,0.0265,0.0277,0.0261,0.0271,0.031,0.0292,0.0277,0.028,0.0347,0.0202,0.0237,0.0181,0.0187,0.0194,0.0195,0.0154,0.0123,0.0189,0.0148,0.0151,0.0152,0.0105,0.0131,0.0132,0.0101,0.0113,0.0152,0.0063,0.0108,0.0087,0.0064,0.0107,0.0025,0.0049,0.0045,0.0047,0.0042,0.0047,0.0034,0.0056,0.001,0.0077,0.0024,0.0022,0.0039,0.005,0.0031,0.0022,0.0038,0.0026,0.002,
33839,San Jose,California,10,,,,,,,,,,,,,,0.401,0.402,0.3296,0.2816,0.2702,0.2755,0.2263,0.2144,0.2364,0.2204,0.2096,0.1811,0.1823,0.1598,0.1628,0.1576,0.1382,0.168,0.1762,0.1809,0.2144,0.2578,0.2504,0.2304,0.1887,0.1506,0.1801,0.1588,0.1525,0.1446,0.1492,0.1351,0.1461,0.1704,0.1829,0.1481,0.1255,0.113,0.0894,0.0754,0.0542,0.0359,0.0424,0.049,0.0387,0.0589,0.0538,0.0323,0.0154,0.0218,0.02,0.0124,0.0153,0.018,0.0168,0.0156,0.0299,0.0256,0.0252,0.0132,0.0117,0.0075,0.0069,0.0022,0.0124,0.0092,0.0025,0.0111,0.009,0.0194,0.0124,0.0113,0.0098,0.0079,0.0011,0.0063,0.0067,0.0074,0.0053,0.0017,0.0026,0.0038,0.009,0.0015,0.0078,0.0034,0.0011,0.0026,0.0025,0,0.0066,0.0014,0.0014,0.0064,0,0.0054,0.0026,0.0067,0.0062,0.0024,0.0022,0.0037,0.0013,0.0015,0.0016,0.0045,0.004,0,0,0.0022,0.0012,0.0014,,,
