RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
3101,Los Angeles County,California,1,,,,,,,,,,,,0.3584,0.3427,0.3302,0.3203,0.289,0.2777,0.2613,0.2426,0.2335,0.2327,0.2238,0.2353,0.2392,0.216,0.2049,0.1896,0.1837,0.1964,0.1858,0.1877,0.1929,0.1945,0.2,0.211,0.2146,0.2112,0.1869,0.1817,0.1865,0.1739,0.1739,0.175,0.195,0.1787,0.1766,0.1948,0.1842,0.1841,0.1631,0.1622,0.1445,0.1241,0.1038,0.0802,0.0808,0.0727,0.0642,0.0761,0.0772,0.0618,0.0596,0.0487,0.0369,0.028,0.0204,0.0187,0.0208,0.0197,0.0215,0.0218,0.0255,0.0233,0.0203,0.0173,0.0202,0.0216,0.0173,0.0196,0.0205,0.0217,0.0207,0.0241,0.0268,0.0234,0.0214,0.0196,0.0172,0.0178,0.0157,0.0157,0.0174,0.0173,0.0151,0.0159,0.0201,0.0153,0.0147,0.0146,0.0107,0.0093,0.0104,0.0096,0.0102,0.0096,0.0093,0.0098,0.0112,0.012,0.011,0.0085,0.0067,0.007,0.0069,0.0062,0.0081,0.0048,0.0065,0.0066,0.0072,0.007,0.0067,0.0042,0.0053,0.0053,0.0048,0.0057,0.005
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1448,0.1593,0.1458,0.1409,0.1226,0.085,0.0732,0.0686,0.0555,0.0554,0.0534,0.0609,0.0592,0.0714,0.0816,0.0801,0.0566,0.0537,0.0495,0.0429,0.0482,0.0602,0.0585,0.066,0.0747,0.0714,0.072,0.067,0.0632,0.0481,0.0434,0.0342,0.0325,0.0367,0.039,0.0427,0.0425,0.051,0.0648,0.0568,0.0506,0.0435,0.0323,0.0327,0.0346,0.0353,0.0398,0.0408,0.0398,0.0471,0.0604,0.0496,0.0363,0.0315,0.0298,0.0319,0.0345,0.0401,0.0397
1090,Harris County,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185,0.0153,0.0141,0.0168,0.0076,0.0087,0.01,0.0097,0.0106,0.0081,0.0071,0.0062,0.0056,0.006,0.0071,0.0082,0.0086,0.0091,0.0066,0.0082,0.0087,0.0071,0.0039,0.0046,0.0039,0.0061,0.005,0.0035,0.0038,0.0058,0.0056,0.0076,0.0073,0.0097,0.0095,0.013
2402,Maricopa County,Arizona,4,,,,,,,,,,,,,,0.2589,0.2461,0.2371,0.2352,0.2244,0.2173,0.1943,0.1822,0.2031,0.2001,0.2056,0.1896,0.1861,0.1976,0.1797,0.181,0.179,0.199,0.201,0.2062,0.2381,0.2271,0.2279,0.2206,0.1982,0.1803,0.1698,0.1665,0.1577,0.145,0.1384,0.1105,0.1039,0.1057,0.0978,0.0881,0.071,0.0676,0.064,0.0599,0.0508,0.0515,0.053900000000000003,0.0509,0.0529,0.0642,0.0531,0.0403,0.0411,0.0388,0.0314,0.0282,0.0259,0.025,0.0245,0.0258,0.0269,0.0324,0.027,0.0248,0.0235,0.023,0.0245,0.0292,0.0226,0.0224,0.0234,0.022,0.0251,0.0235,0.0233,0.0174,0.0142,0.014,0.0131,0.015,0.0128,0.0103,0.013,0.0125,0.0107,0.0099,0.0124,0.0113,0.0102,0.0083,0.0066,0.0084,0.0089,0.0122,0.0099,0.0102,0.0116,0.0122,0.0123,0.0108,0.0073,0.006,0.0042,0.006,0.0053,0.0057,0.0054,0.0069,0.0066,0.0067,0.0075,0.0064,0.0052,0.0036,0.004,0.005,0.0039,0.0045,0.0058
2841,San Diego County,California,5,0.2341,0.2423,0.2623,0.2863,0.294,0.3076,0.3555,0.3617,0.3777,0.4011,0.4246,0.4195,0.4201,0.3935,0.3613,0.3114,0.2955,0.278,0.2747,0.2495,0.2265,0.2571,0.274,0.2597,0.2416,0.2214,0.2024,0.2024,0.2049,0.2257,0.1947,0.2142,0.2081,0.2313,0.2528,0.25,0.2386,0.2069,0.2072,0.1999,0.1863,0.1921,0.1831,0.1889,0.1778,0.1874,0.187,0.1921,0.1522,0.1491,0.1374,0.1299,0.0971,0.0856,0.0724,0.0782,0.0672,0.0698,0.0827,0.0736,0.0542,0.0505,0.0383,0.0318,0.0218,0.0201,0.0172,0.0207,0.0181,0.0151,0.0187,0.024,0.0247,0.0207,0.021,0.0166,0.0141,0.0208,0.0157,0.0158,0.0193,0.021,0.029,0.0247,0.0245,0.0147,0.0173,0.0143,0.0163,0.0171,0.015,0.0161,0.014,0.0132,0.0213,0.0163,0.0149,0.0144,0.0117,0.0093,0.0103,0.0104,0.0071,0.0072,0.0116,0.0129,0.0124,0.0139,0.0083,0.0089,0.0071,0.0068,0.0062,0.006,0.007,0.0023,0.0081,0.0059,0.0066,0.0087,0.0056,0.0047,0.0051,0.0057,0.0032,0.0032,0.0059,0.004
1286,Orange County,California,6,0.1738,0.1766,0.1776,0.1948,0.2252,0.2256,0.2261,0.254,0.3021,0.2989,0.3057,0.2964,0.2751,0.2665,0.2497,0.1865,0.1804,0.1711,0.1432,0.1583,0.1473,0.1433,0.1535,0.1619,0.133,0.1308,0.1236,0.1191,0.1218,0.1273,0.1208,0.1278,0.1454,0.1702,0.1674,0.1704,0.1667,0.15,0.1385,0.1335,0.1226,0.126,0.1321,0.1421,0.1343,0.1443,0.1432,0.1402,0.143,0.1139,0.1152,0.0984,0.0717,0.067,0.052,0.0513,0.0418,0.0486,0.0518,0.0505,0.0322,0.0271,0.0237,0.0181,0.0134,0.0105,0.0107,0.0089,0.0115,0.0102,0.0119,0.013,0.0097,0.0094,0.0083,0.0082,0.0088,0.0094,0.0076,0.0056,0.0111,0.0119,0.0159,0.0118,0.0115,0.0131,0.0118,0.0094,0.0078,0.0079,0.008,0.008,0.0101,0.0071,0.0129,0.0098,0.0093,0.0091,0.0069,0.0089,0.0052,0.0048,0.007,0.0049,0.0071,0.0077,0.0075,0.0085,0.0071,0.0076,0.0035,0.0047,0.0029,0.0047,0.0017,0.0038,0.0061,0.0027,0.0033,0.0022,0.0025,0.0022,0.0023,0.0012,0.0016,0.0031,0.0021,
2964,Miami-Dade County,Florida,7,,,,,,,,,,,,,,0.2242,0.2351,0.1975,0.2038,0.2116,0.1849,0.1779,0.1684,0.153,0.1627,0.1644,0.1368,0.1411,0.1331,0.1611,0.1788,0.2427,0.2487,0.2479,0.2349,0.2412,0.2172,0.2325,0.206,0.1806,0.1392,0.1237,0.1075,0.1039,0.0933,0.0841,0.0876,0.0867,0.0972,0.0919,0.0888,0.0963,0.0873,0.1023,0.0955,0.0963,0.0961,0.0795,0.0823,0.0635,0.0753,0.0789,0.0776,0.0823,0.0667,0.0748,0.0768,0.0823,0.0797,0.0952,0.0759,0.0886,0.1082,0.1008,0.0683,0.0881,0.086,0.0898,0.0799,0.079,0.0905,0.0985,0.0787,0.08,0.1001,0.0939,0.0986,0.0825,0.066,0.0701,0.0574,0.0547,0.0434,0.0383,0.0256,0.0248,0.0164,0.0199,0.0115,0.0059,0.01,0.0113,0.0077,0.0065,0.0074,0.0062,0.0068,0.0064,0.0038,0.0036,0.0032,0.0021,0.0024,0.001,0.0026,0.0017,9e-4,0.0025,0.0013,3e-4,0.001,0.0018,5e-4,0.0016,0.0025,0.0032,0.0016,0.003,0.0017,7e-4
978,Dallas County,Texas,8,0.0764,0.072,0.0845,0.074,0.0756,0.0764,0.0961,0.0971,0.098,0.1008,0.1549,0.1341,0.1583,0.1544,0.1363,0.0894,0.1212,0.0939,0.1071,0.1162,0.098,0.1094,0.1342,0.1492,0.1262,0.1012,0.1119,0.1122,0.1295,0.128,0.1306,0.1331,0.1257,0.0871,0.1228,0.1255,0.1235,0.1149,0.1068,0.1102,0.1042,0.0971,0.0999,0.1135,0.0944,0.0944,0.1037,0.1204,0.0999,0.1055,0.1114,0.1046,0.1085,0.0927,0.082,0.0919,0.0993,0.0904,0.1106,0.087,0.0695,0.0591,0.0533,0.0466,0.0495,0.0404,0.0399,0.0374,0.0458,0.0509,0.0591,0.045,0.049,0.0421,0.0254,0.034,0.0239,0.0361,0.0321,0.0277,0.0367,0.0304,0.0383,0.0335,0.0382,0.0284,0.0289,0.0208,0.0256,0.0235,0.0256,0.0157,0.0175,0.0166,0.0208,0.017,0.0171,0.0147,0.0175,0.0162,0.0136,0.0113,0.0181,0.0071,0.0137,0.0112,0.0109,0.0093,0.0066,0.0063,0.007,0.006,0.0054,0.003,0.0041,0.0069,0.0038,0.0053,0.0039,0.0025,0.0045,0.0053,0.0033,0.0026,0.0044,0.0031,0.0025,
2832,Riverside County,California,9,,,,,,,,,,,,0.526,0.5056,0.527,0.5101,0.4641,0.4637,0.4511,0.4178,0.4239,0.3952,0.3783,0.378,0.3733,0.3668,0.3175,0.3138,0.2983,0.3179,0.3156,0.3196,0.331,0.3305,0.3233,0.3492,0.3339,0.2987,0.2978,0.2856,0.2907,0.2976,0.2987,0.2935,0.2785,0.2579,0.2701,0.2703,0.2512,0.2354,0.2234,0.2112,0.1984,0.1714,0.1593,0.1256,0.1098,0.1116,0.1021,0.1064,0.1163,0.1023,0.0852,0.0644,0.0564,0.0501,0.0385,0.0363,0.0322,0.0306,0.04,0.0407,0.0435,0.0376,0.0394,0.0359,0.041,0.0372,0.0388,0.0339,0.0358,0.0474,0.0361,0.0451,0.0451,0.0372,0.0355,0.0357,0.0345,0.0336,0.0303,0.0321,0.0258,0.025,0.0298,0.0258,0.035,0.0256,0.0273,0.0224,0.0198,0.0192,0.0177,0.0208,0.0168,0.0171,0.0177,0.0287,0.0268,0.0177,0.0184,0.019,0.0147,0.0165,0.0154,0.0132,0.0132,0.0128,0.0141,0.0171,0.0154,0.0143,0.0099,0.0094,0.0085,0.0054,0.0079,0.0071,0.0131
3250,San Bernardino County,California,10,,,,,,,,,,,,,,,0.5212,0.4956,0.4801,0.4749,0.4421,0.4402,0.4038,0.4081,0.4109,0.4132,0.3785,0.3759,0.3416,0.3147,0.3549,0.3408,0.3285,0.3666,0.3558,0.3606,0.3712,0.3674,0.3531,0.3377,0.3307,0.3262,0.3123,0.3186,0.3049,0.311,0.2775,0.288,0.3182,0.2859,0.2681,0.2542,0.2576,0.2229,0.2006,0.1711,0.1478,0.1512,0.146,0.1399,0.1555,0.1599,0.121,0.1139,0.1025,0.0844,0.069,0.0602,0.0488,0.0406,0.0562,0.0455,0.0597,0.0777,0.0625,0.0525,0.0519,0.0506,0.0523,0.0474,0.0393,0.0344,0.0528,0.0377,0.0556,0.0616,0.0474,0.0457,0.0389,0.044,0.0421,0.0418,0.0385,0.044,0.0393,0.0368,0.0416,0.0407,0.0412,0.0432,0.0397,0.0238,0.0316,0.0255,0.0283,0.0286,0.022,0.025,0.032,0.033,0.0305,0.0211,0.0198,0.0174,0.0212,0.0139,0.0145,0.017,0.0168,0.0185,0.0236,0.0213,0.0229,0.0205,0.0158,0.0147,0.0172,0.0102,0.0158,0.0165
