RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10
9,California,1,,,,,,,,,,,,0.4402,0.4263,0.4185,0.3965,0.3542,0.3369,0.3347,0.3152,0.301,0.2875,0.2855,0.3097,0.3114,0.2867,0.2658,0.2442,0.2377,0.2473,0.2492,0.2518,0.2625,0.2671,0.2762,0.2982,0.2951,0.2791,0.258,0.2468,0.2439,0.237,0.2351,0.2304,0.2323,0.218,0.2265,0.2365,0.2294,0.2086,0.1945,0.1862,0.1623,0.1395,0.1221,0.1017,0.0963,0.0976,0.0895,0.1056,0.1062,0.0819,0.0741,0.0592,0.0486,0.04,0.0326,0.0294,0.0269,0.0303,0.0341,0.0377,0.0432,0.0359,0.0319,0.0304,0.0293,0.0279,0.0269,0.0273,0.0271,0.0289,0.0291,0.0381,0.0384,0.0323,0.0267,0.0236,0.0231,0.0225,0.0207,0.0211,0.0219,0.0203,0.0215,0.0247,0.0262,0.023,0.0196,0.0182,0.0146,0.0144,0.0143,0.0142,0.0131,0.0142,0.0155,0.0189,0.0179,0.0156,0.0138,0.0114,0.0099,0.0095,0.0087,0.0087,0.0089,0.0088,0.0096,0.0113,0.0107,0.0097,0.0079,0.007,0.0069,0.0067,0.006,0.0069,0.0083
54,Texas,2,0.0579,0.0576,0.0569,0.0527,0.0487,0.0531,0.0591,0.062,0.0637,0.0729,0.0863,0.0744,0.0724,0.0683,0.0612,0.0516,0.052,0.0506,0.0584,0.0569,0.0577,0.0691,0.0837,0.0814,0.0725,0.0607,0.0572,0.0543,0.0621,0.0667,0.0725,0.0708,0.0651,0.0598,0.0801,0.0744,0.0657,0.0613,0.0563,0.0531,0.0518,0.0488,0.0532,0.0533,0.0492,0.0493,0.0625,0.0665,0.0576,0.0568,0.0559,0.0523,0.053900000000000003,0.0492,0.0498,0.051,0.0545,0.0485,0.0609,0.0506,0.0424,0.0339,0.0304,0.0278,0.0249,0.0242,0.0243,0.0272,0.0268,0.0292,0.0356,0.0327,0.0278,0.0247,0.02,0.021,0.0173,0.018,0.0195,0.0187,0.0225,0.0221,0.026,0.0242,0.0223,0.0223,0.0186,0.0164,0.0146,0.0169,0.0166,0.0171,0.0163,0.0157,0.0181,0.0183,0.0153,0.0129,0.0125,0.0119,0.0109,0.0097,0.0103,0.0089,0.0107,0.0087,0.0136,0.0105,0.0101,0.011,0.009,0.0081,0.0081,0.0077,0.0079,0.008,0.0075,0.0079,0.0096,0.0079,0.0077,0.0074,0.0065,0.0066,0.0066,0.0069,0.0069,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0123,0.0127,0.0117,0.0147,0.0102,0.0079,0.0067,0.0053,0.0042,0.0046,0.0048,0.0032,0.0048,0.0037,0.0039,0.0041,0.0039,0.0038,0.0034,0.0028,0.0025,0.0029,0.0036,0.003,0.0025,0.0025,0.0021,0.0019,0.0018,0.002,0.0022,0.001,0.001,9e-4,6e-4,0.0027,0.0015,0.0012,0.0013,0.0017,0.0021,0.0019,0.0018,0.0018,0.0023,0.0025,0.0049,0.0031,0.0031,0.0037,0.0054,0.0041,0.0044,0.0057,0.0047,0.0031,0.0029,0.0028,0.0029,0.0035,0.0033,0.0031,0.004,0.0048,0.0046,0.0053,0.0047,0.0036,0.0033,0.0032,0.005,0.0036,0.0031,0.0036,0.0042,0.0051,0.0032,0.0047,0.0043,0.0042,0.0032,0.0028,0.0035,0.0036,0.0038,0.0037,0.0032,0.0037,0.0046,0.004,0.0032,0.0033,0.0027,,
14,Florida,4,,,,,,,,,,,,,,0.0794,0.0779,0.0759,0.0722,0.0749,0.0756,0.078,0.072,0.0706,0.0858,0.0785,0.072,0.0705,0.0666,0.0769,0.0877,0.099,0.1086,0.108,0.103,0.1115,0.1206,0.105,0.097,0.0815,0.0696,0.0659,0.0614,0.065,0.0658,0.0638,0.0623,0.0588,0.0682,0.0587,0.0545,0.0558,0.0498,0.0563,0.0586,0.0574,0.0556,0.0481,0.0514,0.0434,0.0493,0.0493,0.0445,0.0414,0.0399,0.0424,0.0415,0.0422,0.0438,0.0489,0.044,0.0481,0.057,0.0517,0.0497,0.0454,0.0427,0.0437,0.0413,0.0468,0.0482,0.049,0.0444,0.0468,0.0565,0.0516,0.0447,0.0413,0.0358,0.0367,0.0387,0.0393,0.0377,0.0355,0.0331,0.0305,0.0332,0.0314,0.0261,0.0221,0.02,0.0165,0.016,0.0123,0.012,0.0112,0.0101,0.0078,0.0075,0.0063,0.0043,0.0038,0.0029,0.0026,0.0031,0.0034,0.0031,0.0028,0.0031,0.0026,0.0023,0.003,0.0028,0.0028,0.0027,0.0029,0.0028,0.0027,0.0028,
21,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1255,0.132,0.1438,0.1277,0.1251,0.1089,0.0749,0.064,0.057,0.0469,0.0555,0.0547,0.0566,0.064,0.0736,0.0744,0.0773,0.0566,0.05,0.0459,0.0387,0.041,0.0504,0.0484,0.0526,0.0619,0.062,0.065,0.0562,0.0523,0.0397,0.0354,0.0322,0.0282,0.0352,0.0347,0.0385,0.0394,0.0515,0.0511,0.0473,0.0385,0.031,0.0242,0.0255,0.025,0.029,0.0297,0.0327,0.0315,0.0386,0.0445,0.0382,0.032,0.0263,0.0231,0.0247,0.025,0.0302,0.031
47,Pennsylvania,6,0.0396,0.0408,0.0362,0.033,0.029,0.0274,0.0341,0.0389,0.0448,0.0496,0.0578,0.0598,0.0583,0.0525,0.0472,0.0377,0.0354,0.0342,0.0403,0.0395,0.0324,0.0433,0.0624,0.0591,0.0501,0.0475,0.0411,0.0316,0.0481,0.053900000000000003,0.0548,0.056,0.0535,0.0537,0.0695,0.087,0.0773,0.0668,0.053900000000000003,0.0519,0.0444,0.0464,0.049,0.052,0.0496,0.0531,0.0567,0.0648,0.0651,0.0561,0.044,0.0385,0.0426,0.0431,0.0442,0.0462,0.0443,0.0413,0.0548,0.0612,0.0563,0.0528,0.0454,0.0398,0.0413,0.041,0.0445,0.0451,0.0476,0.0511,0.0644,0.0688,0.0638,0.0542,0.0448,0.0404,0.0355,0.0354,0.0415,0.044,0.0467,0.0477,0.0567,0.0664,0.0585,0.0571,0.0511,0.0418,0.044,0.0451,0.0453,0.0498,0.0489,0.051,0.0604,0.062,0.0633,0.0502,0.0448,0.0349,0.0338,0.0352,0.0379,0.0354,0.0402,0.0371,0.0454,0.0501,0.0492,0.0414,0.0356,0.0305,0.0287,0.0329,0.033,0.0377,0.0332,0.0343,0.0379,0.0431,0.0384,0.0345,0.0279,0.0226,0.0218,0.0229,0.0229,
44,Ohio,7,0.0823,0.0869,0.072,0.066,0.0649,0.0683,0.0769,0.0786,0.0946,0.1061,0.1173,0.1216,0.11,0.1028,0.0916,0.0761,0.074,0.0737,0.0752,0.0768,0.0861,0.0993,0.1179,0.1269,0.1096,0.0956,0.0845,0.0734,0.1037,0.1019,0.1049,0.0974,0.1019,0.1126,0.1224,0.1289,0.10780000000000001,0.097,0.081,0.0713,0.0765,0.0738,0.0759,0.0849,0.0853,0.0836,0.0947,0.0969,0.0923,0.084,0.079,0.0732,0.0799,0.0787,0.0856,0.0936,0.0978,0.1029,0.1248,0.1409,0.1341,0.1189,0.1064,0.1011,0.0988,0.0929,0.0878,0.0931,0.0923,0.0963,0.1042,0.1072,0.0895,0.0803,0.0658,0.0584,0.0548,0.0538,0.0634,0.0662,0.0738,0.0727,0.1007,0.1003,0.093,0.0821,0.0657,0.055,0.0578,0.0561,0.0585,0.0623,0.068,0.0665,0.0754,0.0729,0.0607,0.0487,0.0442,0.0404,0.0366,0.0406,0.0408,0.0425,0.0457,0.0495,0.0591,0.0627,0.0505,0.0432,0.0413,0.0378,0.0408,0.0372,0.0454,0.0408,0.0472,0.0487,0.0576,0.0523,0.0473,0.0371,0.0316,0.0289,0.0323,0.0267,0.0259,
30,Michigan,8,0.1328,0.1374,0.1325,0.1338,0.1257,0.1337,0.1339,0.1444,0.1423,0.1603,0.1779,0.1669,0.1567,0.1636,0.1626,0.1409,0.1277,0.1299,0.1301,0.1226,0.1052,0.1207,0.1391,0.145,0.1439,0.1241,0.1052,0.0985,0.1073,0.1152,0.1261,0.1279,0.0891,0.1069,0.1334,0.1316,0.1222,0.1064,0.1091,0.0938,0.0863,0.087,0.088,0.085,0.06,0.0891,0.0904,0.092,0.0914,0.0817,0.083,0.0738,0.0718,0.0694,0.0665,0.0624,0.0394,0.0634,0.0754,0.0787,0.0782,0.0803,0.0735,0.0637,0.0576,0.0589,0.0491,0.047,0.0305,0.0473,0.0533,0.0515,0.0485,0.0512,0.0378,0.0352,0.0294,0.0292,0.0263,0.0254,0.018,0.0297,0.0363,0.0429,0.0399,0.0376,0.0316,0.0259,0.025,0.0245,0.026,0.0273,0.0237,0.0323,0.0387,0.0463,0.039,0.0343,0.0274,0.0289,0.024,0.0222,0.0223,0.0249,0.0252,0.0238,0.031,0.0274,0.0269,0.022,0.0204,0.0173,0.0163,0.0161,0.0173,0.0174,0.0199,0.0197,0.0224,0.0306,0.0262,0.0252,0.0209,0.0165,0.0166,0.0151,0.0145,
16,Georgia,9,0.1119,0.1244,0.1207,0.1267,0.1326,0.1178,0.1408,0.1619,0.1571,0.1769,0.24,0.2084,0.2242,0.2193,0.2337,0.217,0.1977,0.2061,0.1966,0.1969,0.2041,0.2089,0.2514,0.2353,0.2197,0.1927,0.1729,0.1815,0.1857,0.2063,0.1992,0.1584,0.1381,0.1463,0.1576,0.1554,0.1538,0.1417,0.1475,0.1436,0.1493,0.1195,0.1018,0.1061,0.1035,0.1027,0.1405,0.1338,0.1303,0.1236,0.1219,0.1218,0.1156,0.1125,0.1059,0.1066,0.1015,0.0964,0.1064,0.1107,0.1008,0.088,0.0764,0.0677,0.059,0.0595,0.0581,0.0599,0.0682,0.0639,0.0704,0.0732,0.0611,0.0579,0.0484,0.0451,0.0434,0.0433,0.0476,0.0467,0.0518,0.0493,0.0576,0.0597,0.0541,0.0468,0.0567,0.0466,0.0478,0.0446,0.0377,0.0405,0.0511,0.0377,0.0472,0.0431,0.0381,0.0321,0.0253,0.0253,0.0253,0.0297,0.0279,0.0303,0.0275,0.0308,0.0396,0.0353,0.0322,0.0269,0.024,0.0216,0.0219,0.0242,0.0221,0.0244,0.0252,0.0196,0.0239,0.0218,0.0179,0.0157,0.015,0.0134,0.0127,0.0135,0.014,
36,North Carolina,10,0.0651,0.0657,0.0599,0.0576,0.0619,0.0705,0.0829,0.0888,0.097,0.108,0.1263,0.1186,0.1161,0.1112,0.0967,0.0804,0.0762,0.0833,0.0945,0.0932,0.0941,0.1004,0.1234,0.132,0.1361,0.1194,0.1085,0.111,0.1302,0.1335,0.145,0.1388,0.1322,0.1504,0.1605,0.1764,0.1632,0.1415,0.1298,0.1135,0.1014,0.0999,0.1041,0.104,0.0988,0.1037,0.1263,0.1454,0.1239,0.1149,0.111,0.1053,0.1084,0.1139,0.1035,0.102,0.0924,0.0855,0.1049,0.1126,0.0882,0.079,0.0663,0.0668,0.0662,0.0655,0.0648,0.0726,0.0786,0.0853,0.0962,0.0951,0.0791,0.0723,0.0614,0.0549,0.0563,0.0511,0.058,0.0561,0.0568,0.0577,0.0705,0.0685,0.0616,0.0444,0.0368,0.0349,0.0317,0.034,0.0348,0.0336,0.042,0.0328,0.0376,0.0408,0.0345,0.0284,0.0263,0.024,0.0209,0.0256,0.0258,0.0257,0.0262,0.0272,0.0307,0.0296,0.0233,0.0178,0.0171,0.0153,0.0161,0.0177,0.0162,0.0179,0.0186,0.0183,0.0224,0.0255,0.0185,0.0186,0.017,0.0151,0.014,0.0131,0.0148,
