"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"California",1,315.217391304348,315,316.538896591987,318.413021363174,319.449127144677,320.493827160494,318.342985735119,316.420321731522,308.304326205868,304.595288410336,300,292.806456423514,289.708690072901,296.844254518527,293.673356527715,291.904218928164,294.058911632551,290.060093525627,286.016949152542,282.345903351291,282.29797979798,278.523489932886,274.192565508836,269.390217655232,267.695841356294,271.945357955983,272.771585627373,279.274611398964,282.678429111046,286.667015324028,288.99277518062,289.526686807654,291.375291375291,289.038262668045,289.411764705882,281.73618940248,282.569883886804,293.453724604966,301.418439716312,311.801443515729,319.981419516174,318.881118881119,321.990075207819,316.859415046204,316.191983122363,313.31592689295,308.850944665268,305.557913601207,301.943844492441,305.939580133129,314.529220779221,319.229610370873,324.074074074074,322.648587062794,318.590704647676,314.031378983309,314.006307624282,314.224137931034,313.183730715288,302.486187845304,302.183972784824,308.100289296046,313.360824742268,314.29745275267,319.526788142507,322.864583333333,317.508315693982,320.805734058329,321.722772277228,322.326102977682,323.283521136474,320.7343412527,318.568969302623,330.714623757691,335.768115942029,342.607701484624,344.364937388193,346.250787649653,344.21768707483,343.511450381679,345.238095238095,347.033517258808,348.002440029558,341.236543560071,346.020761245675,353.744815808734,360.627409632437,366.748166259169,365.656037637219,364.733489775394,365.744507729862,365.660967240472,368.283503114964,370.14682919065,368.662900188324,362.218999274837,361.369193154034,371.425440999233,378.326701320813,382.926829268293,382.089382560838,384.263494967978,382.976051807602,380.690187431091,385.740905206217,389.557135046473
"Texas",2,115.329712004474,115.231926730783,115.21207177814,115.067589845038,114.711447492904,114.024037012281,114.05888068913,113.13185164985,110.719342846664,110.379858657244,110.147068802119,109.266024576553,108.189281145555,108.552301718129,108.767303889255,109.626519560981,109.677419354839,107.702349869452,107.539226942212,107.360861759425,109.720176730486,109.828300769686,109.855769230769,109.801202034212,109.9792878961,109.732275656916,110.332455960864,111.234330616627,111.344770337576,111.326757874642,110.951008645533,110.924957698413,111.714836223507,111.566297329316,111.683848797251,112.035225048924,111.940111940299,112.458333333333,113.31983805668,114.298593730022,114.791430277271,115.250544662309,116.103507271172,116.425571628558,117.541248016922,118.126554726368,118.708540023722,118.600140911226,118.997236125349,119.898872218895,120.129258385627,122.167487684729,122.116230920956,121.924594483284,122.820719086864,123.519509530463,124.476692897746,125.346219872722,125.735168773804,127.346072186837,127.839065541856,128.281145902732,128.945371775417,129.746835443038,129.652402882112,129.955947136564,130.010157440325,130.105501813785,130.763515870248,131.578947368421,131.615598885794,132.33368907862,132.747310417213,135.551684532925,135.879218472469,136.441409794795,137.034029675661,136.473325062035,136.611611611612,137.438724017782,137.639965546942,137.999445676275,138.201926507314,138.479696645968,138.781548250265,139.426656738645,140.269886363636,140.909865470852,141.023994414696,140.892832049464,140.627274709571,140.114894213255,140.69988588817,140.606226105953,140.361693382655,140.664961636829,141.249120655246,142.542748355832,144.170138888889,145.602783219354,145.989864892748,145.732155006485,146.076377295492,145.928571428571,146.777281429483,146.864240057284
"New York",3,258.458646616541,253.364090734333,257.209062821833,256.857142857143,268.346923647146,268.366192170149,268.338882554446,264.109347442681,269.84126984127,272.775423728814,274.753640776699,273.109243697479,273.311091611479,267.741935483871,277.811535325803,276.250400394456,268.508138183026,263.182899899428,260,256.298449612403,255.788314879224,255.982905982906,255.268761471008,257.207853841438,255.622904693487,261.467820246025,258.226835275554,264.95,264.228269278507,256.666666666667,256.084451372265,252.073566534439,261.545293072824,266.592684601713,261.904761904762,269.632893704191,275.574940523394,276.711738782051,279.440325467312,270.832916666667,263.894363421364,256.415321804496,251.881549136222,249.479383590171,252.020202020202,257.142785714286,279.89417989418,282.547169811321,291.176470588235,291.666666666667,294.642857142857,291.916704153546,296.640752864157,306.829268292683,300,303.862132321601,306.502281502282,312.401883830455,314.285714285714,328.83656412786,345.141365310564,336.454579475443,332.454625679225,327.788684584742,324.583333333333,320.819737244119,318.834088446765,316.024580952719,321.556350626118,335.691545808277,343.75,352.77516462841,392.587939698492,401.491034259771,376.01508257261,389.566395663957,366.666,360.565998931624,346.32012987013,349.5,359.448857736241,369.451286261631,384.501626737652,390.744034808403,404.199475065617,416.025641025641,410.36221916552,405.555555555556,387.902720237828,377.245508982036,370.322580645161,364.144691138467,374.75,381.54007604849,394.50770261219,408.695652173913,419.87777837663,406.308147931239,385.168447000822,387.87023977433,384.614871794872,373.555330312425,364.838221538378,363.636363636364,373.75,382.424515946338
"Florida",4,185.607304243925,183.176771989752,181.07476635514,179.710217302634,179.914077739401,177.516897901103,176.940133037694,175.245441795231,173.091458805745,172.490453013045,172.308091217006,171.43907581314,169.914343983685,174.825174825175,169.617324525723,166.111111111111,165.137614678899,162.598171284679,162.049137480397,162.615885742922,166.37856525497,168.071161048689,167.096774193548,170.641993043057,168.315789473684,167.981072555205,167.652250661959,167.737296260786,165.332725603705,163.664987405542,164.419699286947,164.456860906379,165.882352941176,165.719696969697,167.111789448523,170.287660862983,171.727578011624,171.254369305689,173.469387755102,174.056877539176,169.918699186992,170.068027210884,170.491181490613,168.648847810049,168.685121107266,170.068027210884,176.594623089088,178.620749395007,178.751505983681,178.429817605075,177.032371411483,177.881355932203,174.603174603175,173.469387755102,174.052208885975,173.555840821566,173.775671406003,174.662668665667,176.380948621373,180.624717066546,181.042107877535,181.818181818182,175.434609250399,176.031702272045,179.842810910772,178.207518516803,176.136363636364,178.22270981898,179.608464621982,183.307332293292,185.95041322314,189.461219656602,190.424374319913,198.844933190483,199.101796407186,198.675496688742,196.468484577559,196.145412286678,195.120914531173,194.11003236246,198.543849954701,201.958384332925,205.340027384756,208.258853546653,214.220674879486,215.58872305141,213.717339667458,213.026444662096,210.928319623972,210.327845073169,209.662901417605,209.855792906466,210.117735221371,211.738964821112,214.446952595937,219.693997646136,221.290879252948,221.352628470171,223.145780051151,224.137931034483,222.530200841396,221.202064896755,220.692532332082,220.413541536325,221.704394141145,224.213364830237
"Illinois",5,191.409427386043,190.217391304348,189.488944254552,189.988555612087,188.051323175621,188.636363636364,187.020169160703,186.109603906674,181.962488121341,182.87009681635,180.756419111657,179.425983373352,177.60152284264,178.299082975595,176.338863653003,176.264521263145,174.293154761905,172.448247995586,170.333096169629,167.490537084399,167.095238095238,165.594763112499,163.975570679848,163.670179789213,163.222263132057,163.722417415912,162.298142746217,163.788395904437,162.574651625747,164.508722150091,161.437029063509,160.140562248996,159.546828357411,158.704499486898,159.001051998798,158.194598436926,158.871822033898,161.754046871225,164.725378787879,166.666319444444,168.918918918919,170.090901698685,169.810339753442,169.908366533865,170.939189189189,169.612995699952,168.85406265774,167.934344140477,167.578857521402,169.871794871795,172.924901185771,175.957645593273,177.440828402367,178.96174863388,178.324610390418,177.184466019417,177.62108215041,177.625503752527,176.782662682044,175.535714285714,175.143061626054,178.890876565295,181.055555555556,183.104395604396,185.541506322155,186.370829818238,185.138510344909,183.568191137276,183.205689277899,183.719615602035,183.875530410184,182.531953743153,183.239172374732,186.634321926489,188.178451493745,188.942038504608,189.775367931836,189.451476793249,188.615018471157,187.826797385621,188.848321342926,189.230769230769,189.561019984065,188.614800759013,189.668071654373,192.755227948692,194.342604298357,194.610726715052,194.837517739975,195,193.693156827089,192.023101294951,191.818091358116,192.807441036807,192.949203942381,191.913743522325,193.111678004535,196.078431372549,203.685185185185,206.467661691542,206.599894942211,205.27209135664,205.817222910562,205.428411736976,206.666666666667,206.944514311183
"Pennsylvania",6,151.796558704453,151.597045101089,152.702702702703,151.209677419355,150.405092592593,149.550013892748,149.293425149773,148.277511961722,147.250859106529,146.832369076222,146.281800391389,144.880174291939,144.182692307692,143.180597597891,143.851851851852,144.717094387889,144.510698000701,143.107104984093,142.221591488927,141.6747830236,141.715422994458,140.845070422535,140.356361362926,140.21259175607,140.31950857249,140.273503907396,140.876024590164,140.570934256055,140.407649723201,140.184501845018,139.87842259212,139.080282701959,138.977554134763,139.422288286966,139.055636896047,138.698142414861,138.779688779689,140.104506858263,141.559829059829,141.975590128755,143.133383286842,143.846193415638,142.195266682666,140.350877192982,140.502555366269,140.901050788091,141.678700869174,141.754670999188,141.394422310757,138.983957219251,141.238843447779,142.555411402636,143.040238450075,142.947517526169,141.357071786557,141.179382849865,141.661607142857,141.035086893937,141.206741020174,140.698172198172,139.789776357827,140.798952193844,144.027777777778,145.025839793282,146.102564102564,145.666085723228,144.965909090909,143.919510061242,141.701855135482,144.278522497867,144.331550802139,143.962757033127,143.501458435034,146.174863387978,146.679183290307,150.120216510152,150,147.493837304848,148.387315973826,147.670501815157,147.024221453287,144.595571622232,146.75592933523,146.678170836928,146.875,148.134328358209,146.443514644351,148.026315789474,151.606731352335,152.505771030467,151.365875503807,150,151.310454631605,152.640720248495,152.297537446052,151.79392824287,152.173913043478,152.83273381295,154.937149152516,155.498783845362,156.775153800357,157.465541148187,158.581116327595,158,158.952765111517,159.313725490196
"Ohio",7,111.666666666667,111.815000934929,111.836055208513,112.469586374696,112.443181818182,112.21928665786,111.90119760479,111.355115158007,110.906515580737,110.357330629413,110.005558643691,109.186870125873,108.493490390577,108.867454884879,108.338350391331,108.604837755319,108.497807017544,107.892491467577,107.246928934657,106.73795578842,106.875477463713,106.575829383886,105.985675495598,105.4829386144,105.802919708029,105.769230769231,106.25,106.573217285603,106.851174518474,106.768005790807,106.673033601403,106.274281274281,106.322843822844,106.300160513644,106.274281274281,106.043969849246,105.973154911058,107.107142857143,107.728706624606,108.650362318841,109.640765382583,109.797829758342,110.105638744323,109.835382871097,109.988815437272,107.710727969349,110.328014184397,110.448232323232,110.510582134018,112.067662235441,112.65164644714,112.657677250979,113.569518716578,114.204112718964,113.907659777478,113.758748834583,113.570644790469,113.704071499503,113.912630579297,113.772006547519,114.217708663916,114.882032667877,115.77021649417,116.550138345578,117.379003513417,118.021844660194,117.856276426145,117.785714285714,117.803690227009,118.100479094361,117.820945945946,117.67955260777,118.183070756555,119.797436573762,120.737427824012,121.780742459397,122.631133671743,123.182957393484,123.139377537212,123.395853899309,123.623761176062,123.674911660777,123.648229465107,124.201355275895,124.78152309613,125.647180841651,126.033467103887,127.086788280818,128.106987253337,128.11150415361,128.670229394153,128.022508402202,128.25897013641,128.24760338756,128.94034874889,129.664310954064,130.563749684996,131.89448441247,132.488677705514,133.801581033372,134.831538314091,135.55996284943,135.334645669291,135.275229357798,135.87392555723,135.619192083939
"Michigan",8,115.34308277842,114.153219687389,113.547376664056,113.779527559055,113.916736357162,113.108454312553,112.5,112.021523908774,111.481854431658,111.42061281337,111.201893051653,110.008628127696,109.654515503574,110.073409461664,109.883720930233,109.467918622848,110.232843137255,110.655098917401,110.654981549816,110.642857142857,110.161128058675,109.933333333333,109.623024892038,110.016510731976,109.855618330195,110.159895881751,111.010258233468,111.118195223607,112.335766423358,113.642564802183,114.295925661187,114.166666666667,114.720558882236,114.543851917144,114.924379793421,115.933173968888,116.385331781141,117.364630568152,118.944539938349,120.626457847384,122.648261758691,124.141583027495,125,126.910016977929,127.864344637947,127.671775845048,127.44966442953,127.874302766243,128.648233486943,129.248658318426,129.669634297416,131.806196440343,133.78169621733,134.014540187725,134.111361079865,134.06347787215,134.928534390308,134.37019969278,134.533648170012,134.944444444444,134.848484848485,136.603375527426,137.411261579678,139.311475409836,140.354767184035,140.766294463478,140.350877192982,140.297395894026,140.449438202247,140.952380952381,141.176470588235,141.989815902859,142.335073564309,143.135095447871,144.285714285714,145.319354614515,147.099770529591,147.482638888889,146.784486990673,146.904462948277,146.281800391389,146.427033345638,146.605062274006,145.975443383356,146.516939474686,147.564565600797,149.375414484838,151.760332689712,152.705518018018,154.166666666667,153.590713004702,153.535329714982,153.926096997691,153.432343234323,153.888888888889,154.053148929237,153.558627752176,156.045156591406,157.336956521739,156.383129964489,159.688602765856,160.578246902249,160.630630630631,160.140681781274,160.077305356157,160.470669981287
"Georgia",9,124.297297297297,124.219966900312,124.782625648224,125.434279112878,124.39082656072,122.950819672131,123.196887657448,122.099679370672,121.340523882897,120.359019264448,119.192307692308,118.148148148148,116.621654799902,116.820159834325,115.480591497227,114.950675675676,114.609053497942,113.433108979262,112.697537257207,111.969111969112,111.788617886179,110.912205647509,110.520707784844,109.757777044528,109.096633615864,110.24770953512,109.518013631938,108.892181069959,109.726519352578,109.61958073351,109.809663250366,109.270161290323,109.965380011969,110.673162090345,111.428316531359,111.025040660925,110.886580852838,111.377447670493,112.344749717727,113.576449912127,114.700374531835,115.340253748558,115.384615384615,114.798509989841,114.891736632788,114.759475218659,115.168970814132,114.948453608247,115.057544757033,115.997169250726,116.530444003826,118.997964095172,119.192407495389,119.425765176709,119.305856832972,119.399136336404,120.394545982013,120.264255724223,119.396360408344,120.380910683012,120.800395256917,122.237423601316,123.107569721116,124.007936507937,124.060668734919,124.44,123.884389994121,123.279158699809,123.101265822785,123.849157802316,124.280821917808,123.939393939394,124.545236535492,126.614391143911,128.125,129.95,131.080440981761,130.464367816092,131.352087114338,131.914893617021,132.45,133.663233970456,133.616118798079,133.263182677327,133.567857405401,135.317192062726,137.303149606299,138.168171093001,138.8,138.712241653418,138.882809950668,139.240506329114,140.247943836042,141.166281755196,140.69724843777,141.148025970967,142.1484375,143.113342898135,145.956079271559,148.052278309019,148.086892125401,148.692307692308,149.89376125777,149.49488443361,149.770915877216,151.136993899057
"North Carolina",10,137.471655328798,136.539008799965,136.435833708396,136.241584129868,134.418743616289,133.970831917668,134.149211579195,131.899350649351,130.868557965012,131.637661758144,131.433494425358,130.340017436792,128.458417849899,128.375094410898,128.076842022075,127.932551319648,127.747252747253,126.955141768938,126.852230863692,126.810428065658,127.35529592114,126.766507213436,126.1477652782,126.128518321827,125.5930784259,124.895135442091,124.952206800317,125.466284074605,125.245386729486,125.098932701403,124.75,124.68142186452,124.833116601647,124.859462835728,124.504321301474,124.082802712637,123.761904761905,124.013908237968,125.138019874862,126.391458560493,126.185958254269,127.271614554356,127.043598416103,126.982041173894,126.981419696272,126.905525846702,126.587637595258,123.998091603053,124.414283558993,125.19056261343,125.257602412667,126.644169276022,127.648766328012,127.534685165422,126.822392267418,128.085700978109,128.70808323052,129.720930432064,128.831716065582,128.459206318474,127.752990181833,128.214416920332,130.174477064683,132.071428571429,133.481152993348,133.503535225918,133.657403167491,134.113724476609,133.534020367515,134.633006266294,134.073149252196,134.323640960809,134.1992544858,137.666325486182,138.501619966232,139.705882352941,140.168970814132,139.294162533384,139.44654906386,139.806547619048,140.277777777778,141.273636166051,140.920543134534,140.762019957666,141.131661019759,141.637294446168,141.789882001647,143.765133171913,144.389804574436,143.524796741304,143.628995947771,143.675407805079,144.162612925643,145.370131240822,145.408157043435,145.315270935961,145.925597874225,146.49930550471,148.560907176136,149.98053185911,149.962321024868,150.822669104205,151.162790697674,151.183172655565,152.361922141119,152.549019607843
