"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"California",1,149900,150000,150000,154000,154900,156900,156500,159000,159000,157288,155000,153000,150000,139000,149819,149000,149000,145000,139900,140000,139000,135000,134900,134500,129900,130000,129900,129900,130000,129900,129900,129900,125000,129900,125000,129000,129000,130000,134500,135000,139950,148000,150000,154900,160000,164850,164900,159000,159900,159900,167000,170000,175000,179900,180000,180000,180000,179900,179000,170000,179900,175000,179900,179000,189500,195000,195000,199000,199900,199000,195000,194900,193950,195000,199000,201500,205000,210000,215000,219900,219900,219900,217000,209000,205000,209900,219900,224900,230000,229900,235000,238000,239000,239900,238000,225000,225000,225000,239950,247500,249000,249900,255000,259000,260000,265000
"Texas",2,75000,75000,76900,78000,77500,76500,75000,75000,75000,75000,74999,72900,69900,66900,69000,69000,68900,68000,65500,65000,64000,63000,59900,59900,57500,58500,59500,59500,59900,59900,59900,59900,59500,59900,59000,59000,59000,58900,59000,59000,59000,59900,59700,59900,59000,58000,58500,59000,58900,59000,59000,57000,55000,57000,56410,59900,59500,59000,59000,59000,59900,59900,59000,59000,60720,64900,64800,65000,65000,65000,64500,65000,65000,65000,65000,67000,67500,69000,70000,70012.5,71100,70541,74000,75000,73500,74000,75000,75000,78900,78957,79900,80000,77500,79900,79900,79900,79000,79900,80000,82500,85000,85000,88500,89900,89900,89900
"New York",3,165999,165000,175000,174900,175000,175000,175000,169000,169999,159000,159000,155000,155000,139000,149900,150000,149900,145700,145000,145000,142000,139900,134900,130000,125000,129900,129999,129000,129900,129800,125000,125000,124900,125000,126000,129900,129880,129900,129990,125000,125000,119000,110000,115000,115000,110000,115000,118000,119000,128990,121900,119900,119000,120000,119500,119900,119900,119000,115000,115000,115000,114900,115000,110000,114888,109000,105000,99999,99900,99900,99900,99900,99900,99900,99900,99999,101000,102000,97500,95000,94900,92900,92000,89900,89900,90000,94500,94900,94900,92900,94900,94900,95000,95000,94900,94900,97500,99900,1e+05,1e+05,99900,99900,99900,99800,99000,99000
"Florida",4,65000,65000,65000,65000,64900,63500,63000,63000,62000,60000,59900,59900,59000,54900,55000,55000,54900,50000,50000,49900,49900,49900,49900,49000,49000,49750,49500,49500,49900,49900,49900,49900,49800,49990,49900,50000,50000,52000,52000,52000,51900,52500,52000,51900,52900,53000,54500,54000,55000,55000,55000,55000,55000,54900,55000,57000,57000,57500,57500,57504,59000,56900,54900,55000,59900,59900,59000,57500,57900,57000,56700,56000,57900,59000,59900,59900,59995,60000,59999,61900,60000,60000,62500,63900,65000,65500,68000,66900,65000,65000,65000,65800,65000,69900,69900,69900,72000,75000,77900,78000,79000,79000,78000,79000,79000,79900
"Illinois",5,84900,85000,87000,89000,85000,84900,84000,84000,84000,79900,79900,78900,75900,69900,74900,74000,73900,70000,69900,69000,69000,65000,64900,64000,59900,60000,60000,59900,59900,59900,59900,59900,59900,59900,59900,59900,59500,59900,59900,59900,59900,59740,59500,59000,59900,59895,59700,59000,58500,59000,59900,59900,62000,62900,62500,64000,64000,64900,64900,64500,64900,64900,65000,66000,69900,69900,69900,69900,69002,68888,67000,67500,67000,67820,67500,68900,68300,69000,69900,69900,69500,69000,68000,66000,65900,66900,69000,69900,70000,73900,72900,74000,72900,72100,70000,70000,69900,69995,73170,77000,79000,79000,79900,79900,79500,79204
"Pennsylvania",6,75000,75000,75900,77000,75000,75000,75000,75000,75000,75000,74900,74500,71999,69900,69900,69900,69900,69900,69900,69194,68900,68000,65000,65000,64900,62900,64900,62900,64900,64900,64900,64900,63900,64900,63900,63500,63900,63500,64000,64700,64900,64900,62900,62500,62000,60000,62113,60000,60000,59900,60000,62500,63900,64900,64900,64900,64900,64995,64900,64000,62900,62000,62000,62900,65000,65000,64900,64900,64900,64900,64000,61900,60000,60000,61677,62500,62763,63000,63500,62000,62000,60000,60000,59900,59900,59900,60000,62900,64000,64900,64900,64900,64900,65000,65000,64900,64900,64900,65000,66828.5,68900,69000,69000,69000,69500,69900
"Ohio",7,54900,55000,55000,56900,55000,55000,54900,54900,54900,54900,54900,52900,50000,49900,49900,49900,49900,49900,49500,49800,48000,47000,46800,45000,45000,44999,45000,45000,45900,45000,45000,45000,45000,45000,44900,44900,44900,44900,44900,44900,45000,45000,46000,47000,47250,45000,47900,47000,47000,47500,46000,47500,47900,48900,48500,48930,49000,49000,48930,47910,48500,48900,49000,49900,49900,49900,49900,49900,49870,49777,49500,49000,49000,49500,49900,49900,49900,49900,49900,49900,50000,50000,50000,50000,49900,50000,50000,50000,52000,52500,53500,53500,53900,53900,54000,54000,53000,53800,54900,54900,55500,58000,58900,59900,59900,59900
"Michigan",8,35000,35000,35000,35000,35000,34900,34900,34900,34900,34900,34900,31900,30000,29700,29900,29900,29900,29900,29900,29900,29900,29900,29900,29500,29500,29000,29700,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,29900,30000,31000,32000,32500,34900,34900,34900,34900,34900,34900,34900,34900,35000,37000,38000,39500,39500,39000,39500,39500,39900,39900,39500,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,40000,41500,43000,42900,43000,44500,43900,43000,43500,44000,44900,44900,45000,45900,47000,47700,46000,46900,45420,45000,45000,46600,47550,49000,49900,49900,50000,50000,53000
"Georgia",9,62500,64900,64900,64000,62900,60000,59999,59900,59900,59900,59000,58000,55000,50000,52900,50000,49900,49900,48000,49000,45000,45000,42520,42000,40000,40000,40000,39900,40000,42000,40000,40000,39000,39900,39000,40000,39990,40000,40500,42500,44500,44900,42000,44800,42900,42000,43000,45000,46000,47000,45000,45000,46000,45000,45000,45050,45000,49000,49000,49000,49900,49900,49900,49900,50000,50000,49900,49999,49900,49900,49900,49900,49900,49900,49900,50000,49900,50000,50000,50000,52000,51500,53497,53000,54100,54900,55000,55000,58000,59000,59900,59500,59000,59900,59900,59000,59900,60000,63348,62500,64900,65900,64900,66000,69000,69900
"North Carolina",10,75500,75000,77250,78500,75000,75000,75000,74900,74500,72900,70000,69900,69500,63500,65000,65000,64900,60000,59900,59000,56000,55900,55000,54900,52000,52500,52900,51900,54000,54900,54900,54000,50000,50000,50000,51900,50475,52500,52397.5,52500,53997,54900,54900,54900,54900,54900,52900,51096,52000,52900,53500,53900,54000,54900,54900,54900,54500,53945,54900,54900,54500,52800,52000,53000,58000,58400,58000,57900,58000,55500,55000,55000,55000,55000,55000,56500,55000,55000,55000,55000,55000,55000,55000,55000,55000,55100,56900,56900,58000,58000,59000,57000,58000,56000,55000,55000,55000,55000,59000,57500,59000,59900,59900,59900,59900,59900
