"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"California",1,759000,765000,759000,759000,760000,769000,759500,750000,749000,738000,728000,699900,699000,7e+05,699000,699000,699000,699000,689900,669000,675000,675000,669000,659000,655062.5,674800,675000,689000,698000,699000,699000,699000,7e+05,724990,725000,699950,7e+05,739999,749900,774972.5,798000,795000,799000,785000,789000,789000,779000,775000,765000,774900,789000,795000,799000,798800,795000,785000,789000,789000,789500,774900,775000,788000,795900,799000,805000,815000,799000,8e+05,815000,822250,829900,829000,829800,849900,850000,863106,875000,879000,875000,870000,876000,888000,895000,889000,899000,899999,924690,943116,929650,940000,942000,939000,949000,950000,950000,949900,949000,969000,989000,995000,988888,989000,986510,979900,993907,997000
"Texas",2,320000,319900,319900,319900,319900,319900,318000,314900,309243,309900,309900,304950,299900,299900,299900,3e+05,304000,299900,299990,299900,299900,299900,299900,299900,299900,299900,3e+05,305000,309000,309900,309000,308900,310000,310000,311500,315000,314400,314500,318500,320000,322990,324846,325000,325000,328900,329000,329900,329900,330000,334999,335000,343990,344900,344000,348108,349500,349900,350000,351909.5,360000,362000,364900,369000,369990,369990,372990,370500,373990,374900,375000,375000,379900,380000,384750,385000,387000,389000,387992.5,388950,389500,389900,389990,389907,389999,389990,394000,396453,399000,399500,399470,399000,398000,396990,397177,395000,395000,397990,399000,399900,4e+05,405000,404900,404990,4e+05,404990,405000
"New York",3,635000,629000,629900,628000,629000,625000,625000,620000,625000,628000,629000,625000,620000,599990,625000,619000,599900,599000,599000,599000,599000,599000,599000,599000,599000,599000,599000,599990,6e+05,599000,599000,599000,599999,619000,6e+05,625000,628000,629000,639000,625000,620000,599900,599000,599000,599000,599000,639000,649000,650000,650000,650000,657900,669000,679000,669000,675000,678000,699000,699000,7e+05,730000,724000,7e+05,699900,699000,698000,695000,689000,699000,711000,729000,745000,790000,799000,769900,795000,759000,750000,739999,739000,749000,750000,775000,788000,795000,799000,799000,799000,795000,775000,769000,759000,775000,789900,799000,8e+05,825000,850000,849000,835000,825000,799888,799000,795000,799000,799999
"Florida",4,395000,392500,389900,388000,386900,380000,380000,379000,370000,369900,369000,360000,355000,364900,350000,350000,350000,349900,349900,349999,350000,359000,350000,359000,359900,365000,364900,364900,359900,359000,355000,359000,363690,359000,359900,365000,369900,369500,375000,375000,369900,369990,375000,370000,374900,375000,380000,385000,385990,389000,389000,389000,387990,385000,389000,388990,389000,389900,394990,399000,399000,399000,395000,399000,399900,399900,399000,399999,400990,410000,419900,425000,427525,439000,439900,444900,439788,440000,439900,437800,445000,449500,450000,459000,470000,479000,475000,475000,475000,475000,473943,474500,475000,475000,479000,485000,485000,489000,491900,495000,495000,495000,494500,490000,495000,498985
"Illinois",5,389900,389800,387500,385000,379900,379900,379000,375000,369900,369900,369000,365000,360000,359000,350000,350000,349999,349900,349000,345000,345000,339900,339900,339900,339900,339900,339455.5,339900,339000,339900,339000,339000,339000,339900,339900,337500,339000,340900,345900,349900,350000,350000,350000,350000,359900,359000,359900,359900,359900,365000,365000,368900,369000,374500,370000,369900,374900,374900,374900,372450,374900,379900,380000,385000,389900,390000,389900,389900,389900,390000,389950,394900,395000,399000,399900,399900,399900,399900,399900,399900,399900,399999,4e+05,404900,409900,419000,418200,415000,419900,419500,415000,408000,409000,410000,414900,410000,419000,424900,425000,429900,429000,425000,425000,425000,427000,425000
"Pennsylvania",6,339900,338800,339000,335000,337000,335000,333900,330000,329900,329900,329000,325000,325000,322000,320000,324900,324810,319900,316945,315000,314900,310000,310000,311895,314900,314900,315000,314000,310000,309900,309000,3e+05,3e+05,303550,3e+05,3e+05,302000,309750,314900,314900,319000,319900,315000,310000,313990,314900,319000,319286,319000,308000,315000,318000,317900,318990,312000,310936.5,316953.5,315000,315000,315000,311850,314354,320000,324900,325000,325000,325000,324900,320000,328900,329000,329000,325157,329999,329900,339000,339900,331990,334900,330000,330000,329900,335000,335952.5,335000,339900,329990,334900,344999,345000,340000,339900,345500,349500,349900,349000,349500,349900,352000,351990,354900,359763,359900,359900,360000,360000
"Ohio",7,244200,244900,242875,244900,245900,246900,245000,242900,240000,239900,239900,239500,238900,239500,235000,235000,235000,234900,231900,229900,231900,234900,234900,230000,232200,234000,234800,234900,234900,234990,234900,234900,234900,235000,237990,237900,239500,239900,240000,240000,244500,242000,244600,244900,247617,239900,249900,249900,249900,250000,253837.5,250000,254900,258990,259000,257900,259000,259900,260000,262900,264990,267500,268000,268900,269495,269900,269900,269900,273997.5,274900,275000,275000,276250,279900,279900,284465,284900,285000,285000,285000,288900,289500,289900,293595,294900,297107.5,295000,299000,299900,299900,299800,299000,299000,299000,299900,3e+05,305990,310000,314500,315000,316865,319000,317000,317467.5,319000,319900
"Michigan",8,229900,225000,224900,225000,225000,225000,225000,224000,224800,224900,224900,219900,219000,219900,219000,215000,218997,219000,219000,217900,218900,219000,218900,219900,219900,219900,219900,220000,224900,225000,225000,225000,228953,229000,229900,232900,234900,235000,239000,239900,239900,245000,245500,250000,254900,254000,259000,259000,260800,260000,264900,269000,274010,274900,274900,274900,274900,275000,279000,279900,279900,285000,289000,289990,295000,295000,295000,294900,295000,298900,299900,299900,299900,299988,3e+05,305000,310000,310000,309900,313900,309990,310000,314999,316700,316530,319000,319900,325000,325000,329500,329500,328975,329000,329900,330000,334900,330840,339090,340000,339900,347000,347000,345000,344990,343900,343900
"Georgia",9,335000,329900,330000,330000,329900,327900,325885,325000,324900,320000,319900,315000,309900,310000,3e+05,299900,299900,299500,299000,296122,299000,294222,294900,290000,289900,289900,289900,290000,295000,289283,295000,294000,290000,294900,296615,295000,295000,295310,299000,299900,3e+05,306719.5,308900,304846,306500,309500,309900,310000,313362,318990,319900,325000,325000,327000,329000,329900,334900,333206,333900,335000,335990,340000,344900,347900,349000,349900,349900,349900,349500,349900,350000,350000,350000,359000,359900,369500,370000,369900,372000,374900,375000,379000,379900,379900,379990,384900,389000,389999,395000,395000,394900,392000,396810,399000,398000,399000,399000,399900,4e+05,409900,409408,410000,418900,415000,415490,415000
"North Carolina",10,349000,348000,345975,345000,339900,339000,336000,334000,329900,330000,331304,329000,325000,324900,319900,319900,319900,319000,319000,315000,319000,315000,315000,313712.5,315000,311620,310000,315000,314900,314900,310000,310000,310000,312500,314130,310000,310000,310000,313788.5,315900,318000,319990,320567.5,319900,322990,325000,323375,315000,319900,325000,325000,329500,329900,329900,329900,330000,330000,330000,330900,330911.5,332499,329900,334900,339900,344900,345630,348750,349061,349000,350000,349900,349995,349900,355000,359750,360000,363000,360000,364900,364900,365900,369500,369000,369000,369000,369900,372900,379000,379900,380000,385000,381400,381424,385000,385000,385000,385000,389900,392000,395000,395000,397000,397300,395000,399000,399000
