"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
9,"California",1,268300,267700,267200,266900,266900,267300,267800,268600,269800,271100,272300,273300,274500,275800,277400,279000,280800,282600,284400,286300,288400,290500,292600,294400,296300,298300,300400,302600,304900,307300,309700,312300,315100,318100,321100,324100,327100,330200,333300,336400,339600,342800,346400,350400,354800,359600,364300,368700,373100,377300,381300,385100,388900,392700,396500,400500,404700,408800,412700,416500,419900,423200,426300,429400,432300,435300,438400,441500,444800,448200,451800,455500,459300,463400,467700,472300,477100,482100,487400,492900,498400,503900,509500,515300,521500,528000,535100,542700,550500,558800,567500,576600,586200,596400,607100,618700,631400,644700,658400,671700,684300,696000,706900,717000,726800,736500,745800,755100,764400,772900,780900,788100,794200,799500,804000,807600,810500,813100,815300,817200,818200,818400,817700,815700,812400,808800,805200,801600,798200,794900,790900,786200,780600,774400,767900,760700,752500,743900,735100,725600,715400,704800,693400,681300,668600,656600,645700,636500,629100,622900,617200,611900,607000,602600,597500,591500,584500,577000,571000,568000,567300,567600,568800,570300,572000,573800,574600,573900,573900,574700,573900,571000,568100,565100,561600,557600,553500,549000,545200,542400,539900,537300,535200,533200,531000,528400,526400,525500,524600,523300,523900,527000,531300,535800,540400,545600,550600,555200,560500,566800,573100,579200,586100,594900,605500,616100,626700,635800,643400,649600,654000,657300,660600,664000,668100,672100,675200,677800,680000,681800,683500,685500,688100,691000,693900,697400,701900,706300,710200,714200,718200,721200,724000,728100,731800,734900,738800,742900,745300,747600,750100,752300,754000,756900,760600,764600,768500,772200,776400,780800,784600,788500,791900,794200,797000,800600,803700,807200,811500,815900,819600,825600,832600,836700,838100,840100,842400,844000,845800,847500,848700
54,"Texas",2,261900,261100,260400,259700,259300,259000,258600,258100,257100,255700,254100,252800,252300,252600,253700,255300,257200,259400,261800,264400,267300,270000,272100,273100,273200,272500,271400,270300,269800,270400,272200,275600,280800,286700,292400,297200,300800,302900,303800,303800,303400,302900,302800,303500,305000,307300,310000,312300,313600,313500,312200,310100,307800,305400,303200,301200,299600,298400,297600,297000,296700,296700,296800,296700,296200,295200,293600,291700,289600,287500,285700,284400,283800,284200,285100,286500,287700,288700,289300,289300,288700,287900,287000,286200,285600,285300,285200,285300,285400,285700,285900,286200,286600,287300,288500,290100,292200,294400,296500,298700,300900,303100,305200,307200,309100,310700,312100,313300,314500,315600,316700,317900,319100,320200,321400,322800,324300,326000,327600,329100,330300,331500,332600,333700,335000,336300,337800,339100,340400,341500,342200,342600,342800,342900,343000,343000,343100,343300,343700,344200,344500,344300,343600,342300,340500,338600,336800,335200,334100,333000,331800,330400,328800,326900,325000,323200,321700,320400,319300,318200,317200,316300,315500,314900,314300,313800,313200,313200,313300,313100,312600,312200,311800,311400,310700,309900,308800,308300,308300,308200,307800,307800,308100,308300,308400,308600,308900,309300,309900,310700,311600,312300,312900,313600,314000,314300,314900,315300,315800,316500,317100,317700,318300,319300,320700,322400,324400,327200,329900,332600,335300,338100,340700,343300,345800,348400,350900,353500,356800,360000,362700,364900,367000,369300,371800,373700,375000,376700,379100,381400,383200,385200,387400,389400,390800,392000,393100,394100,395500,397200,399000,400900,402500,403500,404300,405400,406700,407800,408800,409600,410600,411900,413600,414700,415400,416200,417500,419300,420900,421600,422000,423200,425300,426800,427400,429000,430800,431400,431100,430800,431100
43,"New York",3,144700,144300,143900,143500,143100,142900,142700,142600,142700,143000,143200,143300,143400,143500,143600,143700,143900,144100,144400,144700,145200,145600,146000,146200,146400,146700,147100,147600,148200,148800,149600,150400,151200,152100,153000,153800,154700,155700,156900,158200,159400,160600,161600,162600,163700,165000,166400,167800,169200,170600,171900,173000,174000,175100,176200,177500,178900,180400,182000,183500,184900,186300,187800,189200,190700,192300,194000,196000,198100,200200,202400,204800,207300,209900,212700,215700,218700,221700,224800,227900,231000,233900,236600,239100,241700,244100,246400,248500,250300,252000,253400,254600,255900,257500,259500,261800,264500,267200,270200,273300,276500,279600,282700,285500,288200,290800,293200,295400,297500,299500,301400,303400,305400,307400,309500,311600,313700,315500,317000,318400,319700,320700,321600,322300,323000,323700,324500,325300,326200,327100,327800,328500,329000,329300,329400,329200,328700,328100,327100,325900,324400,322700,321100,319600,317900,316200,314300,312300,310000,307700,305400,303300,301300,299500,297900,296400,294700,292700,290800,289500,288900,288700,288800,288900,289000,289300,289900,289600,288600,287800,287400,286600,285400,283900,282700,281800,280700,279200,277300,275300,274100,273700,273300,272700,272000,271200,270300,269300,268600,268000,267300,266900,266700,266500,265900,265400,265300,265800,265900,266100,266600,267100,267400,268300,269400,270500,271700,272800,273700,274300,274800,275400,275800,275900,276500,277300,277800,277900,277600,277800,277900,278300,279000,279600,279900,280400,281100,281300,281500,282000,282700,283400,284700,285800,286800,287200,287400,287400,287600,288200,289300,290200,291000,292100,293000,293600,294200,295100,296600,298200,299600,301100,302500,304000,305800,307700,309200,310500,311500,312900,314900,317400,319700,321300,322300,323400,324400,325500,326600,327700,328700
14,"Florida",4,200100,200700,201400,202300,203300,204300,205000,205500,205700,205700,205400,205100,204900,205000,205400,206000,206900,207800,208800,209800,211000,212100,213100,213900,214600,215400,216100,216800,217600,218600,219600,220800,222100,223400,224800,226000,227200,228600,230100,231700,233200,234600,236100,237600,239300,241000,242700,244200,245600,246900,248100,249500,250900,252500,254400,256500,258900,261400,264000,266300,268600,270600,272600,274400,276200,277900,279700,281500,283400,285400,287300,289000,290700,292400,294200,296200,298500,301000,303700,306700,309600,312500,315300,318300,321200,324000,326800,329600,332300,335100,338100,341200,344600,348100,351700,355700,360000,365000,370600,376800,383300,390100,397100,404000,411100,418400,426100,434600,444000,453600,463100,472400,481200,489200,496700,503800,510900,517800,524500,531300,538100,543900,548500,551900,554000,555000,555300,554700,553800,552800,551500,550300,549100,547000,543500,539000,533600,527500,521100,514100,506600,498900,490600,482400,474500,466500,458200,450300,442500,435100,428000,421000,414200,407700,401100,394400,387800,380600,373700,368800,365600,363300,361900,361000,360500,360500,361200,358400,353200,349700,348500,345600,342100,338700,335700,333200,330600,327700,325100,323900,323400,322900,322400,323000,323700,324600,325400,326100,326400,326600,326400,326700,327900,329300,329900,330300,331000,331600,331700,332300,333700,335300,337400,340000,342500,345000,347900,350800,353600,356200,358400,360800,363000,364700,366700,369200,371500,373700,375700,377600,379400,380800,381700,382500,383300,384200,385000,386600,389100,391600,393500,395300,397200,399000,401000,403100,405200,407100,409200,411800,414400,416400,418100,420200,422300,424500,427600,431100,434000,436100,437300,438700,440700,442200,442800,443600,444600,445700,446700,447400,448500,451100,454600,457400,459500,461500,463200,464300,464700,465500,466900
21,"Illinois",5,260700,261900,262700,263100,263000,262500,261600,260300,259200,258400,257200,255700,254200,252700,251000,248900,246600,244500,243000,242300,242800,244400,246300,248400,251100,254300,258100,262300,266700,271100,275200,278600,281400,283700,285000,285500,286000,286500,287300,288400,289900,291700,293900,296500,299700,303500,307100,310400,313800,317100,320400,323500,326600,329500,332400,335100,337800,340400,342500,344100,345400,346600,347600,348800,350100,351600,353300,355000,357000,359100,361300,363700,366100,368600,371100,373600,376100,378500,380800,383100,385400,387600,389800,392100,394400,396400,398100,399700,401400,403300,405300,407600,410100,412900,415700,418600,421700,425100,428900,433100,437300,441500,445500,449200,452700,455900,459000,462300,465900,469700,473800,477900,481800,485600,489400,492900,496200,499300,502000,504700,507300,509300,510900,512400,513700,515100,516700,518100,519600,521100,522200,522900,523400,523000,522100,521200,520200,519200,518100,516400,513800,510700,507200,504200,501400,498200,494400,490200,485500,481100,477400,473700,469700,466000,462200,458000,453100,447400,441700,437200,433900,431400,429800,428700,428200,428500,429700,427700,422700,419300,417700,414600,411300,407800,403800,400700,398600,397300,396200,394500,392200,390100,387300,384900,383400,382200,380600,378600,377600,375600,372300,370900,372500,374500,376600,378700,379900,380600,381100,381500,381600,381500,381700,383500,386400,389600,393300,398000,401500,403600,405300,405900,405500,405600,406500,407600,409200,411300,413300,415000,416100,416500,415900,415900,415900,415400,414900,416100,417700,418300,418300,418500,418700,419500,421000,422100,422500,422800,423400,424400,425300,426400,426700,425600,425000,425400,426400,428100,429400,429400,429000,429400,430500,431300,431800,432700,434700,437000,439200,440500,440800,442200,445100,446800,446800,446400,446100,445800,445600,445000,445000
47,"Pennsylvania",6,146700,146400,146300,146300,146500,146900,147400,147900,148600,149200,149800,150200,150600,150900,151100,151300,151500,151700,151800,151900,151900,151900,151900,151900,151900,152000,152200,152400,152700,153000,153400,153900,154600,155400,156400,157300,158100,158900,159500,159900,160100,160100,160100,160300,160700,161300,162200,163200,164300,165500,166700,168000,169200,170300,171500,172600,173700,174900,176100,177100,178100,179000,179800,180700,181600,182700,183800,185000,186300,187600,188900,190200,191500,192800,194200,195700,197400,199300,201300,203500,205700,207500,208900,210400,212100,214200,216500,219200,221900,224500,227000,229400,231500,233600,235800,238100,240500,242800,245000,247100,249300,251500,253800,256100,258600,261400,264300,267300,270400,273300,276000,278700,281100,283400,285800,288000,290000,291600,293000,294300,295600,296900,298200,299400,300400,301300,302000,302600,303100,303600,304000,304300,304600,304800,304900,305000,305000,304900,304600,303900,303100,302200,301300,300200,299100,297800,296400,295100,294000,293100,292200,291300,290500,289900,289300,288700,287800,286800,285500,284300,283200,282400,281600,281000,280500,280500,280700,280700,280400,280300,280100,279200,278000,276800,275600,274300,273400,272500,271600,270900,270300,269400,268800,268300,267500,266400,266000,265900,265600,265100,264600,264300,264200,263700,263300,263400,263600,263900,264200,264900,265500,265700,265900,266000,266200,266900,267700,268200,269100,270100,270300,270300,270700,271400,271600,271900,272500,273300,273900,274600,275400,276100,276800,277600,278200,278200,278500,278900,279500,280200,281400,282600,283800,284800,285800,286400,286800,287500,288400,288900,289300,290100,291000,291900,292800,294000,295300,296700,298000,299200,300400,301700,303400,305000,306500,308300,309900,311100,311900,312600,313400,315400,317700,319800,321400,322600,323500,324400,325000,325300,325900
44,"Ohio",7,144100,144300,144500,144800,145100,145500,145900,146300,146700,147100,147700,148300,149100,150100,151100,152200,153300,154300,155200,155900,156400,156800,157100,157300,157500,157700,158100,158600,159300,160000,160800,161400,161900,162300,162500,162800,163100,163400,164000,164600,165300,166000,166800,167700,168600,169500,170500,171500,172300,173100,173700,174400,175000,175600,176300,177200,178100,179100,180200,181300,182400,183200,183800,184400,184700,184900,185100,185400,185700,186200,186700,187400,188200,188900,189500,190100,190600,191200,191800,192600,193600,194600,195500,196300,196900,197400,197900,198500,199300,200400,201500,202600,203600,204300,204900,205400,205900,206700,207600,208600,209500,210300,211100,211800,212500,212900,213200,213300,213500,213800,214300,214900,215500,216100,216700,217200,217400,217600,217900,218300,218900,219300,219700,219800,219800,219600,219300,219100,219100,219100,219000,219000,218900,218400,217700,216900,216200,215400,214500,213500,212600,211700,210900,210200,209500,208700,207800,206900,206000,205100,204300,203600,202900,202400,201900,201400,201000,200400,199500,198600,197900,197400,197100,196900,196900,197100,197400,197000,196400,196500,197000,197000,196700,196400,195900,194900,193900,193100,192200,191400,190600,189700,188800,188300,188300,188500,188600,188800,189200,189400,190100,191200,191800,192200,192900,193600,194000,194200,194600,195200,195800,196400,196600,196600,197300,198400,199400,200400,201600,202400,203200,204000,204800,205300,205700,206500,207300,208000,208600,209100,209400,209600,209900,210600,211400,212100,212900,213600,214300,214900,215600,216800,218300,219400,220400,221100,221900,222900,223900,224600,225500,226600,227700,228600,229500,230300,231100,232000,232800,233700,235100,236800,238200,239500,240600,241600,242400,243300,244600,246100,247200,248200,249600,251000,252400,254100,255400,256500,257900,259700,261400
30,"Michigan",8,155600,156500,157300,158100,159000,160000,161100,162200,163500,165000,166400,167800,169100,170300,171500,172500,173500,174300,175000,175500,176000,176500,177200,177900,178800,179900,180900,182000,183100,184300,185400,186700,188200,189900,191700,193400,195200,197000,199000,200900,202800,204600,206300,208000,209800,211700,213800,216000,218300,220600,222900,225000,226900,228400,229600,230400,230900,231000,230900,230500,229800,228900,228100,227300,226600,226300,226300,226800,227800,229100,230900,232800,234700,236300,237700,239000,240000,241000,241800,242700,243300,243000,242000,240800,239900,239400,239300,239600,240200,241100,242200,243300,244200,245200,246200,247200,248200,249100,250100,251200,252400,253700,255100,256700,258500,260400,262200,263900,265500,266800,267900,268900,269600,270100,270500,270700,270800,271000,271200,271500,271900,272000,272000,271800,271400,270600,269500,268200,266800,265600,264500,263500,262600,261400,260000,258400,256600,254700,252900,250900,248900,247000,245000,243100,241300,239400,237200,235000,232700,230500,228400,226500,224600,222800,221200,219700,218100,216200,214300,212800,211500,210500,209800,209400,209100,209000,209500,208800,206800,205300,205300,205100,204900,204900,204700,204300,203800,203000,202200,201900,202000,202000,201400,200700,200500,201100,201700,202300,202800,203300,203400,203800,205100,207100,208500,209700,211000,212200,213600,215300,217000,218600,220000,221700,223900,225700,227400,229700,232500,234600,236000,237300,238900,240800,242500,244000,245600,247400,249500,251700,253100,253900,254700,255900,257400,258900,260200,261500,262800,263900,265100,266500,267600,269000,270500,272000,273500,274800,275900,277200,278800,280100,281700,283300,284500,285400,286500,287600,288600,289700,291300,293600,295700,297500,299000,299700,300200,301300,302900,304600,305800,307100,310000,312800,314600,316700,318800,321100,323200,324800,325900
16,"Georgia",9,205100,206300,207400,208500,209500,210400,211200,211900,212800,213600,214200,214500,214800,215100,215600,216100,216700,217200,217700,218100,218400,218900,219600,220400,221600,223000,224600,226200,227800,229400,231100,232800,234700,236700,238400,239800,241200,242600,244100,245800,247600,249500,251600,253700,256100,258600,260900,262900,264600,266100,267500,268800,270100,271500,272800,274300,275800,277400,278700,279800,280800,281700,282600,283700,284800,286100,287400,288800,290400,292200,294300,296300,298200,299700,300800,301600,302000,302300,302700,303500,304600,305900,307300,308400,309300,309700,310000,310300,310800,311500,312400,313000,313200,312900,312400,312300,312900,314300,316300,318900,321700,324500,327200,329600,331800,334000,336100,338300,340900,343600,346400,349200,352000,354700,357300,359700,361900,364000,366000,368300,370900,373400,375800,378200,380300,382400,384300,385900,387500,389100,390300,391500,392500,392900,392800,392500,392100,391500,390500,389100,387500,385900,384000,382300,380600,378200,375000,371300,367200,363300,359600,355900,352500,349400,346300,343400,340200,336400,332300,329300,327200,325600,324000,322500,321600,321300,321900,319600,315600,313300,313100,311600,309400,306700,304200,302200,300200,297800,295100,292900,291500,289800,287800,286300,284800,282900,281600,280600,280000,279600,279000,278900,279600,280600,281700,283100,285000,287400,289700,291600,293100,294300,295900,298100,300200,302100,304100,306000,307900,309900,311900,313800,315500,317200,318900,321200,323800,326300,328700,330800,332300,333200,334000,335400,336700,337300,337800,338900,340600,342100,342900,343600,344700,345600,346400,347100,347700,348600,350100,351900,354000,356000,357900,360300,362500,364400,366000,367600,369500,371400,372900,374500,376300,377400,377900,378300,379300,380500,381600,382800,384800,387900,391400,394000,395800,397500,398600,399100,399100,400400,402500
36,"North Carolina",10,215000,216800,217900,218400,218400,218200,218300,218900,220400,223000,225900,228600,230900,232200,232700,232400,231100,229200,226500,223200,219500,216000,213000,210600,208800,207600,206700,206400,206700,207900,209600,211600,213600,215700,217500,219100,221200,223600,226400,229000,231200,232700,233600,233600,233100,232300,231000,229200,227700,227000,227500,229400,232300,235900,239700,243100,246400,249600,252500,254500,255600,255900,255600,255200,254800,254500,254600,255000,255700,257100,259300,261700,263700,265300,266400,267100,267800,268600,269500,271100,272700,273300,272900,272900,273500,274900,276700,278700,280600,282300,283900,285200,285900,286200,286200,286300,287000,288300,289900,291600,293300,295100,297100,299200,301200,303200,305100,307000,309100,311500,314400,317900,321900,325900,329700,333300,336800,340400,344100,348000,351800,355300,358500,361400,364300,367100,369700,372000,374000,375800,377200,378500,380000,381400,382900,384700,386200,387200,387600,387700,387700,387900,388000,388200,388000,387100,385400,383400,380800,378200,375900,373900,372500,371800,371500,371700,371600,370400,368100,365100,362000,359200,356800,354800,353800,353700,354700,353900,351300,349200,348200,346600,344800,342900,341100,339300,337100,334700,332200,329800,328500,327700,326900,326000,325400,324900,324700,324600,324600,324900,325100,325000,324900,324700,324600,324700,324600,324700,325400,326200,326600,326700,327100,328400,329900,331400,332900,335000,337200,339200,340800,342400,344100,345200,345600,346100,347400,348900,350300,351200,352200,353000,353600,354500,355800,357100,358300,359600,360800,362000,363200,364300,365000,365700,366400,367100,367900,368900,370200,372200,374500,376200,377400,379000,380600,381800,382700,383900,385000,386300,387900,389800,391400,392600,393200,393500,394200,394900,395500,396200,397700,399800,402400,404400,405600,406400,407300,408200,409500,411800,414300
