"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
9,"California",1,275300,275200,275100,275100,275200,275600,276100,276700,277500,278500,279400,280100,281200,282800,284700,286900,289300,291800,294600,297500,300700,304300,307700,310700,313900,317300,320600,324100,327400,330700,333900,337200,340700,344300,347600,350700,353700,356800,360000,363300,366700,370500,374700,379400,384900,390900,396900,402700,408700,414800,420900,427100,433300,439400,445600,451900,458500,464900,470900,476300,481200,485200,488500,491200,493300,495000,496500,497800,499300,501000,503100,505700,508900,512900,517600,522800,528200,533800,539600,545300,550700,555900,560700,565300,570000,574800,579900,585700,592000,599100,606900,615200,624500,634500,645600,657700,670800,684300,697800,710800,722800,733700,743800,753100,762100,770800,779100,787200,795100,802200,808900,815100,820500,825500,829800,833200,835800,837800,839200,840000,840100,839300,837700,835000,831300,827500,823800,820400,817500,815000,811900,808100,803700,798800,793700,788100,781600,775000,767900,760400,752400,744100,735000,725400,715500,706300,698200,691500,686000,681600,677700,674100,671100,668500,665000,660100,654300,648100,643200,641100,641200,642500,644500,646600,648300,650100,651400,651000,651100,652100,651100,647700,644600,641000,637200,632900,628200,623000,618800,615500,611900,608100,605500,604000,602000,599000,596800,596200,595900,595200,596100,599400,604200,609400,615100,621200,627500,634300,641600,649400,656800,663800,672200,683400,696500,709100,720500,729800,736900,742500,746700,750200,753800,757900,762000,765300,768200,771300,774200,777000,780100,783400,787200,791400,796300,801700,808000,814500,820700,826800,833300,839600,845700,852000,857300,861800,866900,872600,876700,880400,883600,886100,887800,890800,894700,899300,903900,909100,915000,920800,925000,928900,933000,936600,940400,945300,951100,958100,966300,975200,982700,994300,1009800,1021500,1028600,1037100,1045000,1049800,1054500,1060100,1065400
54,"Texas",2,187100,187300,187800,188500,189100,189500,189400,188900,188100,187200,186400,185900,185900,186200,187000,188000,189000,190000,190900,191900,193000,194200,195300,196200,196800,197100,197300,197500,197700,197800,198100,198500,199300,200400,201600,202700,203700,204600,205700,207100,209200,212000,215800,220500,225500,230200,233900,236300,237000,235400,231700,226600,221400,217200,214000,211800,210300,209300,208600,208200,207900,207900,208000,208200,208300,208300,208000,207400,206700,205900,205000,204400,204100,204300,204900,205800,206500,206900,207000,206800,206300,205700,205300,204900,204700,204600,204800,205000,205200,205200,205100,205100,205300,206000,207100,208500,210100,211700,213100,214600,216000,217300,218500,219400,220200,220700,221100,221700,222400,223200,224100,225000,225800,226700,227500,228300,229100,229900,230700,231500,232400,233300,234400,235400,236300,237400,238400,239500,240600,241600,242600,243500,244600,245800,247200,248800,250200,251600,252800,253800,254300,254200,253600,252600,251400,250200,249100,248200,247700,247300,246900,246500,246200,246000,245800,245600,245200,244800,244400,244200,244100,244100,244200,244400,244300,244200,244500,244800,244800,244700,244400,244000,243500,243100,242600,242200,241900,241600,241300,241000,240900,241100,241300,241200,240800,240600,240500,240400,240500,240700,241100,241500,242100,242500,242900,243400,244200,244800,245200,245800,246700,247400,248200,249100,250000,251100,252500,253800,255200,256700,258000,259000,260200,261200,261900,262900,264300,265600,267000,268700,270500,272200,274000,275900,277900,279800,281400,283000,284900,287000,288800,290700,292300,293600,294900,296400,297900,299300,300600,301900,303600,305300,306900,308400,309800,311000,312400,313800,315000,316000,317200,318400,319700,320800,321900,322800,323900,324800,326000,327200,328200,330200,333900,337400,339400,340900,342100,342900,343700,345100,346500
43,"New York",3,215000,214600,214200,213700,213300,213000,212800,212800,213100,213600,214100,214400,214800,215200,215700,216300,216900,217700,218500,219400,220600,222000,223200,224200,225200,226400,227700,229000,230500,232000,233600,235300,237100,239000,240900,242900,245100,247600,250200,253000,255800,258400,261100,263800,266700,270000,273200,276400,279700,282900,286000,288900,291700,294700,297700,300800,304200,307700,311200,314700,318200,321800,325200,328600,332000,335400,338800,342100,345300,348100,350800,353300,355900,358900,362300,366100,370100,374500,379100,384000,389300,394800,400700,406800,412700,418000,422800,427300,431400,435300,439200,443200,447200,451200,455300,459400,463800,468500,473800,479800,486200,492800,499500,505900,512300,518600,524600,530800,537200,543400,549300,554900,560200,565200,569900,574100,578000,581300,583800,586000,588200,589900,590800,591100,590600,589400,587600,585400,583300,581800,580500,579700,579200,578300,576700,574700,572700,571100,569500,567900,566200,564400,562000,559500,556800,553400,549200,545000,540900,536900,533200,529400,525900,522500,519000,515900,513100,509600,505600,502200,500100,498900,498500,498700,498900,499200,500500,499300,495000,492300,492800,492800,491100,488100,485900,484600,483100,481500,480200,479200,479200,479600,479400,478900,478600,478900,478700,477600,476000,474300,472500,471800,471800,472200,472300,472600,472600,472900,473100,473400,473900,474900,476100,478000,479500,481100,483000,485300,487600,489600,491600,494400,497500,499900,501400,502800,505400,508200,510400,513000,516300,519000,521100,522900,524700,526300,528100,529900,531900,533900,535600,537600,541100,545300,548800,550700,552500,554800,557300,559900,562700,564600,566200,568000,570300,572200,574200,577000,580800,584000,586100,588300,591100,594400,598300,602200,605600,608800,611100,612500,613900,617500,622600,627300,630800,633500,635400,636600,636900,637800,639600
14,"Florida",4,156700,156800,156800,157000,157300,157600,158000,158400,158900,159300,159700,159900,160100,160200,160400,160700,161100,161500,162100,162900,163800,164800,165600,166000,166300,166600,166800,167200,167700,168400,169200,170000,170800,171700,172500,173200,174000,175000,176000,177000,178000,179100,180200,181500,182900,184300,185700,187000,188300,189600,191000,192400,193900,195500,197200,199000,201100,203400,206000,208800,211900,215200,218600,222100,225500,228700,231700,234600,237100,239400,241400,243000,244300,245500,246500,247500,248600,249800,251200,253000,255000,257400,260000,262800,265600,268400,271200,273900,276800,279700,282800,286000,289400,292900,296600,300600,305000,309800,315200,321300,327800,334600,341600,348700,356200,363900,371700,380000,389000,398200,407500,416500,424900,432400,439000,444800,450200,455100,459400,463700,467900,471200,473400,474400,474000,472800,471100,468700,466200,463600,460500,457000,453300,449100,444200,438700,432700,426600,420400,413900,407200,400300,393000,385500,378400,371500,364700,358300,352400,346800,341300,335900,330800,325800,320600,315100,309700,304000,298800,295100,292800,291200,290100,289500,288300,287700,288400,287700,285000,282900,281600,279400,276800,274400,272300,270300,268400,266400,264600,263800,263800,263700,263400,263300,263100,262800,262600,262600,262900,263400,263700,264300,265200,266100,266700,267400,268200,269200,269900,271000,272700,274500,276000,277900,280400,283200,286100,289000,291800,294400,297100,299900,302100,304000,306100,308500,311000,313200,315500,317900,320200,321900,323300,324700,326300,327800,329400,331300,333700,336100,338200,340200,342200,344300,346600,348900,350900,352700,354400,356400,358500,360300,362200,363900,365800,368000,370700,373500,376000,377900,379300,380300,381300,382400,383300,384400,385400,386600,387900,388700,389300,391700,395400,398100,399700,401200,402500,403500,404400,405300,406100
21,"Illinois",5,195700,196800,197500,197800,197600,197100,196100,194800,193700,192900,192000,190800,189800,188900,187900,186600,185200,184000,183400,183700,185300,187600,190000,192200,194600,197000,199500,202200,205100,207900,210500,212600,214400,215800,216600,216800,217000,217400,218000,218900,220100,221500,223100,224900,227000,229500,231700,233700,235800,238000,240100,242200,244300,246400,248400,250200,252100,253700,255100,256300,257600,258800,260100,261600,263100,264800,266500,268300,269900,271700,273400,275200,276900,278600,280200,281700,283200,284700,286200,287700,289200,290700,292200,293800,295300,296900,298500,300100,301700,303400,305200,307000,309000,311200,313400,315600,317800,320200,322600,325200,327700,330200,332600,334900,337400,339900,342300,344900,347600,350300,353100,355900,358800,361600,364300,366700,368900,370800,372500,374200,375900,377200,378100,378900,379400,379700,380000,380000,380000,380000,379700,379200,378600,377500,376100,374600,373000,371700,370500,369000,367200,365100,362400,359800,357400,354700,351700,348400,344900,341700,338900,336100,333300,330800,328000,325000,321500,317500,313500,310600,308700,307700,307100,306900,306300,306300,307500,306800,304100,302600,301700,299600,297000,293900,290600,288000,285700,283900,282600,281500,280300,278600,276900,275800,275200,274300,273000,271800,271000,269500,267000,265400,265700,266900,268100,268900,269500,270000,270500,271100,271800,272500,273400,275100,277200,279500,282300,285400,288100,290300,291800,292600,293400,294300,294800,295600,296900,298300,299700,301400,302700,303400,304000,304400,304700,304800,304900,305500,306700,307600,308300,308700,309100,310100,311500,312300,312600,313000,313900,315300,316500,317400,318300,318900,319500,320100,321100,322300,323200,323600,324200,325400,326500,326900,326900,327000,327500,328100,329300,330800,331800,333500,336000,337800,338500,339100,339100,338300,338200,338700,339300
47,"Pennsylvania",6,147700,147300,147000,146800,146700,146800,147100,147500,148000,148600,149100,149500,149900,150200,150500,150800,151100,151400,151700,151800,151700,151600,151400,151200,151200,151300,151500,151900,152400,152900,153600,154400,155200,156100,156900,157800,158600,159500,160300,161000,161700,162200,162800,163400,164100,164900,165700,166500,167500,168500,169500,170500,171500,172400,173500,174700,176000,177300,178700,180100,181200,182100,183000,183800,184600,185600,186600,187800,189100,190500,192000,193500,195000,196600,198200,200000,201800,203900,206100,208300,210500,212400,214200,216000,218000,220200,222500,225000,227400,229700,232000,234100,236200,238300,240600,242900,245300,247800,250300,252900,255300,257700,260100,262500,264900,267400,269800,272200,274600,277100,279500,282000,284400,286700,288800,290800,292500,294100,295600,297000,298400,299600,300800,301800,302700,303300,303700,303900,304100,304300,304400,304600,304800,304800,304600,304300,304000,303500,302900,302100,301200,300300,299300,298300,297200,295900,294600,293500,292400,291500,290600,289800,289100,288500,287900,287300,286400,285200,283900,282800,281900,281200,280700,280400,280300,280500,280800,280600,280100,279800,279600,278700,277300,276200,275200,274000,272800,271700,270500,269300,268500,267800,267200,266500,265700,264900,264200,264000,263800,263300,262800,262800,262800,262500,262300,262500,262700,263100,263700,264300,264800,265200,265700,266200,266900,267700,268500,269400,270200,270700,271300,271900,272500,273300,273700,273900,274500,275300,276000,276500,277100,277700,278200,278600,279200,279300,279300,279600,280200,280700,281200,282100,283000,283600,284100,284500,284700,285500,286500,287300,287800,288300,289200,290300,291700,292800,293500,294200,295400,296200,297000,298100,299500,300800,302000,303500,305000,306400,307500,308500,309100,310300,312000,313700,314900,316100,317000,317600,318100,318600,319200
44,"Ohio",7,140300,140700,141200,141800,142400,143000,143600,144200,144600,145000,145300,145600,146000,146500,147100,147800,148500,149300,150000,150600,151200,151800,152200,152600,152900,153400,153900,154500,155300,156100,156800,157400,157900,158200,158400,158700,159000,159400,159900,160600,161200,161900,162600,163400,164300,165200,166200,167000,167900,168500,169100,169700,170200,170600,171200,171900,172600,173400,174300,175100,175800,176400,176800,177200,177500,177800,178100,178400,178900,179500,180100,180900,181600,182300,183000,183700,184400,185000,185700,186500,187200,187900,188500,189000,189500,190000,190600,191300,192000,192800,193600,194400,195200,195900,196500,197200,197800,198500,199200,199900,200500,201200,201900,202600,203300,203900,204400,204800,205300,206000,206700,207500,208200,208800,209300,209800,210200,210500,210700,211000,211400,211600,211700,211800,211700,211600,211500,211300,211200,211100,211000,210900,210600,210200,209600,209100,208400,207700,206900,206000,205200,204400,203700,202900,202200,201300,200400,199600,198700,198000,197300,196600,196000,195600,195100,194800,194400,193700,193000,192400,192000,191800,191800,191700,191600,191700,192000,191800,191500,191700,192000,191600,191300,190800,190200,189600,188900,187900,186900,186100,185400,184600,183900,183600,183700,183700,183700,184000,184300,184600,185100,185600,186000,186500,186900,187200,187100,187100,187400,187700,188200,188800,189500,190100,190800,191400,192300,193400,194400,195300,196000,196800,197700,198500,199200,200000,200700,201600,202700,203600,204400,205100,205600,206300,207100,207600,208100,208900,209900,210900,211800,212900,213900,215000,215900,216400,216700,217400,218400,219100,219700,220500,221500,222300,223000,223900,224800,225700,226600,227500,228800,230300,231900,233200,234200,235100,236000,236700,237800,239400,241000,242200,243300,244200,245400,246500,247500,248500,249800,251500,252900
30,"Michigan",8,145000,145800,146600,147400,148200,149100,150000,150900,152000,153100,154100,155000,155900,156800,157700,158600,159500,160300,161000,161700,162300,163000,163700,164400,165200,166000,167000,168100,169300,170300,171400,172300,173100,174000,174700,175400,176100,176900,177800,178800,179700,180800,181900,183100,184500,185900,187200,188400,189600,190700,191900,193200,194400,195500,196600,197500,198300,199100,199600,199900,200300,200600,201000,201500,202100,202700,203500,204400,205400,206600,207800,209200,210500,211700,212700,213600,214300,214900,215500,216100,216500,217000,217400,217800,218400,218900,219500,220100,220700,221500,222300,223100,223900,224700,225500,226400,227400,228400,229500,230600,231600,232500,233500,234400,235400,236500,237400,238300,239100,239800,240400,240900,241200,241400,241500,241700,241900,242000,241900,241900,241700,241400,240800,240000,239200,238200,237300,236200,235100,234000,232700,231600,230400,229200,227800,226300,224700,223000,221100,219200,217300,215300,213200,211200,209100,206800,204400,202100,200000,197900,195900,193900,192000,190200,188300,186600,184900,182900,180800,179000,177600,176500,175500,175000,174600,174500,174800,174700,174000,173300,173300,173300,173100,172600,172000,171300,170600,169900,169100,168500,168200,168000,167900,167900,168100,168400,168800,169200,169600,170000,170500,171100,171900,173200,174600,175700,176700,178200,180100,182000,183700,185500,187300,188900,190700,192600,194500,196500,198600,200500,202500,204200,205600,207000,208200,209500,211000,212700,214300,215700,217100,218500,219300,220100,221300,222600,223900,225300,226400,227200,228100,229100,230200,231300,232300,233500,234700,235900,237100,238700,240300,241700,243000,244500,245900,246900,247900,249300,251000,252400,254000,256200,258700,260600,261900,262800,264100,265400,266500,267800,269000,269800,271000,272400,273600,275100,277100,279100,280500,281500,282400
16,"Georgia",9,158700,159400,160000,160700,161300,161900,162500,163000,163600,164200,164800,165300,165900,166600,167300,168100,168900,169600,170500,171300,172100,173000,173900,174700,175500,176300,177200,178200,179400,180600,181900,183300,184700,186300,187700,189000,190200,191500,192900,194300,195700,197000,198400,199800,201300,202900,204400,205900,207400,208900,210500,212100,213800,215300,216900,218400,219800,221200,222400,223500,224600,225600,226600,227400,228200,229100,230000,231000,232100,233100,234100,235000,235900,236600,237200,237700,238200,238800,239500,240400,241400,242400,243300,243900,244400,244900,245400,245900,246600,247300,248100,248900,249800,250800,252000,253300,254700,256200,257800,259300,260900,262400,263700,264700,265500,266300,267300,268600,270200,272000,274000,275900,277800,279700,281700,283600,285500,287300,288800,290400,292100,293800,295400,297000,298600,300100,301500,302700,303800,304900,305700,306500,307400,307900,307900,307900,307800,307600,307300,306600,305900,304900,303500,302200,300900,299000,296800,294300,291800,289500,287400,285300,283400,281700,279700,277600,275600,273000,270200,268000,266300,265000,264000,263200,262100,261600,262400,261600,258800,257200,256900,255800,254400,252600,250500,248400,246500,244400,241900,239600,238000,236700,235500,234300,232700,230900,229600,228500,227600,226900,226600,226500,226800,227300,227800,228800,230300,231900,233400,234900,236200,237500,238700,240300,242300,244200,245700,247400,249100,250900,252600,254600,256400,257900,259200,261200,263500,265500,267100,268700,270100,271300,272200,273400,274800,275600,276200,277400,279000,280700,282300,283600,284600,285200,285900,286700,287800,289200,291000,293000,295200,297300,299400,301900,304100,306200,308200,310100,312000,313900,315700,317500,319200,320400,320900,321400,322600,324400,326200,328000,330200,333400,336700,339100,340700,342400,343900,345000,345900,347800,350400
36,"North Carolina",10,165600,165300,164900,164500,164100,163900,164100,164700,166000,167800,169800,171600,173100,174100,174700,174700,174400,173600,172300,170600,168300,165700,163400,161600,160700,160700,161600,163000,164700,166500,168200,169800,171000,172000,172800,173800,174900,176300,177700,179000,180200,181100,182100,183000,183800,184700,185400,186000,186500,187100,187800,188800,190000,191200,192400,193500,194400,195300,196000,196500,196800,197100,197400,197600,198000,198600,199200,199900,200600,201400,202300,203000,203500,204000,204400,204800,205400,206000,206800,207900,209100,209900,210700,211600,212600,213800,215200,216700,218400,220000,221600,223100,224500,225900,227200,228500,229900,231200,232600,233900,235300,236600,237900,239000,240000,241000,242300,244000,246300,248900,251700,254600,257400,260100,262700,265400,268100,270900,273400,275900,278400,280600,282600,284600,286500,288300,289900,291400,293100,294800,296200,297600,298900,299800,300400,300900,301300,301600,301700,301800,301800,301900,301700,301400,301100,300400,299100,297700,296200,294700,293300,292000,291000,290300,289600,288900,288100,286800,285100,283200,281500,280000,278700,277700,276700,276400,277000,276600,274400,272900,272600,272000,271100,269900,268800,267700,266500,264800,262900,261400,260500,259600,258600,257700,257400,257300,257300,257300,257400,257500,257700,258000,258200,258400,258900,259600,259400,258900,259100,259700,260300,260500,260600,261000,262300,263600,264700,265600,266600,267700,268400,269000,269900,270800,271400,271900,272500,273400,274000,274600,275400,276200,276800,277500,278400,279400,280400,281500,282400,283100,283900,284900,285900,286900,287700,288400,289300,290300,291300,292600,294300,295800,297100,298500,300200,301900,303500,304900,306300,307400,308500,310100,311900,313400,314300,315100,315900,316600,317400,318500,319900,322000,324600,326600,327900,329300,330400,331600,333100,335300,337300
